,EP300_MUT,ADAM5_DEL,ADAM3A_DEL,OR2T11_AMP,HERC2P2_AMP,ADCY8_DEL,ZNF438_DEL,C10orf11_DEL,SLC25A37_AMP,LPA_AMP,PSG4_DEL,OR51A4_DEL,LINC00202_AMP,SLC7A5P2_DEL,MCEE_AMP,SLC44A5_DEL,KALRN_MUT,LOC284344_DEL,FAM190A_DEL,LCE3C_DEL,SIRPB1_AMP,LOC390705_DEL,NBEAP1_AMP,NPIPL3_DEL,LOC100190986_DEL,FBXL7_DEL,RBFOX1_DEL,HLA-H_DEL,TOP2B_MUT,NME7_DEL
3067,2.0,0.0,1.0,28.0,6.0,20.0,16.0,4.0,5.0,68.0,7.0,30.0,47.0,27.0,35.0,65.0,17.0,8.0,19.0,23.0,32.0,61.0,10.0,25.0,24.0,76.0,202.0,89.0,44.0,3.0
3116,2.0,0.0,1.0,58.0,5.0,11.0,3.0,9.0,6.0,14.0,101.0,13.0,21.0,24.0,16.0,37.0,25.0,109.0,7.0,8.0,46.0,129.0,10.0,19.0,20.0,41.0,105.0,4829.0,22.0,12.0
3165,0.0,1.0,2.0,47.0,11.0,22.0,123.0,21.0,14.0,148.0,5.0,23.0,24.0,17.0,7.0,111.0,29.0,3.0,32.0,26.0,4.0,39.0,6.0,13.0,12.0,15.0,132.0,5590.0,102.0,19.0
3214,2.0,0.0,1.0,7.0,14.0,62.0,16.0,37.0,79.0,51.0,9.0,182.0,8.0,72.0,6.0,42.0,30.0,5.0,19.0,43.0,3.0,13.0,22.0,56.0,55.0,18.0,49.0,45.0,118.0,11.0
3263,2.0,0.0,1.0,15.0,8.0,19.0,5.0,37.0,18.0,296.0,122.0,49.0,7.0,9.0,55.0,62.0,50.0,99.0,24.0,68.0,17.0,6.0,52.0,12.0,11.0,4.0,39.0,1369.0,36.0,3.0
3312,1.0,0.0,2.0,22.0,7.0,19.0,8.0,12.0,4.0,11.0,26.0,17.0,13.0,55.0,23.0,29.0,34.0,25.0,6.0,57.0,14.0,64.0,16.0,50.0,49.0,9.0,94.0,2934.0,36.0,5.0
3361,2.0,0.0,1.0,19.0,86.0,47.0,72.0,245.0,4.0,14.0,9.0,114.0,18.0,37.0,17.0,85.0,23.0,10.0,123.0,16.0,7.0,40.0,28.0,24.0,25.0,13.0,104.0,2108.0,35.0,3.0
3410,0.0,1.0,2.0,3.0,12.0,153.0,8.0,17.0,1018.0,9.0,40.0,36.0,25.0,82.0,16.0,3134.0,47.0,41.0,7.0,15.0,5.0,74.0,49.0,81.0,80.0,91.0,43.0,14.0,18.0,28.0
3459,1.0,0.0,2.0,30.0,3.0,6.0,18.0,17.0,4.0,38.0,20.0,11.0,14.0,27.0,15.0,16.0,21.0,13.0,10.0,5.0,205.0,54.0,8.0,34.0,35.0,29.0,50.0,44.0,67.0,22.0
3508,0.0,1.0,2.0,32.0,33.0,8.0,5.0,29.0,9.0,7.0,36.0,18.0,12.0,20.0,10.0,4.0,22.0,47.0,16.0,11.0,896.0,200.0,43.0,27.0,28.0,98.0,24.0,76.0,42.0,15.0
3557,0.0,1.0,2.0,5.0,9.0,3.0,17.0,82.0,13.0,11.0,23.0,209.0,7.0,20.0,124.0,8.0,21.0,12.0,49.0,4.0,964.0,83.0,37.0,41.0,42.0,16.0,36.0,31.0,52.0,6.0
3606,2.0,0.0,1.0,12.0,8.0,11.0,21.0,5.0,6.0,10.0,22.0,75.0,43.0,42.0,20.0,18.0,155.0,16.0,28.0,3.0,57.0,64.0,17.0,77.0,78.0,197.0,177.0,36.0,69.0,4.0
3655,2.0,0.0,1.0,8.0,3.0,20.0,40.0,7.0,16.0,15.0,5.0,98.0,24.0,25.0,61.0,65.0,17.0,4.0,18.0,10.0,460.0,102.0,13.0,38.0,37.0,141.0,71.0,14.0,39.0,12.0
3704,2.0,0.0,1.0,18.0,23.0,20.0,4.0,37.0,32.0,91.0,5.0,118.0,13.0,45.0,10.0,11.0,22.0,24.0,16.0,15.0,331.0,234.0,12.0,80.0,82.0,30.0,113.0,9.0,66.0,7.0
3753,0.0,2.0,1.0,66.0,30.0,4.0,11.0,12.0,16.0,158.0,5.0,84.0,13.0,80.0,17.0,19.0,9.0,6.0,14.0,61.0,135.0,3396.0,22.0,94.0,93.0,39.0,125.0,50.0,36.0,33.0
3802,0.0,1.0,2.0,17.0,5.0,4.0,3.0,19.0,6.0,8.0,10.0,30.0,31.0,93.0,7.0,33.0,14.0,12.0,9.0,65.0,15.0,75.0,69.0,125.0,126.0,21.0,42.0,16.0,91.0,18.0
3851,2.0,0.0,1.0,3.0,9.0,8.0,38.0,22.0,11.0,72.0,20.0,103.0,45.0,27.0,63.0,39.0,135.0,21.0,54.0,101.0,12.0,144.0,33.0,31.0,30.0,65.0,94.0,5.0,74.0,42.0
3900,0.0,1.0,2.0,25.0,3.0,6.0,7.0,14.0,5.0,16.0,18.0,50.0,15.0,45.0,28.0,8.0,46.0,20.0,42.0,22.0,71.0,13.0,9.0,65.0,66.0,30.0,52.0,11.0,130.0,10.0
3949,2.0,0.0,1.0,10.0,12.0,4.0,14.0,13.0,7.0,23.0,50.0,5.0,84.0,9.0,17.0,8.0,83.0,53.0,28.0,36.0,3.0,1394.0,22.0,15.0,16.0,324.0,51.0,5617.0,409.0,40.0
3998,1.0,0.0,2.0,21.0,14.0,38.0,4.0,15.0,7.0,9.0,92.0,16.0,34.0,22.0,5.0,11.0,31.0,127.0,17.0,43.0,10.0,3.0,24.0,20.0,19.0,8.0,46.0,259.0,37.0,6.0
4047,1.0,2.0,3.0,13.0,0.0,17.0,4.0,19.0,5.0,20.0,38.0,18.0,25.0,12.0,9.0,47.0,10.0,39.0,26.0,24.0,8.0,81.0,7.0,16.0,15.0,37.0,11.0,222.0,27.0,6.0
4096,2.0,0.0,1.0,60.0,39.0,52.0,3.0,6.0,4.0,24.0,84.0,64.0,18.0,15.0,23.0,38.0,14.0,100.0,11.0,112.0,5.0,102.0,19.0,22.0,21.0,91.0,13.0,21395.0,25.0,10.0
4145,0.0,1.0,2.0,3.0,50.0,33.0,5.0,13.0,7.0,12.0,98.0,68.0,71.0,16.0,25.0,15.0,32.0,126.0,31.0,97.0,4.0,713.0,34.0,42.0,41.0,70.0,27.0,24.0,19.0,11.0
4194,1.0,0.0,2.0,8.0,3.0,7.0,6.0,9.0,4.0,13.0,48.0,20.0,31.0,17.0,10.0,11.0,42.0,63.0,18.0,36.0,34.0,217.0,28.0,30.0,29.0,35.0,14.0,146.0,32.0,19.0
4243,2.0,0.0,1.0,27.0,24.0,4.0,7.0,8.0,3.0,21.0,23.0,18.0,10.0,20.0,16.0,6.0,25.0,13.0,51.0,14.0,15.0,80.0,19.0,35.0,36.0,196.0,12.0,6013.0,29.0,5.0
4292,0.0,1.0,2.0,16.0,8.0,10.0,3.0,6.0,5.0,12.0,54.0,20.0,18.0,17.0,57.0,7.0,43.0,75.0,14.0,11.0,19.0,27.0,13.0,22.0,21.0,15.0,25.0,1695.0,33.0,4.0
4341,0.0,1.0,2.0,59.0,5.0,8.0,3.0,27.0,21.0,31.0,58.0,35.0,42.0,10.0,57.0,14.0,40.0,69.0,7.0,25.0,4.0,22.0,84.0,15.0,16.0,28.0,13.0,1677.0,36.0,6.0
4390,0.0,1.0,2.0,46.0,3217.0,22.0,11.0,24.0,15.0,17.0,10.0,34.0,61.0,9.0,40.0,5.0,23.0,25.0,55.0,109.0,29.0,328.0,70.0,20.0,19.0,41.0,16.0,6967.0,14.0,3.0
4439,0.0,2.0,3.0,4.0,19.0,11.0,15.0,56.0,17.0,73.0,155.0,16.0,10.0,26.0,66.0,45.0,6.0,105.0,34.0,25.0,24.0,1.0,235.0,21.0,22.0,14.0,30.0,5.0,44.0,156.0
4488,2.0,0.0,1.0,5.0,25.0,23.0,15.0,42.0,22.0,12.0,16.0,54.0,24.0,20.0,27.0,45.0,8.0,10.0,38.0,84.0,14.0,21.0,64.0,35.0,34.0,18.0,6.0,17.0,28.0,1843.0
4537,2.0,0.0,1.0,3.0,58.0,46.0,42.0,93.0,259.0,10.0,41.0,30.0,29.0,33.0,25.0,104.0,14.0,32.0,6.0,97.0,17.0,34.0,106.0,49.0,50.0,9.0,52.0,12.0,39.0,896.0
4586,1.0,0.0,2.0,3.0,45.0,16.0,11.0,68.0,32.0,9.0,67.0,19.0,12.0,24.0,18.0,69.0,4.0,76.0,17.0,13.0,30.0,71.0,1507.0,38.0,37.0,21.0,15.0,5.0,22.0,2098.0
4635,0.0,1.0,2.0,3.0,12.0,22.0,11.0,46.0,40.0,7.0,99.0,6.0,20.0,59.0,85.0,54.0,19.0,65.0,5.0,77.0,10.0,4.0,114.0,73.0,74.0,16.0,27.0,18.0,30.0,124.0
4684,0.0,3.0,4.0,5.0,74.0,26.0,27.0,65.0,86.0,6.0,18.0,2.0,11.0,35.0,52.0,122.0,9.0,17.0,31.0,15.0,115.0,19.0,613.0,46.0,45.0,66.0,49.0,39.0,12.0,114.0
4733,0.0,5.0,9.0,1.0,19.0,7.0,6.0,83.0,34.0,2.0,82.0,8.0,10.0,38.0,24.0,68.0,12.0,43.0,11.0,21.0,40.0,22.0,50.0,55.0,54.0,41.0,35.0,17.0,61.0,90.0
4782,3.0,0.0,1.0,2.0,11.0,15.0,21.0,44.0,78.0,7.0,43.0,12.0,30.0,29.0,32.0,20.0,33.0,27.0,8.0,62.0,4.0,5.0,145.0,39.0,40.0,34.0,38.0,13.0,79.0,4918.0
4831,0.0,3.0,4.0,2.0,10.0,40.0,1.0,60.0,19.0,8.0,243.0,5.0,13.0,30.0,57.0,77.0,6.0,206.0,7.0,12.0,9.0,25.0,47.0,51.0,50.0,32.0,38.0,16.0,26.0,45.0
4880,0.0,2.0,3.0,1.0,4.0,8.0,6.0,69.0,21.0,10.0,29.0,17.0,7.0,47.0,25.0,237.0,5.0,18.0,12.0,23.0,19.0,28.0,81.0,90.0,89.0,11.0,38.0,9.0,41.0,282.0
