,TAZ,Annexin 1,EGFR,Caveolin-1,YAP_pS127,MDMX_MDM4(BetIHC-00108),beta-Catenin,Chk1_pS345,VEGFR2,Heregulin,Rb_pS807_S811,CD49b,p62 Lck ligand,MSH6,Bcl-2,RAD51,Src_pY416,PAI-1,Src,beta-Catenin_pT41_S45,Akt_pS473,AMPK_pT172,Paxillin,PI3K-p85,EGFR_pY1068,VAV1,alpha-Catenin,PDCD4,Transglutaminase,GATA3
0,1.0,0.0,2.0,20.0,10.0,39.0,24.0,3.0,6.0,5.0,18.0,25.0,12.0,16.0,78.0,34.0,41.0,42.0,11.0,9.0,17.0,7.0,81.0,13.0,8.0,4.0,27.0,54.0,31.0,104.0
49,13.0,1.0,0.0,5.0,3.0,10.0,20.0,7.0,6.0,9.0,30.0,24.0,4.0,15.0,8.0,14.0,35.0,38.0,25.0,12.0,19.0,17.0,68.0,11.0,23.0,2.0,16.0,117.0,26.0,28.0
98,2.0,0.0,1.0,14.0,30.0,20.0,26.0,8.0,3.0,13.0,27.0,15.0,7.0,52.0,24.0,12.0,9.0,23.0,43.0,21.0,5.0,17.0,32.0,55.0,6.0,22.0,10.0,57.0,18.0,41.0
147,1.0,0.0,9.0,18.0,10.0,56.0,23.0,5.0,11.0,7.0,8.0,19.0,50.0,6.0,12.0,4.0,30.0,46.0,28.0,34.0,42.0,16.0,45.0,40.0,39.0,17.0,2.0,62.0,3.0,25.0
196,4.0,0.0,2.0,21.0,6.0,11.0,22.0,9.0,19.0,1.0,5.0,61.0,17.0,10.0,15.0,14.0,35.0,25.0,27.0,23.0,12.0,40.0,105.0,3.0,29.0,16.0,7.0,107.0,8.0,62.0
245,12.0,7.0,2.0,30.0,6.0,16.0,4.0,13.0,9.0,0.0,33.0,17.0,34.0,27.0,49.0,62.0,10.0,35.0,1.0,26.0,15.0,28.0,46.0,39.0,8.0,24.0,3.0,104.0,19.0,73.0
294,0.0,4.0,2.0,13.0,3.0,5.0,24.0,7.0,6.0,1.0,26.0,20.0,23.0,10.0,30.0,41.0,31.0,22.0,12.0,43.0,21.0,27.0,42.0,11.0,39.0,16.0,8.0,73.0,9.0,29.0
343,3.0,1.0,0.0,10.0,4.0,5.0,56.0,12.0,19.0,2.0,13.0,8.0,16.0,36.0,21.0,11.0,80.0,6.0,17.0,18.0,87.0,30.0,110.0,9.0,26.0,27.0,22.0,79.0,14.0,15.0
392,2.0,0.0,1.0,3.0,23.0,12.0,5.0,13.0,6.0,7.0,4.0,30.0,35.0,29.0,11.0,42.0,16.0,33.0,10.0,15.0,24.0,21.0,76.0,17.0,14.0,22.0,8.0,101.0,18.0,85.0
441,2.0,1.0,0.0,5.0,9.0,6.0,32.0,13.0,23.0,8.0,18.0,35.0,26.0,16.0,4.0,10.0,31.0,11.0,22.0,43.0,3.0,7.0,38.0,17.0,87.0,20.0,12.0,101.0,25.0,29.0
490,2.0,4.0,11.0,0.0,8.0,5.0,1.0,13.0,25.0,3.0,9.0,10.0,6.0,30.0,126.0,7.0,24.0,56.0,23.0,36.0,39.0,21.0,38.0,28.0,14.0,41.0,12.0,18.0,150.0,32.0
539,3.0,0.0,2.0,1.0,6.0,35.0,5.0,43.0,12.0,8.0,15.0,11.0,23.0,50.0,30.0,22.0,34.0,27.0,7.0,31.0,39.0,4.0,13.0,10.0,38.0,32.0,37.0,20.0,72.0,25.0
588,0.0,2.0,1.0,3.0,11.0,18.0,4.0,7.0,19.0,17.0,10.0,50.0,22.0,38.0,55.0,12.0,20.0,14.0,6.0,29.0,8.0,28.0,24.0,49.0,35.0,32.0,43.0,5.0,42.0,15.0
637,0.0,2.0,3.0,1.0,7.0,8.0,9.0,6.0,15.0,28.0,17.0,44.0,63.0,38.0,14.0,35.0,20.0,4.0,5.0,58.0,25.0,19.0,34.0,47.0,11.0,24.0,49.0,12.0,37.0,26.0
686,1.0,3.0,2.0,0.0,13.0,8.0,6.0,9.0,18.0,35.0,12.0,16.0,26.0,40.0,7.0,31.0,80.0,4.0,14.0,46.0,77.0,19.0,30.0,17.0,15.0,45.0,34.0,5.0,64.0,10.0
735,0.0,4.0,2.0,1.0,12.0,25.0,6.0,21.0,11.0,17.0,5.0,23.0,62.0,46.0,36.0,19.0,32.0,9.0,24.0,34.0,7.0,33.0,18.0,116.0,22.0,20.0,10.0,3.0,88.0,14.0
784,1.0,2.0,3.0,0.0,5.0,9.0,8.0,4.0,11.0,36.0,13.0,10.0,60.0,54.0,34.0,21.0,45.0,12.0,20.0,51.0,17.0,7.0,23.0,128.0,68.0,49.0,14.0,18.0,22.0,28.0
833,1.0,8.0,2.0,0.0,7.0,17.0,3.0,4.0,21.0,15.0,28.0,10.0,89.0,11.0,33.0,13.0,130.0,18.0,42.0,31.0,6.0,5.0,16.0,82.0,14.0,100.0,70.0,12.0,29.0,9.0
882,1.0,4.0,2.0,0.0,3.0,17.0,29.0,16.0,63.0,21.0,12.0,15.0,23.0,31.0,62.0,28.0,27.0,6.0,26.0,14.0,7.0,5.0,8.0,33.0,10.0,61.0,72.0,18.0,20.0,13.0
931,0.0,2.0,24.0,3.0,1.0,23.0,5.0,7.0,44.0,6.0,13.0,27.0,16.0,61.0,11.0,62.0,18.0,14.0,12.0,4.0,35.0,10.0,9.0,52.0,17.0,39.0,42.0,8.0,89.0,36.0
980,5.0,1.0,2.0,0.0,3.0,10.0,164.0,20.0,29.0,8.0,21.0,4.0,9.0,25.0,6.0,36.0,12.0,23.0,7.0,17.0,64.0,35.0,28.0,14.0,18.0,24.0,19.0,84.0,45.0,46.0
1029,21.0,0.0,1.0,2.0,3.0,9.0,24.0,8.0,13.0,11.0,15.0,7.0,5.0,32.0,4.0,51.0,12.0,10.0,6.0,33.0,23.0,22.0,111.0,28.0,30.0,34.0,19.0,75.0,37.0,55.0
1078,7.0,0.0,1.0,2.0,5.0,15.0,45.0,12.0,23.0,10.0,25.0,6.0,8.0,40.0,3.0,69.0,9.0,21.0,4.0,29.0,52.0,64.0,16.0,18.0,14.0,82.0,27.0,19.0,65.0,77.0
1127,52.0,1.0,5.0,0.0,4.0,12.0,7.0,13.0,8.0,14.0,15.0,3.0,9.0,19.0,6.0,67.0,16.0,125.0,2.0,11.0,25.0,26.0,10.0,30.0,150.0,20.0,18.0,62.0,78.0,90.0
1176,51.0,1.0,0.0,3.0,6.0,5.0,10.0,8.0,21.0,35.0,11.0,2.0,12.0,33.0,4.0,40.0,16.0,37.0,9.0,7.0,80.0,28.0,26.0,15.0,64.0,18.0,46.0,25.0,108.0,99.0
1225,7.0,0.0,3.0,1.0,4.0,11.0,14.0,12.0,8.0,20.0,21.0,6.0,5.0,10.0,2.0,114.0,33.0,13.0,25.0,17.0,50.0,48.0,9.0,19.0,43.0,23.0,32.0,18.0,119.0,69.0
1274,28.0,2.0,1.0,0.0,11.0,3.0,13.0,23.0,15.0,12.0,8.0,5.0,31.0,30.0,6.0,10.0,26.0,35.0,16.0,7.0,34.0,17.0,14.0,36.0,78.0,20.0,66.0,40.0,19.0,151.0
1323,2.0,1.0,0.0,5.0,7.0,10.0,3.0,26.0,12.0,31.0,25.0,13.0,6.0,9.0,4.0,17.0,54.0,48.0,8.0,11.0,21.0,24.0,19.0,65.0,143.0,57.0,59.0,38.0,55.0,46.0
1372,11.0,2.0,0.0,3.0,10.0,7.0,20.0,21.0,14.0,28.0,12.0,1.0,22.0,16.0,4.0,32.0,19.0,34.0,9.0,8.0,57.0,30.0,45.0,13.0,43.0,64.0,17.0,5.0,48.0,132.0
1421,4.0,2.0,21.0,19.0,5.0,3.0,10.0,7.0,25.0,51.0,18.0,9.0,6.0,0.0,16.0,24.0,1.0,47.0,12.0,14.0,28.0,27.0,8.0,37.0,46.0,35.0,45.0,23.0,82.0,30.0
1470,9.0,3.0,1.0,0.0,15.0,8.0,4.0,36.0,10.0,23.0,135.0,25.0,2.0,22.0,33.0,6.0,7.0,40.0,5.0,62.0,41.0,85.0,11.0,58.0,75.0,20.0,142.0,19.0,18.0,24.0
1519,1.0,2.0,5.0,0.0,4.0,11.0,6.0,20.0,7.0,10.0,16.0,28.0,12.0,15.0,60.0,3.0,14.0,25.0,19.0,30.0,35.0,27.0,17.0,100.0,18.0,39.0,46.0,9.0,22.0,23.0
1568,1.0,5.0,2.0,0.0,3.0,7.0,6.0,4.0,10.0,17.0,104.0,31.0,9.0,34.0,32.0,8.0,12.0,57.0,19.0,46.0,21.0,45.0,41.0,35.0,18.0,13.0,20.0,23.0,14.0,11.0
1617,0.0,1.0,7.0,2.0,4.0,5.0,19.0,18.0,14.0,10.0,23.0,45.0,20.0,3.0,32.0,6.0,8.0,27.0,12.0,72.0,9.0,16.0,13.0,25.0,24.0,15.0,126.0,125.0,59.0,21.0
1666,4.0,0.0,3.0,1.0,2.0,9.0,5.0,8.0,21.0,24.0,7.0,18.0,19.0,29.0,13.0,17.0,11.0,22.0,10.0,38.0,12.0,6.0,31.0,14.0,15.0,33.0,28.0,30.0,23.0,47.0
1715,0.0,2.0,4.0,1.0,7.0,3.0,8.0,20.0,54.0,17.0,6.0,10.0,11.0,15.0,93.0,13.0,12.0,19.0,9.0,64.0,30.0,29.0,27.0,23.0,21.0,39.0,33.0,5.0,43.0,25.0
1764,0.0,1.0,3.0,2.0,16.0,7.0,5.0,10.0,22.0,8.0,14.0,45.0,6.0,15.0,33.0,4.0,19.0,13.0,29.0,12.0,73.0,23.0,21.0,46.0,70.0,17.0,110.0,9.0,18.0,11.0
1813,3.0,1.0,2.0,0.0,5.0,14.0,6.0,12.0,44.0,17.0,27.0,18.0,4.0,11.0,43.0,7.0,10.0,29.0,41.0,22.0,16.0,15.0,24.0,25.0,28.0,13.0,86.0,9.0,51.0,35.0
1862,0.0,1.0,8.0,3.0,9.0,6.0,2.0,16.0,67.0,10.0,7.0,30.0,5.0,36.0,23.0,14.0,11.0,28.0,25.0,17.0,69.0,33.0,15.0,32.0,40.0,22.0,90.0,4.0,52.0,18.0
1911,0.0,1.0,3.0,5.0,4.0,20.0,8.0,16.0,21.0,13.0,29.0,40.0,2.0,7.0,18.0,27.0,10.0,11.0,6.0,12.0,23.0,48.0,17.0,121.0,41.0,26.0,92.0,9.0,14.0,58.0
1960,1.0,3.0,0.0,4.0,6.0,8.0,2.0,9.0,5.0,16.0,14.0,18.0,7.0,24.0,22.0,10.0,12.0,27.0,21.0,43.0,66.0,103.0,31.0,11.0,26.0,17.0,25.0,60.0,57.0,62.0
2009,1.0,0.0,3.0,11.0,13.0,8.0,5.0,10.0,7.0,4.0,24.0,28.0,26.0,6.0,23.0,2.0,17.0,149.0,38.0,98.0,16.0,9.0,18.0,15.0,25.0,53.0,34.0,32.0,45.0,21.0
2058,3.0,1.0,2.0,11.0,7.0,14.0,5.0,13.0,0.0,8.0,23.0,9.0,25.0,10.0,16.0,4.0,21.0,53.0,34.0,44.0,30.0,47.0,33.0,6.0,27.0,28.0,52.0,91.0,22.0,36.0
2107,0.0,1.0,2.0,3.0,10.0,4.0,8.0,24.0,13.0,6.0,46.0,19.0,37.0,23.0,7.0,5.0,51.0,59.0,36.0,42.0,28.0,43.0,21.0,11.0,17.0,73.0,26.0,39.0,44.0,33.0
2156,2.0,0.0,1.0,3.0,6.0,54.0,10.0,7.0,5.0,4.0,9.0,36.0,40.0,11.0,15.0,8.0,34.0,63.0,14.0,33.0,13.0,25.0,30.0,12.0,28.0,69.0,18.0,45.0,23.0,16.0
2205,2.0,1.0,0.0,4.0,3.0,12.0,8.0,13.0,14.0,6.0,46.0,16.0,39.0,20.0,30.0,9.0,54.0,21.0,41.0,53.0,31.0,35.0,101.0,7.0,10.0,55.0,40.0,66.0,17.0,49.0
2254,5.0,7.0,0.0,8.0,9.0,30.0,3.0,19.0,4.0,2.0,24.0,23.0,20.0,76.0,32.0,14.0,67.0,81.0,31.0,17.0,29.0,26.0,10.0,11.0,15.0,16.0,45.0,43.0,36.0,12.0
2303,8.0,0.0,1.0,6.0,2.0,20.0,27.0,33.0,9.0,5.0,19.0,72.0,7.0,40.0,24.0,3.0,35.0,49.0,23.0,14.0,17.0,85.0,21.0,11.0,13.0,89.0,161.0,127.0,32.0,25.0
