,hsa-miR-1302,hsa-miR-222,hsa-miR-1257,hsa-miR-548p,hsa-miR-34a,hsa-miR-96,hsa-miR-130a,hsa-miR-1252,hsa-miR-135b,hsa-miR-483-3p,hsa-miR-497,hsa-miR-218,hsa-miR-22,hsa-miR-9,hsa-miR-589,hsa-miR-582-5p,hsa-miR-584,hsa-miR-586,hsa-miR-587,hsa-miR-583,hsa-miR-588,hsa-miR-581,hsa-miR-579,hsa-miR-591,hsa-miR-582-3p,hsa-miR-578,hsa-miR-580,hsa-miR-577,hsa-miR-576-5p,hsa-miR-576-3p
20,0.0,1.0,16.0,3.0,509.0,197.0,37.0,461.0,32.0,547.0,523.0,560.0,2.0,14.0,41.0,45.0,20.0,47.0,46.0,54.0,49.0,48.0,53.0,83.0,52.0,61.0,51.0,55.0,57.0,58.0
69,35.0,9.0,16.0,2.0,14.0,195.0,5.0,13.0,32.0,6.0,42.0,0.0,564.0,18.0,45.0,11.0,50.0,19.0,49.0,53.0,48.0,56.0,43.0,7.0,55.0,52.0,58.0,60.0,59.0,57.0
118,28.0,33.0,11.0,173.0,508.0,23.0,29.0,9.0,0.0,4.0,521.0,1.0,38.0,13.0,100.0,50.0,46.0,60.0,99.0,49.0,71.0,52.0,57.0,17.0,51.0,58.0,53.0,59.0,65.0,66.0
167,28.0,3.0,12.0,29.0,510.0,26.0,4.0,442.0,8.0,38.0,522.0,43.0,564.0,42.0,99.0,47.0,45.0,97.0,95.0,46.0,94.0,51.0,55.0,16.0,49.0,56.0,52.0,58.0,60.0,61.0
216,29.0,18.0,12.0,19.0,510.0,24.0,5.0,2.0,0.0,4.0,34.0,31.0,42.0,7.0,71.0,47.0,49.0,52.0,57.0,45.0,69.0,50.0,55.0,96.0,48.0,56.0,68.0,58.0,59.0,60.0
265,41.0,4.0,16.0,17.0,24.0,3.0,355.0,458.0,32.0,8.0,38.0,0.0,2.0,300.0,47.0,15.0,18.0,46.0,45.0,59.0,48.0,50.0,55.0,62.0,53.0,57.0,54.0,58.0,42.0,56.0
314,1.0,2.0,467.0,29.0,4.0,194.0,23.0,463.0,362.0,545.0,521.0,561.0,564.0,296.0,44.0,13.0,46.0,55.0,41.0,47.0,40.0,48.0,50.0,56.0,45.0,51.0,49.0,52.0,53.0,54.0
363,10.0,35.0,468.0,1.0,508.0,194.0,2.0,0.0,12.0,40.0,522.0,561.0,25.0,298.0,62.0,27.0,67.0,66.0,65.0,68.0,64.0,74.0,155.0,58.0,19.0,106.0,105.0,141.0,142.0,144.0
412,25.0,3.0,466.0,1.0,13.0,6.0,31.0,0.0,36.0,5.0,522.0,33.0,42.0,41.0,88.0,58.0,48.0,21.0,46.0,45.0,56.0,52.0,55.0,82.0,50.0,57.0,54.0,49.0,53.0,51.0
461,3.0,569.0,11.0,18.0,509.0,193.0,28.0,8.0,328.0,6.0,1.0,4.0,565.0,12.0,69.0,46.0,47.0,48.0,55.0,51.0,95.0,66.0,53.0,15.0,50.0,57.0,54.0,58.0,61.0,62.0
