,CD49b,Porin,Caspase-7_cleavedD198,C-Raf_pS338,eEF2,Akt_pS473,Src,IRS1,AR,GATA3,p21,Acetyl-a-Tubulin (Lys40),ACC1,Cyclin_E2,MIG-6,alpha-Catenin,P-Cadherin,Collagen_VI,IGFBP2,Rad50,Bcl-2,4E-BP1_pT70,TTF1,Akt,AMPK_pT172,VAV1,p62 Lck ligand,STAT5-alpha,p90RSK_pT359_S363,Gab2
4,3.0,0.0,31.0,25.0,79.0,2.0,29.0,87.0,1.0,7.0,39.0,89.0,19.0,122.0,4.0,15.0,22.0,116.0,64.0,80.0,105.0,26.0,18.0,10.0,102.0,47.0,55.0,11.0,137.0,71.0
53,6.0,1.0,4.0,2.0,32.0,5.0,16.0,24.0,10.0,48.0,89.0,115.0,15.0,102.0,11.0,25.0,21.0,91.0,130.0,57.0,107.0,86.0,9.0,12.0,55.0,3.0,46.0,69.0,131.0,95.0
102,0.0,3.0,15.0,4.0,31.0,10.0,2.0,45.0,5.0,16.0,77.0,29.0,1.0,95.0,19.0,7.0,34.0,13.0,54.0,157.0,91.0,6.0,61.0,8.0,11.0,44.0,42.0,21.0,134.0,27.0
151,7.0,2.0,0.0,3.0,101.0,9.0,5.0,132.0,4.0,8.0,31.0,62.0,19.0,146.0,12.0,57.0,10.0,43.0,28.0,32.0,50.0,23.0,111.0,37.0,70.0,30.0,63.0,35.0,103.0,80.0
200,3.0,0.0,7.0,1.0,6.0,19.0,15.0,16.0,8.0,70.0,14.0,5.0,12.0,62.0,2.0,20.0,13.0,110.0,58.0,133.0,41.0,51.0,109.0,34.0,143.0,11.0,67.0,9.0,76.0,113.0
249,4.0,0.0,3.0,20.0,2.0,5.0,22.0,45.0,19.0,42.0,44.0,8.0,9.0,32.0,38.0,24.0,11.0,46.0,28.0,33.0,57.0,73.0,63.0,15.0,100.0,86.0,30.0,18.0,6.0,121.0
298,2.0,0.0,4.0,49.0,1.0,115.0,57.0,77.0,17.0,8.0,5.0,3.0,76.0,93.0,29.0,122.0,10.0,42.0,87.0,47.0,20.0,48.0,108.0,9.0,136.0,15.0,52.0,46.0,68.0,92.0
347,1.0,0.0,3.0,8.0,7.0,20.0,26.0,102.0,15.0,49.0,53.0,23.0,31.0,2.0,5.0,76.0,4.0,14.0,32.0,71.0,9.0,88.0,59.0,19.0,56.0,36.0,79.0,6.0,66.0,37.0
396,3.0,1.0,2.0,6.0,21.0,0.0,43.0,78.0,5.0,51.0,74.0,22.0,4.0,52.0,13.0,65.0,57.0,110.0,14.0,18.0,27.0,25.0,66.0,39.0,76.0,99.0,28.0,58.0,50.0,17.0
445,19.0,0.0,3.0,49.0,32.0,11.0,27.0,73.0,2.0,90.0,5.0,67.0,12.0,13.0,4.0,18.0,1.0,21.0,65.0,133.0,60.0,23.0,135.0,7.0,107.0,24.0,86.0,6.0,52.0,81.0
494,1.0,20.0,22.0,2.0,5.0,0.0,4.0,3.0,44.0,11.0,14.0,15.0,97.0,137.0,129.0,71.0,73.0,29.0,6.0,42.0,38.0,31.0,53.0,104.0,8.0,18.0,43.0,25.0,30.0,62.0
543,0.0,3.0,7.0,25.0,35.0,30.0,57.0,1.0,75.0,2.0,87.0,34.0,33.0,70.0,17.0,41.0,18.0,36.0,29.0,8.0,50.0,86.0,23.0,137.0,4.0,154.0,46.0,139.0,47.0,12.0
592,0.0,12.0,20.0,3.0,7.0,2.0,17.0,4.0,5.0,24.0,45.0,81.0,75.0,1.0,22.0,129.0,43.0,59.0,40.0,15.0,84.0,103.0,9.0,101.0,127.0,151.0,32.0,58.0,6.0,95.0
