,EDA2R,DDB2,NDN,PTPN13,PHLDA3,SNX18P16,CFH,FAM101A,EMB,ZMAT3,CITED4,FOXJ1,FDXR,LINC01021,TRIM22,TLE4,BHLHE41,TGFA,EVC2,PCDHB17,DGKA,RASSF9,PRR16,TUSC3,BAX,LINC00942,PCDHB6,ANKRD19P,HIST2H2BB,ST6GALNAC5
9,37.0,1.0,4.0,12.0,15.0,7.0,22.0,20.0,0.0,14.0,2.0,3.0,8.0,21.0,9.0,33.0,30.0,19.0,2093.0,26.0,80.0,27.0,29.0,124.0,36.0,50.0,85.0,107.0,196.0,31.0
58,88.0,0.0,5.0,3.0,31.0,18.0,11.0,126.0,8.0,21.0,1.0,19.0,9.0,86.0,10.0,2.0,14.0,80.0,894.0,22.0,43.0,30.0,193.0,641.0,58.0,163.0,258.0,41.0,66.0,6.0
107,1.0,2.0,0.0,5.0,3.0,11.0,12.0,7.0,87.0,23.0,16.0,40.0,6.0,9.0,33.0,19.0,4.0,31.0,582.0,28.0,22.0,17.0,440.0,375.0,45.0,72.0,70.0,393.0,21.0,545.0
156,77.0,1.0,12.0,6.0,10.0,5.0,7.0,68.0,32.0,51.0,0.0,2.0,36.0,31.0,9.0,95.0,3.0,8.0,216.0,85.0,174.0,11.0,40.0,1001.0,188.0,25.0,157.0,795.0,34.0,70.0
205,30.0,4.0,0.0,2.0,21.0,1.0,17.0,23.0,15.0,28.0,3.0,31.0,14.0,10.0,19.0,5.0,22.0,16.0,312.0,7.0,59.0,102.0,46.0,489.0,270.0,54.0,98.0,996.0,1324.0,154.0
254,49.0,2.0,28.0,6.0,1.0,4.0,39.0,24.0,5.0,14.0,9.0,21.0,20.0,132.0,44.0,0.0,29.0,22.0,947.0,31.0,71.0,10.0,42.0,297.0,37.0,7.0,17.0,173.0,82.0,56.0
303,52.0,21.0,0.0,18.0,23.0,8.0,6.0,31.0,3.0,14.0,69.0,16.0,29.0,58.0,13.0,2.0,7.0,97.0,328.0,282.0,142.0,1.0,46.0,186.0,44.0,10.0,710.0,336.0,41.0,122.0
352,154.0,7.0,4.0,3.0,42.0,10.0,32.0,26.0,1.0,23.0,0.0,12.0,224.0,36.0,5.0,111.0,22.0,34.0,752.0,8.0,37.0,19.0,122.0,3108.0,243.0,140.0,31.0,274.0,139.0,29.0
401,25.0,2.0,0.0,11.0,10.0,28.0,7.0,8.0,6.0,254.0,1.0,13.0,40.0,35.0,22.0,47.0,5.0,108.0,1261.0,130.0,29.0,4.0,34.0,467.0,86.0,222.0,203.0,230.0,15.0,12.0
450,51.0,5.0,4.0,10.0,40.0,6.0,35.0,1.0,3.0,20.0,0.0,18.0,48.0,66.0,24.0,42.0,72.0,13.0,254.0,22.0,74.0,11.0,386.0,1365.0,176.0,7.0,43.0,623.0,137.0,23.0
