,BRAF_MUT,BRAF.V600E_MUT,BRAF.MC_MUT,KRAS.G12_13_MUT,ERBB4_DEL,KRAS_MUT,LOC284344_DEL,NRAS_MUT,RAD50_MUT,GSTM1_DEL,OR4M2_DEL,LOC727924_DEL,TTN_MUT,PSG4_DEL,NPB_AMP,SIRT7_AMP,OR4N4_DEL,EYA1_DEL,NR2F2_DEL,ANAPC11_AMP,LCE1D_DEL,DOCK10_AMP,CDC73_DEL,LRRC37A2_AMP,PRODH_DEL,OR2A7_AMP,FRMPD2P1_AMP,NSFP1_DEL,GOLGA8A_DEL,MIR4635_AMP
567,1.0,0.0,90.0,1317.0,2.0,2907.0,19.0,1396.0,54.0,258.0,304.0,999.0,16950.0,2698.0,14108.0,650.0,1439.0,33.0,463.0,133.0,95.0,1517.0,103.0,116.0,5.0,2366.0,24053.0,528.0,6921.0,16349.0
616,1.0,0.0,146.0,13.0,114.0,29.0,533.0,120.0,116.0,1839.0,564.0,517.0,459.0,23.0,456.0,261.0,2769.0,5010.0,8047.0,136.0,540.0,7.0,7269.0,1452.0,2067.0,634.0,2003.0,363.0,478.0,434.0
665,1.0,0.0,31.0,44.0,2.0,182.0,3.0,169.0,14.0,5.0,630.0,126.0,919.0,433.0,1113.0,22.0,699.0,9.0,8035.0,18.0,61.0,2342.0,2784.0,2413.0,1006.0,15471.0,2148.0,312.0,104.0,430.0
714,0.0,1.0,57.0,7.0,4.0,114.0,109.0,5.0,16589.0,210.0,2.0,1010.0,17018.0,1336.0,124.0,14694.0,20.0,19.0,257.0,10.0,493.0,2303.0,821.0,14806.0,12406.0,8.0,302.0,28.0,2538.0,16053.0
763,0.0,1.0,95.0,117.0,82.0,4.0,278.0,16548.0,653.0,8.0,92.0,54.0,1217.0,39.0,14128.0,14664.0,790.0,7236.0,752.0,31.0,124.0,205.0,9847.0,14448.0,624.0,167.0,1432.0,9.0,7683.0,16343.0
812,0.0,1.0,2.0,7.0,45.0,25.0,686.0,3285.0,74.0,15.0,614.0,11.0,19064.0,1400.0,17859.0,193.0,2778.0,17.0,8522.0,14640.0,150.0,689.0,897.0,2765.0,10743.0,13529.0,20.0,520.0,6191.0,16626.0
861,0.0,1.0,5.0,2.0,3.0,4.0,417.0,1843.0,123.0,2936.0,428.0,184.0,1053.0,69.0,13950.0,689.0,782.0,7286.0,9651.0,480.0,763.0,22553.0,8948.0,14382.0,20.0,2220.0,79.0,10116.0,2793.0,1449.0
910,0.0,1.0,94.0,3.0,2.0,98.0,17.0,158.0,1599.0,2991.0,1214.0,57.0,17055.0,73.0,13931.0,274.0,55.0,2707.0,9720.0,619.0,36.0,1271.0,9179.0,14392.0,29.0,2718.0,1279.0,1439.0,7530.0,2151.0
959,0.0,1.0,7.0,2.0,3.0,204.0,1942.0,16555.0,16616.0,964.0,1268.0,5.0,17066.0,12282.0,161.0,295.0,6441.0,58.0,799.0,23.0,3644.0,28.0,7973.0,14370.0,95.0,174.0,1299.0,1287.0,462.0,524.0
1008,0.0,1.0,6.0,3.0,8.0,2.0,499.0,54.0,637.0,5.0,717.0,647.0,2756.0,7.0,13.0,126.0,6284.0,1418.0,961.0,14754.0,4028.0,15.0,850.0,2720.0,17.0,57.0,2750.0,473.0,2254.0,16310.0
1057,0.0,1.0,15.0,32.0,6.0,2.0,240.0,1624.0,1573.0,204.0,3.0,8641.0,4.0,266.0,40.0,253.0,6292.0,189.0,35.0,23.0,478.0,16.0,2660.0,14856.0,311.0,1228.0,187.0,8358.0,306.0,269.0
1106,0.0,2.0,19.0,1.0,9.0,10.0,4.0,28.0,16590.0,1280.0,2631.0,765.0,6.0,5.0,211.0,11.0,6195.0,2347.0,1697.0,14748.0,1100.0,273.0,620.0,534.0,289.0,173.0,1377.0,2663.0,13.0,16294.0
1155,0.0,2.0,166.0,3.0,6.0,158.0,723.0,16492.0,20.0,2676.0,132.0,1139.0,12.0,4.0,1646.0,31.0,3286.0,1516.0,98.0,294.0,125.0,1.0,729.0,14336.0,301.0,26.0,252.0,9682.0,2690.0,1069.0
1204,0.0,2.0,1.0,4.0,13.0,413.0,63.0,9.0,773.0,1101.0,394.0,18.0,1496.0,7.0,170.0,89.0,7226.0,688.0,614.0,2234.0,3018.0,140.0,26.0,14425.0,12418.0,2786.0,24089.0,17.0,195.0,16293.0
