,BRAF_MUT,BRAF.V600E_MUT,BRAF.MC_MUT,KRAS.G12_13_MUT,ERBB4_DEL,KRAS_MUT,LOC284344_DEL,NRAS_MUT,RAD50_MUT,GSTM1_DEL,OR4M2_DEL,LOC727924_DEL,TTN_MUT,PSG4_DEL,NPB_AMP,SIRT7_AMP,OR4N4_DEL,EYA1_DEL,NR2F2_DEL,ANAPC11_AMP,LCE1D_DEL,DOCK10_AMP,CDC73_DEL,LRRC37A2_AMP,PRODH_DEL,OR2A7_AMP,FRMPD2P1_AMP,NSFP1_DEL,GOLGA8A_DEL,MIR4635_AMP
4193,0.0,1.0,54.0,2.0,937.0,234.0,2896.0,110.0,3.0,3121.0,1466.0,100.0,48.0,2546.0,11.0,14765.0,3787.0,324.0,10281.0,14660.0,5072.0,22628.0,228.0,14450.0,276.0,1407.0,2696.0,1326.0,309.0,2404.0
4242,0.0,1.0,2.0,30.0,5.0,861.0,2260.0,50.0,100.0,3036.0,368.0,36.0,27.0,77.0,6.0,990.0,228.0,4977.0,8461.0,14638.0,18.0,533.0,7964.0,164.0,615.0,12.0,648.0,7529.0,846.0,145.0
4291,0.0,1.0,4.0,440.0,179.0,3.0,1414.0,667.0,11.0,722.0,327.0,351.0,115.0,276.0,159.0,818.0,6325.0,2746.0,2447.0,14774.0,2725.0,790.0,1394.0,64.0,12425.0,198.0,730.0,271.0,92.0,16320.0
4340,1.0,0.0,180.0,2.0,6.0,29.0,44.0,1717.0,992.0,353.0,373.0,51.0,2679.0,1258.0,57.0,14789.0,204.0,2754.0,7589.0,14784.0,4180.0,2804.0,700.0,14391.0,418.0,7.0,49.0,677.0,336.0,229.0
4389,1.0,0.0,10.0,11.0,5.0,713.0,92.0,4.0,896.0,1018.0,3506.0,33.0,17052.0,61.0,219.0,586.0,6478.0,121.0,817.0,805.0,4003.0,761.0,330.0,3.0,507.0,259.0,84.0,55.0,38.0,42.0
4438,0.0,1.0,437.0,88.0,1033.0,2467.0,2.0,11.0,1474.0,2152.0,68.0,964.0,58.0,18.0,72.0,14765.0,3.0,4915.0,338.0,227.0,1630.0,22557.0,499.0,7.0,2646.0,168.0,6.0,16.0,8.0,16320.0
4487,1.0,0.0,282.0,24134.0,719.0,16375.0,5.0,37.0,16600.0,24.0,109.0,2664.0,17035.0,800.0,13946.0,14744.0,17.0,15.0,1705.0,14748.0,156.0,22556.0,27.0,14348.0,2070.0,299.0,140.0,4.0,108.0,797.0
4536,1.0,0.0,65.0,43.0,5117.0,21.0,631.0,37.0,24.0,3326.0,42.0,238.0,569.0,1478.0,66.0,63.0,2.0,6.0,7995.0,257.0,3886.0,22560.0,578.0,17.0,12422.0,15469.0,588.0,162.0,95.0,16363.0
4585,0.0,1.0,528.0,156.0,63.0,16401.0,6160.0,699.0,16629.0,37.0,18.0,8610.0,17095.0,70.0,105.0,14779.0,6059.0,698.0,8043.0,603.0,676.0,22595.0,540.0,36.0,12478.0,15478.0,658.0,175.0,5744.0,16333.0
4634,1.0,0.0,5.0,7.0,478.0,1073.0,71.0,104.0,1649.0,462.0,90.0,1861.0,2720.0,188.0,256.0,14784.0,1327.0,7085.0,9699.0,44.0,4784.0,554.0,546.0,201.0,12107.0,15460.0,578.0,2743.0,7391.0,29.0
4683,0.0,1.0,4.0,18.0,1378.0,16409.0,2462.0,75.0,16605.0,21.0,1519.0,2707.0,2210.0,12181.0,109.0,14778.0,233.0,2708.0,497.0,378.0,3998.0,2444.0,44.0,14348.0,882.0,7.0,2795.0,1421.0,208.0,2670.0
4732,1.0,0.0,3.0,503.0,72.0,2738.0,1512.0,18.0,16623.0,124.0,162.0,602.0,211.0,16.0,70.0,14658.0,39.0,885.0,1772.0,14670.0,667.0,22623.0,2088.0,14446.0,680.0,26.0,12.0,25.0,1147.0,52.0
4781,0.0,1.0,10.0,2717.0,125.0,559.0,6320.0,16517.0,918.0,2936.0,2274.0,288.0,2327.0,66.0,25.0,593.0,2455.0,626.0,1626.0,14755.0,250.0,22556.0,7258.0,41.0,12320.0,7.0,188.0,8467.0,1386.0,2743.0
4830,0.0,1.0,7.0,3.0,42.0,16393.0,111.0,295.0,710.0,103.0,4708.0,10.0,102.0,14.0,78.0,14633.0,6224.0,23.0,685.0,45.0,3194.0,22597.0,87.0,85.0,255.0,15366.0,24114.0,1172.0,868.0,1404.0
4879,1.0,0.0,23.0,5.0,338.0,1822.0,1191.0,415.0,669.0,139.0,69.0,2685.0,58.0,513.0,72.0,446.0,2515.0,56.0,626.0,389.0,4968.0,22593.0,282.0,201.0,1364.0,2.0,24081.0,653.0,7616.0,16311.0
