,FGF1_AMP,OAZ3_AMP,SNORA14B_AMP,TOMM20_AMP,LOC439994_DEL,RGPD4_AMP,ZAN_DEL,DIAPH2_DEL,MCL1_AMP,RABGAP1L_DEL,RFX5_AMP,RBM34_AMP,SNX27_AMP,RBFOX1_AMP,C1orf56_AMP,BRAF.MC_MUT,ADAMTSL4_AMP,SCNM1_AMP,SNX29_DEL,TNK2_MUT,RASA4_DEL,TYW1_DEL,TAG_DEL,IGFBP3_AMP,FAM86DP_DEL,LOC440300_DEL,LYSMD1_AMP,PRKD1_MUT,LINC00226_AMP,OR2T27_DEL
28,6.0,48.0,1795.0,19613.0,841.0,718.0,17.0,126.0,49.0,9498.0,842.0,18408.0,261.0,2.0,248.0,416.0,14836.0,23526.0,9065.0,29.0,20963.0,7.0,1492.0,89.0,480.0,2385.0,13255.0,32.0,14213.0,45.0
77,17701.0,5.0,23673.0,19802.0,130.0,2537.0,555.0,48.0,78.0,231.0,224.0,768.0,154.0,271.0,1.0,2.0,15006.0,86.0,8869.0,9379.0,20751.0,10.0,4508.0,13686.0,272.0,247.0,27.0,188.0,2819.0,26.0
126,197.0,35.0,928.0,19592.0,4112.0,2742.0,146.0,250.0,17.0,9162.0,329.0,13653.0,23319.0,22310.0,72.0,9118.0,8.0,1425.0,1085.0,10.0,15.0,118.0,2638.0,15027.0,224.0,3280.0,299.0,16500.0,2655.0,636.0
175,13614.0,11.0,170.0,428.0,25.0,239.0,7.0,5364.0,6.0,1426.0,29.0,13702.0,19.0,1.0,67.0,37.0,17.0,141.0,8627.0,488.0,4.0,321.0,4417.0,91.0,7919.0,66.0,144.0,60.0,15167.0,4481.0
224,11.0,14788.0,112.0,434.0,260.0,2716.0,29.0,20.0,14487.0,139.0,21476.0,441.0,490.0,14.0,191.0,720.0,327.0,177.0,347.0,2.0,517.0,10475.0,269.0,19.0,7981.0,1776.0,126.0,1636.0,1415.0,2141.0
273,13884.0,55.0,1.0,87.0,12.0,40.0,281.0,47.0,137.0,2150.0,79.0,2047.0,173.0,69.0,70.0,918.0,424.0,2.0,717.0,630.0,21187.0,728.0,2736.0,74.0,1965.0,14.0,7.0,1644.0,244.0,4635.0
322,17.0,74.0,582.0,544.0,11510.0,2658.0,188.0,5818.0,120.0,81.0,726.0,13564.0,76.0,0.0,51.0,6076.0,22349.0,62.0,9.0,68.0,1120.0,10.0,31.0,247.0,509.0,443.0,15543.0,234.0,914.0,1135.0
371,20.0,13.0,1766.0,439.0,530.0,37.0,27.0,108.0,82.0,9149.0,19.0,13735.0,52.0,2.0,0.0,23.0,22.0,1.0,654.0,4.0,143.0,10450.0,1119.0,560.0,1367.0,151.0,455.0,76.0,15202.0,3889.0
420,275.0,904.0,968.0,632.0,2.0,13417.0,8467.0,4470.0,31.0,2759.0,21412.0,101.0,37.0,876.0,27.0,9104.0,258.0,97.0,8655.0,635.0,74.0,282.0,770.0,503.0,1.0,21.0,15557.0,1315.0,46.0,598.0
469,43.0,78.0,2195.0,19553.0,3314.0,259.0,2514.0,5549.0,24.0,36.0,394.0,873.0,45.0,70.0,18.0,209.0,17.0,2.0,8641.0,1400.0,21298.0,19.0,2001.0,784.0,8.0,3419.0,120.0,12.0,170.0,733.0
