,C36:1 DAG,C22:6 LPE,inositol,C22:6 CE,C20:4 CE,5-HIAA,GABA,guanosine,3-phosphoglycerate,2-deoxycytidine,pantothenate,alpha-glycerophosphate,taurodeoxycholate,C16:0 LPE,C36:4 PC-B,DHAP/glyceraldehyde 3P,cystathionine,glutamine,inosine,homocysteine,creatine,PEP,C34:4 PC,C34:2 DAG,sarcosine,putrescine,C22:6 LPC,hypoxanthine,serotonin,cytidine
21,1.0,5.0,19.0,30.0,7.0,8.0,35.0,2.0,0.0,9.0,16.0,11.0,20.0,4.0,13.0,56.0,3.0,41.0,40.0,47.0,17.0,6.0,38.0,45.0,52.0,57.0,12.0,59.0,22.0,33.0
70,2.0,36.0,3.0,45.0,14.0,7.0,8.0,1.0,4.0,0.0,19.0,5.0,48.0,23.0,46.0,22.0,9.0,13.0,18.0,10.0,16.0,6.0,35.0,43.0,12.0,30.0,42.0,24.0,60.0,29.0
119,0.0,7.0,1.0,52.0,11.0,8.0,2.0,12.0,3.0,6.0,35.0,13.0,21.0,24.0,38.0,19.0,4.0,5.0,44.0,22.0,9.0,14.0,56.0,49.0,18.0,53.0,39.0,10.0,20.0,33.0
168,4.0,38.0,20.0,30.0,46.0,23.0,28.0,7.0,1.0,6.0,3.0,29.0,0.0,2.0,64.0,21.0,10.0,22.0,14.0,49.0,11.0,5.0,18.0,27.0,45.0,54.0,32.0,19.0,12.0,39.0
217,24.0,1.0,0.0,34.0,41.0,2.0,12.0,27.0,19.0,18.0,10.0,20.0,17.0,45.0,5.0,9.0,6.0,3.0,26.0,11.0,14.0,4.0,15.0,22.0,43.0,46.0,35.0,21.0,8.0,59.0
266,0.0,12.0,1.0,22.0,27.0,16.0,8.0,3.0,10.0,17.0,11.0,19.0,13.0,7.0,35.0,46.0,2.0,6.0,23.0,5.0,18.0,4.0,9.0,41.0,34.0,33.0,54.0,66.0,20.0,51.0
315,7.0,4.0,2.0,33.0,5.0,16.0,1.0,6.0,11.0,15.0,14.0,10.0,23.0,53.0,8.0,13.0,21.0,3.0,18.0,45.0,26.0,12.0,46.0,28.0,31.0,20.0,62.0,0.0,38.0,27.0
364,3.0,4.0,7.0,8.0,14.0,12.0,1.0,38.0,28.0,51.0,5.0,0.0,20.0,55.0,2.0,9.0,6.0,13.0,21.0,40.0,17.0,35.0,27.0,29.0,10.0,39.0,52.0,59.0,23.0,34.0
413,9.0,3.0,8.0,35.0,15.0,13.0,22.0,38.0,21.0,14.0,16.0,5.0,27.0,4.0,10.0,28.0,6.0,1.0,47.0,25.0,29.0,2.0,31.0,23.0,18.0,43.0,60.0,24.0,11.0,39.0
462,9.0,3.0,20.0,63.0,21.0,0.0,12.0,2.0,10.0,29.0,6.0,25.0,24.0,15.0,14.0,37.0,4.0,11.0,30.0,35.0,5.0,1.0,23.0,56.0,49.0,18.0,55.0,51.0,40.0,31.0
511,15.0,50.0,8.0,4.0,21.0,12.0,9.0,14.0,7.0,0.0,3.0,26.0,5.0,2.0,6.0,27.0,11.0,55.0,1.0,10.0,46.0,40.0,23.0,38.0,61.0,17.0,37.0,34.0,24.0,25.0
560,3.0,34.0,36.0,2.0,42.0,0.0,5.0,4.0,14.0,11.0,1.0,10.0,7.0,23.0,6.0,13.0,9.0,39.0,16.0,15.0,32.0,55.0,26.0,12.0,8.0,25.0,35.0,40.0,56.0,29.0
609,6.0,7.0,21.0,13.0,9.0,3.0,1.0,17.0,22.0,16.0,2.0,0.0,4.0,5.0,10.0,23.0,28.0,8.0,24.0,45.0,39.0,15.0,29.0,47.0,52.0,33.0,18.0,11.0,64.0,14.0
658,0.0,20.0,7.0,12.0,29.0,14.0,2.0,19.0,36.0,10.0,18.0,16.0,5.0,32.0,1.0,55.0,44.0,40.0,8.0,13.0,34.0,56.0,15.0,33.0,11.0,9.0,4.0,24.0,58.0,53.0
707,54.0,14.0,8.0,0.0,6.0,11.0,12.0,25.0,10.0,3.0,1.0,27.0,13.0,5.0,2.0,19.0,47.0,62.0,17.0,20.0,41.0,9.0,52.0,26.0,4.0,32.0,7.0,18.0,40.0,24.0
756,10.0,13.0,7.0,2.0,14.0,49.0,11.0,6.0,0.0,19.0,12.0,1.0,8.0,4.0,15.0,42.0,9.0,21.0,5.0,20.0,18.0,3.0,17.0,24.0,16.0,33.0,22.0,25.0,64.0,37.0
805,21.0,36.0,3.0,8.0,11.0,6.0,7.0,26.0,0.0,5.0,12.0,29.0,17.0,1.0,2.0,53.0,48.0,49.0,19.0,28.0,30.0,4.0,20.0,45.0,10.0,16.0,14.0,35.0,18.0,25.0
