,LUNG,HAEMATOPOIETIC,NERVOUS,PANCREAS,OVARY,SKIN,LARGE_INTESTINE,LIVER,BREAST,URINARY,OESOPHAGUS,PLEURA,AERODIGESTIVE,STOMACH,SOFT_TISSUE,BONE,ENDOMETRIUM,GANGLIA,KIDNEY,THYROID,PROSTATE,SALIVARY,BILIARY
48,2.0,1.0,0.0,14.0,9.0,7.0,6.0,5.0,13.0,10.0,11.0,4.0,3.0,15.0,8.0,18.0,12.0,16.0,17.0,19.0,20.0,21.0,22.0
97,1.0,9.0,0.0,15.0,10.0,7.0,6.0,5.0,3.0,14.0,12.0,4.0,2.0,11.0,16.0,18.0,13.0,8.0,17.0,19.0,20.0,21.0,22.0
146,1.0,0.0,3.0,5.0,4.0,6.0,7.0,9.0,12.0,2.0,8.0,10.0,11.0,15.0,14.0,16.0,13.0,17.0,19.0,18.0,20.0,21.0,22.0
195,3.0,2.0,6.0,19.0,9.0,1.0,0.0,11.0,14.0,7.0,10.0,4.0,15.0,8.0,5.0,12.0,13.0,16.0,17.0,18.0,20.0,21.0,22.0
244,13.0,1.0,5.0,6.0,0.0,7.0,8.0,10.0,9.0,4.0,15.0,16.0,11.0,3.0,2.0,14.0,12.0,19.0,18.0,17.0,20.0,21.0,22.0
293,0.0,10.0,7.0,1.0,6.0,13.0,4.0,2.0,16.0,8.0,3.0,14.0,17.0,9.0,5.0,19.0,15.0,11.0,12.0,18.0,20.0,21.0,22.0
342,2.0,1.0,9.0,3.0,8.0,6.0,5.0,12.0,4.0,0.0,11.0,14.0,18.0,10.0,16.0,13.0,15.0,7.0,17.0,19.0,20.0,21.0,22.0
391,14.0,1.0,0.0,11.0,5.0,6.0,7.0,8.0,12.0,4.0,15.0,9.0,10.0,3.0,2.0,16.0,13.0,17.0,19.0,18.0,20.0,21.0,22.0
440,0.0,7.0,8.0,16.0,12.0,4.0,11.0,2.0,17.0,9.0,5.0,1.0,3.0,10.0,6.0,14.0,15.0,13.0,18.0,20.0,19.0,21.0,22.0
489,1.0,8.0,9.0,16.0,11.0,6.0,0.0,4.0,15.0,13.0,5.0,3.0,2.0,17.0,7.0,12.0,14.0,10.0,18.0,19.0,20.0,21.0,22.0
538,0.0,11.0,1.0,2.0,9.0,7.0,6.0,4.0,14.0,10.0,5.0,3.0,15.0,18.0,16.0,12.0,13.0,8.0,17.0,19.0,20.0,21.0,22.0
587,2.0,7.0,5.0,3.0,6.0,10.0,0.0,1.0,8.0,4.0,11.0,12.0,18.0,17.0,13.0,19.0,9.0,14.0,16.0,15.0,20.0,21.0,22.0
636,2.0,0.0,1.0,9.0,15.0,4.0,5.0,7.0,10.0,3.0,13.0,6.0,8.0,16.0,12.0,17.0,11.0,18.0,14.0,19.0,20.0,21.0,22.0
685,17.0,8.0,10.0,1.0,9.0,12.0,6.0,4.0,2.0,11.0,5.0,3.0,16.0,15.0,0.0,14.0,18.0,7.0,13.0,19.0,20.0,21.0,22.0
734,13.0,0.0,4.0,1.0,5.0,14.0,7.0,9.0,6.0,3.0,8.0,10.0,11.0,19.0,16.0,15.0,12.0,2.0,18.0,17.0,20.0,21.0,22.0
783,3.0,2.0,0.0,4.0,10.0,15.0,7.0,1.0,13.0,9.0,6.0,5.0,14.0,19.0,8.0,11.0,12.0,16.0,18.0,17.0,20.0,21.0,22.0
832,2.0,10.0,13.0,3.0,11.0,15.0,16.0,1.0,0.0,14.0,9.0,5.0,12.0,18.0,8.0,6.0,4.0,7.0,17.0,20.0,19.0,21.0,22.0
881,0.0,4.0,14.0,2.0,3.0,6.0,16.0,9.0,12.0,1.0,8.0,7.0,11.0,15.0,13.0,10.0,5.0,19.0,18.0,17.0,20.0,21.0,22.0
930,0.0,9.0,11.0,1.0,10.0,7.0,6.0,5.0,2.0,15.0,13.0,14.0,16.0,18.0,8.0,4.0,3.0,12.0,17.0,19.0,20.0,21.0,22.0
979,2.0,9.0,0.0,4.0,10.0,12.0,1.0,7.0,18.0,11.0,13.0,17.0,3.0,19.0,8.0,6.0,5.0,14.0,16.0,15.0,20.0,21.0,22.0
1028,18.0,1.0,0.0,11.0,7.0,8.0,4.0,3.0,2.0,6.0,14.0,16.0,9.0,5.0,12.0,15.0,10.0,13.0,17.0,20.0,19.0,21.0,22.0
1077,0.0,2.0,5.0,14.0,3.0,7.0,4.0,8.0,1.0,6.0,10.0,12.0,11.0,13.0,9.0,17.0,18.0,16.0,15.0,20.0,19.0,21.0,22.0
1126,0.0,2.0,9.0,3.0,8.0,6.0,7.0,5.0,1.0,14.0,11.0,4.0,12.0,10.0,15.0,18.0,13.0,17.0,16.0,20.0,19.0,21.0,22.0
1175,18.0,2.0,5.0,3.0,1.0,8.0,0.0,10.0,6.0,4.0,7.0,11.0,9.0,14.0,13.0,15.0,12.0,16.0,17.0,20.0,19.0,21.0,22.0
1224,16.0,9.0,0.0,15.0,10.0,7.0,8.0,5.0,2.0,14.0,12.0,13.0,6.0,11.0,1.0,4.0,3.0,18.0,17.0,20.0,19.0,21.0,22.0
1273,17.0,13.0,1.0,3.0,8.0,6.0,7.0,5.0,0.0,9.0,10.0,4.0,11.0,16.0,2.0,14.0,15.0,12.0,18.0,20.0,19.0,21.0,22.0
1322,13.0,2.0,0.0,12.0,1.0,7.0,3.0,10.0,6.0,5.0,14.0,11.0,8.0,4.0,15.0,18.0,9.0,16.0,17.0,20.0,19.0,21.0,22.0
1371,2.0,8.0,10.0,15.0,9.0,6.0,7.0,4.0,3.0,1.0,11.0,13.0,5.0,0.0,16.0,12.0,14.0,18.0,17.0,20.0,19.0,21.0,22.0
1420,17.0,0.0,2.0,10.0,9.0,3.0,11.0,12.0,4.0,15.0,8.0,5.0,7.0,1.0,6.0,13.0,14.0,16.0,20.0,19.0,18.0,21.0,22.0
1469,0.0,8.0,1.0,18.0,2.0,5.0,7.0,4.0,3.0,9.0,6.0,13.0,10.0,15.0,17.0,12.0,14.0,11.0,16.0,20.0,19.0,21.0,22.0
1518,1.0,0.0,10.0,3.0,9.0,7.0,6.0,11.0,14.0,15.0,5.0,4.0,2.0,16.0,8.0,12.0,13.0,17.0,18.0,19.0,20.0,21.0,22.0
1567,2.0,0.0,10.0,3.0,9.0,1.0,13.0,6.0,17.0,16.0,12.0,4.0,7.0,11.0,8.0,5.0,15.0,18.0,14.0,20.0,19.0,21.0,22.0
1616,1.0,7.0,9.0,2.0,8.0,0.0,5.0,4.0,15.0,12.0,11.0,13.0,16.0,10.0,6.0,3.0,14.0,17.0,19.0,18.0,20.0,21.0,22.0
1665,2.0,9.0,0.0,4.0,1.0,10.0,11.0,7.0,5.0,14.0,17.0,6.0,3.0,15.0,8.0,12.0,13.0,16.0,19.0,18.0,20.0,21.0,22.0
1714,2.0,1.0,0.0,3.0,10.0,11.0,9.0,6.0,14.0,13.0,12.0,4.0,8.0,15.0,16.0,5.0,18.0,7.0,20.0,17.0,19.0,21.0,22.0
1763,19.0,1.0,14.0,6.0,0.0,13.0,8.0,10.0,2.0,5.0,9.0,7.0,18.0,4.0,3.0,15.0,11.0,12.0,17.0,16.0,20.0,21.0,22.0
1812,8.0,3.0,1.0,0.0,2.0,6.0,14.0,5.0,9.0,13.0,7.0,4.0,19.0,18.0,12.0,11.0,10.0,15.0,17.0,16.0,20.0,21.0,22.0
1861,12.0,0.0,4.0,1.0,5.0,6.0,7.0,9.0,18.0,3.0,8.0,16.0,10.0,13.0,2.0,14.0,11.0,15.0,19.0,17.0,20.0,21.0,22.0
1910,0.0,1.0,5.0,7.0,14.0,15.0,8.0,2.0,11.0,4.0,9.0,12.0,6.0,3.0,19.0,10.0,16.0,13.0,18.0,17.0,20.0,21.0,22.0
1959,12.0,14.0,0.0,5.0,1.0,7.0,8.0,10.0,11.0,4.0,13.0,9.0,3.0,15.0,2.0,19.0,6.0,16.0,18.0,17.0,20.0,21.0,22.0
2008,2.0,1.0,8.0,14.0,0.0,11.0,6.0,12.0,3.0,9.0,5.0,4.0,15.0,10.0,16.0,18.0,13.0,7.0,17.0,19.0,20.0,21.0,22.0
2057,1.0,0.0,9.0,15.0,8.0,6.0,12.0,4.0,14.0,10.0,5.0,3.0,2.0,11.0,16.0,18.0,13.0,7.0,17.0,19.0,20.0,21.0,22.0
2106,0.0,7.0,2.0,4.0,8.0,3.0,10.0,1.0,12.0,9.0,5.0,17.0,18.0,13.0,14.0,16.0,11.0,6.0,19.0,15.0,20.0,21.0,22.0
2155,2.0,1.0,0.0,6.0,5.0,7.0,8.0,10.0,11.0,4.0,9.0,15.0,12.0,3.0,19.0,17.0,16.0,13.0,14.0,18.0,20.0,21.0,22.0
2204,0.0,7.0,5.0,10.0,6.0,1.0,2.0,14.0,11.0,4.0,15.0,9.0,8.0,3.0,13.0,19.0,12.0,16.0,18.0,17.0,20.0,21.0,22.0
2253,0.0,8.0,1.0,13.0,9.0,6.0,2.0,11.0,12.0,10.0,5.0,4.0,3.0,14.0,15.0,17.0,18.0,7.0,16.0,19.0,20.0,21.0,22.0
2302,16.0,1.0,0.0,3.0,9.0,7.0,8.0,6.0,4.0,10.0,11.0,5.0,12.0,15.0,2.0,18.0,14.0,13.0,17.0,20.0,19.0,21.0,22.0
2351,1.0,5.0,15.0,6.0,0.0,14.0,8.0,10.0,7.0,3.0,9.0,11.0,4.0,2.0,13.0,19.0,12.0,16.0,18.0,17.0,20.0,21.0,22.0
2400,0.0,6.0,4.0,7.0,5.0,1.0,8.0,10.0,11.0,3.0,9.0,12.0,13.0,2.0,15.0,18.0,14.0,19.0,17.0,16.0,20.0,21.0,22.0
2449,13.0,5.0,4.0,10.0,1.0,7.0,2.0,9.0,6.0,0.0,14.0,12.0,8.0,3.0,18.0,21.0,11.0,17.0,16.0,15.0,19.0,20.0,22.0
2498,13.0,6.0,0.0,4.0,5.0,1.0,8.0,10.0,11.0,14.0,9.0,12.0,19.0,3.0,16.0,15.0,7.0,2.0,18.0,17.0,20.0,21.0,22.0
