,Akt_pS473,CDK1,PRAS40_pT246,Heregulin,AR,c-Jun_pS73,MEK1_pS217_S221,HER3,Acetyl-a-Tubulin (Lys40),TIGAR,Src_pY416,TFRC,FRA1,PKC-pan_BetaII_pS660,Syk,JNK2,CD49b,YB-1_pS102,Lck,Rab25,Smad3,E-Cadherin,Bax,RBM15,Annexin 1,Src_pY527,4E-BP1_pS65,Tuberin_pT1462,Src,Annexin_VII
2842,1.0,2.0,5.0,3.0,0.0,31.0,25.0,10.0,4.0,22.0,44.0,6.0,60.0,21.0,27.0,26.0,7.0,30.0,16.0,48.0,155.0,75.0,11.0,9.0,71.0,15.0,17.0,37.0,14.0,20.0
2891,0.0,6.0,8.0,1.0,2.0,29.0,5.0,9.0,4.0,62.0,28.0,14.0,24.0,7.0,58.0,144.0,17.0,3.0,12.0,15.0,113.0,19.0,114.0,11.0,127.0,97.0,40.0,41.0,43.0,10.0
2940,1.0,0.0,6.0,11.0,8.0,4.0,17.0,3.0,16.0,2.0,15.0,25.0,9.0,18.0,20.0,68.0,75.0,62.0,7.0,10.0,5.0,37.0,69.0,94.0,30.0,65.0,46.0,112.0,67.0,114.0
2989,0.0,13.0,2.0,1.0,4.0,6.0,12.0,11.0,34.0,7.0,3.0,20.0,18.0,22.0,56.0,52.0,49.0,25.0,5.0,48.0,9.0,8.0,27.0,98.0,10.0,33.0,38.0,15.0,23.0,44.0
3038,0.0,2.0,1.0,9.0,3.0,4.0,21.0,14.0,5.0,57.0,7.0,11.0,30.0,78.0,43.0,83.0,15.0,20.0,8.0,49.0,10.0,39.0,22.0,24.0,26.0,16.0,12.0,72.0,102.0,40.0
3087,0.0,10.0,2.0,1.0,8.0,6.0,12.0,11.0,4.0,13.0,3.0,7.0,28.0,139.0,18.0,20.0,19.0,30.0,5.0,59.0,9.0,39.0,15.0,52.0,78.0,17.0,21.0,51.0,32.0,33.0
3136,0.0,5.0,1.0,4.0,8.0,2.0,12.0,9.0,13.0,26.0,10.0,48.0,74.0,20.0,22.0,21.0,32.0,18.0,3.0,46.0,61.0,11.0,114.0,14.0,7.0,24.0,6.0,36.0,38.0,76.0
3185,0.0,6.0,2.0,5.0,1.0,18.0,4.0,3.0,10.0,20.0,9.0,14.0,41.0,93.0,8.0,15.0,35.0,32.0,13.0,118.0,39.0,77.0,25.0,42.0,12.0,38.0,11.0,31.0,53.0,50.0
3234,0.0,3.0,4.0,8.0,1.0,6.0,14.0,5.0,2.0,12.0,34.0,30.0,54.0,79.0,46.0,9.0,18.0,24.0,10.0,20.0,21.0,19.0,40.0,55.0,16.0,121.0,15.0,29.0,42.0,11.0
3283,0.0,1.0,2.0,4.0,12.0,3.0,20.0,7.0,6.0,21.0,8.0,18.0,23.0,46.0,5.0,25.0,15.0,33.0,14.0,11.0,110.0,28.0,16.0,61.0,26.0,44.0,24.0,80.0,125.0,68.0
3332,1.0,11.0,3.0,17.0,9.0,0.0,5.0,15.0,2.0,27.0,26.0,16.0,60.0,19.0,6.0,12.0,13.0,21.0,25.0,39.0,14.0,33.0,4.0,145.0,7.0,46.0,24.0,52.0,105.0,38.0
3381,1.0,0.0,11.0,4.0,5.0,7.0,6.0,9.0,8.0,10.0,13.0,17.0,44.0,25.0,3.0,29.0,23.0,27.0,15.0,102.0,72.0,86.0,2.0,43.0,12.0,38.0,22.0,31.0,54.0,48.0
3430,0.0,5.0,3.0,4.0,14.0,2.0,1.0,10.0,62.0,31.0,37.0,29.0,43.0,32.0,23.0,18.0,30.0,48.0,102.0,21.0,66.0,38.0,28.0,90.0,132.0,16.0,20.0,83.0,39.0,67.0
3479,0.0,7.0,3.0,1.0,27.0,2.0,5.0,20.0,18.0,44.0,110.0,55.0,16.0,8.0,23.0,11.0,6.0,49.0,47.0,13.0,43.0,14.0,10.0,25.0,15.0,26.0,82.0,4.0,34.0,35.0
3528,0.0,2.0,3.0,4.0,9.0,6.0,29.0,8.0,17.0,22.0,23.0,24.0,116.0,47.0,14.0,1.0,65.0,16.0,15.0,46.0,33.0,5.0,38.0,143.0,122.0,13.0,76.0,25.0,26.0,36.0
3577,0.0,2.0,1.0,5.0,7.0,4.0,8.0,9.0,43.0,10.0,54.0,38.0,68.0,17.0,44.0,16.0,79.0,139.0,19.0,13.0,32.0,3.0,78.0,20.0,25.0,11.0,94.0,14.0,84.0,47.0
3626,0.0,2.0,1.0,23.0,12.0,3.0,5.0,4.0,29.0,30.0,32.0,17.0,21.0,7.0,16.0,58.0,8.0,35.0,39.0,15.0,62.0,6.0,34.0,88.0,10.0,28.0,81.0,63.0,55.0,56.0
3675,2.0,1.0,6.0,10.0,3.0,0.0,4.0,5.0,8.0,11.0,57.0,12.0,40.0,23.0,22.0,58.0,36.0,41.0,21.0,65.0,17.0,14.0,35.0,28.0,33.0,18.0,43.0,151.0,34.0,25.0
3724,5.0,2.0,9.0,1.0,3.0,0.0,16.0,7.0,12.0,8.0,34.0,18.0,17.0,28.0,36.0,19.0,10.0,65.0,62.0,11.0,31.0,4.0,6.0,42.0,27.0,128.0,50.0,144.0,13.0,15.0
3773,1.0,6.0,8.0,9.0,0.0,3.0,2.0,4.0,7.0,67.0,48.0,39.0,32.0,11.0,25.0,31.0,14.0,18.0,43.0,26.0,37.0,17.0,21.0,28.0,30.0,10.0,66.0,44.0,27.0,65.0
3822,0.0,3.0,9.0,1.0,6.0,2.0,7.0,4.0,40.0,28.0,18.0,98.0,46.0,24.0,16.0,8.0,44.0,38.0,42.0,20.0,26.0,65.0,17.0,58.0,34.0,77.0,29.0,81.0,23.0,97.0
3871,0.0,11.0,1.0,6.0,3.0,4.0,5.0,2.0,24.0,28.0,86.0,21.0,17.0,9.0,20.0,12.0,16.0,117.0,70.0,10.0,13.0,8.0,82.0,43.0,23.0,44.0,32.0,35.0,52.0,31.0
3920,0.0,9.0,7.0,5.0,1.0,14.0,4.0,6.0,3.0,17.0,16.0,11.0,2.0,30.0,12.0,25.0,39.0,28.0,58.0,98.0,8.0,18.0,89.0,10.0,13.0,84.0,47.0,20.0,69.0,140.0
3969,0.0,6.0,1.0,3.0,5.0,20.0,2.0,18.0,10.0,8.0,7.0,54.0,11.0,17.0,33.0,36.0,22.0,34.0,19.0,9.0,4.0,15.0,43.0,28.0,26.0,118.0,12.0,13.0,16.0,25.0
4018,0.0,1.0,10.0,23.0,12.0,26.0,6.0,25.0,8.0,17.0,13.0,11.0,14.0,5.0,2.0,100.0,18.0,3.0,24.0,87.0,7.0,52.0,71.0,4.0,44.0,40.0,27.0,9.0,57.0,80.0
4067,0.0,2.0,5.0,6.0,1.0,15.0,3.0,10.0,27.0,38.0,19.0,12.0,37.0,77.0,23.0,24.0,36.0,9.0,39.0,41.0,7.0,18.0,73.0,17.0,138.0,21.0,4.0,31.0,14.0,13.0
4116,5.0,1.0,2.0,26.0,3.0,44.0,4.0,0.0,14.0,11.0,8.0,12.0,7.0,18.0,9.0,29.0,33.0,13.0,69.0,138.0,6.0,10.0,19.0,17.0,27.0,70.0,39.0,24.0,31.0,41.0
4165,0.0,7.0,1.0,6.0,3.0,19.0,4.0,40.0,57.0,13.0,14.0,12.0,2.0,27.0,50.0,43.0,49.0,5.0,93.0,35.0,9.0,80.0,38.0,10.0,17.0,53.0,30.0,108.0,42.0,32.0
4214,0.0,15.0,41.0,2.0,1.0,12.0,4.0,5.0,22.0,20.0,3.0,9.0,7.0,10.0,17.0,128.0,52.0,8.0,30.0,58.0,13.0,23.0,6.0,76.0,62.0,40.0,31.0,19.0,61.0,37.0
4263,0.0,4.0,5.0,10.0,15.0,17.0,1.0,3.0,2.0,11.0,18.0,21.0,14.0,7.0,13.0,31.0,69.0,9.0,24.0,25.0,6.0,19.0,39.0,34.0,16.0,64.0,51.0,8.0,68.0,58.0
4312,0.0,3.0,9.0,15.0,6.0,10.0,14.0,13.0,2.0,17.0,11.0,8.0,5.0,42.0,103.0,71.0,68.0,19.0,4.0,18.0,1.0,27.0,21.0,137.0,16.0,40.0,90.0,20.0,48.0,38.0
4361,0.0,2.0,1.0,22.0,4.0,9.0,3.0,7.0,14.0,11.0,16.0,17.0,8.0,10.0,47.0,5.0,19.0,6.0,53.0,30.0,21.0,34.0,44.0,36.0,12.0,48.0,13.0,25.0,37.0,95.0
4410,0.0,1.0,14.0,8.0,5.0,2.0,24.0,6.0,7.0,18.0,25.0,10.0,20.0,48.0,19.0,16.0,4.0,61.0,40.0,9.0,56.0,13.0,3.0,15.0,30.0,12.0,22.0,55.0,11.0,85.0
4459,0.0,10.0,4.0,1.0,5.0,2.0,8.0,6.0,13.0,36.0,25.0,80.0,12.0,30.0,3.0,43.0,11.0,9.0,34.0,7.0,126.0,19.0,18.0,22.0,17.0,15.0,26.0,46.0,16.0,102.0
4508,0.0,1.0,11.0,14.0,2.0,5.0,16.0,4.0,6.0,17.0,32.0,106.0,7.0,127.0,8.0,35.0,59.0,25.0,9.0,21.0,26.0,3.0,48.0,10.0,29.0,15.0,23.0,28.0,37.0,144.0
4557,5.0,6.0,17.0,0.0,1.0,4.0,20.0,7.0,3.0,28.0,72.0,9.0,25.0,70.0,13.0,37.0,56.0,68.0,11.0,27.0,26.0,10.0,15.0,47.0,31.0,2.0,16.0,89.0,33.0,43.0
4606,0.0,9.0,5.0,2.0,4.0,26.0,23.0,1.0,3.0,12.0,60.0,25.0,6.0,81.0,7.0,37.0,13.0,24.0,18.0,20.0,38.0,11.0,31.0,21.0,17.0,48.0,43.0,8.0,88.0,51.0
4655,0.0,12.0,11.0,1.0,4.0,2.0,37.0,3.0,5.0,31.0,127.0,8.0,35.0,43.0,6.0,23.0,79.0,19.0,25.0,36.0,29.0,9.0,7.0,17.0,16.0,28.0,48.0,18.0,40.0,50.0
4704,0.0,5.0,13.0,1.0,10.0,2.0,3.0,9.0,17.0,4.0,99.0,18.0,22.0,23.0,12.0,62.0,55.0,8.0,37.0,34.0,15.0,26.0,19.0,21.0,30.0,58.0,35.0,116.0,109.0,27.0
4753,1.0,3.0,10.0,0.0,2.0,4.0,17.0,12.0,5.0,19.0,36.0,40.0,22.0,21.0,8.0,52.0,42.0,25.0,68.0,20.0,79.0,14.0,35.0,15.0,37.0,7.0,132.0,24.0,32.0,11.0
4802,0.0,7.0,25.0,1.0,2.0,4.0,9.0,5.0,23.0,16.0,20.0,42.0,13.0,12.0,6.0,54.0,31.0,24.0,37.0,21.0,52.0,26.0,8.0,19.0,29.0,11.0,47.0,30.0,18.0,35.0
4851,2.0,0.0,9.0,1.0,3.0,7.0,8.0,14.0,11.0,22.0,44.0,25.0,10.0,127.0,5.0,85.0,21.0,32.0,113.0,28.0,29.0,53.0,20.0,17.0,19.0,18.0,81.0,24.0,47.0,39.0
