,Shc_pY317,P-Cadherin,E-Cadherin,Claudin-7,Rab25,Syk,EGFR_pY1068,VHL,Akt,EGFR,PAI-1,RSK1-2-3,p21,HER2_pY1248,AR,C-Raf(BD610151),C-Raf(MP05-739),VAV1,HER3,Lck,Annexin_VII,S6_pS235_S236,PRAS40_pT246,4E-BP1_pS65,Bim(EP1036),alpha-Catenin,SHP-2_pY542,N-Cadherin,MIG-6,GATA3
4,1.0,6.0,0.0,5.0,3.0,4.0,17.0,2.0,9.0,25.0,13.0,14.0,12.0,20.0,22.0,11.0,18.0,10.0,54.0,23.0,7.0,15.0,43.0,19.0,8.0,16.0,49.0,41.0,44.0,31.0
53,0.0,1.0,2.0,5.0,12.0,4.0,3.0,6.0,7.0,9.0,32.0,18.0,8.0,11.0,24.0,36.0,39.0,31.0,110.0,14.0,30.0,10.0,15.0,29.0,25.0,17.0,20.0,49.0,22.0,19.0
102,4.0,1.0,0.0,2.0,3.0,6.0,9.0,5.0,11.0,15.0,7.0,10.0,8.0,24.0,16.0,53.0,101.0,12.0,26.0,42.0,23.0,17.0,136.0,28.0,14.0,51.0,40.0,21.0,19.0,13.0
151,0.0,1.0,3.0,6.0,2.0,4.0,9.0,5.0,11.0,12.0,21.0,14.0,10.0,7.0,46.0,19.0,28.0,8.0,22.0,23.0,15.0,33.0,38.0,29.0,25.0,16.0,27.0,26.0,13.0,36.0
200,1.0,0.0,3.0,4.0,2.0,6.0,5.0,7.0,8.0,9.0,90.0,16.0,10.0,14.0,33.0,28.0,17.0,24.0,18.0,49.0,43.0,15.0,57.0,55.0,13.0,12.0,19.0,41.0,20.0,39.0
249,0.0,1.0,2.0,8.0,5.0,6.0,7.0,4.0,19.0,17.0,47.0,22.0,12.0,10.0,15.0,23.0,18.0,9.0,39.0,30.0,11.0,3.0,44.0,100.0,13.0,16.0,32.0,85.0,14.0,27.0
298,1.0,0.0,4.0,3.0,2.0,6.0,8.0,5.0,9.0,7.0,33.0,19.0,20.0,16.0,12.0,10.0,14.0,34.0,22.0,40.0,80.0,13.0,51.0,24.0,29.0,11.0,31.0,77.0,41.0,43.0
347,1.0,0.0,2.0,4.0,7.0,6.0,5.0,3.0,8.0,10.0,36.0,14.0,9.0,12.0,72.0,17.0,13.0,21.0,11.0,68.0,27.0,26.0,23.0,25.0,32.0,35.0,37.0,29.0,48.0,65.0
396,0.0,2.0,1.0,4.0,6.0,5.0,11.0,3.0,9.0,7.0,19.0,14.0,17.0,26.0,34.0,32.0,13.0,12.0,30.0,23.0,27.0,8.0,33.0,21.0,18.0,15.0,53.0,40.0,10.0,35.0
445,1.0,2.0,3.0,4.0,5.0,0.0,7.0,8.0,11.0,6.0,40.0,10.0,13.0,25.0,48.0,39.0,17.0,15.0,21.0,41.0,16.0,9.0,27.0,19.0,18.0,12.0,14.0,30.0,22.0,42.0
494,1.0,3.0,6.0,5.0,2.0,4.0,0.0,9.0,11.0,8.0,25.0,29.0,54.0,10.0,18.0,12.0,7.0,15.0,23.0,13.0,17.0,20.0,22.0,28.0,31.0,44.0,21.0,46.0,34.0,27.0
543,0.0,1.0,2.0,4.0,3.0,8.0,5.0,7.0,10.0,16.0,17.0,18.0,62.0,6.0,50.0,48.0,95.0,12.0,26.0,39.0,9.0,11.0,22.0,70.0,25.0,35.0,29.0,27.0,23.0,32.0
