,hsa-miR-34a,hsa-miR-222,hsa-miR-582-5p,hsa-miR-135b,hsa-miR-223,hsa-miR-10a,hsa-miR-483-3p,hsa-miR-1307,hsa-miR-877,hsa-miR-770-5p,hsa-miR-1252,hsa-miR-219-2-3p,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-31,hsa-miR-628-5p,hsa-miR-1276,hsa-miR-302f,hsa-miR-1256,hsa-miR-215,hsa-miR-581,hsa-miR-204,hsa-miR-574-5p,hsa-miR-92a,hsa-miR-192,hsa-miR-616,hsa-miR-492,hsa-miR-1197,ebv-miR-BART20-5p,hsv1-miR-H4-3p,hsa-miR-132
17,1.0,0.0,2.0,3.0,14.0,10.0,7.0,4.0,16.0,24.0,29.0,5.0,23.0,12.0,11.0,20.0,39.0,17.0,22.0,19.0,18.0,6.0,15.0,26.0,9.0,37.0,25.0,8.0,52.0,38.0
66,0.0,1.0,2.0,6.0,51.0,8.0,5.0,4.0,10.0,13.0,24.0,23.0,26.0,17.0,21.0,29.0,47.0,7.0,9.0,12.0,14.0,3.0,15.0,11.0,27.0,43.0,30.0,19.0,22.0,55.0
115,1.0,0.0,2.0,8.0,3.0,12.0,5.0,14.0,41.0,27.0,10.0,7.0,6.0,13.0,17.0,48.0,39.0,23.0,18.0,16.0,20.0,9.0,21.0,4.0,24.0,57.0,40.0,33.0,22.0,45.0
164,0.0,1.0,3.0,5.0,37.0,13.0,4.0,2.0,11.0,36.0,25.0,20.0,22.0,12.0,6.0,23.0,40.0,7.0,33.0,9.0,15.0,8.0,27.0,24.0,17.0,35.0,38.0,18.0,53.0,43.0
213,1.0,0.0,2.0,4.0,11.0,15.0,5.0,3.0,18.0,10.0,14.0,19.0,17.0,13.0,16.0,34.0,476.0,69.0,36.0,6.0,9.0,8.0,29.0,33.0,7.0,51.0,35.0,21.0,45.0,68.0
262,1.0,0.0,2.0,3.0,4.0,8.0,9.0,14.0,26.0,33.0,13.0,16.0,21.0,24.0,25.0,41.0,31.0,6.0,19.0,11.0,12.0,10.0,29.0,5.0,34.0,44.0,28.0,15.0,64.0,22.0
311,1.0,0.0,2.0,3.0,6.0,19.0,37.0,9.0,44.0,24.0,28.0,15.0,12.0,5.0,20.0,23.0,22.0,35.0,61.0,21.0,16.0,4.0,34.0,17.0,7.0,48.0,125.0,29.0,245.0,27.0
360,1.0,0.0,2.0,7.0,13.0,3.0,4.0,6.0,20.0,9.0,19.0,15.0,29.0,28.0,8.0,12.0,45.0,25.0,26.0,11.0,33.0,21.0,22.0,5.0,14.0,51.0,36.0,53.0,27.0,32.0
409,1.0,0.0,2.0,12.0,30.0,5.0,4.0,3.0,31.0,21.0,10.0,26.0,18.0,33.0,6.0,53.0,52.0,17.0,27.0,7.0,15.0,8.0,9.0,19.0,16.0,34.0,28.0,25.0,11.0,23.0
458,1.0,0.0,2.0,3.0,17.0,12.0,8.0,4.0,21.0,25.0,15.0,18.0,14.0,10.0,5.0,64.0,37.0,30.0,43.0,6.0,31.0,11.0,9.0,7.0,23.0,19.0,48.0,13.0,20.0,58.0
507,1.0,0.0,2.0,9.0,3.0,8.0,4.0,5.0,11.0,10.0,16.0,23.0,19.0,13.0,12.0,26.0,6.0,22.0,30.0,21.0,70.0,15.0,37.0,80.0,32.0,33.0,397.0,73.0,51.0,14.0
