,hsa-miR-142-5p,hsa-let-7e,hsa-miR-425,hsa-miR-223,hsa-miR-218,hsa-miR-147b,hsa-miR-1307,hsa-miR-106b,hsa-miR-642,hsa-miR-151-3p,hsa-miR-155,hsa-miR-24,hsa-miR-1977,hsa-miR-297,hsa-miR-578,hsa-miR-15b,hcmv-miR-US33-3p,hsa-miR-744,hsa-miR-630,hsa-miR-944,hsa-miR-101,hsa-miR-1248,hsa-miR-206,hsa-miR-320d,hsa-miR-769-5p,hsa-miR-133b,hsa-miR-379,hsv1-miR-H1,hsa-miR-599,hsa-miR-1245
2223,2.0,0.0,9.0,325.0,1.0,41.0,5.0,14.0,7.0,24.0,13.0,167.0,106.0,37.0,8.0,145.0,43.0,34.0,69.0,4.0,20.0,42.0,12.0,25.0,147.0,472.0,483.0,319.0,577.0,26.0
2272,1.0,0.0,240.0,103.0,2.0,289.0,28.0,8.0,5.0,13.0,84.0,272.0,6.0,258.0,64.0,16.0,12.0,38.0,44.0,10.0,18.0,21.0,281.0,251.0,238.0,17.0,54.0,288.0,7.0,263.0
2321,2.0,0.0,17.0,87.0,1.0,151.0,170.0,149.0,22.0,3.0,12.0,45.0,91.0,67.0,95.0,409.0,21.0,13.0,8.0,591.0,42.0,23.0,234.0,50.0,184.0,181.0,89.0,375.0,113.0,104.0
2370,1.0,0.0,8.0,2.0,4.0,11.0,17.0,27.0,528.0,3.0,98.0,23.0,184.0,57.0,9.0,62.0,42.0,10.0,206.0,7.0,75.0,52.0,83.0,65.0,151.0,180.0,122.0,355.0,16.0,158.0
2419,0.0,1.0,5.0,3.0,22.0,14.0,97.0,35.0,214.0,59.0,7.0,194.0,109.0,12.0,144.0,30.0,34.0,480.0,122.0,193.0,56.0,11.0,58.0,47.0,378.0,15.0,6.0,216.0,16.0,29.0
2468,1.0,0.0,80.0,2.0,88.0,12.0,19.0,18.0,7.0,5.0,112.0,50.0,48.0,9.0,20.0,170.0,131.0,35.0,282.0,181.0,3.0,44.0,550.0,41.0,186.0,38.0,10.0,523.0,83.0,52.0
2517,0.0,1.0,6.0,2.0,3.0,5.0,23.0,7.0,46.0,111.0,17.0,18.0,38.0,460.0,69.0,16.0,10.0,366.0,515.0,428.0,32.0,27.0,13.0,75.0,192.0,324.0,34.0,497.0,213.0,383.0
2566,0.0,1.0,111.0,2.0,377.0,33.0,47.0,19.0,309.0,7.0,90.0,9.0,29.0,185.0,21.0,72.0,335.0,305.0,8.0,170.0,58.0,25.0,63.0,55.0,287.0,333.0,86.0,13.0,5.0,195.0
2615,1.0,0.0,19.0,2.0,52.0,3.0,15.0,94.0,13.0,16.0,4.0,28.0,8.0,54.0,5.0,360.0,75.0,229.0,44.0,256.0,6.0,7.0,374.0,12.0,33.0,38.0,358.0,68.0,129.0,165.0
2664,0.0,2.0,3.0,1.0,133.0,7.0,51.0,136.0,20.0,39.0,4.0,15.0,14.0,27.0,11.0,10.0,12.0,26.0,288.0,5.0,30.0,28.0,70.0,49.0,197.0,13.0,29.0,35.0,6.0,159.0
2713,0.0,2.0,48.0,1.0,18.0,16.0,107.0,4.0,8.0,6.0,40.0,25.0,480.0,239.0,15.0,7.0,58.0,274.0,121.0,42.0,20.0,543.0,328.0,28.0,39.0,70.0,3.0,80.0,123.0,124.0
2762,1.0,0.0,3.0,4.0,31.0,9.0,7.0,5.0,10.0,15.0,2.0,49.0,70.0,245.0,318.0,72.0,303.0,26.0,62.0,21.0,57.0,61.0,173.0,450.0,13.0,119.0,35.0,29.0,8.0,315.0
