,LARGE_INTESTINE,GANGLIA,OVARY,HAEMATOPOIETIC,NERVOUS,BREAST,BONE,OESOPHAGUS,PANCREAS,THYROID,ENDOMETRIUM,LUNG,AERODIGESTIVE,URINARY,LIVER,SKIN,SOFT_TISSUE,STOMACH,PROSTATE,SALIVARY,PLEURA,KIDNEY,BILIARY
42,0.0,2.0,5.0,7.0,3.0,1.0,8.0,10.0,4.0,9.0,6.0,12.0,11.0,16.0,18.0,15.0,14.0,13.0,17.0,20.0,19.0,22.0,21.0
91,3.0,2.0,0.0,5.0,6.0,8.0,1.0,10.0,4.0,7.0,9.0,12.0,13.0,15.0,14.0,17.0,11.0,16.0,18.0,20.0,21.0,19.0,22.0
140,1.0,5.0,2.0,6.0,3.0,0.0,4.0,10.0,7.0,8.0,9.0,12.0,11.0,15.0,18.0,16.0,13.0,17.0,14.0,19.0,20.0,21.0,22.0
189,1.0,0.0,9.0,3.0,4.0,2.0,7.0,18.0,5.0,6.0,8.0,10.0,11.0,17.0,12.0,15.0,13.0,14.0,16.0,21.0,20.0,19.0,22.0
238,7.0,4.0,5.0,8.0,1.0,0.0,3.0,6.0,2.0,9.0,10.0,13.0,16.0,18.0,17.0,12.0,14.0,11.0,15.0,21.0,20.0,19.0,22.0
287,5.0,2.0,0.0,3.0,1.0,4.0,6.0,13.0,7.0,9.0,8.0,12.0,11.0,14.0,16.0,10.0,17.0,19.0,15.0,22.0,21.0,18.0,20.0
336,1.0,0.0,3.0,5.0,9.0,2.0,4.0,6.0,10.0,8.0,7.0,14.0,12.0,11.0,17.0,16.0,13.0,18.0,15.0,21.0,20.0,19.0,22.0
385,4.0,0.0,5.0,7.0,1.0,2.0,3.0,9.0,6.0,8.0,13.0,16.0,12.0,10.0,14.0,11.0,15.0,17.0,22.0,20.0,18.0,19.0,21.0
434,3.0,0.0,8.0,4.0,5.0,1.0,2.0,6.0,7.0,15.0,9.0,19.0,10.0,11.0,14.0,16.0,12.0,13.0,18.0,20.0,21.0,17.0,22.0
483,2.0,4.0,3.0,0.0,5.0,1.0,7.0,9.0,6.0,11.0,8.0,13.0,17.0,16.0,14.0,10.0,18.0,12.0,20.0,21.0,15.0,19.0,22.0
