,LARGE_INTESTINE,GANGLIA,OVARY,HAEMATOPOIETIC,NERVOUS,BREAST,BONE,OESOPHAGUS,PANCREAS,THYROID,ENDOMETRIUM,LUNG,AERODIGESTIVE,URINARY,LIVER,SKIN,SOFT_TISSUE,STOMACH,PROSTATE,SALIVARY,PLEURA,KIDNEY,BILIARY
532,1.0,2.0,4.0,0.0,8.0,10.0,9.0,3.0,6.0,7.0,11.0,5.0,12.0,13.0,16.0,17.0,14.0,15.0,18.0,21.0,19.0,22.0,20.0
581,2.0,0.0,3.0,1.0,6.0,7.0,5.0,4.0,13.0,8.0,10.0,14.0,9.0,16.0,11.0,12.0,15.0,18.0,22.0,19.0,20.0,21.0,17.0
630,1.0,2.0,5.0,0.0,4.0,15.0,7.0,8.0,3.0,9.0,12.0,11.0,6.0,14.0,16.0,13.0,10.0,17.0,20.0,19.0,18.0,21.0,22.0
679,1.0,0.0,7.0,2.0,3.0,15.0,4.0,5.0,6.0,13.0,10.0,9.0,8.0,11.0,17.0,12.0,14.0,16.0,19.0,22.0,18.0,20.0,21.0
728,1.0,5.0,6.0,0.0,2.0,10.0,4.0,3.0,7.0,8.0,9.0,12.0,20.0,13.0,11.0,14.0,15.0,16.0,17.0,19.0,18.0,22.0,21.0
777,5.0,1.0,6.0,0.0,2.0,10.0,13.0,3.0,4.0,9.0,12.0,7.0,8.0,14.0,16.0,15.0,11.0,17.0,19.0,18.0,20.0,22.0,21.0
826,3.0,2.0,4.0,0.0,5.0,14.0,7.0,1.0,6.0,17.0,12.0,10.0,8.0,11.0,15.0,9.0,16.0,13.0,19.0,20.0,18.0,22.0,21.0
875,2.0,0.0,3.0,1.0,5.0,11.0,6.0,4.0,9.0,7.0,8.0,12.0,13.0,10.0,14.0,15.0,17.0,20.0,19.0,18.0,16.0,21.0,22.0
924,2.0,1.0,3.0,0.0,5.0,15.0,11.0,4.0,6.0,7.0,9.0,10.0,8.0,13.0,12.0,14.0,16.0,18.0,17.0,19.0,20.0,21.0,22.0
973,3.0,2.0,4.0,0.0,1.0,13.0,6.0,5.0,7.0,8.0,14.0,10.0,11.0,9.0,15.0,16.0,17.0,12.0,19.0,18.0,21.0,22.0,20.0
1022,0.0,1.0,3.0,6.0,2.0,5.0,4.0,7.0,11.0,8.0,14.0,15.0,9.0,16.0,12.0,19.0,10.0,13.0,18.0,22.0,17.0,20.0,21.0
1071,0.0,7.0,3.0,1.0,5.0,2.0,4.0,10.0,12.0,8.0,11.0,13.0,9.0,18.0,6.0,20.0,14.0,16.0,15.0,22.0,21.0,19.0,17.0
1120,0.0,2.0,3.0,1.0,4.0,6.0,5.0,11.0,7.0,8.0,12.0,13.0,10.0,16.0,14.0,17.0,15.0,9.0,19.0,18.0,22.0,21.0,20.0
1169,0.0,1.0,2.0,5.0,7.0,3.0,4.0,10.0,9.0,11.0,12.0,13.0,6.0,16.0,8.0,20.0,15.0,14.0,18.0,17.0,22.0,21.0,19.0
1218,1.0,0.0,3.0,5.0,2.0,4.0,7.0,13.0,6.0,9.0,11.0,14.0,10.0,12.0,8.0,17.0,15.0,16.0,21.0,18.0,20.0,19.0,22.0
1267,0.0,2.0,6.0,1.0,7.0,4.0,5.0,8.0,9.0,15.0,17.0,13.0,10.0,14.0,3.0,11.0,12.0,16.0,18.0,19.0,22.0,20.0,21.0
1316,0.0,1.0,5.0,2.0,4.0,3.0,6.0,11.0,8.0,9.0,7.0,12.0,14.0,16.0,10.0,15.0,17.0,13.0,18.0,20.0,22.0,21.0,19.0
1365,0.0,1.0,6.0,2.0,8.0,4.0,3.0,5.0,17.0,7.0,9.0,12.0,11.0,10.0,16.0,13.0,15.0,14.0,19.0,21.0,20.0,18.0,22.0
1414,0.0,1.0,3.0,5.0,6.0,2.0,4.0,13.0,9.0,15.0,8.0,12.0,18.0,14.0,7.0,10.0,11.0,20.0,16.0,19.0,22.0,17.0,21.0
1463,4.0,1.0,3.0,0.0,2.0,6.0,10.0,5.0,12.0,8.0,14.0,16.0,11.0,13.0,7.0,15.0,9.0,21.0,17.0,18.0,22.0,20.0,19.0
1512,2.0,6.0,5.0,3.0,1.0,0.0,4.0,8.0,7.0,15.0,12.0,10.0,9.0,11.0,14.0,13.0,16.0,17.0,18.0,21.0,19.0,22.0,20.0
1561,0.0,3.0,2.0,1.0,4.0,5.0,6.0,9.0,8.0,14.0,12.0,7.0,15.0,11.0,10.0,13.0,16.0,20.0,18.0,19.0,21.0,17.0,22.0
1610,3.0,2.0,1.0,5.0,0.0,4.0,7.0,6.0,8.0,18.0,11.0,10.0,12.0,16.0,9.0,13.0,17.0,22.0,14.0,15.0,20.0,21.0,19.0
1659,1.0,2.0,5.0,4.0,0.0,3.0,13.0,6.0,7.0,16.0,15.0,10.0,8.0,9.0,11.0,12.0,17.0,14.0,20.0,19.0,21.0,18.0,22.0
1708,3.0,2.0,4.0,5.0,0.0,1.0,6.0,7.0,8.0,19.0,14.0,13.0,9.0,11.0,12.0,10.0,17.0,15.0,18.0,20.0,22.0,21.0,16.0
1757,4.0,1.0,3.0,2.0,5.0,0.0,7.0,6.0,8.0,17.0,16.0,9.0,12.0,10.0,11.0,13.0,14.0,15.0,20.0,21.0,22.0,19.0,18.0
1806,5.0,1.0,0.0,3.0,2.0,6.0,4.0,10.0,11.0,19.0,14.0,7.0,9.0,12.0,17.0,15.0,8.0,13.0,22.0,18.0,21.0,20.0,16.0
1855,1.0,2.0,4.0,3.0,0.0,6.0,5.0,7.0,9.0,15.0,20.0,8.0,10.0,13.0,12.0,11.0,16.0,14.0,18.0,21.0,22.0,19.0,17.0
1904,0.0,1.0,6.0,5.0,2.0,3.0,4.0,8.0,11.0,22.0,12.0,10.0,9.0,16.0,13.0,14.0,17.0,7.0,19.0,20.0,21.0,18.0,15.0
1953,5.0,0.0,2.0,4.0,1.0,6.0,3.0,15.0,7.0,18.0,10.0,9.0,11.0,13.0,12.0,8.0,16.0,17.0,19.0,21.0,22.0,20.0,14.0
2002,1.0,0.0,2.0,3.0,7.0,9.0,5.0,8.0,12.0,10.0,4.0,6.0,16.0,11.0,13.0,14.0,22.0,20.0,21.0,17.0,15.0,18.0,19.0
2051,0.0,1.0,3.0,4.0,9.0,5.0,10.0,7.0,8.0,6.0,2.0,11.0,15.0,22.0,12.0,13.0,21.0,17.0,19.0,20.0,14.0,16.0,18.0
2100,4.0,1.0,6.0,0.0,7.0,3.0,8.0,5.0,9.0,10.0,2.0,11.0,13.0,17.0,12.0,14.0,18.0,16.0,20.0,21.0,22.0,15.0,19.0
2149,0.0,1.0,2.0,7.0,3.0,6.0,9.0,5.0,8.0,10.0,4.0,11.0,17.0,20.0,14.0,12.0,19.0,13.0,22.0,15.0,16.0,21.0,18.0
2198,0.0,1.0,6.0,2.0,8.0,4.0,7.0,5.0,12.0,9.0,3.0,10.0,16.0,13.0,11.0,14.0,17.0,15.0,20.0,21.0,18.0,19.0,22.0
2247,0.0,2.0,8.0,1.0,7.0,4.0,10.0,6.0,5.0,16.0,3.0,9.0,15.0,19.0,11.0,13.0,12.0,14.0,20.0,18.0,17.0,21.0,22.0
2296,0.0,1.0,4.0,3.0,6.0,7.0,11.0,5.0,8.0,9.0,2.0,12.0,22.0,16.0,13.0,10.0,14.0,15.0,21.0,19.0,17.0,20.0,18.0
2345,0.0,3.0,6.0,5.0,1.0,2.0,9.0,7.0,8.0,10.0,4.0,11.0,14.0,15.0,16.0,13.0,17.0,12.0,20.0,19.0,18.0,22.0,21.0
2394,1.0,0.0,4.0,2.0,10.0,8.0,5.0,14.0,6.0,7.0,3.0,9.0,13.0,12.0,16.0,11.0,15.0,17.0,21.0,22.0,18.0,19.0,20.0
2443,0.0,5.0,2.0,3.0,6.0,4.0,12.0,9.0,11.0,18.0,1.0,8.0,14.0,15.0,13.0,7.0,16.0,10.0,19.0,22.0,17.0,20.0,21.0
2492,0.0,3.0,1.0,2.0,4.0,7.0,10.0,5.0,11.0,9.0,8.0,12.0,6.0,13.0,14.0,17.0,18.0,16.0,21.0,15.0,19.0,20.0,22.0
2541,1.0,2.0,3.0,0.0,4.0,5.0,9.0,6.0,16.0,7.0,10.0,14.0,8.0,12.0,13.0,20.0,18.0,11.0,22.0,17.0,21.0,15.0,19.0
2590,0.0,2.0,3.0,1.0,4.0,7.0,8.0,12.0,6.0,9.0,5.0,11.0,10.0,15.0,13.0,14.0,16.0,19.0,22.0,18.0,17.0,21.0,20.0
2639,0.0,1.0,2.0,3.0,6.0,5.0,12.0,7.0,11.0,9.0,4.0,10.0,8.0,14.0,15.0,13.0,17.0,20.0,22.0,16.0,19.0,21.0,18.0
2688,0.0,1.0,2.0,6.0,4.0,3.0,8.0,5.0,13.0,18.0,10.0,9.0,7.0,11.0,14.0,12.0,17.0,20.0,22.0,15.0,19.0,21.0,16.0
2737,0.0,4.0,5.0,3.0,2.0,1.0,8.0,6.0,13.0,7.0,9.0,12.0,10.0,14.0,15.0,11.0,18.0,20.0,22.0,16.0,19.0,21.0,17.0
2786,0.0,2.0,1.0,3.0,5.0,4.0,11.0,7.0,9.0,6.0,8.0,10.0,13.0,18.0,14.0,16.0,12.0,15.0,22.0,17.0,19.0,21.0,20.0
2835,0.0,2.0,4.0,1.0,5.0,3.0,10.0,6.0,12.0,17.0,7.0,9.0,11.0,13.0,15.0,14.0,8.0,18.0,22.0,19.0,20.0,21.0,16.0
2884,0.0,2.0,1.0,3.0,7.0,5.0,10.0,4.0,15.0,8.0,6.0,12.0,9.0,11.0,13.0,16.0,14.0,19.0,22.0,21.0,17.0,20.0,18.0
2933,0.0,3.0,1.0,2.0,5.0,4.0,11.0,9.0,12.0,8.0,6.0,10.0,7.0,14.0,13.0,15.0,16.0,20.0,22.0,19.0,18.0,21.0,17.0
2982,1.0,4.0,3.0,8.0,6.0,5.0,0.0,2.0,11.0,9.0,15.0,10.0,13.0,18.0,14.0,12.0,16.0,7.0,22.0,20.0,17.0,21.0,19.0
3031,5.0,4.0,2.0,3.0,8.0,6.0,1.0,0.0,10.0,11.0,9.0,12.0,13.0,16.0,15.0,14.0,17.0,7.0,20.0,18.0,19.0,21.0,22.0
3080,0.0,8.0,1.0,5.0,2.0,4.0,3.0,6.0,7.0,9.0,17.0,11.0,14.0,13.0,16.0,15.0,10.0,12.0,22.0,19.0,18.0,21.0,20.0
3129,0.0,7.0,2.0,4.0,6.0,5.0,1.0,3.0,10.0,9.0,12.0,11.0,18.0,21.0,13.0,15.0,14.0,8.0,17.0,20.0,16.0,19.0,22.0
3178,0.0,6.0,1.0,7.0,5.0,4.0,2.0,3.0,10.0,9.0,12.0,11.0,21.0,19.0,14.0,13.0,15.0,8.0,16.0,17.0,18.0,22.0,20.0
3227,0.0,2.0,3.0,8.0,1.0,6.0,4.0,5.0,9.0,13.0,16.0,10.0,19.0,21.0,12.0,11.0,14.0,7.0,18.0,22.0,15.0,20.0,17.0
3276,0.0,2.0,1.0,5.0,3.0,13.0,8.0,7.0,9.0,15.0,11.0,10.0,6.0,20.0,12.0,14.0,17.0,4.0,16.0,18.0,19.0,22.0,21.0
3325,0.0,4.0,3.0,5.0,8.0,1.0,2.0,6.0,7.0,12.0,15.0,10.0,11.0,17.0,13.0,14.0,20.0,9.0,18.0,19.0,22.0,21.0,16.0
3374,0.0,4.0,2.0,1.0,7.0,6.0,5.0,3.0,9.0,10.0,13.0,8.0,12.0,22.0,16.0,14.0,15.0,11.0,17.0,20.0,21.0,18.0,19.0
3423,0.0,2.0,1.0,6.0,4.0,8.0,3.0,5.0,10.0,9.0,15.0,13.0,11.0,16.0,14.0,12.0,17.0,7.0,18.0,21.0,20.0,22.0,19.0
3472,1.0,5.0,3.0,2.0,0.0,6.0,7.0,10.0,9.0,21.0,4.0,8.0,14.0,11.0,16.0,12.0,15.0,18.0,13.0,17.0,19.0,20.0,22.0
3521,0.0,3.0,2.0,6.0,1.0,4.0,7.0,9.0,5.0,8.0,10.0,11.0,21.0,13.0,17.0,14.0,18.0,19.0,15.0,16.0,22.0,20.0,12.0
3570,0.0,1.0,5.0,3.0,2.0,4.0,10.0,9.0,6.0,7.0,11.0,13.0,8.0,16.0,12.0,15.0,18.0,20.0,22.0,17.0,21.0,19.0,14.0
3619,0.0,4.0,1.0,6.0,2.0,5.0,8.0,7.0,3.0,11.0,12.0,9.0,22.0,10.0,16.0,19.0,13.0,15.0,17.0,18.0,21.0,20.0,14.0
3668,0.0,1.0,2.0,4.0,3.0,6.0,11.0,17.0,5.0,9.0,8.0,7.0,19.0,14.0,13.0,10.0,18.0,15.0,16.0,22.0,20.0,21.0,12.0
3717,1.0,2.0,0.0,4.0,6.0,5.0,3.0,10.0,8.0,9.0,7.0,11.0,18.0,13.0,15.0,20.0,17.0,16.0,14.0,19.0,21.0,22.0,12.0
3766,0.0,3.0,2.0,1.0,4.0,6.0,10.0,5.0,7.0,9.0,8.0,11.0,18.0,13.0,22.0,15.0,20.0,16.0,14.0,19.0,21.0,17.0,12.0
3815,0.0,2.0,3.0,4.0,1.0,5.0,10.0,12.0,7.0,11.0,6.0,9.0,16.0,8.0,19.0,15.0,21.0,22.0,14.0,17.0,18.0,20.0,13.0
3864,3.0,5.0,0.0,4.0,1.0,2.0,8.0,11.0,6.0,21.0,7.0,10.0,16.0,14.0,17.0,19.0,12.0,22.0,13.0,15.0,18.0,20.0,9.0
3913,1.0,3.0,8.0,2.0,0.0,4.0,11.0,10.0,6.0,7.0,9.0,5.0,19.0,15.0,14.0,17.0,13.0,22.0,16.0,18.0,20.0,21.0,12.0
3962,1.0,3.0,2.0,4.0,0.0,7.0,5.0,6.0,8.0,14.0,9.0,11.0,10.0,15.0,16.0,12.0,17.0,13.0,20.0,21.0,19.0,18.0,22.0
4011,2.0,5.0,1.0,0.0,3.0,4.0,8.0,10.0,6.0,14.0,7.0,11.0,17.0,9.0,15.0,13.0,18.0,12.0,16.0,21.0,19.0,20.0,22.0
4060,0.0,4.0,1.0,6.0,2.0,3.0,5.0,7.0,9.0,16.0,8.0,12.0,10.0,13.0,18.0,11.0,14.0,15.0,19.0,21.0,17.0,20.0,22.0
4109,0.0,4.0,5.0,1.0,2.0,6.0,3.0,7.0,14.0,15.0,12.0,9.0,8.0,10.0,17.0,16.0,11.0,13.0,20.0,21.0,18.0,19.0,22.0
4158,0.0,3.0,1.0,2.0,4.0,5.0,10.0,7.0,8.0,16.0,6.0,11.0,9.0,13.0,18.0,15.0,12.0,17.0,19.0,21.0,14.0,20.0,22.0
4207,0.0,5.0,6.0,1.0,4.0,3.0,2.0,8.0,9.0,13.0,12.0,11.0,10.0,7.0,15.0,16.0,14.0,17.0,20.0,21.0,19.0,18.0,22.0
4256,0.0,2.0,5.0,3.0,1.0,6.0,4.0,7.0,8.0,12.0,11.0,9.0,10.0,13.0,16.0,14.0,15.0,17.0,20.0,21.0,19.0,18.0,22.0
4305,0.0,3.0,4.0,1.0,2.0,6.0,5.0,7.0,9.0,15.0,13.0,10.0,8.0,11.0,14.0,12.0,17.0,16.0,19.0,21.0,18.0,20.0,22.0
4354,1.0,5.0,3.0,0.0,2.0,4.0,6.0,7.0,9.0,16.0,8.0,10.0,15.0,11.0,14.0,12.0,13.0,17.0,18.0,21.0,19.0,20.0,22.0
4403,0.0,7.0,2.0,3.0,1.0,4.0,6.0,5.0,8.0,20.0,11.0,12.0,9.0,16.0,17.0,10.0,15.0,13.0,19.0,21.0,18.0,14.0,22.0
4452,0.0,2.0,1.0,4.0,5.0,6.0,10.0,3.0,12.0,7.0,9.0,11.0,8.0,14.0,16.0,13.0,18.0,17.0,15.0,20.0,22.0,19.0,21.0
4501,0.0,4.0,2.0,5.0,1.0,6.0,7.0,3.0,11.0,10.0,8.0,15.0,12.0,18.0,9.0,13.0,17.0,16.0,14.0,22.0,21.0,20.0,19.0
4550,0.0,3.0,1.0,4.0,2.0,8.0,7.0,5.0,11.0,9.0,14.0,21.0,10.0,18.0,6.0,17.0,16.0,15.0,13.0,12.0,22.0,19.0,20.0
4599,0.0,4.0,3.0,1.0,2.0,5.0,6.0,7.0,18.0,8.0,9.0,13.0,10.0,20.0,16.0,14.0,12.0,11.0,15.0,17.0,22.0,21.0,19.0
4648,0.0,2.0,1.0,4.0,5.0,12.0,3.0,6.0,16.0,18.0,7.0,8.0,9.0,19.0,10.0,14.0,11.0,15.0,22.0,13.0,20.0,21.0,17.0
4697,2.0,3.0,0.0,1.0,4.0,6.0,12.0,5.0,9.0,7.0,13.0,11.0,8.0,20.0,15.0,10.0,14.0,18.0,16.0,19.0,17.0,21.0,22.0
4746,0.0,3.0,2.0,4.0,6.0,9.0,1.0,5.0,14.0,7.0,13.0,8.0,12.0,10.0,18.0,16.0,11.0,15.0,19.0,17.0,21.0,20.0,22.0
4795,0.0,5.0,1.0,3.0,2.0,7.0,6.0,11.0,8.0,4.0,10.0,13.0,9.0,14.0,12.0,16.0,21.0,18.0,19.0,17.0,20.0,22.0,15.0
4844,1.0,4.0,6.0,0.0,3.0,7.0,8.0,5.0,9.0,14.0,2.0,13.0,12.0,10.0,11.0,15.0,21.0,17.0,19.0,16.0,20.0,22.0,18.0
4893,0.0,2.0,3.0,1.0,4.0,8.0,7.0,13.0,6.0,5.0,11.0,14.0,12.0,9.0,15.0,10.0,17.0,16.0,20.0,18.0,19.0,22.0,21.0
