,ETV4,SPRY2,TOR4A,ETV5,CMTM7,SPRY1,DUSP6,NPAS2,TMC6,LGR5,NRROS,IGF2,SNX18P16,SPRY4,HMGA2,SLC16A3,PHLDA1,SEMA3A,EVPL,RP11-11N9.4,ITGA6,KLF3,ACOT11,S100A4,DKK1,FERMT1,ZNF502,ETV1,RP11-834C11.4,HOXB6
10,0.0,1.0,2.0,3.0,5.0,9.0,4.0,7.0,46.0,22.0,10.0,13.0,21.0,12.0,6.0,20.0,48.0,15.0,40.0,17.0,38.0,27.0,133.0,91.0,80.0,121.0,67.0,19.0,57.0,37.0
59,0.0,1.0,3.0,7.0,2.0,6.0,39.0,4.0,25.0,24.0,21.0,8.0,5.0,15.0,32.0,94.0,23.0,12.0,9.0,18.0,20.0,53.0,19.0,10.0,43.0,41.0,30.0,34.0,28.0,70.0
108,0.0,1.0,2.0,4.0,5.0,3.0,10.0,6.0,33.0,8.0,9.0,11.0,22.0,14.0,16.0,12.0,23.0,7.0,13.0,24.0,19.0,21.0,29.0,36.0,17.0,43.0,30.0,15.0,40.0,59.0
157,0.0,1.0,2.0,10.0,4.0,6.0,3.0,7.0,39.0,5.0,20.0,8.0,31.0,9.0,23.0,15.0,32.0,11.0,21.0,69.0,28.0,13.0,22.0,136.0,25.0,64.0,12.0,14.0,41.0,140.0
206,0.0,1.0,2.0,3.0,9.0,5.0,4.0,6.0,12.0,18.0,28.0,7.0,59.0,8.0,21.0,13.0,51.0,24.0,30.0,16.0,23.0,31.0,22.0,43.0,11.0,181.0,10.0,15.0,19.0,125.0
255,0.0,1.0,2.0,3.0,5.0,4.0,9.0,11.0,25.0,12.0,13.0,19.0,30.0,6.0,8.0,41.0,124.0,15.0,18.0,7.0,14.0,35.0,58.0,22.0,10.0,98.0,63.0,21.0,62.0,92.0
304,0.0,1.0,3.0,4.0,7.0,2.0,9.0,8.0,22.0,23.0,6.0,28.0,50.0,14.0,12.0,54.0,15.0,5.0,33.0,32.0,17.0,68.0,20.0,18.0,88.0,27.0,45.0,37.0,182.0,56.0
353,0.0,2.0,1.0,11.0,3.0,4.0,13.0,9.0,16.0,5.0,8.0,6.0,26.0,10.0,14.0,12.0,57.0,7.0,34.0,19.0,56.0,38.0,84.0,20.0,17.0,74.0,39.0,18.0,139.0,40.0
402,0.0,1.0,2.0,3.0,6.0,8.0,5.0,4.0,15.0,23.0,12.0,14.0,25.0,7.0,13.0,9.0,10.0,27.0,26.0,39.0,33.0,51.0,17.0,121.0,16.0,150.0,29.0,24.0,55.0,21.0
451,0.0,1.0,4.0,2.0,7.0,5.0,3.0,8.0,12.0,10.0,11.0,13.0,26.0,14.0,9.0,34.0,38.0,16.0,24.0,6.0,25.0,40.0,84.0,164.0,17.0,106.0,37.0,22.0,46.0,43.0
500,1.0,2.0,0.0,3.0,7.0,6.0,5.0,32.0,4.0,24.0,14.0,17.0,65.0,22.0,29.0,9.0,11.0,18.0,42.0,54.0,28.0,21.0,10.0,27.0,12.0,53.0,16.0,19.0,36.0,146.0
549,0.0,2.0,1.0,3.0,11.0,4.0,5.0,32.0,6.0,16.0,21.0,24.0,44.0,19.0,13.0,7.0,12.0,15.0,40.0,8.0,20.0,37.0,14.0,58.0,10.0,39.0,31.0,27.0,62.0,30.0
598,0.0,2.0,1.0,4.0,5.0,6.0,3.0,28.0,8.0,72.0,23.0,25.0,16.0,35.0,33.0,9.0,7.0,32.0,39.0,21.0,10.0,40.0,12.0,43.0,56.0,20.0,14.0,22.0,17.0,27.0
647,0.0,2.0,1.0,5.0,4.0,6.0,3.0,21.0,13.0,7.0,35.0,12.0,30.0,18.0,8.0,9.0,23.0,33.0,308.0,54.0,20.0,11.0,29.0,119.0,41.0,123.0,139.0,25.0,68.0,103.0
696,1.0,0.0,2.0,3.0,8.0,4.0,5.0,37.0,6.0,15.0,48.0,7.0,27.0,13.0,33.0,9.0,12.0,22.0,43.0,14.0,26.0,31.0,10.0,11.0,19.0,80.0,21.0,23.0,187.0,49.0
745,1.0,2.0,0.0,3.0,9.0,8.0,4.0,6.0,5.0,22.0,21.0,7.0,55.0,20.0,17.0,19.0,12.0,36.0,31.0,33.0,32.0,25.0,15.0,52.0,24.0,45.0,34.0,16.0,121.0,23.0
794,1.0,2.0,0.0,5.0,14.0,3.0,7.0,12.0,6.0,48.0,17.0,35.0,33.0,24.0,16.0,13.0,9.0,4.0,21.0,106.0,10.0,32.0,15.0,18.0,11.0,31.0,43.0,36.0,141.0,87.0
843,1.0,2.0,0.0,6.0,9.0,5.0,3.0,31.0,15.0,13.0,24.0,14.0,32.0,10.0,40.0,7.0,19.0,4.0,47.0,11.0,26.0,60.0,12.0,82.0,8.0,42.0,37.0,18.0,36.0,79.0
892,1.0,2.0,0.0,4.0,3.0,5.0,7.0,10.0,6.0,12.0,23.0,18.0,41.0,13.0,11.0,8.0,28.0,21.0,37.0,109.0,52.0,29.0,15.0,16.0,17.0,34.0,24.0,20.0,93.0,27.0
941,1.0,2.0,0.0,3.0,16.0,11.0,6.0,14.0,4.0,12.0,55.0,13.0,34.0,23.0,31.0,10.0,5.0,7.0,44.0,28.0,18.0,43.0,9.0,101.0,26.0,45.0,20.0,35.0,361.0,39.0
990,0.0,1.0,5.0,3.0,2.0,4.0,8.0,93.0,17.0,12.0,10.0,16.0,13.0,14.0,7.0,11.0,32.0,52.0,210.0,124.0,41.0,19.0,9.0,18.0,44.0,22.0,6.0,39.0,27.0,107.0
1039,0.0,1.0,2.0,5.0,3.0,6.0,7.0,16.0,24.0,9.0,11.0,10.0,26.0,13.0,4.0,12.0,27.0,54.0,114.0,116.0,18.0,21.0,34.0,55.0,166.0,25.0,8.0,81.0,159.0,20.0
1088,0.0,1.0,4.0,2.0,11.0,5.0,3.0,57.0,29.0,16.0,7.0,24.0,13.0,9.0,14.0,10.0,33.0,12.0,129.0,49.0,68.0,21.0,17.0,18.0,67.0,72.0,6.0,81.0,25.0,8.0
1137,0.0,1.0,2.0,7.0,5.0,6.0,4.0,187.0,16.0,9.0,20.0,11.0,13.0,12.0,15.0,8.0,18.0,14.0,125.0,262.0,43.0,17.0,10.0,57.0,49.0,21.0,3.0,40.0,134.0,34.0
1186,0.0,1.0,4.0,5.0,7.0,6.0,3.0,45.0,8.0,21.0,20.0,12.0,27.0,13.0,9.0,2.0,16.0,46.0,31.0,80.0,23.0,22.0,10.0,42.0,11.0,14.0,17.0,26.0,323.0,24.0
1235,0.0,1.0,2.0,4.0,11.0,6.0,9.0,75.0,18.0,10.0,12.0,5.0,15.0,17.0,16.0,13.0,21.0,32.0,20.0,42.0,8.0,34.0,7.0,70.0,101.0,19.0,3.0,108.0,265.0,26.0
1284,0.0,1.0,7.0,4.0,3.0,8.0,5.0,15.0,12.0,64.0,22.0,25.0,21.0,13.0,2.0,42.0,16.0,30.0,38.0,286.0,17.0,44.0,14.0,11.0,144.0,9.0,6.0,123.0,88.0,27.0
1333,0.0,1.0,5.0,2.0,16.0,3.0,4.0,222.0,30.0,7.0,10.0,18.0,26.0,17.0,9.0,6.0,36.0,60.0,63.0,24.0,31.0,19.0,8.0,20.0,100.0,12.0,27.0,137.0,191.0,39.0
1382,0.0,1.0,4.0,6.0,7.0,3.0,2.0,202.0,15.0,9.0,11.0,17.0,18.0,10.0,12.0,5.0,24.0,8.0,70.0,22.0,26.0,19.0,30.0,44.0,102.0,40.0,14.0,41.0,84.0,39.0
1431,0.0,1.0,7.0,4.0,6.0,8.0,2.0,450.0,3.0,21.0,48.0,13.0,10.0,19.0,12.0,17.0,16.0,103.0,117.0,15.0,18.0,27.0,5.0,31.0,76.0,42.0,9.0,54.0,127.0,72.0
1480,0.0,1.0,2.0,3.0,7.0,5.0,6.0,64.0,4.0,10.0,21.0,24.0,26.0,35.0,43.0,16.0,30.0,23.0,22.0,260.0,71.0,11.0,12.0,73.0,8.0,17.0,91.0,101.0,15.0,19.0
1529,0.0,2.0,1.0,3.0,4.0,7.0,5.0,6.0,10.0,37.0,8.0,25.0,18.0,32.0,17.0,14.0,9.0,41.0,24.0,23.0,39.0,36.0,19.0,55.0,20.0,29.0,31.0,126.0,78.0,11.0
1578,0.0,1.0,2.0,4.0,11.0,3.0,8.0,76.0,6.0,12.0,17.0,15.0,31.0,22.0,47.0,5.0,24.0,16.0,9.0,45.0,28.0,18.0,63.0,23.0,19.0,83.0,21.0,55.0,10.0,20.0
1627,0.0,1.0,3.0,2.0,5.0,4.0,6.0,15.0,7.0,16.0,10.0,8.0,14.0,19.0,13.0,12.0,40.0,20.0,21.0,44.0,22.0,30.0,27.0,17.0,9.0,43.0,11.0,61.0,55.0,42.0
1676,0.0,1.0,10.0,2.0,14.0,4.0,5.0,35.0,11.0,6.0,15.0,9.0,13.0,18.0,39.0,32.0,30.0,58.0,23.0,94.0,34.0,19.0,7.0,21.0,22.0,91.0,63.0,71.0,26.0,54.0
1725,0.0,1.0,2.0,4.0,8.0,5.0,3.0,11.0,10.0,14.0,17.0,9.0,12.0,20.0,131.0,7.0,44.0,15.0,19.0,61.0,77.0,13.0,27.0,55.0,35.0,53.0,16.0,67.0,34.0,45.0
1774,0.0,1.0,3.0,2.0,7.0,5.0,4.0,68.0,6.0,14.0,12.0,18.0,17.0,13.0,41.0,8.0,23.0,30.0,45.0,22.0,24.0,10.0,9.0,15.0,11.0,28.0,38.0,58.0,56.0,36.0
1823,0.0,2.0,1.0,3.0,10.0,5.0,7.0,22.0,4.0,29.0,20.0,32.0,42.0,37.0,27.0,13.0,6.0,28.0,24.0,8.0,16.0,35.0,34.0,59.0,19.0,74.0,90.0,116.0,84.0,12.0
1872,0.0,1.0,2.0,3.0,8.0,4.0,6.0,13.0,5.0,48.0,22.0,15.0,9.0,23.0,17.0,55.0,11.0,7.0,33.0,19.0,20.0,26.0,14.0,30.0,10.0,29.0,53.0,93.0,12.0,31.0
1921,0.0,1.0,7.0,2.0,10.0,4.0,3.0,98.0,14.0,20.0,12.0,36.0,18.0,8.0,15.0,63.0,54.0,19.0,6.0,31.0,13.0,25.0,44.0,22.0,5.0,51.0,32.0,35.0,37.0,66.0
1970,0.0,1.0,4.0,2.0,3.0,10.0,6.0,41.0,29.0,15.0,24.0,38.0,31.0,5.0,20.0,28.0,35.0,21.0,48.0,9.0,49.0,13.0,26.0,23.0,51.0,17.0,63.0,16.0,40.0,39.0
2019,0.0,1.0,2.0,3.0,4.0,26.0,7.0,25.0,6.0,16.0,84.0,97.0,35.0,21.0,64.0,10.0,12.0,73.0,8.0,15.0,54.0,19.0,5.0,18.0,66.0,31.0,33.0,23.0,63.0,69.0
2068,0.0,1.0,2.0,4.0,9.0,104.0,10.0,52.0,37.0,73.0,22.0,242.0,7.0,13.0,139.0,27.0,6.0,14.0,17.0,3.0,31.0,47.0,11.0,20.0,318.0,8.0,25.0,15.0,224.0,23.0
2117,0.0,1.0,6.0,2.0,3.0,30.0,5.0,134.0,7.0,10.0,51.0,101.0,9.0,23.0,11.0,35.0,25.0,84.0,28.0,14.0,19.0,12.0,15.0,147.0,59.0,17.0,56.0,8.0,21.0,195.0
2166,0.0,1.0,2.0,3.0,4.0,24.0,10.0,49.0,29.0,20.0,17.0,70.0,14.0,12.0,46.0,85.0,26.0,28.0,23.0,8.0,109.0,16.0,13.0,9.0,22.0,25.0,19.0,7.0,41.0,96.0
2215,1.0,0.0,3.0,2.0,5.0,13.0,4.0,37.0,16.0,9.0,23.0,54.0,11.0,15.0,36.0,51.0,40.0,55.0,26.0,90.0,42.0,10.0,12.0,48.0,28.0,18.0,27.0,20.0,7.0,34.0
2264,0.0,1.0,3.0,2.0,4.0,26.0,15.0,107.0,25.0,6.0,27.0,42.0,7.0,11.0,36.0,35.0,43.0,28.0,39.0,5.0,30.0,13.0,10.0,14.0,8.0,21.0,72.0,18.0,20.0,40.0
2313,0.0,1.0,2.0,3.0,4.0,13.0,9.0,59.0,17.0,73.0,22.0,44.0,5.0,7.0,19.0,90.0,12.0,36.0,18.0,15.0,14.0,30.0,34.0,6.0,23.0,10.0,118.0,53.0,80.0,124.0
2362,0.0,1.0,6.0,3.0,2.0,36.0,5.0,11.0,15.0,7.0,30.0,59.0,24.0,12.0,9.0,63.0,27.0,41.0,17.0,10.0,26.0,13.0,23.0,44.0,86.0,19.0,33.0,18.0,117.0,31.0
2411,0.0,1.0,2.0,3.0,5.0,46.0,10.0,45.0,49.0,35.0,19.0,80.0,22.0,18.0,34.0,51.0,75.0,112.0,21.0,4.0,70.0,9.0,20.0,56.0,83.0,26.0,28.0,25.0,16.0,17.0
2460,0.0,2.0,1.0,3.0,4.0,6.0,12.0,7.0,9.0,10.0,16.0,53.0,14.0,22.0,17.0,26.0,37.0,8.0,11.0,39.0,35.0,24.0,115.0,23.0,48.0,32.0,159.0,20.0,36.0,18.0
2509,0.0,1.0,2.0,3.0,5.0,7.0,13.0,4.0,8.0,20.0,17.0,32.0,26.0,27.0,9.0,23.0,49.0,21.0,11.0,66.0,19.0,15.0,30.0,6.0,131.0,12.0,162.0,174.0,93.0,22.0
2558,0.0,1.0,2.0,3.0,8.0,7.0,17.0,16.0,12.0,11.0,19.0,42.0,13.0,29.0,70.0,6.0,62.0,10.0,5.0,59.0,31.0,37.0,35.0,4.0,72.0,39.0,18.0,52.0,23.0,9.0
2607,0.0,1.0,3.0,4.0,2.0,20.0,5.0,13.0,22.0,17.0,10.0,29.0,14.0,16.0,42.0,27.0,41.0,6.0,23.0,159.0,26.0,32.0,40.0,19.0,73.0,24.0,9.0,46.0,50.0,25.0
2656,0.0,1.0,3.0,4.0,2.0,6.0,5.0,7.0,12.0,13.0,24.0,61.0,20.0,30.0,16.0,8.0,28.0,21.0,17.0,42.0,55.0,23.0,72.0,60.0,163.0,25.0,32.0,49.0,29.0,33.0
2705,0.0,1.0,3.0,2.0,6.0,4.0,5.0,35.0,18.0,7.0,23.0,124.0,15.0,14.0,19.0,26.0,25.0,17.0,20.0,251.0,134.0,9.0,46.0,12.0,84.0,30.0,36.0,64.0,188.0,41.0
2754,0.0,2.0,4.0,1.0,3.0,8.0,6.0,5.0,47.0,11.0,23.0,55.0,33.0,20.0,7.0,27.0,58.0,82.0,12.0,14.0,32.0,22.0,63.0,17.0,247.0,24.0,125.0,28.0,34.0,16.0
2803,0.0,2.0,1.0,3.0,4.0,16.0,18.0,41.0,10.0,17.0,15.0,74.0,31.0,38.0,53.0,55.0,27.0,21.0,11.0,86.0,24.0,22.0,68.0,8.0,57.0,30.0,203.0,93.0,19.0,7.0
2852,0.0,1.0,2.0,3.0,5.0,4.0,7.0,37.0,24.0,6.0,12.0,91.0,20.0,19.0,8.0,9.0,43.0,13.0,27.0,42.0,29.0,30.0,21.0,10.0,85.0,22.0,41.0,35.0,112.0,14.0
