,Bax,p53,VAV1,VHL,Akt_pS473,p14 Arf(BetA300-340A),c-Kit,c-Jun_pS73,CDK1,Acetyl-a-Tubulin (Lys40),beta-Catenin,MYH11,AR,p38_pT180_Y182,Annexin 1,p21,Beclin,GATA3,C-Raf_pS338,CD31,MDMX_MDM4(BetIHC-00108),4E-BP1_pT70,PI3K-p85,Transglutaminase,PTEN,YAP_pS127,TTF1,FoxM1,AMPK_alpha,Smac
4,7.0,6.0,2.0,1.0,0.0,3.0,18.0,13.0,56.0,23.0,21.0,8.0,4.0,27.0,11.0,39.0,67.0,61.0,25.0,10.0,16.0,12.0,5.0,42.0,123.0,154.0,66.0,20.0,9.0,91.0
53,9.0,10.0,1.0,2.0,6.0,0.0,11.0,5.0,48.0,4.0,15.0,21.0,3.0,35.0,39.0,47.0,67.0,13.0,14.0,87.0,17.0,75.0,8.0,27.0,85.0,51.0,49.0,26.0,20.0,7.0
102,2.0,1.0,17.0,13.0,3.0,0.0,52.0,31.0,6.0,10.0,20.0,15.0,11.0,5.0,16.0,8.0,57.0,19.0,53.0,32.0,28.0,62.0,54.0,43.0,76.0,119.0,69.0,7.0,44.0,45.0
151,18.0,21.0,14.0,1.0,2.0,0.0,4.0,11.0,25.0,19.0,156.0,8.0,3.0,60.0,22.0,54.0,44.0,41.0,45.0,29.0,73.0,38.0,13.0,51.0,6.0,23.0,105.0,154.0,9.0,118.0
200,26.0,2.0,0.0,19.0,1.0,7.0,25.0,4.0,70.0,15.0,20.0,12.0,81.0,3.0,6.0,18.0,17.0,47.0,8.0,30.0,14.0,39.0,41.0,11.0,84.0,43.0,37.0,105.0,45.0,95.0
249,4.0,1.0,35.0,16.0,0.0,8.0,140.0,40.0,17.0,12.0,56.0,2.0,25.0,5.0,9.0,153.0,66.0,13.0,10.0,34.0,92.0,11.0,146.0,21.0,3.0,93.0,14.0,63.0,39.0,23.0
298,1.0,2.0,4.0,3.0,34.0,0.0,83.0,30.0,28.0,5.0,22.0,18.0,123.0,13.0,31.0,23.0,41.0,74.0,35.0,56.0,85.0,129.0,101.0,9.0,11.0,94.0,77.0,26.0,25.0,8.0
347,5.0,2.0,3.0,10.0,0.0,4.0,55.0,15.0,13.0,14.0,159.0,93.0,9.0,1.0,16.0,12.0,60.0,27.0,57.0,122.0,49.0,11.0,21.0,17.0,113.0,50.0,52.0,68.0,25.0,26.0
396,10.0,5.0,0.0,3.0,2.0,1.0,33.0,47.0,27.0,7.0,56.0,11.0,14.0,16.0,4.0,25.0,9.0,12.0,29.0,90.0,103.0,129.0,13.0,6.0,20.0,74.0,15.0,8.0,23.0,87.0
445,28.0,6.0,0.0,1.0,9.0,2.0,4.0,34.0,13.0,16.0,99.0,17.0,11.0,47.0,50.0,72.0,75.0,29.0,5.0,7.0,67.0,62.0,131.0,3.0,10.0,18.0,14.0,12.0,45.0,60.0
494,5.0,9.0,0.0,2.0,26.0,12.0,4.0,11.0,110.0,1.0,3.0,13.0,19.0,6.0,62.0,69.0,15.0,14.0,17.0,45.0,122.0,18.0,7.0,124.0,160.0,79.0,139.0,10.0,46.0,23.0
543,5.0,0.0,7.0,13.0,24.0,2.0,35.0,6.0,72.0,12.0,8.0,18.0,3.0,62.0,26.0,61.0,1.0,10.0,14.0,76.0,59.0,28.0,11.0,51.0,82.0,101.0,79.0,4.0,88.0,17.0
592,1.0,2.0,14.0,0.0,15.0,51.0,3.0,6.0,13.0,136.0,8.0,4.0,102.0,52.0,71.0,58.0,19.0,12.0,7.0,27.0,9.0,11.0,36.0,53.0,43.0,101.0,104.0,17.0,87.0,66.0
641,0.0,1.0,38.0,2.0,32.0,11.0,3.0,6.0,27.0,5.0,13.0,19.0,89.0,34.0,17.0,30.0,28.0,21.0,12.0,33.0,60.0,37.0,23.0,69.0,63.0,14.0,71.0,16.0,90.0,9.0
690,2.0,4.0,10.0,8.0,112.0,0.0,5.0,28.0,11.0,3.0,1.0,7.0,21.0,24.0,9.0,37.0,23.0,100.0,6.0,17.0,19.0,18.0,137.0,22.0,77.0,25.0,20.0,13.0,33.0,15.0
739,8.0,12.0,30.0,3.0,141.0,0.0,6.0,10.0,20.0,40.0,5.0,2.0,1.0,39.0,46.0,133.0,16.0,67.0,7.0,101.0,58.0,9.0,4.0,63.0,70.0,85.0,132.0,87.0,45.0,108.0
