,CES1P1_DEL,LCE3C_DEL,HLA-H_DEL,FFAR3_DEL,LCE3B_DEL,GSTTP2_DEL,ME3_DEL,SIRPB1_AMP,FHIT_DEL,TP53_MUT,FMN2_AMP,HLA-DQB1_DEL,ARSB_DEL,ZBTB20_AMP,GSTT1_DEL,LOC391322_DEL,CDH13_DEL,AMY2A_AMP,CADM2_DEL,LOC284260_DEL,PCCB_DEL,GOLPH3_AMP,SORD_AMP,RBFOX1_DEL,PRH1-PRR4_DEL,CDC73_DEL,NRAS_MUT,SORL1_MUT,SFMBT1_AMP,GSTTP1_AMP
30,0.0,1.0,70.0,10.0,4.0,16.0,8.0,2.0,3.0,14.0,11.0,26.0,66.0,15.0,52.0,51.0,6.0,24.0,22.0,17.0,38.0,18.0,90.0,9.0,71.0,7.0,67.0,21.0,20.0,5.0
79,0.0,1.0,106.0,20.0,2.0,42.0,7.0,4.0,3.0,13.0,24.0,11.0,80.0,9.0,276.0,275.0,15.0,47.0,38.0,65.0,5.0,16.0,586.0,378.0,435.0,6.0,162.0,35.0,34.0,8.0
128,0.0,1.0,25.0,10.0,2.0,6.0,11.0,20.0,3.0,5.0,8.0,7.0,32.0,15.0,30.0,29.0,21.0,36.0,12.0,13.0,16.0,14.0,206.0,63.0,45.0,51.0,289.0,24.0,33.0,4.0
177,0.0,1.0,7.0,22.0,5.0,17.0,47.0,2.0,8.0,43.0,31.0,23.0,46.0,3.0,18.0,19.0,65.0,26.0,54.0,10.0,9.0,21.0,189.0,78.0,85.0,6.0,103.0,14.0,11.0,12.0
226,2.0,1.0,29.0,22.0,3.0,34.0,8.0,0.0,6.0,24.0,9.0,58.0,21.0,16.0,101.0,100.0,7.0,17.0,41.0,11.0,15.0,37.0,1671.0,23.0,9830.0,44.0,584.0,13.0,50.0,5.0
275,0.0,3.0,4.0,11.0,5.0,20.0,19.0,1.0,2.0,15.0,6.0,21.0,65.0,10.0,67.0,66.0,34.0,7.0,80.0,16.0,40.0,13.0,768.0,12.0,121.0,14.0,89.0,18.0,26.0,17.0
324,0.0,1.0,16.0,6.0,2.0,11.0,19.0,8.0,32.0,61.0,94.0,29.0,51.0,3.0,23.0,24.0,10.0,22.0,63.0,12.0,25.0,14.0,96.0,20.0,30.0,57.0,1427.0,69.0,17.0,9.0
373,0.0,1.0,15.0,5.0,2.0,22.0,68.0,9.0,6.0,67.0,52.0,8.0,224.0,66.0,31.0,32.0,3.0,16.0,39.0,11.0,47.0,4.0,141.0,14.0,63.0,13.0,170.0,10.0,43.0,25.0
422,0.0,7.0,83.0,17.0,15.0,44.0,2.0,1.0,4.0,8.0,16.0,6.0,21.0,13.0,91.0,92.0,60.0,26.0,28.0,10.0,48.0,11.0,1390.0,30.0,155.0,14.0,142.0,66.0,27.0,3.0
471,0.0,4.0,289.0,11.0,6.0,72.0,3.0,5.0,8.0,2.0,42.0,10.0,46.0,43.0,318.0,317.0,107.0,19.0,80.0,14.0,18.0,37.0,34.0,86.0,9732.0,7.0,88.0,59.0,20.0,9.0
520,0.0,3.0,13.0,2.0,10.0,25.0,1.0,5.0,4.0,18.0,46.0,24.0,9.0,17.0,27.0,28.0,207.0,6.0,8.0,37.0,86.0,26.0,51.0,82.0,101.0,7.0,12.0,150.0,11.0,45.0
569,0.0,5.0,9.0,3.0,16.0,19.0,2.0,1.0,7.0,49.0,32.0,78.0,11.0,10.0,73.0,74.0,126.0,20.0,8.0,50.0,203.0,67.0,21.0,6.0,39.0,4.0,82.0,161.0,15.0,26.0
