,hsa-miR-328,hsa-miR-579,hsa-miR-363,hsa-miR-371-3p,hsa-miR-516a-5p,hsa-miR-608,hsa-miR-218,hsa-miR-1302,hsa-miR-885-5p,hsa-miR-30a,hsa-miR-577,hsa-miR-1271,hsa-miR-147,hsa-miR-2113,hsa-miR-582-5p,hsa-miR-499-3p,hsa-miR-342-3p,hsa-miR-30c,hsa-miR-1977,ebv-miR-BART19-5p,ebv-miR-BART11-5p,hsa-miR-1301,hsa-miR-488,hsa-miR-551a,hsa-miR-638,hsv1-miR-H8,hsa-miR-612,ebv-miR-BART18-5p,hsa-miR-519d,hsa-miR-573
19,1.0,15.0,33.0,37.0,5.0,22.0,23.0,40.0,55.0,124.0,127.0,371.0,13.0,11.0,148.0,27.0,155.0,14.0,47.0,105.0,297.0,92.0,109.0,114.0,102.0,56.0,181.0,18.0,630.0,111.0
68,10.0,11.0,38.0,20.0,64.0,24.0,94.0,36.0,344.0,410.0,50.0,229.0,0.0,508.0,227.0,34.0,116.0,56.0,122.0,302.0,129.0,73.0,89.0,114.0,77.0,59.0,156.0,95.0,125.0,16.0
117,10.0,129.0,26.0,49.0,52.0,126.0,39.0,8.0,46.0,141.0,32.0,76.0,113.0,82.0,161.0,56.0,150.0,99.0,21.0,104.0,142.0,71.0,60.0,154.0,194.0,118.0,116.0,3.0,123.0,57.0
166,1.0,2.0,32.0,29.0,67.0,116.0,103.0,52.0,23.0,59.0,240.0,193.0,50.0,60.0,6.0,95.0,13.0,421.0,70.0,92.0,99.0,91.0,75.0,22.0,196.0,153.0,160.0,27.0,108.0,34.0
215,12.0,3.0,17.0,50.0,27.0,97.0,37.0,436.0,46.0,13.0,234.0,123.0,549.0,107.0,32.0,62.0,595.0,77.0,43.0,284.0,293.0,122.0,58.0,75.0,65.0,136.0,101.0,60.0,34.0,213.0
264,13.0,12.0,54.0,107.0,43.0,176.0,37.0,42.0,125.0,83.0,38.0,35.0,80.0,6.0,171.0,61.0,126.0,28.0,11.0,48.0,117.0,82.0,134.0,156.0,179.0,118.0,102.0,46.0,96.0,16.0
313,43.0,16.0,17.0,61.0,142.0,21.0,54.0,20.0,275.0,588.0,141.0,122.0,75.0,120.0,91.0,69.0,600.0,93.0,138.0,52.0,184.0,111.0,165.0,99.0,335.0,57.0,116.0,1.0,90.0,12.0
362,402.0,2.0,17.0,83.0,24.0,262.0,38.0,43.0,347.0,21.0,234.0,252.0,68.0,41.0,104.0,100.0,446.0,97.0,107.0,92.0,117.0,70.0,600.0,151.0,96.0,39.0,157.0,337.0,535.0,16.0
411,2.0,8.0,35.0,40.0,160.0,34.0,43.0,127.0,97.0,12.0,230.0,131.0,474.0,32.0,21.0,61.0,593.0,47.0,31.0,101.0,359.0,74.0,608.0,123.0,22.0,91.0,158.0,6.0,511.0,243.0
460,424.0,218.0,24.0,58.0,67.0,37.0,51.0,549.0,94.0,438.0,221.0,100.0,478.0,482.0,149.0,66.0,21.0,437.0,34.0,47.0,108.0,76.0,102.0,60.0,113.0,98.0,79.0,3.0,61.0,13.0
509,8.0,3.0,23.0,81.0,44.0,12.0,32.0,509.0,328.0,443.0,45.0,13.0,450.0,484.0,234.0,102.0,104.0,68.0,130.0,58.0,37.0,20.0,87.0,46.0,123.0,72.0,71.0,290.0,110.0,27.0
558,1.0,10.0,29.0,16.0,12.0,11.0,63.0,467.0,94.0,416.0,118.0,397.0,92.0,391.0,24.0,79.0,108.0,52.0,407.0,31.0,270.0,107.0,65.0,99.0,197.0,112.0,114.0,319.0,84.0,14.0
607,20.0,18.0,15.0,7.0,60.0,76.0,101.0,591.0,65.0,442.0,70.0,110.0,497.0,487.0,258.0,99.0,53.0,38.0,478.0,284.0,77.0,106.0,52.0,94.0,40.0,146.0,75.0,45.0,56.0,6.0
656,446.0,29.0,26.0,13.0,83.0,248.0,41.0,578.0,69.0,43.0,73.0,2.0,88.0,131.0,241.0,95.0,33.0,28.0,87.0,59.0,119.0,102.0,68.0,96.0,181.0,125.0,101.0,297.0,91.0,8.0
705,10.0,7.0,13.0,57.0,47.0,85.0,87.0,428.0,48.0,40.0,31.0,547.0,132.0,495.0,56.0,128.0,94.0,28.0,129.0,111.0,44.0,119.0,143.0,112.0,189.0,134.0,150.0,89.0,528.0,0.0
754,66.0,252.0,18.0,34.0,88.0,169.0,96.0,476.0,92.0,9.0,8.0,48.0,458.0,3.0,11.0,101.0,26.0,69.0,85.0,51.0,55.0,148.0,114.0,104.0,188.0,78.0,141.0,313.0,107.0,0.0
803,11.0,0.0,25.0,18.0,41.0,81.0,91.0,502.0,42.0,8.0,32.0,620.0,452.0,401.0,3.0,71.0,586.0,423.0,100.0,39.0,45.0,152.0,82.0,60.0,20.0,103.0,78.0,275.0,34.0,223.0
