,P-Cadherin,EGFR,Shc_pY317,RSK1-2-3,VAV1,G6PD,Caveolin-1,C-Raf_pS338,ADAR1,Bcl-2,EGFR_pY1068,Rab25,VHL,Annexin_VII,Annexin 1,E-Cadherin,4E-BP1,SHP-2_pY542,Heregulin,Gab2,FOXO3a,Bim(EP1036),HER2,HER2_pY1248,Bad_pS112,CD31,PKC-alpha,RAD51,AMPK_pT172,Src_pY416
2159,0.0,1.0,4.0,2.0,3.0,6.0,5.0,7.0,9.0,19.0,8.0,29.0,12.0,13.0,10.0,14.0,11.0,18.0,117.0,108.0,16.0,104.0,22.0,31.0,125.0,30.0,20.0,17.0,25.0,55.0
2208,1.0,0.0,3.0,6.0,2.0,4.0,5.0,10.0,9.0,7.0,8.0,26.0,30.0,16.0,11.0,13.0,15.0,21.0,17.0,31.0,14.0,99.0,28.0,29.0,106.0,12.0,37.0,32.0,38.0,70.0
2257,0.0,4.0,2.0,1.0,6.0,3.0,5.0,16.0,8.0,9.0,7.0,78.0,13.0,14.0,10.0,11.0,22.0,20.0,23.0,34.0,12.0,95.0,30.0,29.0,102.0,24.0,33.0,32.0,105.0,68.0
2306,0.0,2.0,3.0,1.0,4.0,12.0,5.0,7.0,9.0,10.0,6.0,39.0,30.0,19.0,17.0,11.0,32.0,14.0,25.0,33.0,20.0,95.0,16.0,8.0,23.0,34.0,75.0,15.0,105.0,73.0
2355,0.0,1.0,3.0,4.0,2.0,5.0,7.0,9.0,14.0,8.0,6.0,23.0,10.0,11.0,15.0,21.0,29.0,12.0,41.0,27.0,37.0,124.0,38.0,19.0,25.0,28.0,20.0,31.0,16.0,53.0
2404,0.0,1.0,7.0,2.0,3.0,4.0,5.0,6.0,16.0,9.0,10.0,70.0,15.0,17.0,8.0,11.0,20.0,14.0,19.0,18.0,127.0,130.0,24.0,21.0,84.0,99.0,77.0,68.0,25.0,59.0
2453,1.0,0.0,4.0,3.0,2.0,5.0,21.0,7.0,12.0,11.0,8.0,6.0,23.0,26.0,9.0,15.0,18.0,20.0,14.0,118.0,24.0,90.0,113.0,17.0,22.0,84.0,33.0,32.0,101.0,31.0
2502,2.0,0.0,5.0,18.0,1.0,6.0,4.0,3.0,13.0,8.0,12.0,9.0,21.0,19.0,15.0,10.0,7.0,29.0,17.0,126.0,22.0,130.0,32.0,34.0,14.0,95.0,75.0,20.0,125.0,66.0
2551,0.0,1.0,2.0,3.0,5.0,23.0,12.0,4.0,11.0,14.0,18.0,9.0,55.0,102.0,6.0,7.0,24.0,21.0,8.0,117.0,28.0,17.0,116.0,119.0,100.0,13.0,19.0,26.0,15.0,27.0
2600,0.0,2.0,5.0,4.0,1.0,6.0,9.0,3.0,11.0,14.0,10.0,15.0,17.0,18.0,12.0,8.0,7.0,21.0,13.0,33.0,129.0,26.0,117.0,116.0,22.0,96.0,23.0,28.0,91.0,20.0
2649,0.0,2.0,3.0,5.0,4.0,21.0,9.0,1.0,6.0,22.0,7.0,11.0,23.0,10.0,8.0,16.0,14.0,12.0,13.0,27.0,19.0,35.0,25.0,20.0,33.0,100.0,29.0,40.0,110.0,70.0
2698,0.0,1.0,2.0,5.0,4.0,10.0,8.0,3.0,18.0,25.0,7.0,14.0,9.0,22.0,13.0,30.0,19.0,32.0,24.0,33.0,12.0,94.0,26.0,29.0,101.0,11.0,15.0,6.0,38.0,65.0
2747,1.0,0.0,5.0,6.0,3.0,7.0,10.0,2.0,4.0,14.0,8.0,15.0,23.0,19.0,9.0,16.0,13.0,33.0,11.0,31.0,36.0,17.0,27.0,39.0,106.0,93.0,34.0,29.0,37.0,65.0
2796,1.0,0.0,3.0,6.0,4.0,10.0,24.0,2.0,8.0,12.0,5.0,11.0,17.0,15.0,9.0,21.0,13.0,70.0,26.0,22.0,36.0,18.0,118.0,32.0,16.0,25.0,7.0,30.0,35.0,67.0
2845,0.0,1.0,2.0,4.0,5.0,9.0,8.0,3.0,10.0,13.0,6.0,20.0,14.0,11.0,12.0,18.0,7.0,15.0,17.0,31.0,27.0,92.0,119.0,121.0,99.0,32.0,19.0,25.0,30.0,64.0
2894,0.0,2.0,3.0,7.0,4.0,5.0,10.0,9.0,1.0,14.0,11.0,12.0,25.0,19.0,22.0,6.0,8.0,29.0,26.0,120.0,18.0,102.0,112.0,111.0,87.0,17.0,13.0,21.0,127.0,64.0
2943,0.0,1.0,6.0,5.0,4.0,12.0,3.0,11.0,2.0,8.0,7.0,10.0,14.0,104.0,19.0,22.0,23.0,15.0,32.0,13.0,123.0,21.0,24.0,9.0,16.0,26.0,30.0,74.0,17.0,25.0
2992,1.0,0.0,5.0,4.0,7.0,12.0,3.0,11.0,2.0,8.0,9.0,10.0,15.0,85.0,26.0,6.0,25.0,16.0,21.0,13.0,14.0,97.0,113.0,24.0,17.0,18.0,30.0,65.0,104.0,56.0
3041,0.0,1.0,2.0,6.0,3.0,5.0,11.0,12.0,4.0,9.0,10.0,13.0,7.0,18.0,8.0,126.0,108.0,15.0,80.0,20.0,117.0,14.0,120.0,121.0,97.0,85.0,24.0,19.0,100.0,62.0
3090,0.0,2.0,7.0,4.0,6.0,3.0,5.0,11.0,1.0,8.0,14.0,12.0,16.0,25.0,9.0,31.0,10.0,19.0,18.0,15.0,21.0,32.0,29.0,24.0,20.0,23.0,33.0,75.0,28.0,30.0
3139,0.0,1.0,6.0,2.0,7.0,5.0,4.0,13.0,18.0,8.0,9.0,10.0,36.0,100.0,17.0,19.0,16.0,12.0,15.0,3.0,27.0,11.0,122.0,25.0,22.0,26.0,14.0,73.0,101.0,65.0
3188,0.0,2.0,3.0,4.0,7.0,5.0,6.0,9.0,1.0,21.0,8.0,15.0,13.0,102.0,27.0,29.0,26.0,20.0,24.0,16.0,12.0,14.0,34.0,17.0,22.0,88.0,18.0,71.0,25.0,63.0
3237,0.0,1.0,5.0,2.0,3.0,10.0,6.0,13.0,4.0,8.0,9.0,15.0,17.0,25.0,19.0,12.0,20.0,33.0,16.0,7.0,116.0,26.0,127.0,29.0,100.0,30.0,78.0,72.0,22.0,31.0
3286,0.0,2.0,10.0,3.0,4.0,5.0,8.0,11.0,1.0,6.0,20.0,19.0,15.0,101.0,13.0,7.0,110.0,28.0,12.0,14.0,16.0,32.0,117.0,27.0,18.0,89.0,9.0,74.0,29.0,21.0
3335,1.0,0.0,7.0,2.0,6.0,5.0,8.0,3.0,4.0,14.0,11.0,10.0,16.0,29.0,24.0,12.0,27.0,30.0,22.0,9.0,23.0,94.0,109.0,26.0,19.0,13.0,17.0,64.0,118.0,15.0
3384,0.0,1.0,2.0,8.0,4.0,10.0,6.0,9.0,5.0,14.0,12.0,11.0,21.0,17.0,18.0,13.0,110.0,15.0,7.0,3.0,22.0,101.0,111.0,28.0,95.0,25.0,20.0,59.0,85.0,65.0
3433,0.0,1.0,3.0,10.0,9.0,5.0,7.0,6.0,2.0,17.0,4.0,8.0,14.0,18.0,20.0,36.0,16.0,21.0,23.0,30.0,38.0,98.0,26.0,11.0,24.0,12.0,35.0,32.0,105.0,22.0
3482,1.0,0.0,4.0,5.0,10.0,3.0,6.0,2.0,7.0,24.0,13.0,12.0,17.0,8.0,9.0,107.0,18.0,11.0,16.0,121.0,19.0,25.0,32.0,36.0,15.0,33.0,23.0,14.0,87.0,20.0
3531,0.0,1.0,7.0,5.0,4.0,11.0,2.0,3.0,6.0,9.0,8.0,16.0,19.0,20.0,21.0,10.0,13.0,14.0,32.0,40.0,18.0,38.0,12.0,29.0,102.0,33.0,42.0,76.0,105.0,24.0
3580,0.0,1.0,3.0,5.0,6.0,2.0,10.0,4.0,9.0,20.0,19.0,8.0,22.0,12.0,16.0,17.0,13.0,15.0,23.0,7.0,21.0,25.0,117.0,118.0,100.0,29.0,11.0,30.0,104.0,66.0
3629,1.0,0.0,6.0,5.0,3.0,8.0,2.0,4.0,9.0,19.0,10.0,29.0,11.0,12.0,25.0,22.0,7.0,14.0,20.0,23.0,126.0,98.0,34.0,124.0,21.0,38.0,24.0,65.0,32.0,16.0
3678,0.0,1.0,5.0,8.0,4.0,2.0,7.0,9.0,11.0,3.0,6.0,13.0,18.0,12.0,10.0,15.0,112.0,31.0,27.0,129.0,123.0,14.0,28.0,22.0,32.0,30.0,76.0,23.0,85.0,64.0
3727,0.0,1.0,2.0,6.0,7.0,3.0,4.0,16.0,5.0,28.0,8.0,18.0,24.0,30.0,25.0,10.0,11.0,13.0,113.0,123.0,19.0,9.0,32.0,31.0,21.0,97.0,26.0,14.0,84.0,23.0
