,Akt_pS473,RAD51,Heregulin,GATA3,Caspase-7_cleavedD198,PKC-alpha,Cyclin_E1,PKC-pan_BetaII_pS660,Porin,SHP-2_pY542,MSH6,MIG-6,Bid,p27_pT157,Stathmin,Lck,XBP1,Bax,Annexin_VII,A-Raf_pS299,PAI-1,Acetyl-a-Tubulin (Lys40),TFRC,p53,PEA15,VAV1,PI3K-p85,PEA15_pS116,PDCD4,PDK1
6,0.0,4.0,2.0,3.0,12.0,91.0,21.0,19.0,90.0,39.0,35.0,29.0,1.0,55.0,31.0,5.0,63.0,40.0,36.0,118.0,52.0,121.0,28.0,51.0,25.0,30.0,62.0,27.0,49.0,46.0
55,7.0,82.0,1.0,14.0,20.0,2.0,27.0,35.0,78.0,9.0,26.0,144.0,13.0,23.0,38.0,30.0,61.0,6.0,39.0,4.0,21.0,127.0,70.0,50.0,5.0,64.0,59.0,57.0,42.0,43.0
104,2.0,25.0,1.0,24.0,14.0,63.0,5.0,90.0,89.0,8.0,18.0,143.0,12.0,9.0,28.0,0.0,35.0,30.0,124.0,36.0,37.0,34.0,3.0,52.0,44.0,41.0,77.0,51.0,40.0,42.0
153,0.0,5.0,2.0,12.0,128.0,1.0,3.0,59.0,78.0,8.0,24.0,25.0,10.0,52.0,63.0,7.0,72.0,6.0,125.0,4.0,21.0,29.0,65.0,48.0,45.0,27.0,41.0,44.0,51.0,50.0
202,1.0,2.0,4.0,20.0,16.0,38.0,24.0,3.0,59.0,0.0,13.0,30.0,21.0,26.0,69.0,141.0,28.0,8.0,125.0,9.0,19.0,31.0,66.0,40.0,42.0,60.0,39.0,15.0,50.0,49.0
251,0.0,22.0,1.0,145.0,13.0,3.0,21.0,59.0,89.0,8.0,16.0,35.0,101.0,25.0,6.0,26.0,4.0,23.0,124.0,36.0,47.0,30.0,68.0,57.0,40.0,33.0,41.0,18.0,45.0,44.0
300,0.0,2.0,1.0,145.0,11.0,7.0,3.0,92.0,91.0,49.0,23.0,22.0,28.0,55.0,37.0,136.0,60.0,110.0,117.0,34.0,43.0,122.0,90.0,52.0,46.0,35.0,64.0,50.0,38.0,41.0
349,1.0,0.0,8.0,13.0,98.0,4.0,3.0,84.0,60.0,9.0,32.0,33.0,106.0,39.0,71.0,34.0,62.0,2.0,123.0,5.0,11.0,26.0,41.0,55.0,23.0,63.0,43.0,17.0,12.0,46.0
398,7.0,5.0,31.0,12.0,32.0,0.0,4.0,30.0,61.0,9.0,16.0,23.0,17.0,2.0,6.0,8.0,63.0,1.0,35.0,3.0,43.0,15.0,69.0,53.0,41.0,64.0,54.0,40.0,39.0,36.0
447,0.0,18.0,11.0,17.0,8.0,4.0,154.0,91.0,90.0,10.0,35.0,144.0,104.0,15.0,2.0,28.0,62.0,33.0,31.0,6.0,19.0,29.0,32.0,51.0,43.0,7.0,76.0,44.0,46.0,41.0
496,0.0,21.0,7.0,2.0,12.0,1.0,111.0,41.0,20.0,24.0,16.0,10.0,18.0,29.0,26.0,147.0,4.0,118.0,142.0,38.0,19.0,37.0,79.0,17.0,51.0,27.0,5.0,52.0,55.0,54.0
545,2.0,70.0,22.0,1.0,3.0,6.0,159.0,12.0,13.0,36.0,4.0,28.0,103.0,17.0,33.0,143.0,34.0,37.0,35.0,117.0,89.0,120.0,45.0,29.0,9.0,54.0,0.0,83.0,16.0,11.0
594,0.0,74.0,1.0,25.0,14.0,4.0,19.0,3.0,18.0,71.0,10.0,8.0,109.0,51.0,87.0,140.0,9.0,97.0,112.0,118.0,39.0,127.0,38.0,47.0,30.0,57.0,88.0,90.0,23.0,62.0
643,1.0,0.0,2.0,21.0,16.0,8.0,151.0,20.0,86.0,28.0,10.0,26.0,15.0,51.0,77.0,139.0,33.0,36.0,3.0,117.0,22.0,120.0,87.0,23.0,62.0,37.0,7.0,90.0,39.0,38.0
692,0.0,22.0,2.0,1.0,31.0,21.0,114.0,45.0,46.0,25.0,17.0,16.0,36.0,133.0,84.0,5.0,30.0,35.0,37.0,92.0,62.0,38.0,81.0,67.0,57.0,28.0,20.0,56.0,60.0,59.0
741,0.0,7.0,8.0,5.0,4.0,1.0,152.0,77.0,16.0,79.0,31.0,32.0,105.0,50.0,73.0,37.0,27.0,23.0,40.0,29.0,58.0,121.0,70.0,45.0,48.0,30.0,43.0,47.0,54.0,59.0
790,1.0,5.0,37.0,2.0,14.0,0.0,20.0,21.0,9.0,26.0,3.0,31.0,10.0,43.0,30.0,138.0,38.0,32.0,127.0,117.0,56.0,121.0,28.0,49.0,48.0,64.0,42.0,46.0,53.0,51.0
839,9.0,27.0,0.0,5.0,17.0,26.0,7.0,8.0,46.0,4.0,19.0,6.0,126.0,23.0,3.0,11.0,2.0,36.0,138.0,38.0,58.0,68.0,31.0,63.0,24.0,32.0,50.0,25.0,56.0,55.0
888,0.0,2.0,25.0,1.0,110.0,5.0,156.0,11.0,14.0,33.0,8.0,7.0,109.0,49.0,36.0,4.0,32.0,37.0,112.0,118.0,46.0,3.0,43.0,23.0,28.0,58.0,86.0,88.0,91.0,65.0
937,5.0,12.0,0.0,4.0,2.0,18.0,3.0,92.0,15.0,68.0,6.0,13.0,19.0,8.0,93.0,138.0,35.0,37.0,124.0,33.0,22.0,31.0,90.0,56.0,43.0,61.0,62.0,42.0,20.0,45.0
986,9.0,26.0,12.0,6.0,21.0,1.0,110.0,24.0,43.0,7.0,31.0,142.0,127.0,19.0,28.0,14.0,2.0,8.0,141.0,81.0,56.0,37.0,4.0,22.0,51.0,71.0,39.0,64.0,23.0,53.0
1035,5.0,9.0,154.0,162.0,11.0,28.0,3.0,29.0,6.0,90.0,22.0,142.0,38.0,7.0,8.0,20.0,13.0,34.0,147.0,39.0,27.0,46.0,14.0,26.0,53.0,0.0,66.0,52.0,56.0,55.0
1084,0.0,32.0,30.0,131.0,2.0,89.0,28.0,38.0,23.0,10.0,18.0,163.0,108.0,11.0,4.0,31.0,26.0,95.0,37.0,116.0,20.0,126.0,5.0,47.0,49.0,64.0,60.0,58.0,40.0,42.0
1133,0.0,7.0,4.0,6.0,32.0,8.0,13.0,42.0,25.0,90.0,19.0,143.0,38.0,22.0,29.0,20.0,3.0,36.0,150.0,84.0,58.0,2.0,79.0,63.0,23.0,5.0,44.0,66.0,56.0,55.0
1182,1.0,91.0,27.0,24.0,10.0,3.0,153.0,17.0,16.0,67.0,12.0,163.0,2.0,26.0,85.0,18.0,56.0,95.0,33.0,116.0,6.0,119.0,7.0,46.0,63.0,50.0,0.0,89.0,62.0,90.0
1231,0.0,85.0,3.0,15.0,7.0,33.0,4.0,5.0,19.0,24.0,2.0,28.0,100.0,36.0,34.0,140.0,27.0,16.0,126.0,29.0,50.0,120.0,31.0,51.0,17.0,6.0,40.0,44.0,48.0,47.0
1280,0.0,57.0,17.0,11.0,33.0,22.0,4.0,3.0,51.0,26.0,9.0,142.0,121.0,18.0,27.0,147.0,31.0,40.0,41.0,39.0,63.0,36.0,28.0,32.0,58.0,29.0,19.0,67.0,20.0,60.0
1329,6.0,86.0,1.0,15.0,12.0,2.0,154.0,91.0,20.0,78.0,34.0,143.0,105.0,25.0,3.0,140.0,28.0,23.0,123.0,30.0,57.0,117.0,69.0,54.0,46.0,33.0,92.0,45.0,51.0,50.0
1378,0.0,2.0,11.0,3.0,21.0,19.0,114.0,22.0,23.0,4.0,6.0,7.0,112.0,100.0,1.0,8.0,33.0,41.0,38.0,83.0,60.0,69.0,80.0,65.0,56.0,75.0,67.0,55.0,20.0,58.0
1427,1.0,2.0,141.0,8.0,4.0,64.0,0.0,92.0,13.0,68.0,23.0,22.0,9.0,55.0,84.0,20.0,32.0,27.0,115.0,38.0,40.0,123.0,36.0,50.0,49.0,34.0,65.0,63.0,43.0,44.0
1476,4.0,0.0,1.0,11.0,32.0,20.0,111.0,19.0,22.0,26.0,13.0,17.0,37.0,64.0,29.0,14.0,70.0,36.0,50.0,86.0,56.0,96.0,78.0,61.0,51.0,7.0,38.0,6.0,54.0,53.0
1525,1.0,4.0,21.0,15.0,3.0,6.0,5.0,84.0,11.0,75.0,133.0,27.0,31.0,0.0,39.0,24.0,60.0,108.0,7.0,119.0,42.0,33.0,45.0,22.0,64.0,35.0,88.0,92.0,46.0,63.0
1574,1.0,2.0,5.0,12.0,6.0,57.0,0.0,77.0,78.0,22.0,144.0,143.0,11.0,45.0,30.0,27.0,70.0,3.0,119.0,118.0,18.0,121.0,62.0,10.0,40.0,68.0,4.0,19.0,43.0,42.0
1623,2.0,1.0,11.0,0.0,3.0,42.0,4.0,44.0,51.0,24.0,30.0,15.0,31.0,19.0,81.0,13.0,29.0,38.0,5.0,89.0,21.0,46.0,78.0,20.0,67.0,27.0,41.0,52.0,57.0,56.0
1672,0.0,2.0,6.0,19.0,11.0,16.0,4.0,13.0,84.0,27.0,10.0,3.0,109.0,46.0,32.0,20.0,35.0,1.0,33.0,117.0,41.0,127.0,5.0,22.0,90.0,30.0,17.0,89.0,61.0,91.0
