,hsa-miR-579,hsa-miR-223,hsa-miR-142-5p,hsa-miR-519e,hsa-miR-558,hsa-miR-1975,hsa-miR-34a,hsa-miR-605,hsa-miR-302d,hsa-miR-133b,hsa-miR-513a-5p,hsa-miR-592,hsa-miR-520c-3p,hsa-miR-9,hsa-miR-1297,hsa-miR-526b,hsa-miR-424,hsa-let-7e,hsa-miR-571,hsa-miR-222,hsa-miR-614,hsa-miR-545,hsa-miR-708,hsa-miR-197,hsa-miR-484,hsa-miR-1287,hsa-miR-1978,hsa-miR-155,hsa-miR-33b,ebv-miR-BART5
18,0.0,6.0,12.0,2.0,129.0,44.0,4.0,31.0,19.0,1.0,270.0,38.0,58.0,51.0,87.0,116.0,66.0,59.0,8.0,69.0,32.0,29.0,13.0,186.0,134.0,14.0,451.0,120.0,558.0,81.0
67,0.0,3.0,74.0,22.0,4.0,53.0,15.0,357.0,9.0,20.0,41.0,87.0,1.0,11.0,2.0,40.0,28.0,49.0,13.0,14.0,125.0,5.0,68.0,129.0,143.0,170.0,17.0,33.0,51.0,201.0
116,0.0,7.0,157.0,13.0,5.0,12.0,4.0,17.0,52.0,42.0,21.0,56.0,8.0,230.0,37.0,45.0,337.0,117.0,59.0,1.0,14.0,500.0,519.0,249.0,169.0,9.0,190.0,29.0,177.0,20.0
165,0.0,2.0,179.0,20.0,3.0,8.0,42.0,91.0,18.0,40.0,109.0,10.0,25.0,337.0,80.0,41.0,5.0,4.0,13.0,6.0,86.0,57.0,59.0,336.0,152.0,129.0,1.0,44.0,119.0,24.0
214,0.0,1.0,2.0,8.0,59.0,7.0,73.0,14.0,13.0,31.0,110.0,6.0,42.0,233.0,25.0,88.0,11.0,64.0,415.0,5.0,66.0,63.0,35.0,32.0,358.0,10.0,4.0,9.0,15.0,18.0
263,2.0,1.0,189.0,7.0,104.0,0.0,233.0,5.0,47.0,15.0,266.0,4.0,22.0,3.0,11.0,60.0,9.0,283.0,10.0,8.0,88.0,130.0,59.0,27.0,53.0,51.0,17.0,205.0,84.0,149.0
312,1.0,18.0,21.0,11.0,29.0,89.0,0.0,151.0,4.0,7.0,10.0,2.0,14.0,177.0,127.0,62.0,116.0,149.0,186.0,3.0,214.0,100.0,147.0,43.0,13.0,45.0,69.0,6.0,283.0,47.0
361,0.0,82.0,78.0,4.0,44.0,3.0,52.0,373.0,7.0,25.0,12.0,207.0,22.0,23.0,8.0,68.0,17.0,199.0,9.0,1.0,121.0,482.0,18.0,31.0,49.0,57.0,227.0,548.0,557.0,344.0
410,0.0,50.0,65.0,373.0,613.0,7.0,16.0,4.0,35.0,28.0,300.0,259.0,11.0,206.0,131.0,97.0,78.0,53.0,25.0,27.0,90.0,109.0,57.0,47.0,375.0,20.0,52.0,8.0,147.0,60.0
459,3.0,0.0,5.0,9.0,12.0,2.0,11.0,58.0,6.0,1.0,95.0,117.0,191.0,43.0,4.0,136.0,54.0,556.0,167.0,13.0,70.0,585.0,44.0,15.0,25.0,7.0,107.0,183.0,179.0,302.0
508,6.0,82.0,15.0,1.0,0.0,63.0,46.0,25.0,14.0,5.0,42.0,19.0,209.0,2.0,179.0,43.0,12.0,21.0,196.0,26.0,255.0,37.0,390.0,351.0,108.0,30.0,101.0,208.0,22.0,7.0
557,52.0,0.0,16.0,27.0,1.0,119.0,3.0,15.0,4.0,5.0,8.0,137.0,89.0,105.0,12.0,36.0,13.0,209.0,217.0,469.0,30.0,132.0,91.0,262.0,84.0,11.0,133.0,70.0,28.0,603.0
606,0.0,9.0,22.0,24.0,3.0,16.0,2.0,10.0,40.0,68.0,6.0,8.0,1.0,42.0,166.0,105.0,30.0,204.0,121.0,192.0,134.0,181.0,388.0,429.0,13.0,353.0,31.0,208.0,15.0,281.0
655,0.0,18.0,32.0,48.0,1.0,28.0,3.0,2.0,20.0,5.0,51.0,16.0,39.0,135.0,120.0,103.0,17.0,467.0,195.0,104.0,30.0,306.0,183.0,279.0,22.0,54.0,496.0,284.0,12.0,84.0
704,9.0,6.0,4.0,71.0,13.0,1.0,35.0,14.0,3.0,25.0,93.0,27.0,67.0,229.0,62.0,383.0,7.0,267.0,415.0,0.0,38.0,83.0,209.0,196.0,104.0,29.0,119.0,99.0,159.0,40.0
753,42.0,7.0,1.0,202.0,0.0,11.0,2.0,27.0,6.0,17.0,66.0,12.0,19.0,128.0,89.0,204.0,10.0,390.0,132.0,35.0,88.0,23.0,183.0,554.0,138.0,152.0,225.0,8.0,155.0,509.0
802,12.0,15.0,11.0,16.0,149.0,104.0,33.0,19.0,3.0,10.0,7.0,2.0,43.0,125.0,90.0,216.0,108.0,189.0,36.0,4.0,204.0,26.0,62.0,265.0,68.0,9.0,58.0,8.0,583.0,345.0
851,1.0,0.0,4.0,37.0,115.0,3.0,2.0,82.0,29.0,9.0,48.0,11.0,6.0,484.0,41.0,17.0,28.0,36.0,33.0,39.0,448.0,76.0,95.0,89.0,145.0,124.0,220.0,68.0,26.0,168.0
900,34.0,49.0,3.0,62.0,1.0,529.0,0.0,4.0,237.0,5.0,19.0,16.0,61.0,201.0,168.0,97.0,121.0,70.0,20.0,31.0,29.0,156.0,336.0,492.0,25.0,104.0,85.0,84.0,503.0,328.0
949,9.0,4.0,87.0,112.0,6.0,39.0,60.0,0.0,3.0,103.0,82.0,2.0,27.0,5.0,229.0,41.0,10.0,7.0,173.0,66.0,303.0,150.0,214.0,64.0,11.0,304.0,72.0,70.0,16.0,163.0
998,1.0,4.0,0.0,7.0,55.0,24.0,29.0,9.0,34.0,45.0,66.0,204.0,16.0,6.0,5.0,201.0,12.0,207.0,38.0,42.0,21.0,141.0,208.0,192.0,61.0,354.0,161.0,327.0,342.0,3.0
1047,0.0,1.0,9.0,24.0,6.0,25.0,10.0,221.0,506.0,83.0,7.0,65.0,127.0,4.0,2.0,51.0,481.0,331.0,12.0,17.0,136.0,128.0,216.0,145.0,105.0,53.0,8.0,451.0,67.0,18.0
1096,0.0,45.0,25.0,12.0,450.0,7.0,1.0,27.0,35.0,161.0,15.0,374.0,37.0,2.0,6.0,22.0,28.0,227.0,176.0,4.0,60.0,111.0,67.0,29.0,24.0,295.0,306.0,8.0,73.0,13.0
1145,1.0,2.0,8.0,37.0,372.0,10.0,138.0,248.0,5.0,49.0,0.0,77.0,3.0,38.0,6.0,105.0,88.0,438.0,87.0,13.0,67.0,68.0,16.0,386.0,58.0,118.0,185.0,125.0,54.0,551.0
