,XBP1,AMPK_pT172,4E-BP1,Rictor_pT1135,Transglutaminase,RSK1-2-3,IRS1,YAP_pS127,CD49b,A-Raf_pS299,Claudin-7,STAT5-alpha,Chk2,beta-Catenin,alpha-Catenin,NDRG1_pT346,HER3,Bax,PAI-1,E-Cadherin,Bcl-2,C-Raf_pS338,MSH6,C-Raf(BD610151),Akt_pS473,RAD51,C-Raf(MP05-739),Rab25,MDMX_MDM4(BetIHC-00108),PRDX1
0,1.0,0.0,2.0,10.0,3.0,31.0,17.0,44.0,11.0,25.0,48.0,13.0,37.0,82.0,45.0,57.0,52.0,21.0,19.0,41.0,5.0,38.0,6.0,115.0,15.0,9.0,32.0,12.0,103.0,75.0
49,0.0,1.0,4.0,3.0,10.0,42.0,16.0,43.0,5.0,26.0,12.0,28.0,65.0,13.0,2.0,35.0,72.0,18.0,15.0,9.0,80.0,110.0,25.0,83.0,160.0,84.0,21.0,64.0,73.0,51.0
98,3.0,2.0,11.0,4.0,0.0,10.0,7.0,91.0,1.0,69.0,6.0,9.0,115.0,61.0,23.0,50.0,27.0,12.0,14.0,75.0,8.0,47.0,31.0,73.0,35.0,28.0,21.0,76.0,54.0,117.0
147,3.0,2.0,62.0,11.0,10.0,5.0,14.0,37.0,1.0,26.0,15.0,9.0,18.0,69.0,22.0,102.0,92.0,52.0,60.0,12.0,31.0,24.0,20.0,4.0,70.0,107.0,0.0,6.0,42.0,109.0
196,0.0,14.0,8.0,6.0,1.0,30.0,7.0,48.0,21.0,37.0,11.0,25.0,35.0,119.0,17.0,61.0,164.0,45.0,54.0,2.0,85.0,28.0,4.0,13.0,27.0,12.0,5.0,3.0,103.0,93.0
245,1.0,3.0,0.0,2.0,4.0,7.0,30.0,69.0,6.0,17.0,16.0,9.0,25.0,72.0,103.0,64.0,111.0,33.0,20.0,28.0,18.0,42.0,31.0,40.0,38.0,46.0,22.0,27.0,8.0,39.0
294,0.0,1.0,2.0,4.0,10.0,21.0,6.0,87.0,30.0,24.0,3.0,41.0,126.0,62.0,29.0,50.0,26.0,101.0,100.0,90.0,14.0,20.0,18.0,44.0,27.0,16.0,97.0,9.0,102.0,89.0
343,0.0,3.0,2.0,7.0,1.0,8.0,4.0,133.0,19.0,47.0,5.0,6.0,25.0,127.0,90.0,30.0,137.0,73.0,14.0,162.0,75.0,17.0,10.0,33.0,58.0,24.0,20.0,11.0,49.0,56.0
392,0.0,6.0,5.0,2.0,3.0,15.0,8.0,22.0,4.0,14.0,1.0,41.0,24.0,11.0,10.0,27.0,70.0,13.0,40.0,7.0,92.0,16.0,17.0,45.0,36.0,33.0,25.0,12.0,26.0,106.0
441,2.0,0.0,21.0,7.0,4.0,8.0,22.0,24.0,1.0,9.0,3.0,113.0,14.0,27.0,5.0,107.0,26.0,41.0,23.0,19.0,10.0,17.0,13.0,47.0,154.0,28.0,16.0,6.0,33.0,98.0
