,DOCK1,WWTR1,AGAP2,TFEB,CTSL,CDC42BPA,NTN4,C3orf52,SLC35D2,RGS20,S100A16,PTGR1,LIMA1,ATXN7L3B,KLF13,RP11-85G20.1,ORC1,PPIC,VAMP3,CTC-436P18.3,PHF8,RP11-175P19.2,AVPI1,SLC4A3,PERP,CD9,SLC38A6,RAET1G,CLASP2,ITGB5
11,0.0,2.0,4.0,22941.0,46.0,17883.0,20.0,12852.0,36.0,72.0,98.0,75.0,5865.0,4967.0,44.0,22.0,25.0,22000.0,18.0,61.0,8453.0,106.0,13.0,26.0,23365.0,5805.0,1.0,65.0,12551.0,219.0
60,2.0,4.0,5.0,7.0,14.0,1.0,16.0,31.0,40.0,34.0,64.0,45.0,94.0,24.0,28.0,103.0,133.0,116.0,156.0,15.0,50.0,18.0,57.0,60.0,97.0,10.0,35.0,23337.0,49.0,86.0
109,0.0,1.0,7.0,2.0,9.0,3.0,4.0,12911.0,56.0,20.0,94.0,24.0,115.0,52.0,19.0,58.0,13.0,22027.0,63.0,366.0,27.0,73.0,43.0,30.0,23362.0,124.0,8.0,23341.0,12483.0,14.0
158,1.0,3.0,10.0,12.0,39.0,116.0,23.0,78.0,45.0,8.0,92.0,13.0,88.0,5245.0,2967.0,74.0,15434.0,127.0,162.0,140.0,708.0,83.0,69.0,4.0,79.0,195.0,38.0,23349.0,110.0,258.0
207,0.0,6.0,4.0,1.0,9.0,3.0,38.0,58.0,49.0,40.0,150.0,50.0,6642.0,55.0,44.0,125.0,135.0,289.0,16201.0,21689.0,8505.0,97.0,52.0,48.0,1027.0,287.0,31.0,76.0,12786.0,229.0
256,0.0,7.0,9.0,2.0,20214.0,1.0,24.0,97.0,76.0,100.0,88.0,72.0,114.0,1314.0,31.0,79.0,655.0,104.0,98.0,21403.0,49.0,78.0,13.0,28.0,119.0,62.0,50.0,23100.0,12550.0,172.0
305,0.0,6.0,7.0,1.0,45.0,10.0,24.0,27.0,49.0,11.0,9.0,92.0,75.0,22.0,43.0,145.0,16.0,77.0,125.0,21406.0,23.0,50.0,14.0,8.0,99.0,13.0,197.0,23318.0,1816.0,93.0
354,2.0,11.0,24.0,4.0,33.0,73.0,42.0,781.0,34.0,37.0,111.0,35.0,28.0,114.0,49.0,25.0,8.0,206.0,72.0,63.0,8494.0,64.0,5.0,20.0,67.0,78.0,6.0,23108.0,12590.0,124.0
403,0.0,7.0,6.0,42.0,19.0,3.0,27.0,31.0,46.0,23.0,63.0,123.0,6724.0,62.0,25.0,4429.0,93.0,21991.0,28.0,21632.0,8487.0,15068.0,24.0,29.0,41.0,55.0,37.0,64.0,15.0,144.0
452,2.0,94.0,20.0,0.0,16.0,171.0,29.0,12863.0,17.0,106.0,95.0,68.0,19.0,6969.0,63.0,84.0,91.0,22002.0,90.0,21640.0,8.0,60.0,12.0,92.0,23266.0,36.0,31.0,2028.0,12552.0,12947.0
501,0.0,38.0,1.0,22932.0,180.0,7.0,17.0,24.0,35.0,18976.0,43.0,95.0,76.0,19.0,39.0,75.0,52.0,22005.0,54.0,27.0,56.0,28.0,170.0,104.0,14.0,166.0,6471.0,66.0,12759.0,12936.0
550,0.0,20.0,9.0,7.0,40.0,100.0,5.0,150.0,19.0,138.0,47.0,78.0,74.0,13.0,71.0,22.0,117.0,84.0,16.0,44.0,24.0,33.0,12.0,13515.0,1636.0,52.0,96.0,48.0,50.0,76.0
599,1.0,0.0,2.0,26.0,104.0,160.0,10.0,12984.0,67.0,19011.0,46.0,121.0,79.0,29.0,106.0,7.0,109.0,68.0,95.0,21407.0,10849.0,49.0,19418.0,13534.0,147.0,5147.0,18.0,53.0,70.0,92.0
648,0.0,45.0,1.0,41.0,69.0,72.0,21.0,97.0,10.0,3.0,35.0,49.0,92.0,12.0,90.0,61.0,111.0,42.0,53.0,28.0,8.0,14.0,58.0,70.0,2625.0,78.0,22.0,50.0,6.0,789.0
697,0.0,9.0,24.0,62.0,125.0,10.0,7.0,12958.0,68.0,2232.0,109.0,99.0,172.0,41.0,55.0,3422.0,26.0,135.0,179.0,52.0,21.0,1650.0,19648.0,76.0,23254.0,110.0,43.0,57.0,89.0,14752.0
746,1.0,21.0,9.0,4.0,54.0,0.0,6.0,12988.0,25.0,471.0,35.0,77.0,52.0,7.0,62.0,78.0,31.0,21996.0,42.0,779.0,11.0,28.0,115.0,43.0,23357.0,177.0,48.0,148.0,41.0,8.0
795,4.0,9.0,15.0,8.0,114.0,216.0,37.0,30.0,6.0,94.0,99.0,157.0,38.0,20.0,260.0,62.0,0.0,22006.0,43.0,171.0,8526.0,68.0,19872.0,46.0,23250.0,461.0,71.0,143.0,12568.0,82.0
844,0.0,11.0,7.0,21131.0,12.0,1.0,21.0,65.0,4.0,19010.0,27.0,37.0,74.0,6959.0,63.0,103.0,6.0,32.0,39.0,21623.0,42.0,3.0,52.0,51.0,30.0,143.0,53.0,31.0,18.0,14768.0
893,0.0,4.0,1.0,11.0,27.0,5.0,28.0,12996.0,35.0,22.0,20.0,136.0,47.0,23.0,50.0,71.0,6.0,55.0,16176.0,21405.0,14.0,10.0,31.0,102.0,124.0,61.0,78.0,40.0,49.0,9.0
942,3.0,1.0,23.0,7.0,88.0,152.0,20.0,37.0,48.0,51.0,29.0,67.0,45.0,15.0,105.0,36.0,99.0,541.0,63.0,21626.0,8468.0,11.0,19863.0,79.0,62.0,169.0,25.0,54.0,26.0,8.0
991,1.0,2.0,4.0,10.0,5.0,17640.0,11.0,12951.0,89.0,24.0,49.0,64.0,23.0,6957.0,111.0,4136.0,83.0,78.0,8.0,21636.0,8463.0,858.0,19890.0,41.0,84.0,22.0,63.0,23332.0,26.0,3.0
1040,1.0,0.0,9.0,8.0,5.0,12.0,26.0,2.0,72.0,13.0,37.0,57.0,10.0,71.0,64.0,44.0,58.0,40.0,16218.0,11.0,22.0,15081.0,32.0,67.0,35.0,41.0,3252.0,61.0,6.0,19.0
1089,1.0,0.0,9.0,2.0,7.0,3.0,12.0,50.0,70.0,15.0,26.0,86.0,29.0,6979.0,75.0,10.0,53.0,34.0,213.0,21643.0,5.0,52.0,81.0,74.0,54.0,47.0,158.0,23348.0,17.0,22.0
1138,0.0,2.0,6.0,1.0,8.0,17658.0,19.0,4.0,41.0,63.0,55.0,73.0,80.0,2005.0,17.0,12.0,65.0,42.0,157.0,100.0,8504.0,130.0,241.0,59.0,52.0,43.0,115.0,23348.0,14.0,53.0
1187,0.0,1.0,7.0,83.0,5.0,69.0,6.0,12957.0,13.0,16.0,37.0,54.0,25.0,64.0,43.0,77.0,27.0,30.0,19.0,57.0,4.0,15072.0,71.0,55.0,20.0,18.0,68.0,23329.0,10.0,12.0
1236,1.0,0.0,2.0,22933.0,9.0,135.0,11.0,17.0,27.0,3.0,31.0,19.0,42.0,103.0,47.0,4168.0,7.0,22.0,12.0,64.0,736.0,15056.0,51.0,13502.0,16.0,73.0,96.0,106.0,8.0,5.0
1285,1.0,0.0,8.0,61.0,10.0,133.0,16.0,22.0,33.0,18971.0,13.0,32.0,68.0,6968.0,96.0,3.0,35.0,30.0,307.0,64.0,8494.0,113.0,19883.0,12.0,54.0,86.0,3088.0,37.0,14.0,4.0
1334,2.0,0.0,9.0,12.0,21.0,8.0,11.0,12980.0,50.0,6.0,99.0,102.0,25.0,191.0,90.0,157.0,16363.0,31.0,23.0,85.0,8480.0,15091.0,66.0,55.0,29.0,5767.0,168.0,42.0,30.0,1.0
1383,2.0,1.0,9.0,138.0,0.0,187.0,28.0,6.0,36.0,12.0,13.0,98.0,60.0,40.0,97.0,25.0,20.0,67.0,16215.0,21635.0,27.0,15079.0,68.0,87.0,29.0,83.0,71.0,23350.0,19.0,43.0
1432,2.0,1.0,7.0,4.0,10.0,207.0,6.0,12991.0,28.0,113.0,35.0,9.0,21.0,60.0,122.0,392.0,39.0,50.0,11.0,69.0,8451.0,15072.0,148.0,81.0,30.0,70.0,3049.0,58.0,12551.0,45.0
1481,0.0,3.0,15.0,88.0,49.0,17644.0,27.0,23.0,35.0,173.0,37.0,10.0,6598.0,6575.0,62.0,33.0,65.0,103.0,72.0,26.0,1783.0,87.0,57.0,114.0,45.0,96.0,89.0,43.0,12487.0,109.0
1530,0.0,2.0,4.0,598.0,23.0,65.0,22.0,14.0,30.0,337.0,85.0,21.0,102.0,5668.0,58.0,80.0,16338.0,56.0,63.0,20.0,16.0,84.0,49.0,99.0,52.0,36.0,103.0,23318.0,98.0,94.0
1579,0.0,2.0,9.0,1.0,24.0,69.0,22.0,12959.0,15.0,19045.0,43.0,49.0,7481.0,6534.0,65.0,29.0,15446.0,2109.0,8.0,32.0,17.0,119.0,19873.0,139.0,55.0,80.0,25.0,103.0,54.0,100.0
1628,0.0,2.0,1.0,5.0,7.0,113.0,10.0,24.0,36.0,4.0,52.0,82.0,63.0,4828.0,30.0,3556.0,16323.0,75.0,87.0,25.0,8486.0,68.0,38.0,64.0,109.0,65.0,99.0,80.0,12537.0,141.0
1677,0.0,2.0,1.0,22946.0,29.0,144.0,11.0,34.0,8.0,19047.0,36.0,51.0,6604.0,6518.0,18.0,9.0,13.0,78.0,23.0,10.0,20.0,105.0,69.0,88.0,91.0,24.0,54.0,45.0,12539.0,103.0
1726,0.0,3.0,7.0,11.0,20196.0,220.0,56.0,22.0,41.0,16.0,43.0,37.0,49.0,5012.0,28.0,62.0,15884.0,18.0,174.0,50.0,30.0,135.0,19891.0,75.0,35.0,42.0,29.0,70.0,34.0,12.0
1775,0.0,2.0,1.0,3.0,28.0,4.0,51.0,39.0,63.0,18978.0,91.0,20270.0,1272.0,1053.0,19.0,13.0,107.0,53.0,58.0,21520.0,36.0,98.0,30.0,13545.0,145.0,177.0,3217.0,23353.0,20.0,136.0
1824,0.0,4.0,9.0,10.0,5.0,6.0,29.0,34.0,37.0,36.0,52.0,72.0,1139.0,6749.0,81.0,3.0,16347.0,87.0,96.0,24.0,8494.0,47.0,104.0,13557.0,60.0,55.0,3047.0,31.0,90.0,8.0
1873,2.0,3.0,13.0,5.0,4.0,0.0,1.0,8.0,35.0,693.0,87.0,41.0,5666.0,4761.0,70.0,23.0,31.0,46.0,119.0,32.0,22.0,156.0,19648.0,17.0,145.0,100.0,83.0,23326.0,72.0,96.0
1922,1.0,0.0,11.0,14.0,20.0,142.0,26.0,27.0,31.0,56.0,30.0,40.0,21.0,6933.0,23.0,75.0,74.0,64.0,76.0,21518.0,8422.0,52.0,68.0,13494.0,23395.0,66.0,3117.0,117.0,102.0,121.0
1971,0.0,2.0,9.0,91.0,8.0,63.0,17.0,25.0,39.0,21.0,19.0,60.0,23.0,54.0,45.0,165.0,73.0,53.0,59.0,1.0,11.0,69.0,103.0,15.0,89.0,13.0,37.0,35.0,12450.0,58.0
2020,2.0,6.0,5.0,0.0,20.0,68.0,19.0,43.0,15.0,54.0,16.0,51.0,25.0,66.0,83.0,63.0,37.0,22027.0,24.0,10.0,28.0,82.0,241.0,72.0,138.0,4.0,80.0,40.0,12512.0,14784.0
2069,0.0,1.0,22.0,2.0,14.0,71.0,3.0,12860.0,24.0,35.0,16.0,43.0,34.0,52.0,40.0,15.0,62.0,2668.0,70.0,28.0,11.0,21.0,19649.0,103.0,143.0,42.0,61.0,76.0,592.0,13.0
2118,0.0,3.0,12.0,1.0,6.0,2.0,10.0,15.0,8.0,40.0,19.0,29.0,33.0,82.0,130.0,71.0,268.0,26.0,62.0,5.0,22.0,118.0,60.0,34.0,86.0,106.0,55.0,27.0,12653.0,46.0
2167,1.0,4.0,13.0,23.0,31.0,2.0,14.0,29.0,17.0,5.0,25.0,50.0,46.0,26.0,43.0,42.0,12.0,75.0,69.0,18.0,9.0,119.0,187.0,7.0,121.0,73.0,3080.0,100.0,244.0,146.0
2216,2.0,8.0,11.0,0.0,18.0,1.0,30.0,89.0,31.0,74.0,27.0,70.0,34.0,5051.0,13.0,41.0,5.0,22030.0,12.0,2112.0,22.0,83.0,19877.0,114.0,84.0,111.0,75.0,58.0,20.0,235.0
2265,0.0,4.0,25.0,1.0,16.0,3.0,63.0,55.0,21.0,44.0,31.0,20027.0,69.0,54.0,37.0,15.0,33.0,22006.0,27.0,26.0,732.0,87.0,115.0,13565.0,62.0,36.0,51.0,30.0,414.0,13828.0
2314,0.0,7.0,6.0,136.0,3.0,5.0,33.0,27.0,34.0,36.0,26.0,48.0,37.0,57.0,42.0,21.0,58.0,46.0,11.0,16.0,22.0,54.0,63.0,30.0,168.0,88.0,10.0,97.0,1113.0,151.0
2363,0.0,11.0,4.0,101.0,18.0,154.0,33.0,21.0,27.0,14.0,20.0,44.0,66.0,58.0,47.0,2999.0,67.0,21999.0,32.0,31.0,867.0,100.0,19861.0,161.0,56.0,4985.0,22.0,40.0,12551.0,14764.0
2412,2.0,8.0,29.0,25.0,20.0,17.0,16.0,33.0,30.0,9.0,10.0,142.0,5858.0,7.0,132.0,24.0,93.0,47.0,27.0,89.0,41.0,103.0,57.0,26.0,64.0,158.0,0.0,54.0,12508.0,161.0
2461,3.0,9.0,2.0,115.0,5.0,17886.0,33.0,6.0,40.0,32.0,59.0,13.0,51.0,34.0,315.0,78.0,16352.0,134.0,193.0,25.0,6957.0,176.0,26.0,57.0,41.0,133.0,49.0,80.0,67.0,1.0
2510,0.0,10.0,16.0,163.0,35.0,6.0,5.0,42.0,95.0,51.0,65.0,84.0,47.0,6558.0,400.0,82.0,15909.0,68.0,16180.0,21644.0,3569.0,119.0,17.0,13542.0,23362.0,108.0,125.0,23338.0,59.0,539.0
2559,0.0,1.0,4.0,3.0,13.0,15.0,9.0,12968.0,10.0,70.0,53.0,49.0,7426.0,88.0,124.0,61.0,15421.0,21955.0,178.0,21424.0,383.0,120.0,41.0,141.0,80.0,7235.0,72.0,23138.0,12505.0,183.0
2608,2.0,0.0,10.0,1.0,3.0,123.0,20.0,71.0,80.0,31.0,61.0,33.0,24.0,28.0,196.0,3630.0,1352.0,77.0,16241.0,1957.0,8500.0,15212.0,25.0,13575.0,83.0,5272.0,7.0,23318.0,12534.0,156.0
2657,3.0,128.0,15.0,0.0,20.0,1.0,25.0,2.0,16.0,73.0,43.0,35.0,38.0,96.0,289.0,62.0,251.0,18.0,142.0,54.0,8515.0,141.0,53.0,301.0,165.0,79.0,150.0,127.0,11.0,242.0
2706,1.0,14590.0,15.0,6.0,46.0,0.0,33.0,2.0,52.0,54.0,12.0,9.0,27.0,7205.0,85.0,47.0,15898.0,62.0,16226.0,21642.0,898.0,61.0,17.0,13527.0,98.0,141.0,227.0,23386.0,88.0,192.0
2755,1.0,2.0,7.0,0.0,27.0,259.0,8.0,39.0,119.0,36.0,40.0,60.0,21.0,91.0,264.0,84.0,16363.0,107.0,110.0,34.0,1751.0,28.0,29.0,13561.0,114.0,128.0,45.0,82.0,63.0,169.0
2804,1.0,45.0,11.0,3.0,8.0,0.0,9.0,41.0,108.0,19.0,97.0,18.0,43.0,46.0,305.0,95.0,16364.0,21890.0,16237.0,21614.0,8484.0,76.0,44.0,931.0,70.0,5557.0,69.0,23333.0,68.0,180.0
2853,3.0,2.0,12.0,1.0,9.0,2036.0,22.0,25.0,7.0,29.0,34.0,23.0,2555.0,30.0,235.0,66.0,16233.0,46.0,32.0,21405.0,8431.0,99.0,14.0,13573.0,17.0,88.0,5.0,23228.0,41.0,71.0
2902,2.0,155.0,9.0,39.0,70.0,0.0,48.0,36.0,65.0,18993.0,10.0,32.0,44.0,1055.0,3938.0,22.0,15877.0,87.0,16176.0,21626.0,8467.0,111.0,40.0,13503.0,35.0,88.0,3362.0,136.0,12536.0,16.0
2951,0.0,5.0,16.0,22034.0,15.0,87.0,46.0,32.0,24.0,2.0,22.0,98.0,36.0,23.0,11.0,3.0,8.0,42.0,86.0,21638.0,4.0,62.0,19650.0,40.0,64.0,56.0,3547.0,114.0,19.0,45.0
3000,1.0,39.0,2.0,196.0,7.0,14.0,16.0,0.0,32.0,3.0,28.0,30.0,34.0,6545.0,63.0,71.0,4.0,68.0,159.0,45.0,22.0,69.0,19422.0,56.0,23300.0,165.0,3452.0,23.0,17.0,84.0
3049,0.0,1.0,3.0,22937.0,16.0,141.0,26.0,4.0,31.0,25.0,2.0,17.0,30.0,23.0,71.0,95.0,42.0,24.0,73.0,21396.0,18.0,55.0,2390.0,99.0,101.0,58.0,2913.0,57.0,12.0,48.0
3098,0.0,2.0,11.0,22939.0,4.0,124.0,30.0,28.0,3.0,1.0,34.0,41.0,6718.0,45.0,72.0,88.0,7.0,37.0,89.0,12.0,25.0,35.0,53.0,52.0,119.0,77.0,73.0,57.0,19.0,43.0
3147,1.0,8.0,10.0,1159.0,24.0,12.0,16.0,22.0,43.0,4.0,37.0,49.0,30.0,6956.0,104.0,13.0,45.0,28.0,16155.0,72.0,23.0,53.0,18.0,60.0,38.0,81.0,3460.0,65.0,42.0,44.0
3196,1.0,6.0,5.0,3.0,4.0,0.0,20.0,12961.0,32.0,67.0,23.0,39.0,31.0,55.0,79.0,84.0,2.0,62.0,93.0,21423.0,58.0,56.0,19888.0,12.0,47.0,76.0,96.0,27.0,22.0,25.0
