,MYH9_MUT,FLNB_MUT,HLA-DRB6_DEL,RNF103-CHMP3_DEL,GUCY2C_MUT,LOC401177_AMP,SRD5A1_AMP,SGCZ_DEL,SNORD123_AMP,PI4KA_MUT,LOC100133267_DEL,GPR112_MUT,LOC100505806_AMP,RMND5A_DEL,ETS1_DEL,ROPN1L_AMP,CHD1_MUT,PHF3_MUT,FASTKD3_AMP,LOC729506_AMP,DAP_AMP,CCT5_AMP,ZNF705D_DEL,SLC25A24_DEL,LOC392196_DEL,LOC440704_AMP,PTCH1_AMP,TSHZ2_AMP,LOC100505738_AMP,IRX2_AMP
32,12.0,14.0,10.0,32.0,118.0,9.0,22.0,5.0,83.0,7.0,39.0,3386.0,162.0,450.0,847.0,25.0,4.0,0.0,60.0,20.0,108.0,23.0,102.0,505.0,170.0,67.0,15.0,1147.0,37.0,18.0
81,7.0,0.0,33.0,30.0,1052.0,13.0,35.0,966.0,66.0,114.0,31.0,9.0,157.0,5.0,65.0,22803.0,72.0,1.0,158.0,129.0,97.0,159.0,909.0,117.0,3643.0,38.0,99.0,131.0,18.0,220.0
130,14.0,7.0,8.0,0.0,37.0,457.0,13.0,2676.0,11.0,94.0,3.0,607.0,219.0,28.0,20.0,22919.0,33.0,2.0,31.0,45.0,47.0,220.0,73.0,166.0,74.0,64.0,204.0,866.0,35.0,30.0
179,0.0,3.0,14.0,86.0,39.0,7.0,13.0,9.0,196.0,704.0,266.0,6.0,54.0,12439.0,61.0,41.0,46.0,2.0,200.0,162.0,96.0,197.0,311.0,81.0,297.0,103.0,642.0,587.0,15939.0,40.0
228,28.0,4.0,6.0,5.0,412.0,11.0,12.0,263.0,20.0,2.0,3678.0,13.0,25.0,9.0,29.0,172.0,46.0,0.0,23850.0,91.0,69.0,60.0,258.0,47.0,4094.0,159.0,195.0,405.0,3.0,63.0
277,154.0,2.0,6.0,0.0,9.0,13.0,68.0,899.0,101.0,171.0,250.0,59.0,34.0,5.0,11.0,81.0,29.0,7.0,17.0,99.0,66.0,58.0,54.0,57.0,999.0,271.0,79.0,18347.0,40.0,37.0
326,1.0,2.0,26.0,98.0,6.0,27.0,213.0,5.0,20.0,38.0,57.0,8.0,25.0,12184.0,35.0,157.0,63.0,33.0,180.0,13.0,123.0,76.0,1261.0,11.0,596.0,79.0,155.0,18358.0,9.0,182.0
375,8.0,1.0,3805.0,24.0,203.0,19.0,237.0,4.0,6.0,512.0,49.0,201.0,900.0,254.0,0.0,28.0,22.0,15.0,101.0,40.0,5.0,7.0,200.0,57.0,4463.0,98.0,2.0,116.0,402.0,355.0
424,4.0,6.0,3.0,19335.0,5.0,20.0,69.0,24.0,30.0,73.0,44.0,28.0,51.0,118.0,42.0,232.0,47.0,43.0,9.0,212.0,8.0,18.0,76.0,98.0,564.0,26.0,331.0,18378.0,63.0,93.0
473,1.0,0.0,10.0,38.0,15.0,635.0,94.0,11.0,320.0,7.0,16.0,211.0,21.0,8.0,57.0,70.0,14.0,22.0,73.0,258.0,343.0,29.0,58.0,68.0,2246.0,36.0,75.0,18357.0,31.0,103.0
