,LOC348120_AMP,NME7_DEL,NF1P2_AMP,POTEB_AMP,FHIT_DEL,HLA-DQB1_AMP,MLIP_DEL,ADAM5_DEL,C10orf11_DEL,FAM35B_DEL,BMPR2_AMP,TBC1D3B_DEL,KANSL1_AMP,EP300_MUT,ADAM3A_DEL,UBE2Q2P3_AMP,KANSL1-AS1_AMP,UBE2Q2P2_AMP,SNTG2_DEL,LINC00202_DEL,DUSP22_DEL,FFAR3_DEL,PTPRT_DEL,RGS22_MUT,CNTNAP3B_AMP,NBPF16_DEL,PRSS2_DEL,PRSS3P2_DEL,KIAA1217_DEL,RPS17_AMP
30,0.0,3.0,2.0,1.0,7.0,14.0,129.0,4.0,15.0,40.0,9.0,30.0,28.0,167.0,5.0,57.0,29.0,58.0,39.0,13.0,6748.0,8.0,10.0,17.0,11.0,22.0,91.0,92.0,393.0,98.0
79,1.0,0.0,3.0,4.0,15.0,14.0,36.0,2.0,11.0,52.0,8.0,5.0,70.0,97.0,6.0,230.0,65.0,231.0,7.0,55.0,132.0,23.0,46.0,9.0,18.0,71.0,42.0,41.0,88.0,477.0
128,0.0,4.0,1.0,2.0,74.0,30.0,13.0,9.0,7.0,114.0,3.0,1024.0,19.0,184.0,18.0,146.0,26.0,147.0,20.0,37.0,6482.0,28.0,83.0,14.0,29.0,16.0,6.0,5.0,87.0,247.0
177,1.0,0.0,3.0,4.0,119.0,32.0,9.0,5.0,38.0,36.0,13.0,28.0,15.0,29.0,6.0,207.0,27.0,206.0,11.0,17.0,166.0,20.0,40.0,12.0,33.0,44.0,64.0,65.0,150.0,428.0
226,0.0,1.0,3.0,4.0,5.0,11.0,50.0,31.0,40.0,19.0,48.0,2.0,189.0,76.0,51.0,72.0,246.0,71.0,9.0,10.0,8818.0,13.0,20.0,15.0,8.0,46.0,23.0,24.0,1410.0,143.0
275,0.0,6.0,2.0,1.0,97.0,7.0,106.0,9.0,5.0,16.0,66.0,27.0,11.0,23.0,10.0,71.0,14.0,70.0,20.0,192.0,21.0,4.0,152.0,13.0,36.0,55.0,89.0,90.0,42.0,123.0
324,1.0,0.0,3.0,4.0,2.0,10.0,35.0,5.0,12.0,32.0,33.0,46.0,28.0,23.0,8.0,126.0,34.0,125.0,7.0,11.0,167.0,16.0,20.0,101.0,30.0,44.0,25.0,24.0,114.0,254.0
373,2.0,5.0,1.0,0.0,14.0,15.0,66.0,3.0,6.0,86.0,21.0,20.0,60.0,27.0,4.0,34.0,58.0,33.0,7.0,9.0,148.0,85.0,193.0,10.0,51.0,40.0,65.0,64.0,287.0,54.0
422,1.0,0.0,2.0,3.0,49.0,34.0,7.0,4.0,5.0,14.0,40.0,37.0,21.0,58.0,6.0,908.0,35.0,909.0,11.0,15.0,251.0,8.0,26.0,9.0,70.0,69.0,31.0,32.0,18.0,1924.0
471,0.0,3.0,1.0,2.0,9.0,15.0,23.0,14.0,5.0,45.0,11.0,30.0,160.0,68.0,40.0,232.0,179.0,230.0,39.0,22.0,43.0,57.0,44.0,13.0,28.0,27.0,6.0,7.0,385.0,233.0
520,28.0,36.0,14.0,13.0,70.0,15.0,0.0,291.0,7.0,135.0,12.0,20.0,64.0,33.0,656.0,8.0,87.0,9.0,352.0,43.0,46.0,7761.0,109.0,30.0,88.0,10.0,360.0,359.0,86.0,18.0
569,31.0,36.0,12.0,11.0,43.0,95.0,9.0,182.0,25.0,27.0,49.0,15.0,22.0,190.0,503.0,1.0,19.0,0.0,23.0,24.0,8.0,118.0,94.0,156.0,194.0,40.0,17.0,16.0,100.0,3.0
618,13.0,0.0,9.0,10.0,125.0,11.0,2.0,380.0,23.0,52.0,35.0,21.0,34.0,40.0,1121.0,47.0,37.0,48.0,19.0,69.0,3.0,91.0,111.0,80.0,204.0,60.0,7.0,8.0,30.0,65.0
667,5.0,0.0,2.0,3.0,70.0,47.0,1.0,568.0,96.0,124.0,8.0,7.0,28.0,43.0,1462.0,25.0,30.0,24.0,15.0,36.0,6.0,41.0,160.0,23.0,71.0,67.0,12.0,11.0,17.0,40.0
716,26.0,5.0,6.0,7.0,12.0,8.0,1.0,164.0,4.0,210.0,27.0,14.0,9.0,68.0,289.0,10.0,13.0,11.0,22.0,29.0,2.0,107.0,115.0,28.0,104.0,51.0,56.0,57.0,78.0,20.0
765,9.0,13.0,5.0,6.0,2.0,14.0,22.0,3136.0,17.0,129.0,11.0,8.0,10.0,147.0,5951.0,105.0,12.0,106.0,15.0,42.0,0.0,246.0,103.0,19.0,675.0,69.0,4.0,3.0,89.0,179.0
814,21.0,1.0,15.0,14.0,3.0,17.0,0.0,77.0,16.0,107.0,10.0,18.0,4.0,41.0,154.0,45.0,12.0,46.0,22.0,19.0,23.0,72.0,356.0,36.0,42.0,26.0,100.0,99.0,56.0,67.0
863,4.0,6.0,2.0,1.0,37.0,19.0,9.0,75.0,15.0,33.0,16.0,5.0,133.0,84.0,108.0,31.0,231.0,30.0,21.0,57.0,3.0,299.0,336.0,41.0,353.0,23.0,12.0,13.0,77.0,59.0
912,5.0,14.0,3.0,2.0,5431.0,183.0,1.0,321.0,258.0,43.0,15.0,93.0,53.0,40.0,632.0,19.0,52.0,20.0,21.0,32.0,7.0,297.0,122.0,60.0,74.0,23.0,57.0,56.0,418.0,29.0
961,8.0,37.0,6.0,7.0,35.0,11.0,5.0,360.0,29.0,41.0,9.0,0.0,76.0,36.0,1065.0,21.0,93.0,22.0,25.0,14.0,4.0,46.0,137.0,80.0,207.0,32.0,68.0,67.0,16.0,23.0
