,C-Raf_pS338,EGFR,Caveolin-1,HER2_pY1248,VAV1,HER2,G6PD,P-Cadherin,Claudin-7,EGFR_pY1068,AMPK_alpha,ADAR1,PDCD4,Bcl-xL,RSK1-2-3,HER3,TFRC,GATA3,Shc_pY317,RAD51,Bap1 c-4,CD31,GSK3-alpha-beta,PDK1_pS241,Rb_pS807_S811,PI3K-p85,p90RSK_pT573,C-Raf(MP05-739),VHL,Smac
1,0.0,1.0,8.0,7.0,5.0,4.0,2.0,6.0,11.0,3.0,43.0,68.0,10.0,23.0,12.0,9.0,17.0,15.0,29.0,25.0,20.0,21.0,13.0,80.0,36.0,28.0,34.0,37.0,56.0,35.0
50,0.0,6.0,3.0,14.0,1.0,7.0,4.0,5.0,2.0,11.0,29.0,49.0,23.0,26.0,9.0,10.0,19.0,17.0,43.0,16.0,25.0,31.0,30.0,47.0,18.0,37.0,58.0,12.0,8.0,13.0
99,0.0,1.0,5.0,14.0,3.0,6.0,2.0,10.0,4.0,9.0,8.0,46.0,11.0,27.0,21.0,30.0,37.0,18.0,29.0,17.0,32.0,19.0,12.0,13.0,42.0,44.0,66.0,31.0,22.0,7.0
148,0.0,3.0,4.0,16.0,12.0,5.0,6.0,1.0,2.0,25.0,24.0,30.0,19.0,28.0,7.0,15.0,29.0,10.0,23.0,41.0,11.0,21.0,8.0,57.0,59.0,32.0,14.0,34.0,38.0,13.0
197,0.0,3.0,1.0,19.0,4.0,11.0,2.0,6.0,5.0,13.0,42.0,45.0,18.0,17.0,9.0,40.0,15.0,7.0,22.0,35.0,16.0,26.0,10.0,44.0,12.0,8.0,58.0,49.0,52.0,32.0
246,0.0,1.0,3.0,14.0,8.0,9.0,6.0,2.0,4.0,17.0,18.0,41.0,20.0,32.0,5.0,25.0,10.0,12.0,31.0,24.0,16.0,19.0,7.0,58.0,48.0,21.0,61.0,22.0,29.0,11.0
295,0.0,1.0,4.0,17.0,8.0,7.0,2.0,3.0,5.0,12.0,40.0,62.0,13.0,10.0,11.0,25.0,32.0,24.0,21.0,29.0,36.0,15.0,20.0,18.0,44.0,31.0,27.0,9.0,74.0,16.0
344,0.0,1.0,6.0,15.0,4.0,5.0,2.0,3.0,8.0,20.0,18.0,42.0,12.0,10.0,11.0,55.0,25.0,13.0,26.0,30.0,19.0,9.0,14.0,37.0,34.0,17.0,31.0,32.0,29.0,24.0
393,0.0,1.0,3.0,14.0,2.0,8.0,4.0,7.0,10.0,9.0,15.0,24.0,17.0,12.0,13.0,36.0,16.0,5.0,19.0,26.0,47.0,21.0,11.0,56.0,46.0,37.0,23.0,18.0,49.0,6.0
442,0.0,2.0,4.0,24.0,6.0,7.0,5.0,3.0,11.0,19.0,9.0,10.0,33.0,16.0,1.0,57.0,27.0,18.0,67.0,36.0,35.0,48.0,49.0,53.0,12.0,15.0,47.0,23.0,55.0,31.0
491,13.0,2.0,3.0,6.0,14.0,9.0,8.0,0.0,5.0,22.0,1.0,7.0,18.0,23.0,32.0,4.0,27.0,15.0,11.0,19.0,25.0,21.0,55.0,30.0,10.0,43.0,16.0,38.0,62.0,66.0
