,IRF8_DEL,RPL23AP82_DEL,NRAS_MUT,OR4C11_DEL,THSD7B_AMP,BRAF_MUT,PTEN_DEL,SFMBT1_AMP,BANP_DEL,DOCK10_AMP,GBP3_DEL,PIK3R4_MUT,ETS1_DEL,ATM_MUT,DMBT1_DEL,TP53_DEL,TP53_MUT,WNK1_DEL,EID3_DEL,EP300_MUT,ZBTB20_AMP,NKAIN2_DEL,ANKRD36B_DEL,PIP5K1B_DEL,KLRC2_DEL,OR4F4_AMP,GSTTP1_DEL,CFHR1_AMP,CSMD1_DEL,TPTE_DEL
33,2.0,33.0,15991.0,5782.0,50.0,69.0,32.0,21983.0,9186.0,109.0,19.0,65.0,6043.0,29.0,121.0,7045.0,91.0,11314.0,10080.0,76.0,68.0,82.0,129.0,8586.0,28.0,119.0,134.0,83.0,141.0,123.0
82,14.0,63.0,62.0,32.0,98.0,117.0,24.0,55.0,9197.0,84.0,944.0,131.0,28.0,128.0,70.0,33.0,146.0,11300.0,10087.0,56.0,100.0,57.0,129.0,11.0,3006.0,174.0,104.0,88.0,80.0,188.0
131,61.0,29.0,49.0,6.0,69.0,94.0,14.0,18.0,17.0,33.0,47.0,80.0,51.0,53.0,111.0,7044.0,102.0,11280.0,10102.0,16213.0,96.0,105.0,155.0,8594.0,3006.0,125.0,5095.0,174.0,128.0,7040.0
180,6.0,23.0,11.0,36.0,14.0,50.0,64.0,21992.0,42.0,138.0,13.0,15898.0,161.0,59.0,91.0,60.0,69.0,11319.0,10090.0,45.0,68.0,90.0,126.0,61.0,87.0,176.0,5099.0,86.0,175.0,6978.0
229,0.0,23.0,14.0,52.0,38.0,49.0,41.0,20.0,32.0,62.0,42.0,28.0,57.0,22.0,104.0,91.0,133.0,11301.0,83.0,16209.0,140.0,61.0,119.0,8597.0,3004.0,141.0,43.0,26.0,122.0,90.0
278,6.0,4.0,77.0,33.0,19161.0,37.0,67.0,21992.0,34.0,11.0,75.0,109.0,153.0,41.0,60.0,105.0,97.0,11296.0,95.0,16210.0,79.0,71.0,101.0,8591.0,3010.0,157.0,14.0,129.0,128.0,7037.0
327,6.0,7.0,30.0,8.0,76.0,54.0,38.0,47.0,21.0,12.0,43.0,72.0,6042.0,16003.0,86.0,52.0,124.0,11290.0,10094.0,16205.0,96.0,65.0,139.0,8587.0,3004.0,154.0,59.0,135.0,120.0,75.0
376,31.0,2.0,7.0,88.0,14.0,89.0,26.0,103.0,9198.0,86.0,41.0,121.0,6064.0,16008.0,94.0,69.0,102.0,11302.0,10088.0,16210.0,55.0,54.0,100.0,138.0,125.0,184.0,122.0,25.0,211.0,7012.0
425,28.0,6.0,38.0,37.0,22.0,16576.0,21.0,16.0,25.0,108.0,944.0,122.0,69.0,16011.0,77.0,44.0,119.0,11297.0,10087.0,51.0,145.0,177.0,193.0,8592.0,3018.0,192.0,129.0,156.0,170.0,72.0
474,10.0,41.0,15995.0,45.0,13.0,82.0,30.0,47.0,9198.0,28.0,918.0,15900.0,80.0,40.0,120.0,126.0,78.0,11301.0,10092.0,16213.0,113.0,3523.0,168.0,8592.0,3011.0,128.0,5096.0,103.0,161.0,7007.0
523,11.0,22.0,28.0,38.0,26.0,16564.0,40.0,21986.0,9190.0,19.0,881.0,16.0,15.0,41.0,103.0,133.0,109.0,50.0,30.0,16205.0,170.0,3505.0,117.0,8584.0,146.0,94.0,95.0,173.0,172.0,134.0
572,5.0,64.0,25.0,0.0,55.0,62.0,11383.0,21990.0,9192.0,72.0,3.0,15891.0,18.0,129.0,139.0,7039.0,58.0,91.0,69.0,16207.0,71.0,36.0,133.0,121.0,78.0,123.0,110.0,9.0,120.0,56.0
621,0.0,16.0,11.0,22.0,49.0,50.0,38.0,21985.0,9192.0,5.0,878.0,15915.0,24.0,51.0,68.0,74.0,109.0,11273.0,18.0,16208.0,86.0,3508.0,78.0,8585.0,98.0,121.0,41.0,166.0,127.0,29.0
670,10.0,1368.0,14.0,31.0,58.0,85.0,181.0,22051.0,9206.0,26.0,941.0,15900.0,176.0,21.0,59.0,13.0,128.0,32.0,89.0,7.0,170.0,52.0,127.0,8599.0,3018.0,182.0,63.0,14464.0,10800.0,62.0
719,20.0,6.0,19.0,5816.0,38.0,74.0,143.0,21990.0,9197.0,55.0,1126.0,15916.0,6054.0,88.0,52.0,7050.0,56.0,185.0,81.0,16208.0,124.0,54.0,121.0,8588.0,3008.0,117.0,46.0,73.0,96.0,75.0
768,12.0,26.0,10.0,36.0,52.0,16563.0,34.0,70.0,9195.0,1.0,878.0,15894.0,65.0,39.0,113.0,7039.0,134.0,42.0,89.0,16206.0,87.0,163.0,145.0,8588.0,125.0,128.0,35.0,66.0,72.0,162.0
817,13.0,1359.0,24.0,130.0,66.0,102.0,117.0,21995.0,9201.0,22.0,71.0,15898.0,155.0,94.0,77.0,127.0,112.0,118.0,27.0,91.0,145.0,3513.0,83.0,8596.0,3001.0,188.0,14.0,135.0,122.0,7011.0
866,7.0,1359.0,0.0,54.0,35.0,27.0,61.0,21991.0,9197.0,12.0,911.0,15915.0,6051.0,48.0,112.0,7042.0,131.0,108.0,130.0,50.0,89.0,73.0,134.0,45.0,59.0,162.0,1.0,14448.0,169.0,71.0
915,18.0,1360.0,28.0,27.0,46.0,16566.0,35.0,21988.0,9199.0,106.0,915.0,15916.0,158.0,58.0,99.0,7042.0,100.0,172.0,71.0,16209.0,102.0,3511.0,90.0,8589.0,37.0,137.0,171.0,14453.0,88.0,105.0
964,8.0,870.0,37.0,27.0,44.0,51.0,163.0,21991.0,9197.0,45.0,941.0,43.0,36.0,49.0,104.0,110.0,84.0,199.0,85.0,16210.0,132.0,3517.0,121.0,8592.0,126.0,101.0,116.0,20.0,67.0,71.0
1013,12.0,16.0,23.0,97.0,33.0,28.0,180.0,99.0,57.0,21416.0,44.0,10.0,136.0,16006.0,178.0,71.0,108.0,103.0,10076.0,115.0,147.0,107.0,94.0,72.0,90.0,119.0,5082.0,143.0,120.0,113.0
1062,595.0,17.0,47.0,139.0,11.0,31.0,152.0,104.0,63.0,109.0,9.0,45.0,56.0,16007.0,102.0,4.0,93.0,51.0,151.0,54.0,69.0,131.0,76.0,75.0,3000.0,91.0,5090.0,144.0,130.0,7027.0
1111,602.0,5.0,51.0,75.0,87.0,40.0,11418.0,63.0,55.0,21432.0,30.0,14.0,6067.0,76.0,106.0,74.0,124.0,49.0,10105.0,16212.0,141.0,161.0,130.0,67.0,85.0,169.0,5107.0,132.0,97.0,98.0
1160,600.0,14.0,15.0,1.0,32.0,22.0,11434.0,33.0,7.0,21423.0,67.0,35.0,114.0,15986.0,69.0,109.0,117.0,46.0,25.0,91.0,110.0,77.0,130.0,88.0,26.0,159.0,5096.0,85.0,134.0,57.0
1209,22.0,1348.0,107.0,25.0,10.0,31.0,11406.0,76.0,4.0,30.0,82.0,36.0,6041.0,16006.0,70.0,61.0,100.0,40.0,37.0,56.0,28.0,3571.0,96.0,112.0,21.0,13.0,88.0,120.0,98.0,130.0
1258,32.0,83.0,68.0,6.0,51.0,58.0,192.0,38.0,4.0,21415.0,908.0,15895.0,6048.0,16008.0,70.0,15.0,99.0,92.0,10082.0,27.0,54.0,3511.0,136.0,8589.0,97.0,93.0,5088.0,108.0,86.0,198.0
1307,591.0,12.0,15990.0,50.0,21.0,16560.0,11381.0,51.0,19.0,21416.0,81.0,10.0,168.0,16006.0,83.0,61.0,65.0,64.0,13.0,42.0,113.0,79.0,87.0,54.0,97.0,145.0,5085.0,38.0,173.0,118.0
1356,5.0,8.0,15.0,53.0,47.0,33.0,11391.0,49.0,20.0,105.0,941.0,17.0,175.0,70.0,65.0,85.0,88.0,11299.0,43.0,52.0,130.0,108.0,135.0,50.0,39.0,12242.0,101.0,114.0,86.0,131.0
1405,334.0,7.0,34.0,5809.0,54.0,46.0,82.0,24.0,9192.0,21414.0,893.0,0.0,6047.0,16006.0,48.0,7035.0,136.0,61.0,32.0,109.0,117.0,118.0,72.0,37.0,26.0,168.0,5083.0,124.0,137.0,6998.0
1454,8.0,15.0,34.0,68.0,7.0,16573.0,11386.0,135.0,16.0,55.0,939.0,5.0,182.0,16007.0,80.0,180.0,90.0,11294.0,79.0,126.0,129.0,142.0,77.0,82.0,72.0,124.0,100.0,84.0,175.0,131.0
1503,16.0,9.0,36.0,63.0,2.0,55.0,75.0,132.0,9189.0,21418.0,45.0,15912.0,77.0,90.0,103.0,7037.0,66.0,93.0,10083.0,24.0,84.0,73.0,106.0,8587.0,3001.0,134.0,175.0,127.0,193.0,115.0
1552,590.0,7.0,61.0,5767.0,31.0,56.0,46.0,97.0,9183.0,14.0,36.0,54.0,136.0,19.0,105.0,67.0,74.0,11290.0,10075.0,55.0,49.0,39.0,138.0,8583.0,2996.0,203.0,5081.0,132.0,112.0,13.0
1601,9.0,17.0,30.0,5814.0,24.0,64.0,57.0,21994.0,9196.0,21422.0,12.0,44.0,76.0,37.0,93.0,51.0,78.0,11295.0,10089.0,117.0,134.0,55.0,70.0,8592.0,89.0,201.0,5090.0,50.0,101.0,6992.0
