,ITGA9,RP1-97D16.1,ST6GALNAC5,GGT6,RPL7AP28,ZNF334,UCP2,BMPR1B,ILDR1,CCBL2,TRIM58,RASSF9,AC016710.1,RP11-288H12.3,C2orf54,TMEM98,KCNIP2-AS1,RP11-389O22.4,FOXJ1,RP11-44F14.2,TSPYL5,MATN3,AC090804.1,SRBD1,TBX3,MAGEA6,C20orf112,CTB-36O1.3,CITED4,RP11-834C11.4
9,0.0,31.0,23.0,2.0,353.0,19.0,55.0,7.0,6.0,38.0,4.0,48.0,90.0,25.0,1.0,8.0,29.0,77.0,42.0,28.0,925.0,11.0,21.0,112.0,57.0,5.0,83.0,15.0,389.0,3.0
58,0.0,5.0,29.0,4.0,22.0,2.0,14.0,656.0,1.0,34.0,56.0,354.0,44.0,82.0,31.0,38.0,83.0,49.0,45.0,16.0,209.0,30.0,3.0,64.0,53.0,20.0,6.0,48.0,255.0,25.0
107,0.0,20.0,15.0,3.0,34.0,1.0,24.0,81.0,10.0,51.0,48.0,343.0,35.0,4.0,18.0,17.0,39.0,141.0,473.0,9.0,30.0,12.0,32.0,83.0,29.0,13.0,46.0,458.0,1668.0,69.0
156,2.0,9.0,33.0,13.0,32.0,5.0,14.0,15.0,19.0,23.0,330.0,153.0,2670.0,18.0,59.0,83.0,62.0,38.0,3.0,53.0,10.0,11.0,7.0,43.0,322.0,143.0,21.0,54.0,1126.0,0.0
205,0.0,14.0,56.0,4.0,22.0,10.0,38.0,2.0,13.0,35.0,83.0,25.0,59.0,62.0,26.0,73.0,77.0,79.0,32.0,15.0,58.0,39.0,120.0,163.0,99.0,1.0,54.0,30.0,149.0,5.0
254,1.0,24.0,41.0,0.0,52.0,12.0,36.0,3.0,14.0,26.0,298.0,57.0,418.0,118.0,37.0,56.0,71.0,181.0,100.0,53.0,65.0,7.0,19.0,59.0,32.0,5.0,33.0,132.0,314.0,22.0
303,0.0,72.0,8.0,1.0,6.0,12.0,5.0,24.0,4.0,35.0,16.0,75.0,73.0,100.0,28.0,23.0,58.0,198.0,172.0,29.0,15.0,33.0,21.0,39.0,25.0,50.0,37.0,9.0,546.0,54.0
352,0.0,53.0,41.0,1.0,54.0,47.0,17.0,6.0,10.0,40.0,162.0,44.0,332.0,31.0,42.0,22.0,7.0,36.0,20.0,28.0,104.0,4.0,12.0,86.0,60.0,50.0,3.0,107.0,443.0,15.0
401,8.0,42.0,23.0,7.0,142.0,18.0,0.0,3.0,6.0,279.0,145.0,32.0,41.0,20.0,19.0,120.0,24.0,234.0,26.0,12.0,99.0,38.0,10.0,57.0,33.0,27.0,16.0,360.0,556.0,47.0
450,1.0,12.0,170.0,18.0,241.0,3.0,68.0,10.0,9.0,61.0,575.0,29.0,131.0,20.0,7.0,5.0,50.0,830.0,21.0,6.0,298.0,38.0,305.0,36.0,44.0,255.0,112.0,200.0,401.0,2.0
499,2.0,0.0,1.0,22.0,44.0,14.0,3.0,32.0,24.0,11.0,10.0,165.0,539.0,19.0,35.0,40.0,31.0,8.0,25.0,23.0,207.0,49.0,103.0,39.0,17.0,581.0,12.0,68.0,66.0,7.0
548,7.0,4.0,12.0,1.0,11.0,0.0,10.0,17.0,8.0,5.0,21.0,82.0,652.0,6.0,45.0,29.0,59.0,3.0,93.0,23.0,92.0,99.0,118.0,129.0,13.0,70.0,15.0,51.0,68.0,33.0
597,12.0,6.0,1.0,48.0,9.0,3.0,8.0,50.0,25.0,7.0,22.0,130.0,1726.0,2.0,37.0,46.0,30.0,164.0,460.0,17.0,106.0,36.0,516.0,31.0,116.0,955.0,308.0,93.0,132.0,0.0
646,10.0,2.0,1.0,23.0,0.0,8.0,5.0,33.0,13.0,11.0,38.0,95.0,740.0,77.0,28.0,20.0,98.0,36.0,269.0,16.0,3.0,30.0,50.0,18.0,146.0,119.0,17.0,9.0,273.0,4.0
