,EP300_MUT,ARHGAP44_DEL,DIDO1_AMP,LOC643837_DEL,DLG2_AMP,EIF4G1_MUT,TSHZ2_AMP,MCEE_AMP,KRAS.G12_13_MUT,GRM5_DEL,THSD7B_AMP,CDH13_DEL,ADAM5_DEL,C15orf2_MUT,PTPRN2_AMP,HAR1B_AMP,PAX5_DEL,GSTTP1_DEL,SLC25A24_DEL,ZBTB20_AMP,CSMD3_MUT,MIPEPP3_DEL,OR4N3P_DEL,LOC727924_DEL,CNTLN_DEL,MGAM_DEL,GSTM1_DEL,SCAPER_DEL,SIRPB1_AMP,HLA-H_DEL
1209,16.0,13.0,20.0,10625.0,30.0,16214.0,31.0,101.0,24134.0,22.0,50.0,74.0,62.0,35.0,21638.0,23316.0,55.0,36.0,90.0,44.0,112.0,11283.0,2776.0,139.0,32.0,59.0,75.0,110.0,184.0,49.0
1258,24.0,43.0,23.0,10619.0,78.0,16212.0,150.0,94.0,103.0,242.0,53.0,123.0,77.0,66.0,21629.0,23069.0,88.0,164.0,109.0,140.0,42.0,68.0,100.0,108.0,61.0,129.0,82.0,87.0,126.0,153.0
1307,23.0,75.0,6.0,9.0,22.0,27.0,87.0,25.0,90.0,331.0,19179.0,74.0,84.0,31.0,21630.0,23072.0,60.0,94.0,118.0,122.0,44.0,167.0,2874.0,119.0,139.0,8851.0,198.0,147.0,125.0,97.0
1356,19.0,51.0,8.0,10615.0,17.0,16212.0,144.0,78.0,37.0,296.0,19177.0,25.0,102.0,12.0,21631.0,20.0,95.0,5094.0,82.0,112.0,31.0,11276.0,73.0,38.0,9427.0,124.0,130.0,93.0,118.0,119.0
1405,30.0,7.0,28.0,33.0,45.0,14.0,16952.0,51.0,85.0,280.0,70.0,81.0,72.0,74.0,129.0,23321.0,140.0,177.0,102.0,117.0,75.0,79.0,66.0,106.0,110.0,101.0,76.0,95.0,80.0,93.0
1454,8.0,11.0,18085.0,10615.0,3.0,35.0,152.0,9.0,95.0,280.0,20.0,53.0,60.0,58.0,21633.0,23073.0,9911.0,32.0,146.0,87.0,110.0,109.0,2765.0,116.0,139.0,54.0,189.0,123.0,197.0,70.0
1503,24.0,8.0,1.0,10621.0,52.0,7.0,39.0,29.0,65.0,19.0,31.0,49.0,73.0,15930.0,123.0,23314.0,115.0,140.0,121.0,112.0,131.0,15.0,0.0,138.0,9433.0,12.0,179.0,91.0,195.0,116.0
1552,17.0,8153.0,18084.0,6.0,28.0,10.0,18.0,60.0,12.0,33.0,70.0,20204.0,76.0,13.0,36.0,0.0,150.0,68.0,124.0,111.0,16130.0,22.0,57.0,179.0,9439.0,176.0,177.0,153.0,141.0,115.0
1601,25.0,1.0,18090.0,2.0,43.0,16214.0,37.0,85.0,33.0,56.0,29.0,105.0,63.0,20.0,21635.0,9.0,76.0,149.0,161.0,98.0,47.0,60.0,2916.0,170.0,139.0,8855.0,125.0,126.0,175.0,28.0
1650,43.0,32.0,18084.0,10639.0,66.0,16214.0,18.0,19542.0,24134.0,300.0,19161.0,132.0,95.0,15929.0,3.0,0.0,53.0,81.0,90.0,153.0,16109.0,76.0,117.0,136.0,24.0,69.0,158.0,142.0,157.0,120.0
1699,19.0,18.0,18087.0,111.0,67.0,16212.0,16944.0,73.0,17.0,89.0,69.0,45.0,75.0,51.0,115.0,23.0,103.0,70.0,157.0,100.0,168.0,9.0,77.0,147.0,140.0,8853.0,101.0,125.0,153.0,16.0
1748,14.0,17.0,9.0,13.0,86.0,16215.0,6.0,59.0,57.0,39.0,19179.0,62.0,87.0,15930.0,38.0,23074.0,98.0,80.0,115.0,96.0,10.0,108.0,2767.0,123.0,43.0,191.0,266.0,81.0,172.0,93.0
1797,34.0,42.0,18088.0,0.0,22.0,16215.0,9.0,65.0,37.0,58.0,45.0,75.0,106.0,15929.0,99.0,67.0,77.0,100.0,96.0,66.0,44.0,32.0,31.0,158.0,9440.0,8855.0,137.0,157.0,133.0,59.0
1846,20.0,8.0,18078.0,10615.0,64.0,16208.0,6.0,115.0,28.0,76.0,22.0,65.0,121.0,44.0,107.0,18.0,9907.0,47.0,106.0,118.0,16103.0,42.0,85.0,89.0,131.0,81.0,108.0,116.0,149.0,46.0
1895,40.0,47.0,18077.0,19.0,57.0,16210.0,37.0,55.0,2.0,198.0,19194.0,94.0,76.0,65.0,118.0,0.0,89.0,63.0,87.0,80.0,101.0,112.0,28.0,97.0,9419.0,96.0,84.0,92.0,161.0,132.0
