,creatine,C20:4 CE,2-deoxycytidine,GABA,C22:6 CE,5-HIAA,3-phosphoglycerate,pantothenate,C36:1 DAG,creatinine,putrescine,hexoses (HILIC neg),homocysteine,SDMA/ADMA,C34:2 DAG,uridine,C36:4 PC-B,DHAP/glyceraldehyde 3P,C22:6 LPE,hypoxanthine,taurodeoxycholate,sarcosine,guanosine,inositol,hippurate,uracil,glutamine,carnitine,palmitoylcarnitine,C56:5 TAG
26,36.0,0.0,47.0,1.0,45.0,12.0,4.0,2.0,59.0,9.0,66.0,20.0,56.0,3.0,10.0,23.0,18.0,49.0,34.0,51.0,41.0,40.0,54.0,15.0,29.0,52.0,31.0,16.0,46.0,44.0
75,48.0,17.0,16.0,22.0,58.0,9.0,14.0,26.0,10.0,2.0,15.0,12.0,52.0,61.0,36.0,31.0,41.0,49.0,39.0,28.0,57.0,19.0,25.0,42.0,29.0,53.0,6.0,3.0,38.0,51.0
124,5.0,56.0,15.0,3.0,60.0,28.0,46.0,49.0,7.0,47.0,61.0,11.0,22.0,65.0,10.0,14.0,38.0,48.0,19.0,37.0,59.0,8.0,33.0,29.0,41.0,32.0,6.0,31.0,24.0,25.0
173,24.0,26.0,6.0,21.0,23.0,9.0,14.0,25.0,48.0,44.0,2.0,34.0,7.0,54.0,8.0,38.0,32.0,17.0,28.0,47.0,4.0,18.0,37.0,51.0,13.0,42.0,60.0,12.0,20.0,33.0
222,22.0,36.0,9.0,32.0,35.0,15.0,26.0,4.0,0.0,48.0,18.0,17.0,44.0,2.0,46.0,23.0,38.0,41.0,16.0,28.0,50.0,8.0,19.0,21.0,5.0,47.0,24.0,62.0,30.0,10.0
271,5.0,44.0,53.0,8.0,27.0,13.0,38.0,28.0,7.0,45.0,0.0,17.0,9.0,21.0,10.0,39.0,24.0,41.0,31.0,61.0,43.0,22.0,30.0,40.0,3.0,64.0,16.0,23.0,50.0,25.0
320,46.0,4.0,45.0,5.0,61.0,33.0,9.0,11.0,26.0,1.0,10.0,2.0,54.0,64.0,56.0,36.0,25.0,15.0,44.0,22.0,39.0,31.0,12.0,24.0,14.0,28.0,29.0,51.0,6.0,23.0
369,29.0,41.0,45.0,10.0,8.0,39.0,13.0,2.0,17.0,56.0,53.0,1.0,19.0,55.0,4.0,33.0,7.0,40.0,43.0,51.0,61.0,38.0,37.0,20.0,50.0,14.0,25.0,21.0,35.0,0.0
418,14.0,42.0,16.0,45.0,3.0,11.0,37.0,2.0,7.0,34.0,44.0,6.0,1.0,46.0,64.0,15.0,19.0,18.0,50.0,47.0,33.0,5.0,24.0,40.0,21.0,38.0,35.0,8.0,28.0,29.0
467,61.0,41.0,10.0,37.0,55.0,18.0,6.0,52.0,27.0,11.0,1.0,62.0,45.0,12.0,57.0,25.0,15.0,21.0,14.0,28.0,49.0,3.0,31.0,38.0,32.0,13.0,0.0,26.0,34.0,16.0
