,hsa-miR-558,hsa-miR-548a-3p,hsa-miR-148a,hsa-miR-205,hsa-miR-601,hsa-miR-604,hsa-miR-609,hsa-miR-223,hsa-miR-34c-5p,hsa-miR-512-3p,hsa-miR-508-3p,hsa-miR-657,hsa-miR-30c,hsa-miR-28-3p,hsa-miR-26b,hsa-miR-541,hsa-miR-548d-3p,hcmv-miR-US25-2-3p,hsa-miR-938,hsa-miR-1288,hsa-miR-711,hsa-miR-511,hsa-miR-877,hsa-miR-449b,hsa-miR-105,hsa-miR-1246,hsa-miR-616,hsa-miR-518d-3p,hsa-miR-320c,hsa-miR-571
2661,0.0,7.0,3.0,5.0,1.0,4.0,15.0,37.0,24.0,89.0,6.0,17.0,10.0,73.0,19.0,20.0,8.0,12.0,26.0,2.0,11.0,22.0,41.0,125.0,65.0,76.0,42.0,35.0,121.0,27.0
2710,0.0,2.0,3.0,7.0,4.0,1.0,8.0,45.0,27.0,62.0,16.0,25.0,12.0,24.0,49.0,61.0,10.0,6.0,66.0,5.0,9.0,48.0,60.0,120.0,135.0,33.0,98.0,54.0,85.0,44.0
2759,2.0,0.0,1.0,6.0,11.0,7.0,14.0,17.0,26.0,13.0,3.0,9.0,8.0,162.0,29.0,24.0,4.0,25.0,49.0,5.0,10.0,79.0,55.0,69.0,12.0,23.0,53.0,66.0,144.0,73.0
2808,10.0,1.0,0.0,2.0,3.0,8.0,36.0,16.0,5.0,19.0,32.0,43.0,20.0,42.0,67.0,7.0,30.0,25.0,11.0,13.0,6.0,137.0,24.0,89.0,12.0,52.0,102.0,4.0,55.0,38.0
2857,11.0,2.0,0.0,1.0,13.0,4.0,8.0,66.0,23.0,17.0,29.0,69.0,10.0,22.0,16.0,75.0,21.0,12.0,42.0,3.0,41.0,51.0,9.0,91.0,24.0,53.0,71.0,20.0,102.0,25.0
2906,4.0,0.0,1.0,6.0,13.0,7.0,17.0,26.0,8.0,15.0,89.0,12.0,47.0,180.0,84.0,3.0,18.0,14.0,22.0,11.0,32.0,176.0,54.0,86.0,100.0,66.0,50.0,39.0,46.0,33.0
2955,2.0,0.0,4.0,1.0,12.0,6.0,13.0,21.0,26.0,27.0,14.0,80.0,33.0,66.0,32.0,5.0,35.0,3.0,48.0,18.0,58.0,8.0,23.0,43.0,112.0,146.0,50.0,54.0,98.0,64.0
3004,2.0,0.0,1.0,5.0,4.0,10.0,8.0,11.0,6.0,59.0,35.0,49.0,58.0,23.0,60.0,36.0,14.0,30.0,22.0,16.0,109.0,15.0,43.0,38.0,77.0,101.0,12.0,21.0,52.0,56.0
3053,4.0,1.0,0.0,5.0,3.0,7.0,2.0,40.0,61.0,15.0,14.0,109.0,27.0,16.0,85.0,54.0,37.0,33.0,10.0,12.0,77.0,9.0,81.0,29.0,49.0,104.0,18.0,65.0,24.0,190.0
3102,4.0,3.0,0.0,2.0,1.0,6.0,7.0,5.0,14.0,32.0,16.0,56.0,28.0,17.0,44.0,159.0,48.0,8.0,89.0,97.0,196.0,26.0,22.0,20.0,29.0,70.0,66.0,27.0,12.0,87.0
3151,4.0,0.0,3.0,2.0,5.0,28.0,1.0,34.0,6.0,50.0,46.0,67.0,64.0,33.0,31.0,20.0,14.0,93.0,126.0,22.0,16.0,48.0,26.0,63.0,57.0,108.0,24.0,11.0,29.0,85.0
3200,3.0,4.0,1.0,2.0,8.0,6.0,0.0,22.0,9.0,40.0,7.0,75.0,24.0,25.0,80.0,93.0,38.0,11.0,27.0,30.0,140.0,15.0,37.0,46.0,66.0,52.0,49.0,31.0,32.0,50.0
3249,7.0,0.0,1.0,2.0,3.0,9.0,6.0,16.0,21.0,8.0,13.0,147.0,11.0,49.0,65.0,36.0,30.0,22.0,57.0,18.0,224.0,14.0,77.0,52.0,63.0,114.0,35.0,60.0,19.0,143.0
3298,0.0,3.0,1.0,5.0,9.0,14.0,2.0,87.0,24.0,6.0,4.0,68.0,16.0,40.0,203.0,15.0,32.0,7.0,22.0,19.0,58.0,182.0,110.0,70.0,183.0,102.0,53.0,91.0,18.0,38.0
3347,2.0,1.0,0.0,4.0,7.0,6.0,3.0,8.0,23.0,45.0,15.0,32.0,29.0,14.0,53.0,22.0,42.0,9.0,34.0,17.0,144.0,16.0,94.0,19.0,123.0,43.0,35.0,86.0,20.0,24.0
3396,0.0,15.0,3.0,2.0,7.0,17.0,5.0,16.0,12.0,34.0,9.0,107.0,13.0,8.0,56.0,36.0,52.0,24.0,6.0,4.0,159.0,29.0,58.0,19.0,51.0,65.0,20.0,30.0,33.0,55.0
3445,1.0,0.0,11.0,18.0,15.0,40.0,19.0,3.0,2.0,74.0,67.0,81.0,4.0,24.0,8.0,34.0,147.0,89.0,14.0,157.0,189.0,296.0,176.0,27.0,80.0,20.0,95.0,9.0,64.0,6.0
3494,0.0,1.0,4.0,79.0,7.0,19.0,6.0,5.0,3.0,21.0,31.0,9.0,24.0,14.0,18.0,92.0,30.0,112.0,8.0,61.0,126.0,217.0,86.0,13.0,38.0,33.0,125.0,2.0,15.0,46.0
3543,0.0,1.0,4.0,64.0,3.0,128.0,22.0,9.0,5.0,26.0,85.0,76.0,14.0,11.0,13.0,8.0,18.0,65.0,6.0,88.0,40.0,206.0,45.0,49.0,28.0,20.0,159.0,2.0,35.0,19.0
3592,1.0,0.0,130.0,75.0,92.0,60.0,2.0,4.0,18.0,29.0,31.0,14.0,9.0,28.0,56.0,10.0,47.0,78.0,22.0,41.0,45.0,279.0,49.0,19.0,8.0,15.0,97.0,3.0,21.0,25.0
3641,0.0,1.0,7.0,41.0,2.0,15.0,5.0,8.0,4.0,18.0,42.0,63.0,16.0,6.0,26.0,29.0,25.0,110.0,10.0,65.0,273.0,252.0,105.0,13.0,51.0,67.0,75.0,3.0,21.0,50.0
3690,0.0,1.0,4.0,35.0,8.0,24.0,22.0,3.0,2.0,23.0,83.0,20.0,32.0,17.0,28.0,6.0,30.0,64.0,33.0,73.0,164.0,76.0,111.0,67.0,56.0,16.0,124.0,7.0,14.0,61.0
3739,0.0,1.0,2.0,9.0,3.0,39.0,15.0,18.0,5.0,20.0,37.0,11.0,7.0,86.0,97.0,27.0,6.0,173.0,50.0,116.0,380.0,150.0,104.0,4.0,68.0,31.0,118.0,10.0,83.0,136.0
3788,0.0,1.0,32.0,60.0,72.0,95.0,4.0,33.0,6.0,61.0,57.0,26.0,12.0,7.0,9.0,36.0,30.0,438.0,2.0,28.0,111.0,189.0,52.0,18.0,13.0,37.0,66.0,16.0,22.0,44.0
3837,0.0,2.0,4.0,32.0,8.0,37.0,1.0,11.0,13.0,10.0,51.0,17.0,18.0,3.0,62.0,25.0,139.0,9.0,15.0,40.0,202.0,291.0,66.0,28.0,38.0,24.0,178.0,46.0,23.0,42.0
3886,1.0,0.0,5.0,49.0,15.0,123.0,2.0,8.0,4.0,9.0,55.0,29.0,80.0,53.0,17.0,10.0,25.0,62.0,38.0,30.0,180.0,117.0,67.0,90.0,39.0,158.0,68.0,6.0,40.0,52.0
3935,0.0,3.0,4.0,1.0,2.0,17.0,58.0,6.0,28.0,98.0,15.0,25.0,44.0,31.0,16.0,123.0,10.0,41.0,11.0,8.0,32.0,36.0,9.0,35.0,43.0,134.0,82.0,152.0,127.0,23.0
3984,0.0,5.0,22.0,1.0,3.0,14.0,79.0,2.0,13.0,142.0,40.0,76.0,87.0,17.0,6.0,50.0,25.0,37.0,9.0,38.0,4.0,72.0,20.0,7.0,201.0,74.0,35.0,120.0,103.0,10.0
4033,0.0,6.0,1.0,4.0,7.0,22.0,37.0,3.0,10.0,65.0,24.0,73.0,39.0,30.0,5.0,11.0,15.0,29.0,21.0,42.0,2.0,101.0,41.0,75.0,9.0,99.0,43.0,51.0,70.0,13.0
4082,0.0,1.0,2.0,10.0,7.0,34.0,25.0,4.0,11.0,70.0,61.0,5.0,42.0,98.0,3.0,81.0,6.0,30.0,24.0,9.0,138.0,385.0,13.0,32.0,17.0,102.0,35.0,182.0,72.0,38.0
4131,0.0,1.0,4.0,7.0,2.0,16.0,123.0,3.0,9.0,34.0,13.0,74.0,41.0,37.0,8.0,32.0,5.0,118.0,31.0,25.0,36.0,45.0,14.0,48.0,26.0,43.0,23.0,105.0,69.0,50.0
4180,0.0,24.0,1.0,10.0,3.0,20.0,83.0,2.0,8.0,57.0,44.0,9.0,82.0,46.0,4.0,55.0,30.0,49.0,6.0,71.0,18.0,35.0,80.0,37.0,32.0,110.0,45.0,122.0,42.0,23.0
4229,0.0,4.0,3.0,7.0,1.0,67.0,12.0,11.0,25.0,27.0,29.0,47.0,17.0,32.0,30.0,166.0,9.0,64.0,10.0,36.0,55.0,71.0,45.0,82.0,2.0,90.0,39.0,60.0,44.0,18.0
4278,0.0,8.0,2.0,5.0,1.0,45.0,12.0,3.0,4.0,87.0,23.0,34.0,42.0,22.0,21.0,37.0,10.0,109.0,9.0,6.0,11.0,95.0,20.0,74.0,54.0,58.0,52.0,117.0,44.0,84.0
4327,0.0,2.0,15.0,5.0,6.0,94.0,53.0,7.0,20.0,47.0,58.0,16.0,34.0,121.0,9.0,37.0,8.0,25.0,26.0,35.0,3.0,27.0,4.0,46.0,10.0,33.0,114.0,150.0,54.0,51.0
