,OESOPHAGUS,HAEMATOPOIETIC,THYROID,SOFT_TISSUE,GANGLIA,LUNG,BREAST,AERODIGESTIVE,ENDOMETRIUM,LIVER,SKIN,PLEURA,BILIARY,OVARY,URINARY,SALIVARY,STOMACH,PANCREAS,LARGE_INTESTINE,PROSTATE,BONE,KIDNEY,NERVOUS
45,1.0,0.0,3.0,2.0,7.0,5.0,4.0,8.0,9.0,6.0,16.0,10.0,11.0,12.0,13.0,15.0,14.0,18.0,17.0,19.0,20.0,21.0,22.0
94,3.0,0.0,1.0,2.0,5.0,6.0,4.0,7.0,8.0,17.0,13.0,9.0,11.0,14.0,15.0,12.0,16.0,19.0,18.0,20.0,10.0,21.0,22.0
143,3.0,0.0,1.0,2.0,7.0,6.0,4.0,8.0,9.0,16.0,5.0,10.0,11.0,13.0,14.0,12.0,15.0,19.0,17.0,18.0,20.0,21.0,22.0
192,1.0,0.0,2.0,3.0,8.0,5.0,4.0,9.0,6.0,16.0,7.0,10.0,11.0,13.0,15.0,12.0,14.0,21.0,17.0,18.0,20.0,19.0,22.0
241,1.0,0.0,7.0,13.0,8.0,5.0,2.0,9.0,3.0,15.0,4.0,10.0,11.0,14.0,6.0,12.0,17.0,19.0,16.0,18.0,20.0,21.0,22.0
290,3.0,0.0,2.0,1.0,8.0,4.0,5.0,10.0,7.0,16.0,6.0,9.0,11.0,13.0,14.0,12.0,15.0,20.0,19.0,17.0,18.0,21.0,22.0
339,0.0,4.0,3.0,1.0,2.0,5.0,6.0,8.0,7.0,10.0,12.0,9.0,11.0,13.0,14.0,15.0,18.0,17.0,16.0,19.0,20.0,21.0,22.0
388,0.0,1.0,3.0,2.0,8.0,9.0,4.0,10.0,6.0,13.0,5.0,11.0,12.0,15.0,7.0,14.0,16.0,17.0,21.0,18.0,20.0,19.0,22.0
437,1.0,0.0,11.0,2.0,7.0,4.0,6.0,8.0,3.0,16.0,5.0,9.0,10.0,12.0,13.0,14.0,15.0,19.0,17.0,20.0,18.0,21.0,22.0
486,0.0,1.0,2.0,3.0,7.0,5.0,9.0,8.0,6.0,19.0,4.0,10.0,16.0,13.0,14.0,12.0,15.0,21.0,17.0,11.0,20.0,18.0,22.0
535,0.0,1.0,11.0,2.0,3.0,4.0,6.0,5.0,7.0,8.0,15.0,18.0,10.0,12.0,13.0,9.0,14.0,17.0,16.0,19.0,21.0,20.0,22.0
584,1.0,2.0,4.0,3.0,0.0,7.0,5.0,14.0,8.0,6.0,13.0,15.0,10.0,11.0,12.0,9.0,16.0,17.0,18.0,20.0,22.0,19.0,21.0
633,0.0,1.0,2.0,3.0,5.0,4.0,6.0,13.0,7.0,9.0,15.0,8.0,10.0,16.0,11.0,12.0,14.0,18.0,17.0,19.0,21.0,20.0,22.0
682,0.0,1.0,11.0,2.0,6.0,5.0,4.0,8.0,15.0,3.0,13.0,14.0,10.0,17.0,12.0,9.0,16.0,18.0,7.0,19.0,21.0,20.0,22.0
731,0.0,1.0,2.0,11.0,3.0,4.0,5.0,6.0,7.0,9.0,12.0,8.0,10.0,17.0,13.0,14.0,16.0,19.0,18.0,15.0,21.0,20.0,22.0
780,0.0,1.0,2.0,13.0,6.0,5.0,3.0,7.0,8.0,4.0,11.0,17.0,10.0,19.0,12.0,9.0,16.0,18.0,15.0,21.0,14.0,20.0,22.0
829,8.0,2.0,0.0,1.0,7.0,4.0,10.0,9.0,3.0,13.0,15.0,11.0,12.0,5.0,6.0,14.0,17.0,16.0,21.0,18.0,20.0,19.0,22.0
878,1.0,0.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,19.0,17.0,10.0,12.0,13.0,14.0,18.0,20.0,16.0,15.0,21.0,11.0,22.0
