,hsa-miR-142-5p,hsa-miR-216a,hsa-miR-210,hsa-miR-24,hsa-miR-151-3p,hsa-miR-22,hcmv-miR-US5-1,hsa-miR-193b,hsa-miR-149,hsa-miR-130a,hsa-miR-890,hsa-let-7a,hsa-let-7e,hsa-miR-135b,hsa-miR-10a,hsa-miR-21,hsa-miR-574-5p,hsa-miR-628-5p,ebv-miR-BART7,hsa-miR-150,hsa-miR-137,hsa-let-7i,hsa-miR-148a,hsa-miR-513a-3p,hsa-miR-455-5p,hsa-miR-29b,hsa-miR-597,hsa-miR-26b,hsa-miR-593,hsa-miR-147b
2121,1.0,10.0,2.0,8.0,4.0,5.0,6.0,3.0,0.0,11.0,7.0,17.0,98.0,15.0,57.0,27.0,14.0,23.0,403.0,24.0,55.0,290.0,18.0,374.0,111.0,300.0,66.0,20.0,44.0,73.0
2170,1.0,16.0,2.0,10.0,5.0,17.0,48.0,6.0,0.0,3.0,8.0,4.0,61.0,14.0,18.0,53.0,21.0,108.0,165.0,32.0,175.0,46.0,7.0,276.0,27.0,213.0,33.0,13.0,62.0,245.0
2219,2.0,7.0,11.0,16.0,0.0,3.0,90.0,4.0,1.0,9.0,56.0,79.0,58.0,101.0,121.0,42.0,8.0,51.0,75.0,19.0,271.0,95.0,6.0,39.0,25.0,426.0,347.0,110.0,529.0,133.0
2268,0.0,2.0,6.0,3.0,4.0,8.0,7.0,9.0,10.0,1.0,21.0,24.0,42.0,23.0,12.0,186.0,27.0,34.0,83.0,22.0,30.0,70.0,17.0,19.0,102.0,496.0,94.0,103.0,383.0,349.0
2317,1.0,11.0,9.0,5.0,0.0,17.0,4.0,10.0,2.0,3.0,34.0,8.0,29.0,6.0,19.0,65.0,7.0,82.0,21.0,18.0,16.0,88.0,57.0,25.0,111.0,64.0,83.0,242.0,23.0,15.0
2366,0.0,9.0,5.0,4.0,2.0,11.0,1.0,10.0,17.0,7.0,62.0,23.0,77.0,25.0,6.0,21.0,31.0,67.0,45.0,13.0,201.0,35.0,8.0,19.0,117.0,75.0,12.0,101.0,91.0,248.0
2415,0.0,11.0,2.0,4.0,5.0,8.0,14.0,20.0,1.0,3.0,6.0,12.0,10.0,17.0,9.0,69.0,46.0,104.0,97.0,65.0,35.0,50.0,90.0,21.0,23.0,48.0,360.0,128.0,26.0,31.0
2464,8.0,2.0,0.0,1.0,5.0,4.0,3.0,31.0,9.0,40.0,6.0,7.0,25.0,33.0,11.0,21.0,14.0,409.0,154.0,18.0,45.0,61.0,35.0,10.0,115.0,346.0,155.0,56.0,84.0,199.0
2513,5.0,0.0,1.0,8.0,7.0,9.0,14.0,10.0,4.0,16.0,2.0,11.0,19.0,72.0,84.0,278.0,22.0,504.0,32.0,3.0,518.0,21.0,93.0,18.0,60.0,40.0,13.0,418.0,15.0,118.0
2562,2.0,6.0,0.0,7.0,8.0,4.0,3.0,127.0,12.0,87.0,1.0,34.0,16.0,58.0,250.0,14.0,50.0,265.0,122.0,13.0,106.0,9.0,17.0,10.0,116.0,129.0,171.0,65.0,18.0,27.0
2611,3.0,0.0,2.0,6.0,16.0,1.0,9.0,38.0,7.0,27.0,12.0,13.0,10.0,134.0,33.0,25.0,49.0,55.0,229.0,21.0,18.0,8.0,17.0,62.0,15.0,43.0,534.0,114.0,5.0,158.0
2660,0.0,3.0,2.0,6.0,4.0,8.0,1.0,16.0,47.0,27.0,9.0,5.0,73.0,108.0,7.0,32.0,422.0,311.0,149.0,20.0,23.0,71.0,11.0,36.0,45.0,159.0,84.0,431.0,243.0,172.0
2709,8.0,1.0,0.0,2.0,7.0,3.0,42.0,5.0,379.0,107.0,6.0,12.0,17.0,249.0,25.0,19.0,125.0,180.0,399.0,4.0,37.0,14.0,9.0,88.0,36.0,381.0,622.0,52.0,412.0,49.0
2758,0.0,13.0,1.0,3.0,2.0,12.0,14.0,6.0,24.0,15.0,25.0,30.0,9.0,45.0,31.0,7.0,26.0,36.0,37.0,18.0,77.0,35.0,4.0,8.0,11.0,281.0,156.0,142.0,180.0,244.0
2807,3.0,13.0,95.0,1.0,10.0,21.0,4.0,2.0,52.0,182.0,0.0,33.0,60.0,126.0,16.0,17.0,157.0,39.0,217.0,11.0,108.0,24.0,7.0,5.0,465.0,283.0,50.0,135.0,591.0,76.0
2856,4.0,0.0,3.0,6.0,2.0,22.0,1.0,11.0,10.0,16.0,7.0,29.0,91.0,48.0,41.0,19.0,70.0,44.0,43.0,14.0,82.0,15.0,5.0,8.0,65.0,47.0,9.0,110.0,20.0,92.0
2905,1.0,0.0,5.0,2.0,37.0,20.0,4.0,7.0,136.0,149.0,3.0,76.0,488.0,97.0,21.0,8.0,42.0,33.0,27.0,30.0,508.0,14.0,9.0,12.0,119.0,60.0,11.0,41.0,83.0,208.0
2954,3.0,2.0,0.0,5.0,10.0,4.0,1.0,370.0,8.0,22.0,7.0,9.0,13.0,15.0,6.0,494.0,42.0,315.0,98.0,160.0,45.0,96.0,11.0,24.0,41.0,136.0,38.0,12.0,28.0,50.0
3003,1.0,13.0,2.0,0.0,4.0,15.0,3.0,151.0,9.0,11.0,16.0,7.0,12.0,23.0,6.0,10.0,52.0,46.0,170.0,14.0,167.0,232.0,33.0,28.0,81.0,34.0,27.0,129.0,116.0,5.0
3052,6.0,10.0,3.0,1.0,2.0,33.0,4.0,626.0,0.0,7.0,16.0,5.0,11.0,9.0,42.0,8.0,23.0,25.0,15.0,19.0,29.0,54.0,447.0,12.0,101.0,582.0,53.0,149.0,37.0,46.0
3101,5.0,8.0,2.0,4.0,3.0,10.0,0.0,354.0,6.0,18.0,7.0,11.0,14.0,40.0,1.0,48.0,76.0,19.0,84.0,112.0,38.0,52.0,77.0,47.0,425.0,54.0,72.0,53.0,42.0,33.0
3150,5.0,9.0,4.0,0.0,3.0,6.0,8.0,88.0,2.0,7.0,53.0,1.0,22.0,10.0,16.0,15.0,19.0,17.0,377.0,21.0,356.0,555.0,23.0,13.0,40.0,142.0,26.0,28.0,31.0,611.0
3199,2.0,1.0,6.0,7.0,5.0,4.0,3.0,43.0,0.0,35.0,8.0,24.0,15.0,9.0,11.0,10.0,113.0,36.0,27.0,25.0,124.0,65.0,20.0,16.0,225.0,217.0,166.0,18.0,210.0,79.0
3248,2.0,1.0,12.0,4.0,11.0,5.0,0.0,146.0,8.0,6.0,166.0,62.0,29.0,13.0,10.0,7.0,91.0,77.0,324.0,17.0,76.0,78.0,133.0,3.0,44.0,529.0,27.0,34.0,299.0,65.0
3297,4.0,1.0,31.0,3.0,30.0,7.0,53.0,193.0,0.0,33.0,12.0,5.0,10.0,14.0,2.0,8.0,23.0,9.0,102.0,6.0,177.0,243.0,453.0,144.0,254.0,42.0,13.0,28.0,21.0,104.0
3346,6.0,9.0,12.0,0.0,4.0,7.0,1.0,217.0,3.0,13.0,71.0,8.0,18.0,10.0,2.0,16.0,11.0,49.0,414.0,64.0,33.0,42.0,29.0,215.0,19.0,262.0,27.0,5.0,15.0,60.0
3395,4.0,0.0,177.0,1.0,12.0,2.0,10.0,19.0,13.0,114.0,110.0,32.0,30.0,6.0,3.0,9.0,42.0,87.0,395.0,18.0,93.0,55.0,50.0,16.0,46.0,44.0,237.0,7.0,155.0,152.0
3444,1.0,4.0,5.0,0.0,7.0,3.0,8.0,11.0,357.0,14.0,2.0,6.0,59.0,10.0,9.0,27.0,15.0,52.0,318.0,79.0,49.0,165.0,481.0,17.0,297.0,16.0,13.0,80.0,29.0,92.0
3493,1.0,5.0,0.0,3.0,4.0,8.0,7.0,10.0,19.0,27.0,2.0,6.0,9.0,21.0,12.0,25.0,11.0,153.0,22.0,148.0,17.0,104.0,58.0,119.0,329.0,16.0,13.0,49.0,30.0,23.0
3542,4.0,9.0,3.0,0.0,13.0,5.0,1.0,2.0,97.0,23.0,12.0,18.0,8.0,10.0,11.0,7.0,6.0,34.0,235.0,91.0,17.0,63.0,32.0,358.0,460.0,16.0,25.0,29.0,47.0,183.0
3591,4.0,3.0,6.0,2.0,8.0,0.0,7.0,5.0,114.0,25.0,1.0,88.0,14.0,12.0,19.0,10.0,13.0,73.0,109.0,161.0,9.0,46.0,282.0,127.0,276.0,18.0,61.0,53.0,329.0,56.0
3640,0.0,4.0,6.0,1.0,3.0,2.0,73.0,12.0,39.0,18.0,11.0,5.0,217.0,13.0,90.0,24.0,67.0,15.0,339.0,75.0,23.0,81.0,9.0,44.0,86.0,7.0,8.0,32.0,100.0,442.0
3689,0.0,3.0,5.0,2.0,6.0,9.0,11.0,8.0,62.0,17.0,1.0,7.0,37.0,18.0,38.0,4.0,16.0,126.0,123.0,20.0,77.0,14.0,23.0,50.0,74.0,13.0,28.0,45.0,248.0,19.0
3738,0.0,8.0,4.0,1.0,7.0,3.0,10.0,5.0,133.0,364.0,2.0,6.0,18.0,17.0,14.0,52.0,26.0,57.0,242.0,38.0,157.0,74.0,19.0,16.0,40.0,9.0,11.0,146.0,548.0,239.0
3787,0.0,7.0,1.0,3.0,5.0,2.0,6.0,12.0,385.0,275.0,9.0,4.0,54.0,24.0,138.0,8.0,11.0,10.0,28.0,26.0,22.0,29.0,17.0,25.0,63.0,15.0,234.0,199.0,273.0,83.0
3836,1.0,2.0,9.0,4.0,3.0,5.0,20.0,44.0,38.0,432.0,45.0,6.0,495.0,10.0,21.0,12.0,13.0,16.0,30.0,390.0,15.0,102.0,11.0,17.0,26.0,7.0,0.0,138.0,151.0,166.0
3885,1.0,4.0,0.0,13.0,8.0,3.0,7.0,17.0,60.0,11.0,12.0,5.0,18.0,9.0,77.0,14.0,33.0,141.0,23.0,160.0,16.0,42.0,186.0,528.0,28.0,2.0,25.0,531.0,45.0,92.0
3934,0.0,2.0,1.0,4.0,13.0,5.0,10.0,8.0,3.0,11.0,6.0,15.0,7.0,9.0,26.0,54.0,85.0,257.0,14.0,27.0,344.0,315.0,23.0,327.0,31.0,381.0,34.0,44.0,55.0,17.0
3983,1.0,2.0,5.0,12.0,6.0,0.0,7.0,19.0,3.0,22.0,9.0,18.0,8.0,4.0,11.0,59.0,39.0,185.0,13.0,45.0,598.0,31.0,200.0,324.0,50.0,97.0,21.0,26.0,27.0,14.0
4032,1.0,0.0,8.0,15.0,2.0,18.0,4.0,14.0,13.0,7.0,6.0,231.0,9.0,26.0,34.0,10.0,22.0,33.0,31.0,20.0,74.0,77.0,39.0,207.0,37.0,108.0,5.0,53.0,3.0,36.0
4081,1.0,7.0,6.0,4.0,11.0,0.0,26.0,30.0,5.0,3.0,2.0,10.0,21.0,31.0,68.0,22.0,27.0,23.0,46.0,60.0,20.0,65.0,134.0,28.0,12.0,181.0,8.0,15.0,9.0,70.0
4130,10.0,6.0,0.0,31.0,15.0,5.0,1.0,18.0,11.0,3.0,2.0,4.0,7.0,65.0,47.0,22.0,23.0,54.0,621.0,20.0,13.0,101.0,16.0,71.0,94.0,30.0,14.0,134.0,8.0,52.0
4179,5.0,2.0,3.0,8.0,10.0,6.0,44.0,29.0,1.0,15.0,9.0,0.0,4.0,41.0,14.0,50.0,7.0,26.0,11.0,353.0,59.0,108.0,67.0,80.0,21.0,207.0,12.0,13.0,60.0,33.0
4228,6.0,0.0,11.0,14.0,13.0,2.0,5.0,43.0,7.0,3.0,10.0,34.0,1.0,32.0,22.0,8.0,4.0,512.0,47.0,19.0,26.0,16.0,12.0,298.0,23.0,40.0,38.0,60.0,543.0,59.0
4277,0.0,1.0,5.0,11.0,9.0,3.0,235.0,289.0,10.0,2.0,6.0,12.0,4.0,13.0,7.0,36.0,20.0,22.0,240.0,43.0,163.0,44.0,25.0,23.0,17.0,332.0,14.0,19.0,202.0,134.0
4326,3.0,0.0,11.0,6.0,17.0,2.0,23.0,114.0,7.0,9.0,1.0,4.0,5.0,40.0,12.0,42.0,8.0,13.0,140.0,98.0,10.0,120.0,199.0,48.0,35.0,45.0,144.0,18.0,24.0,600.0
4375,4.0,1.0,2.0,22.0,58.0,0.0,12.0,9.0,41.0,23.0,3.0,7.0,6.0,26.0,19.0,11.0,5.0,100.0,105.0,158.0,159.0,27.0,55.0,45.0,44.0,18.0,10.0,46.0,24.0,124.0
4424,16.0,1.0,2.0,0.0,35.0,3.0,10.0,20.0,18.0,4.0,24.0,21.0,14.0,8.0,52.0,5.0,28.0,65.0,11.0,397.0,49.0,43.0,104.0,356.0,30.0,6.0,15.0,92.0,148.0,116.0
4473,4.0,11.0,1.0,2.0,21.0,0.0,8.0,46.0,9.0,3.0,14.0,65.0,7.0,6.0,17.0,5.0,12.0,28.0,34.0,87.0,31.0,44.0,22.0,318.0,55.0,16.0,10.0,102.0,27.0,38.0
4522,2.0,6.0,9.0,0.0,11.0,4.0,48.0,16.0,18.0,1.0,90.0,13.0,5.0,3.0,10.0,12.0,14.0,172.0,8.0,337.0,7.0,83.0,55.0,44.0,17.0,29.0,40.0,31.0,36.0,27.0
4571,4.0,8.0,1.0,0.0,23.0,3.0,11.0,18.0,125.0,7.0,544.0,19.0,5.0,2.0,20.0,6.0,26.0,52.0,17.0,177.0,16.0,37.0,95.0,27.0,10.0,33.0,9.0,128.0,40.0,66.0
4620,5.0,44.0,3.0,1.0,2.0,0.0,9.0,8.0,10.0,7.0,161.0,18.0,11.0,15.0,130.0,6.0,163.0,38.0,34.0,50.0,4.0,14.0,13.0,49.0,27.0,19.0,33.0,304.0,473.0,29.0
4669,5.0,4.0,9.0,1.0,10.0,0.0,8.0,21.0,322.0,17.0,101.0,39.0,7.0,3.0,43.0,2.0,15.0,32.0,41.0,59.0,11.0,100.0,315.0,68.0,27.0,6.0,14.0,13.0,413.0,20.0
4718,11.0,2.0,4.0,1.0,10.0,3.0,12.0,15.0,22.0,8.0,30.0,7.0,27.0,0.0,41.0,6.0,158.0,20.0,35.0,284.0,9.0,439.0,289.0,91.0,36.0,5.0,114.0,355.0,234.0,49.0
4767,2.0,10.0,6.0,0.0,8.0,16.0,11.0,4.0,22.0,12.0,34.0,5.0,53.0,1.0,67.0,30.0,37.0,9.0,3.0,189.0,23.0,65.0,24.0,17.0,44.0,27.0,28.0,21.0,100.0,14.0
4816,9.0,7.0,6.0,4.0,16.0,8.0,10.0,1.0,11.0,3.0,17.0,39.0,0.0,2.0,55.0,5.0,23.0,20.0,45.0,310.0,50.0,32.0,58.0,129.0,81.0,25.0,14.0,51.0,21.0,90.0
4865,2.0,16.0,5.0,0.0,8.0,12.0,3.0,9.0,24.0,7.0,10.0,31.0,4.0,1.0,25.0,62.0,157.0,76.0,17.0,469.0,37.0,122.0,11.0,36.0,525.0,13.0,28.0,39.0,75.0,49.0
