,LPA_AMP,OR2T11_AMP,CDC73_AMP,LOC100506776_DEL,HLA-H_DEL,ZNF705G_AMP,MUC20_AMP,SIRPB1_AMP,HERC2P2_AMP,MSTO2P_AMP,DAP3_AMP,OR2T10_AMP,HCG4B_DEL,HLA-DQB1_DEL,GALNTL6_DEL,MLIP_DEL,PCCB_DEL,LCE3C_DEL,SMARCA2_DEL,TAG_DEL,KIAA1217_DEL,CES1P1_DEL,NBEAP1_AMP,CES1_AMP,MIR570_AMP,ARL17A_DEL,USP17L1P_AMP,FAM106CP_AMP,CCDC144A_AMP,MRC1_AMP
4439,0.0,1.0,28.0,12.0,63.0,2.0,27.0,17.0,23.0,46.0,45.0,11.0,55.0,164.0,54.0,7.0,77.0,8.0,18.0,21.0,61.0,32.0,42.0,56.0,141.0,10.0,4.0,26.0,25.0,43.0
4488,10.0,0.0,6.0,11.0,22.0,1.0,30.0,7.0,21.0,87.0,86.0,2.0,16.0,25.0,41.0,29.0,118.0,14.0,42.0,36.0,34.0,43.0,83.0,134.0,84.0,3.0,13.0,49.0,50.0,68.0
4537,6.0,0.0,24.0,9.0,39.0,4.0,28.0,2.0,25.0,42.0,41.0,1.0,5.0,14.0,201.0,33.0,34.0,3.0,36.0,47.0,208.0,7.0,43.0,86.0,29.0,11.0,27.0,19.0,18.0,171.0
4586,4.0,0.0,9.0,10.0,55.0,3.0,73.0,1.0,13.0,20.0,19.0,2.0,210.0,129.0,12.0,14.0,252.0,23.0,25.0,17.0,30.0,5.0,48.0,60.0,515.0,8.0,26.0,40.0,41.0,67.0
4635,2.0,0.0,16.0,12.0,142.0,8.0,38.0,9.0,6.0,91.0,92.0,4.0,13.0,14.0,167.0,42.0,100.0,7.0,18.0,23.0,209.0,5.0,15.0,32.0,146.0,10.0,58.0,29.0,28.0,39.0
4684,2.0,0.0,8.0,4.0,13.0,16.0,12.0,5.0,9.0,20.0,21.0,1.0,15.0,130.0,48.0,14.0,52.0,7.0,49.0,162.0,1668.0,19.0,35.0,38.0,56.0,3.0,63.0,30.0,29.0,37.0
4733,3.0,0.0,32.0,2.0,15.0,6.0,5.0,1.0,40.0,36.0,37.0,4.0,28.0,17.0,18.0,182.0,99.0,29.0,13.0,20.0,1635.0,41.0,25.0,97.0,43.0,12.0,45.0,8.0,7.0,350.0
4782,11.0,0.0,7.0,3.0,44.0,16.0,12.0,4.0,8.0,14.0,15.0,1.0,37.0,38.0,49.0,32.0,46.0,2.0,24.0,28.0,70.0,36.0,33.0,56.0,67.0,5.0,35.0,18.0,17.0,25.0
4831,1.0,0.0,12.0,3.0,20.0,2.0,47.0,76.0,5.0,10.0,9.0,4.0,15.0,105.0,297.0,29.0,74.0,8.0,22.0,25.0,122.0,11.0,28.0,17.0,137.0,7.0,63.0,70.0,71.0,75.0
4880,12.0,0.0,179.0,4.0,78.0,19.0,14.0,10.0,2.0,25.0,24.0,1.0,73.0,54.0,226.0,105.0,121.0,41.0,104.0,64.0,144.0,155.0,13.0,20.0,172.0,6.0,65.0,39.0,38.0,115.0
