,hsa-miR-582-5p,hsa-miR-579,hsa-miR-548a-3p,hsa-miR-1257,hsa-miR-1197,hsa-miR-744,hsa-miR-499-3p,hsa-miR-205,hsa-miR-140-5p,hsa-miR-620,hsa-miR-638,hsv1-miR-H7,hsa-miR-651,hsa-miR-604,hsa-miR-1979,hsa-miR-759,hsa-miR-548c-5p,hsa-miR-551b,hsa-miR-924,hsa-miR-34a,hsa-miR-583,hsv1-miR-H8,hsa-miR-615-3p,kshv-miR-K12-8,hsa-miR-1977,hsa-miR-146b-3p,hsa-miR-770-5p,hsa-miR-612,ebv-miR-BART16,hsa-miR-214
16,1.0,2.0,8.0,15.0,0.0,16.0,29.0,3.0,7.0,27.0,14.0,30.0,5.0,20.0,9.0,58.0,18.0,155.0,47.0,11.0,19.0,32.0,31.0,84.0,13.0,21.0,136.0,150.0,17.0,23.0
65,0.0,4.0,1.0,6.0,2.0,17.0,21.0,10.0,16.0,8.0,15.0,75.0,3.0,13.0,12.0,11.0,9.0,86.0,27.0,19.0,64.0,36.0,44.0,23.0,40.0,18.0,92.0,180.0,5.0,37.0
114,1.0,0.0,4.0,9.0,6.0,3.0,41.0,27.0,15.0,11.0,42.0,30.0,2.0,10.0,12.0,32.0,7.0,72.0,33.0,31.0,28.0,17.0,35.0,19.0,8.0,38.0,39.0,63.0,5.0,56.0
163,0.0,1.0,8.0,11.0,7.0,57.0,34.0,2.0,19.0,10.0,38.0,43.0,4.0,3.0,23.0,5.0,9.0,21.0,17.0,20.0,14.0,31.0,29.0,36.0,16.0,12.0,62.0,232.0,6.0,120.0
212,2.0,1.0,0.0,6.0,5.0,4.0,21.0,13.0,17.0,7.0,38.0,63.0,9.0,3.0,52.0,33.0,12.0,67.0,51.0,238.0,20.0,59.0,50.0,15.0,31.0,36.0,117.0,96.0,22.0,49.0
261,0.0,1.0,6.0,16.0,4.0,35.0,7.0,2.0,3.0,5.0,46.0,60.0,10.0,30.0,14.0,9.0,20.0,45.0,12.0,18.0,154.0,13.0,15.0,11.0,17.0,88.0,77.0,168.0,28.0,36.0
310,0.0,3.0,35.0,2.0,4.0,9.0,22.0,12.0,17.0,16.0,11.0,77.0,6.0,1.0,8.0,15.0,5.0,24.0,74.0,19.0,25.0,20.0,45.0,21.0,10.0,43.0,172.0,234.0,14.0,47.0
359,0.0,4.0,10.0,13.0,9.0,12.0,49.0,28.0,6.0,7.0,31.0,93.0,2.0,5.0,18.0,21.0,51.0,16.0,63.0,8.0,37.0,15.0,47.0,36.0,17.0,61.0,79.0,165.0,40.0,87.0
408,0.0,8.0,3.0,11.0,4.0,1.0,6.0,12.0,24.0,5.0,28.0,60.0,2.0,27.0,18.0,14.0,15.0,71.0,31.0,132.0,99.0,32.0,20.0,41.0,7.0,36.0,48.0,217.0,9.0,144.0
457,0.0,6.0,2.0,19.0,5.0,16.0,22.0,11.0,21.0,13.0,12.0,54.0,3.0,1.0,56.0,17.0,15.0,78.0,26.0,10.0,52.0,34.0,59.0,61.0,9.0,25.0,102.0,134.0,4.0,72.0
506,45.0,3.0,1.0,9.0,2.0,12.0,10.0,86.0,43.0,47.0,17.0,13.0,160.0,62.0,19.0,128.0,5.0,66.0,6.0,29.0,22.0,40.0,4.0,11.0,7.0,50.0,15.0,21.0,33.0,37.0
555,3.0,0.0,12.0,48.0,2.0,9.0,5.0,92.0,36.0,54.0,25.0,28.0,108.0,113.0,21.0,100.0,1.0,39.0,4.0,51.0,22.0,33.0,23.0,55.0,38.0,26.0,29.0,18.0,58.0,8.0
604,5.0,0.0,19.0,10.0,3.0,53.0,6.0,40.0,26.0,27.0,29.0,36.0,137.0,34.0,24.0,75.0,9.0,31.0,2.0,14.0,12.0,43.0,54.0,7.0,70.0,66.0,35.0,8.0,15.0,93.0
653,3.0,0.0,22.0,18.0,4.0,26.0,21.0,15.0,11.0,76.0,43.0,9.0,109.0,50.0,24.0,64.0,1.0,32.0,2.0,302.0,7.0,40.0,16.0,33.0,77.0,56.0,19.0,35.0,45.0,81.0
702,4.0,0.0,46.0,31.0,16.0,15.0,2.0,35.0,7.0,21.0,20.0,6.0,64.0,48.0,10.0,159.0,22.0,23.0,1.0,41.0,12.0,11.0,17.0,24.0,3.0,26.0,182.0,32.0,14.0,25.0
751,1.0,4.0,2.0,37.0,11.0,41.0,3.0,14.0,22.0,45.0,26.0,5.0,92.0,34.0,13.0,83.0,0.0,20.0,8.0,52.0,102.0,32.0,7.0,23.0,9.0,55.0,103.0,27.0,16.0,28.0
800,2.0,0.0,1.0,20.0,10.0,53.0,28.0,41.0,65.0,129.0,9.0,5.0,62.0,115.0,26.0,71.0,13.0,32.0,8.0,14.0,24.0,18.0,7.0,86.0,47.0,3.0,29.0,25.0,77.0,30.0
849,31.0,0.0,20.0,7.0,6.0,36.0,34.0,10.0,63.0,13.0,19.0,4.0,94.0,118.0,21.0,106.0,1.0,49.0,2.0,9.0,5.0,24.0,8.0,3.0,78.0,14.0,52.0,11.0,23.0,38.0
898,1.0,0.0,6.0,23.0,10.0,53.0,3.0,15.0,14.0,24.0,5.0,7.0,35.0,40.0,9.0,68.0,2.0,29.0,4.0,49.0,25.0,39.0,20.0,19.0,21.0,8.0,26.0,64.0,32.0,54.0
947,12.0,0.0,1.0,22.0,5.0,13.0,6.0,4.0,25.0,139.0,7.0,14.0,131.0,20.0,15.0,80.0,2.0,3.0,23.0,55.0,37.0,42.0,10.0,110.0,16.0,38.0,34.0,21.0,18.0,173.0
996,0.0,2.0,16.0,12.0,19.0,8.0,3.0,18.0,11.0,14.0,121.0,1.0,22.0,24.0,44.0,9.0,122.0,13.0,73.0,26.0,35.0,34.0,31.0,7.0,30.0,137.0,25.0,5.0,23.0,38.0
1045,0.0,1.0,10.0,4.0,23.0,12.0,5.0,22.0,8.0,3.0,65.0,2.0,62.0,50.0,30.0,14.0,21.0,24.0,61.0,31.0,57.0,58.0,36.0,48.0,7.0,66.0,44.0,13.0,9.0,147.0
