,NDN,AC026407.1,S100A4,HGF,MB21D1,ANGPTL2,AC016710.1,POLR2J3,GSTT1,HSD17B11,ALKBH3,RP11-834C11.4,CAMK1D,MAGEA1,DNAJA4,CLDN11,LUM,PLAUR,KLHL3,RP3-467L1.4,AC068134.10,AC093627.9,TTC31,TGFB1,SPTBN2,TSPYL5,SLFN13,CTD-3224K15.3,RP11-673E1.3,ZNF334
1822,11.0,93.0,1.0,36.0,65.0,33.0,26.0,513.0,495.0,4.0,71.0,8.0,280.0,21.0,4150.0,15.0,225.0,17.0,6.0,94.0,409.0,53.0,14.0,5.0,60.0,27.0,47.0,22.0,51.0,106.0
1871,70.0,12.0,14.0,2.0,1.0,22.0,77.0,6.0,1280.0,7.0,48.0,4.0,1290.0,30.0,106.0,23.0,15.0,218.0,126.0,321.0,115.0,16.0,26.0,61.0,3.0,0.0,10.0,17.0,736.0,417.0
1920,21.0,13.0,19.0,5.0,2.0,33.0,6.0,165.0,14.0,3.0,36.0,4.0,16.0,26.0,272.0,208.0,57.0,71.0,11.0,109.0,56.0,76.0,12.0,23.0,40.0,17.0,7.0,9.0,118.0,80.0
1969,1.0,0.0,7.0,24.0,317.0,6.0,21.0,102.0,4.0,10.0,55.0,900.0,3.0,9.0,28.0,22.0,59.0,79.0,11.0,40.0,280.0,18.0,43.0,36.0,82.0,27.0,61.0,130.0,260.0,15.0
2018,0.0,1.0,2.0,47.0,18.0,3.0,239.0,65.0,19.0,17.0,105.0,277.0,10.0,39.0,28.0,184.0,26.0,52.0,113.0,55.0,103.0,7.0,173.0,145.0,372.0,5.0,86.0,652.0,256.0,9.0
2067,0.0,34.0,1.0,102.0,6.0,10.0,328.0,72.0,169.0,9.0,39.0,176.0,16.0,18.0,8.0,21.0,11.0,71.0,13.0,25.0,439.0,70.0,37.0,60.0,128.0,23.0,165.0,87.0,434.0,3.0
2116,0.0,1.0,2.0,92.0,4.0,5.0,876.0,116.0,23.0,11.0,185.0,45.0,27.0,40.0,7.0,15.0,18.0,138.0,123.0,54.0,35.0,120.0,29.0,52.0,41.0,16.0,39.0,121.0,277.0,3.0
2165,0.0,5.0,3.0,23.0,10.0,1.0,138.0,13.0,8.0,15.0,28.0,35.0,2.0,65.0,7.0,12.0,9.0,59.0,236.0,16.0,186.0,29.0,132.0,111.0,30.0,358.0,26.0,517.0,148.0,33.0
2214,1.0,3.0,0.0,31.0,25.0,2.0,4813.0,143.0,305.0,11.0,490.0,22.0,4.0,18.0,53.0,13.0,37.0,103.0,10.0,45.0,64.0,27.0,35.0,84.0,391.0,58.0,38.0,263.0,217.0,6.0
2263,0.0,10.0,1.0,33.0,6.0,2.0,241.0,37.0,7.0,14.0,103.0,12.0,21.0,11.0,13.0,4.0,3.0,248.0,16.0,8.0,81.0,27.0,106.0,28.0,60.0,26.0,15.0,72.0,287.0,20.0
