,Caspase-7_cleavedD198,Bax,Bcl-2,GATA3,p27_pT157,Cyclin_B1,GSK3-alpha-beta,MSH6,beta Actin,Bid,RAD51,PAI-1,Cyclin_D1,JNK_pT183_Y185,VAV1,Transglutaminase,HER2,Chk2_pT68,MEK1_pS217_S221,XBP1,FoxM1,beta-Catenin,GSK-3-BETA,AMPK_pT172,PKC-pan_BetaII_pS660,CD31,SHP-2_pY542,Rab25,BRCA2,GSK3-alpha-beta_pS21_S9
2,0.0,16.0,4.0,5.0,2.0,1.0,18.0,15.0,6.0,14.0,3.0,20.0,8.0,19.0,9.0,21.0,35.0,28.0,42.0,54.0,12.0,10.0,11.0,59.0,40.0,34.0,48.0,17.0,25.0,60.0
51,0.0,1.0,6.0,4.0,3.0,7.0,14.0,2.0,11.0,13.0,18.0,5.0,10.0,38.0,39.0,23.0,36.0,20.0,12.0,17.0,25.0,26.0,35.0,63.0,9.0,27.0,19.0,33.0,16.0,24.0
100,0.0,5.0,4.0,2.0,1.0,6.0,8.0,16.0,20.0,7.0,9.0,10.0,3.0,48.0,12.0,32.0,36.0,41.0,18.0,19.0,21.0,11.0,15.0,70.0,62.0,26.0,34.0,52.0,53.0,17.0
149,0.0,1.0,7.0,4.0,3.0,5.0,67.0,11.0,2.0,13.0,19.0,22.0,9.0,38.0,17.0,18.0,34.0,10.0,28.0,30.0,16.0,21.0,33.0,31.0,37.0,35.0,14.0,15.0,25.0,8.0
198,0.0,1.0,3.0,2.0,10.0,24.0,39.0,8.0,5.0,29.0,6.0,11.0,4.0,30.0,36.0,21.0,31.0,32.0,23.0,20.0,25.0,9.0,14.0,17.0,33.0,51.0,7.0,12.0,35.0,34.0
247,0.0,12.0,13.0,3.0,5.0,1.0,55.0,6.0,4.0,16.0,9.0,27.0,2.0,41.0,21.0,23.0,30.0,32.0,28.0,7.0,10.0,25.0,24.0,8.0,60.0,11.0,26.0,29.0,33.0,15.0
296,0.0,2.0,17.0,5.0,1.0,19.0,39.0,7.0,12.0,3.0,11.0,4.0,6.0,25.0,20.0,28.0,24.0,13.0,43.0,9.0,26.0,8.0,22.0,10.0,53.0,33.0,15.0,29.0,16.0,14.0
345,0.0,2.0,9.0,4.0,1.0,13.0,51.0,5.0,12.0,16.0,10.0,6.0,7.0,27.0,20.0,8.0,62.0,54.0,19.0,39.0,14.0,3.0,15.0,45.0,48.0,33.0,22.0,29.0,18.0,37.0
394,0.0,2.0,9.0,1.0,3.0,4.0,30.0,8.0,20.0,18.0,6.0,15.0,5.0,33.0,34.0,84.0,17.0,23.0,51.0,26.0,12.0,7.0,10.0,49.0,44.0,28.0,19.0,27.0,16.0,31.0
443,0.0,8.0,2.0,5.0,12.0,11.0,25.0,6.0,10.0,13.0,3.0,18.0,1.0,33.0,4.0,26.0,32.0,7.0,40.0,45.0,53.0,17.0,9.0,30.0,54.0,44.0,24.0,23.0,35.0,31.0
492,0.0,1.0,17.0,2.0,6.0,30.0,8.0,20.0,9.0,5.0,12.0,7.0,41.0,40.0,11.0,15.0,24.0,53.0,25.0,18.0,27.0,14.0,47.0,22.0,32.0,31.0,26.0,55.0,10.0,42.0
541,0.0,1.0,10.0,7.0,15.0,36.0,4.0,13.0,29.0,3.0,22.0,2.0,9.0,24.0,30.0,6.0,26.0,50.0,11.0,28.0,52.0,31.0,21.0,12.0,35.0,20.0,45.0,43.0,19.0,14.0
590,0.0,3.0,23.0,21.0,8.0,16.0,5.0,2.0,1.0,6.0,35.0,7.0,12.0,24.0,20.0,46.0,25.0,13.0,43.0,29.0,50.0,11.0,42.0,31.0,17.0,19.0,34.0,27.0,28.0,69.0
639,0.0,1.0,9.0,13.0,8.0,29.0,6.0,4.0,5.0,2.0,7.0,3.0,28.0,54.0,20.0,43.0,41.0,35.0,76.0,21.0,37.0,18.0,53.0,16.0,14.0,24.0,26.0,15.0,36.0,39.0
688,0.0,2.0,6.0,1.0,3.0,14.0,11.0,5.0,15.0,9.0,7.0,13.0,8.0,32.0,21.0,58.0,52.0,82.0,22.0,16.0,18.0,17.0,31.0,23.0,28.0,25.0,19.0,36.0,29.0,40.0
737,0.0,1.0,22.0,15.0,4.0,7.0,14.0,8.0,39.0,3.0,16.0,18.0,36.0,26.0,27.0,20.0,25.0,2.0,50.0,6.0,51.0,40.0,47.0,17.0,19.0,44.0,67.0,49.0,46.0,21.0
786,0.0,1.0,11.0,5.0,3.0,17.0,10.0,2.0,13.0,4.0,14.0,6.0,55.0,9.0,43.0,19.0,47.0,54.0,42.0,8.0,15.0,40.0,28.0,7.0,25.0,48.0,39.0,30.0,24.0,23.0
835,0.0,4.0,21.0,2.0,1.0,43.0,5.0,69.0,10.0,3.0,12.0,6.0,16.0,22.0,24.0,26.0,32.0,29.0,45.0,14.0,27.0,38.0,11.0,48.0,20.0,46.0,13.0,23.0,17.0,36.0
884,0.0,1.0,16.0,7.0,4.0,5.0,2.0,12.0,10.0,3.0,6.0,17.0,22.0,53.0,41.0,62.0,18.0,39.0,32.0,11.0,28.0,9.0,15.0,13.0,37.0,23.0,38.0,36.0,29.0,34.0
933,0.0,8.0,6.0,4.0,3.0,31.0,2.0,13.0,26.0,5.0,9.0,1.0,27.0,30.0,50.0,7.0,41.0,40.0,52.0,15.0,36.0,20.0,16.0,34.0,32.0,29.0,74.0,17.0,37.0,21.0
982,0.0,2.0,10.0,21.0,5.0,1.0,3.0,4.0,12.0,14.0,17.0,26.0,28.0,19.0,6.0,18.0,23.0,9.0,25.0,52.0,36.0,34.0,8.0,7.0,43.0,38.0,33.0,31.0,15.0,24.0
1031,0.0,3.0,16.0,4.0,8.0,6.0,1.0,13.0,9.0,10.0,12.0,14.0,39.0,18.0,7.0,24.0,41.0,2.0,22.0,20.0,37.0,54.0,26.0,5.0,31.0,62.0,66.0,55.0,34.0,15.0
1080,0.0,29.0,12.0,16.0,9.0,3.0,1.0,50.0,13.0,6.0,20.0,31.0,32.0,7.0,5.0,54.0,42.0,4.0,30.0,21.0,33.0,64.0,8.0,10.0,19.0,84.0,78.0,11.0,23.0,28.0
1129,0.0,5.0,6.0,8.0,7.0,9.0,3.0,28.0,2.0,20.0,13.0,30.0,26.0,18.0,15.0,4.0,27.0,12.0,11.0,45.0,41.0,10.0,14.0,1.0,40.0,48.0,46.0,47.0,33.0,17.0
1178,0.0,5.0,12.0,16.0,10.0,4.0,1.0,3.0,21.0,11.0,13.0,9.0,17.0,38.0,30.0,27.0,23.0,2.0,25.0,32.0,46.0,22.0,36.0,8.0,35.0,49.0,69.0,42.0,15.0,24.0
1227,0.0,1.0,18.0,29.0,3.0,4.0,2.0,7.0,5.0,9.0,23.0,10.0,22.0,6.0,17.0,11.0,27.0,8.0,34.0,33.0,44.0,19.0,21.0,13.0,26.0,41.0,47.0,55.0,15.0,16.0
1276,0.0,4.0,16.0,7.0,2.0,5.0,14.0,3.0,1.0,9.0,26.0,42.0,19.0,18.0,6.0,12.0,27.0,8.0,20.0,64.0,30.0,17.0,15.0,28.0,11.0,49.0,41.0,33.0,38.0,23.0
1325,1.0,3.0,7.0,2.0,8.0,5.0,0.0,11.0,15.0,21.0,18.0,19.0,25.0,4.0,6.0,17.0,12.0,24.0,22.0,80.0,31.0,32.0,9.0,10.0,16.0,63.0,41.0,27.0,29.0,64.0
1374,0.0,2.0,11.0,6.0,5.0,4.0,7.0,16.0,3.0,14.0,1.0,8.0,24.0,9.0,29.0,25.0,35.0,18.0,33.0,21.0,40.0,39.0,15.0,12.0,19.0,47.0,43.0,23.0,22.0,17.0
1423,0.0,3.0,5.0,6.0,7.0,2.0,1.0,12.0,4.0,18.0,8.0,9.0,27.0,17.0,25.0,15.0,22.0,14.0,19.0,57.0,37.0,40.0,13.0,10.0,33.0,69.0,56.0,36.0,80.0,16.0
1472,0.0,7.0,11.0,12.0,3.0,5.0,10.0,4.0,23.0,39.0,2.0,20.0,21.0,8.0,36.0,22.0,19.0,33.0,28.0,13.0,26.0,32.0,38.0,24.0,43.0,6.0,72.0,14.0,54.0,40.0
1521,0.0,6.0,3.0,4.0,1.0,8.0,7.0,10.0,5.0,12.0,11.0,20.0,2.0,18.0,37.0,35.0,15.0,32.0,43.0,21.0,28.0,34.0,57.0,30.0,23.0,17.0,33.0,29.0,62.0,13.0
1570,0.0,4.0,12.0,3.0,7.0,9.0,13.0,18.0,5.0,24.0,6.0,37.0,2.0,11.0,57.0,19.0,29.0,60.0,16.0,26.0,32.0,17.0,15.0,10.0,67.0,8.0,73.0,43.0,45.0,23.0
1619,0.0,29.0,8.0,1.0,4.0,3.0,11.0,23.0,10.0,9.0,6.0,16.0,37.0,2.0,69.0,27.0,17.0,75.0,21.0,26.0,34.0,31.0,13.0,12.0,24.0,25.0,55.0,39.0,56.0,18.0
1668,0.0,2.0,6.0,17.0,12.0,3.0,16.0,7.0,37.0,22.0,4.0,28.0,1.0,15.0,19.0,26.0,24.0,68.0,23.0,21.0,14.0,27.0,18.0,20.0,54.0,5.0,76.0,47.0,50.0,25.0
1717,0.0,6.0,13.0,1.0,3.0,9.0,11.0,23.0,5.0,14.0,4.0,19.0,15.0,2.0,37.0,54.0,24.0,48.0,29.0,33.0,18.0,52.0,25.0,36.0,38.0,10.0,47.0,20.0,87.0,22.0
1766,1.0,5.0,10.0,4.0,2.0,3.0,13.0,11.0,26.0,7.0,17.0,8.0,0.0,20.0,41.0,37.0,33.0,38.0,6.0,25.0,24.0,34.0,23.0,29.0,31.0,12.0,116.0,35.0,53.0,16.0
1815,0.0,1.0,21.0,3.0,16.0,2.0,6.0,8.0,13.0,5.0,11.0,15.0,9.0,4.0,31.0,10.0,14.0,48.0,7.0,30.0,39.0,18.0,37.0,20.0,51.0,23.0,86.0,24.0,79.0,25.0
1864,0.0,6.0,8.0,2.0,4.0,3.0,5.0,16.0,15.0,14.0,10.0,21.0,7.0,18.0,31.0,58.0,29.0,77.0,32.0,30.0,27.0,11.0,12.0,19.0,36.0,13.0,71.0,26.0,70.0,37.0
1913,0.0,6.0,12.0,8.0,2.0,10.0,16.0,1.0,19.0,4.0,11.0,15.0,5.0,3.0,29.0,48.0,33.0,53.0,17.0,34.0,26.0,23.0,7.0,70.0,46.0,25.0,92.0,9.0,36.0,50.0
1962,0.0,1.0,14.0,8.0,3.0,7.0,19.0,13.0,4.0,9.0,11.0,23.0,41.0,2.0,5.0,50.0,15.0,16.0,10.0,48.0,21.0,18.0,81.0,60.0,6.0,53.0,35.0,44.0,54.0,57.0
2011,0.0,12.0,8.0,6.0,10.0,2.0,44.0,3.0,1.0,15.0,7.0,18.0,23.0,9.0,17.0,65.0,5.0,14.0,11.0,48.0,16.0,43.0,53.0,21.0,4.0,54.0,59.0,31.0,86.0,52.0
2060,0.0,5.0,1.0,19.0,22.0,8.0,9.0,10.0,4.0,6.0,16.0,7.0,28.0,13.0,2.0,23.0,25.0,14.0,11.0,21.0,49.0,18.0,34.0,42.0,3.0,48.0,24.0,15.0,83.0,38.0
2109,0.0,4.0,1.0,30.0,18.0,2.0,36.0,12.0,17.0,19.0,9.0,3.0,23.0,10.0,7.0,57.0,26.0,5.0,25.0,50.0,14.0,58.0,32.0,66.0,8.0,48.0,88.0,11.0,107.0,80.0
2158,0.0,3.0,9.0,29.0,8.0,11.0,28.0,2.0,4.0,12.0,17.0,6.0,22.0,1.0,5.0,15.0,14.0,7.0,21.0,13.0,27.0,18.0,64.0,41.0,10.0,31.0,48.0,23.0,92.0,58.0
2207,0.0,5.0,7.0,23.0,13.0,4.0,12.0,14.0,1.0,20.0,10.0,11.0,8.0,17.0,3.0,56.0,24.0,26.0,6.0,34.0,29.0,46.0,22.0,16.0,18.0,36.0,57.0,27.0,94.0,45.0
2256,0.0,17.0,19.0,1.0,4.0,3.0,15.0,31.0,2.0,23.0,20.0,35.0,25.0,5.0,8.0,10.0,16.0,40.0,22.0,44.0,6.0,69.0,49.0,74.0,14.0,63.0,32.0,47.0,95.0,72.0
2305,2.0,3.0,18.0,32.0,13.0,4.0,37.0,1.0,6.0,11.0,12.0,15.0,21.0,9.0,0.0,23.0,14.0,7.0,5.0,67.0,42.0,33.0,44.0,43.0,8.0,50.0,71.0,10.0,81.0,80.0
2354,1.0,0.0,11.0,32.0,28.0,8.0,25.0,3.0,4.0,2.0,20.0,15.0,16.0,23.0,7.0,38.0,17.0,14.0,9.0,51.0,52.0,12.0,67.0,21.0,5.0,49.0,88.0,66.0,101.0,54.0
2403,1.0,0.0,9.0,2.0,14.0,21.0,28.0,13.0,7.0,19.0,10.0,16.0,3.0,18.0,6.0,26.0,12.0,11.0,8.0,50.0,33.0,55.0,46.0,39.0,24.0,83.0,32.0,22.0,42.0,59.0
2452,0.0,8.0,2.0,5.0,11.0,10.0,4.0,38.0,9.0,6.0,12.0,1.0,19.0,14.0,43.0,3.0,31.0,56.0,23.0,70.0,27.0,21.0,26.0,15.0,45.0,24.0,16.0,49.0,55.0,75.0
2501,0.0,4.0,7.0,13.0,9.0,15.0,8.0,2.0,17.0,5.0,11.0,3.0,10.0,24.0,23.0,12.0,14.0,6.0,19.0,25.0,59.0,29.0,62.0,21.0,27.0,18.0,16.0,39.0,34.0,46.0
2550,0.0,8.0,2.0,1.0,10.0,14.0,7.0,24.0,3.0,6.0,9.0,11.0,13.0,5.0,41.0,32.0,35.0,17.0,19.0,30.0,43.0,21.0,26.0,16.0,55.0,15.0,4.0,60.0,39.0,53.0
2599,0.0,7.0,4.0,1.0,2.0,9.0,14.0,23.0,11.0,33.0,13.0,10.0,22.0,27.0,38.0,5.0,20.0,35.0,28.0,19.0,30.0,24.0,64.0,3.0,73.0,12.0,8.0,37.0,32.0,45.0
2648,0.0,5.0,4.0,2.0,7.0,18.0,1.0,40.0,14.0,9.0,10.0,20.0,16.0,45.0,23.0,3.0,34.0,15.0,6.0,11.0,41.0,36.0,24.0,26.0,88.0,68.0,21.0,48.0,33.0,42.0
2697,0.0,4.0,9.0,6.0,1.0,20.0,3.0,46.0,2.0,12.0,10.0,5.0,35.0,18.0,30.0,11.0,14.0,13.0,28.0,53.0,66.0,37.0,67.0,16.0,26.0,21.0,7.0,69.0,33.0,34.0
