,CHD1_MUT,RPUSD4_DEL,RYR3_DEL,MIR3167_DEL,DDX25_DEL,VSTM2B_AMP,LOC284395_AMP,KIRREL3-AS3_DEL,SNTG1_AMP,ZNF521_MUT,SMURF2_MUT,CT45A1_DEL,PUS3_DEL,HIF1A_MUT,KIRREL3-AS2_DEL,UPK3B_AMP,PARG_AMP,TSHZ3_AMP,ETS1_DEL,HYLS1_DEL,AKAP6_MUT,NFATC1_MUT,PER1_MUT,DDX12P_DEL,RBL1_MUT,KLRF2_DEL,PATE2_DEL,FTL_DEL,ARHGAP33_AMP,LOC100134317_AMP
28,13.0,1878.0,297.0,15.0,184.0,31.0,2.0,314.0,1504.0,16641.0,16904.0,344.0,50.0,133.0,445.0,262.0,19421.0,73.0,20.0,74.0,1869.0,265.0,808.0,2719.0,16915.0,18829.0,3.0,6877.0,43.0,1010.0
77,2.0,33.0,160.0,134.0,2053.0,0.0,1868.0,34.0,1117.0,16653.0,879.0,51.0,9912.0,459.0,1.0,567.0,35.0,21606.0,966.0,11.0,16771.0,220.0,58.0,902.0,16957.0,18899.0,4.0,7143.0,18330.0,852.0
126,1852.0,2.0,4.0,2356.0,2654.0,1.0,976.0,0.0,91.0,16616.0,2135.0,10235.0,134.0,16373.0,8.0,234.0,19380.0,1022.0,49.0,5.0,43.0,16466.0,1517.0,225.0,16935.0,33.0,20.0,185.0,151.0,1657.0
175,2.0,9.0,17.0,18877.0,469.0,3.0,13403.0,48.0,22350.0,314.0,36.0,29.0,22.0,16430.0,52.0,2497.0,19363.0,21389.0,4817.0,176.0,0.0,635.0,290.0,45.0,11.0,125.0,92.0,20.0,13.0,310.0
224,623.0,6.0,11721.0,43.0,16.0,0.0,31.0,1.0,2073.0,82.0,9.0,1198.0,122.0,151.0,173.0,1178.0,79.0,20.0,831.0,5585.0,16734.0,27.0,46.0,42.0,23.0,102.0,33.0,205.0,14.0,7.0
273,2.0,12.0,25.0,454.0,53.0,15271.0,13390.0,4.0,256.0,32.0,3.0,10263.0,0.0,1674.0,184.0,22837.0,52.0,1.0,22.0,119.0,305.0,16493.0,16482.0,46.0,535.0,1736.0,3965.0,6868.0,18436.0,14.0
322,157.0,222.0,8.0,42.0,9.0,15248.0,13434.0,21.0,1766.0,439.0,119.0,10332.0,9597.0,14.0,1.0,38.0,197.0,51.0,4971.0,3.0,2186.0,1873.0,16530.0,470.0,1080.0,18896.0,3295.0,39.0,18467.0,76.0
371,0.0,1814.0,23.0,73.0,3150.0,15266.0,12939.0,6355.0,22342.0,6.0,19.0,289.0,4.0,49.0,489.0,22831.0,19442.0,32.0,4857.0,1.0,16797.0,268.0,1157.0,3665.0,335.0,18899.0,14.0,748.0,18338.0,104.0
420,18.0,119.0,1.0,17.0,3322.0,857.0,13443.0,61.0,1533.0,36.0,1639.0,10320.0,76.0,16453.0,21167.0,22839.0,729.0,5.0,636.0,6.0,0.0,16520.0,16534.0,31.0,977.0,18922.0,4136.0,200.0,1579.0,15867.0
469,7.0,9879.0,2.0,108.0,3470.0,1764.0,807.0,8.0,221.0,742.0,48.0,10278.0,80.0,1.0,11.0,17.0,19355.0,164.0,199.0,5.0,45.0,16487.0,16500.0,239.0,18.0,18852.0,33.0,7013.0,715.0,53.0
518,0.0,28.0,11722.0,338.0,2998.0,710.0,12930.0,202.0,2195.0,135.0,16959.0,358.0,93.0,11.0,5.0,23071.0,19367.0,176.0,2354.0,145.0,4.0,884.0,658.0,2887.0,304.0,18844.0,3837.0,219.0,31.0,212.0
567,14.0,2076.0,10.0,9.0,27.0,332.0,82.0,7.0,1462.0,568.0,544.0,1423.0,134.0,1507.0,449.0,246.0,1430.0,500.0,2412.0,456.0,148.0,282.0,16481.0,3503.0,420.0,129.0,3169.0,575.0,78.0,1.0
616,7.0,289.0,20.0,19789.0,2194.0,222.0,35.0,6536.0,8.0,319.0,124.0,473.0,5.0,1559.0,61.0,1720.0,22955.0,286.0,922.0,638.0,16.0,11.0,11010.0,4993.0,4498.0,217.0,4824.0,1.0,24.0,144.0
665,0.0,36.0,285.0,18826.0,80.0,15200.0,44.0,41.0,13.0,1410.0,1003.0,34.0,9485.0,11.0,21242.0,194.0,879.0,66.0,123.0,4813.0,16756.0,17.0,16474.0,21.0,431.0,222.0,3170.0,6.0,146.0,5.0
714,16611.0,17.0,121.0,43.0,182.0,455.0,114.0,197.0,297.0,31.0,183.0,7.0,9563.0,799.0,583.0,514.0,19367.0,235.0,1453.0,4932.0,1068.0,6.0,584.0,3222.0,16955.0,278.0,3459.0,29.0,697.0,27.0
