,hsa-miR-921,hsa-miR-147b,hsa-miR-548d-3p,hsa-miR-29c,hsa-miR-223,hsa-miR-489,hsa-miR-26b,hsa-miR-125a-3p,hsa-miR-485-5p,hsa-miR-591,hsa-miR-1284,hsa-miR-615-3p,hsa-miR-492,hsa-miR-616,hsa-miR-518d-3p,hsa-miR-26a,hsa-miR-1278,hsa-miR-384,hsa-miR-29b,hsa-miR-320c,hsa-miR-1236,hsa-miR-770-5p,hsa-miR-328,hsa-miR-579,hsa-miR-516a-3p,hsa-miR-218,hsa-miR-892a,hsa-miR-1248,hiv1-miR-N367,hsa-miR-323-5p
15,0.0,47.0,8.0,40.0,4.0,19.0,12.0,18.0,2.0,31.0,14.0,1.0,42.0,15.0,25.0,17.0,51.0,23.0,88.0,13.0,64.0,74.0,28.0,6.0,26.0,32.0,117.0,36.0,59.0,3.0
64,1.0,60.0,0.0,80.0,5.0,7.0,51.0,9.0,6.0,11.0,16.0,4.0,41.0,30.0,19.0,55.0,139.0,27.0,34.0,25.0,278.0,127.0,44.0,29.0,21.0,22.0,13.0,42.0,96.0,18.0
113,12.0,39.0,6.0,40.0,56.0,2.0,8.0,9.0,1.0,69.0,36.0,25.0,22.0,3.0,27.0,0.0,23.0,7.0,49.0,21.0,112.0,111.0,18.0,29.0,55.0,11.0,19.0,35.0,44.0,24.0
162,5.0,19.0,7.0,23.0,3.0,14.0,36.0,11.0,2.0,31.0,17.0,4.0,45.0,28.0,9.0,10.0,53.0,26.0,20.0,13.0,80.0,212.0,12.0,0.0,54.0,22.0,6.0,16.0,41.0,1.0
211,4.0,41.0,9.0,16.0,3.0,6.0,25.0,78.0,36.0,42.0,5.0,1.0,51.0,24.0,12.0,2.0,11.0,130.0,23.0,48.0,91.0,61.0,8.0,19.0,34.0,14.0,0.0,106.0,46.0,28.0
260,3.0,20.0,0.0,44.0,2.0,22.0,27.0,28.0,8.0,9.0,6.0,25.0,39.0,49.0,24.0,18.0,34.0,23.0,16.0,17.0,92.0,61.0,36.0,10.0,46.0,96.0,42.0,78.0,56.0,7.0
309,8.0,14.0,17.0,12.0,0.0,32.0,26.0,38.0,1.0,54.0,3.0,29.0,6.0,36.0,13.0,20.0,56.0,23.0,21.0,10.0,43.0,75.0,25.0,31.0,30.0,93.0,41.0,19.0,52.0,27.0
358,8.0,31.0,1.0,101.0,9.0,24.0,27.0,13.0,2.0,33.0,30.0,4.0,98.0,3.0,18.0,6.0,92.0,17.0,29.0,19.0,179.0,34.0,48.0,12.0,37.0,35.0,25.0,42.0,61.0,11.0
407,8.0,15.0,5.0,21.0,6.0,35.0,99.0,0.0,1.0,59.0,2.0,31.0,123.0,56.0,11.0,12.0,22.0,13.0,19.0,10.0,41.0,52.0,3.0,4.0,29.0,43.0,85.0,25.0,64.0,17.0
456,14.0,7.0,1.0,16.0,0.0,17.0,41.0,37.0,9.0,24.0,8.0,5.0,69.0,21.0,28.0,27.0,11.0,31.0,43.0,74.0,72.0,139.0,10.0,6.0,52.0,29.0,59.0,13.0,79.0,20.0
505,11.0,22.0,1.0,15.0,8.0,4.0,17.0,95.0,5.0,14.0,2.0,13.0,21.0,26.0,6.0,91.0,0.0,53.0,28.0,16.0,24.0,102.0,30.0,34.0,33.0,9.0,54.0,7.0,3.0,57.0
554,15.0,0.0,3.0,4.0,24.0,1.0,79.0,46.0,19.0,2.0,5.0,42.0,11.0,41.0,10.0,96.0,44.0,9.0,47.0,17.0,14.0,7.0,13.0,109.0,32.0,30.0,8.0,73.0,33.0,31.0
603,19.0,13.0,5.0,11.0,8.0,15.0,9.0,7.0,10.0,14.0,1.0,4.0,2.0,32.0,0.0,26.0,17.0,21.0,23.0,39.0,6.0,25.0,27.0,37.0,31.0,3.0,57.0,24.0,30.0,45.0
652,2.0,5.0,6.0,13.0,7.0,15.0,21.0,38.0,11.0,10.0,1.0,4.0,19.0,29.0,3.0,23.0,9.0,20.0,39.0,12.0,27.0,22.0,0.0,28.0,31.0,8.0,17.0,42.0,16.0,54.0
701,2.0,10.0,6.0,0.0,12.0,15.0,17.0,29.0,20.0,36.0,5.0,3.0,24.0,13.0,7.0,14.0,11.0,165.0,8.0,34.0,16.0,26.0,1.0,83.0,57.0,22.0,4.0,27.0,18.0,35.0
750,5.0,0.0,24.0,7.0,9.0,18.0,21.0,16.0,17.0,67.0,2.0,3.0,6.0,19.0,4.0,22.0,12.0,52.0,11.0,26.0,31.0,95.0,1.0,74.0,25.0,10.0,33.0,13.0,8.0,43.0
799,24.0,10.0,16.0,4.0,6.0,2.0,12.0,26.0,17.0,15.0,0.0,1.0,13.0,25.0,14.0,7.0,8.0,31.0,18.0,21.0,9.0,22.0,3.0,66.0,34.0,40.0,49.0,29.0,5.0,19.0
848,1.0,23.0,0.0,3.0,9.0,4.0,27.0,22.0,20.0,72.0,2.0,15.0,13.0,21.0,26.0,10.0,8.0,17.0,38.0,14.0,80.0,29.0,18.0,6.0,24.0,28.0,7.0,16.0,68.0,34.0
897,4.0,0.0,10.0,2.0,21.0,20.0,12.0,33.0,19.0,15.0,16.0,8.0,22.0,14.0,6.0,31.0,3.0,32.0,26.0,18.0,17.0,27.0,1.0,51.0,41.0,7.0,43.0,30.0,28.0,55.0
946,0.0,38.0,6.0,14.0,43.0,50.0,12.0,4.0,25.0,10.0,5.0,1.0,18.0,28.0,11.0,65.0,8.0,36.0,66.0,9.0,29.0,20.0,3.0,15.0,46.0,19.0,62.0,42.0,44.0,74.0
995,5.0,0.0,2.0,4.0,19.0,10.0,43.0,24.0,22.0,6.0,21.0,47.0,7.0,18.0,20.0,32.0,3.0,16.0,17.0,118.0,9.0,14.0,63.0,127.0,67.0,69.0,8.0,124.0,111.0,1.0
1044,18.0,8.0,0.0,3.0,7.0,29.0,20.0,201.0,63.0,2.0,50.0,73.0,21.0,5.0,14.0,9.0,1.0,132.0,19.0,45.0,22.0,12.0,28.0,104.0,53.0,31.0,6.0,115.0,78.0,16.0
1093,25.0,0.0,14.0,5.0,6.0,7.0,4.0,27.0,19.0,3.0,106.0,57.0,18.0,15.0,16.0,69.0,1.0,72.0,13.0,28.0,46.0,10.0,30.0,62.0,47.0,11.0,2.0,33.0,59.0,23.0
1142,21.0,8.0,7.0,5.0,1.0,18.0,16.0,106.0,33.0,2.0,14.0,37.0,34.0,10.0,24.0,57.0,0.0,60.0,19.0,28.0,47.0,6.0,23.0,9.0,62.0,93.0,3.0,29.0,39.0,27.0
