,PDLIM4,NDN,CTD-2231H16.1,BHLHE41,FBXL7,RP11-834C11.4,MEIS3P1,NUP210,CASC9,TWIST2,GGT6,PRKCQ-AS1,GLB1L2,UNC5B,ACOT1,RP11-12D24.6,RP11-745O10.2,BMPR1B,PCDHB17,DACH1,CP,UCHL1,VSIG2,AUTS2,SLIT3,LXN,ACOT2,GDPD5,RPL30P14,SMIM19
3831,4.0,2.0,6.0,17.0,29.0,11.0,5.0,26.0,0.0,3.0,1.0,44.0,227.0,9.0,81.0,38.0,16.0,21.0,48.0,69.0,7.0,23.0,47.0,27.0,67.0,43.0,40.0,371.0,261.0,37.0
3880,8.0,4.0,0.0,13.0,25.0,5.0,7.0,20.0,2.0,6.0,3.0,18.0,257.0,24.0,22.0,15.0,33.0,1.0,181.0,45.0,14.0,55.0,26.0,123.0,114.0,42.0,34.0,85.0,53.0,23.0
3929,0.0,1.0,2.0,33.0,89.0,7.0,5.0,42.0,18.0,31.0,8.0,11.0,6.0,9.0,78.0,15.0,29.0,13.0,49.0,36.0,74.0,4.0,127.0,17.0,24.0,25.0,14.0,210.0,20.0,105.0
3978,0.0,1.0,7.0,6.0,33.0,2.0,5.0,28.0,3.0,34.0,8.0,37.0,107.0,15.0,24.0,105.0,16.0,11.0,2273.0,43.0,14.0,4.0,94.0,53.0,10.0,62.0,57.0,200.0,163.0,12.0
4027,2.0,1.0,0.0,6.0,23.0,9.0,87.0,69.0,7.0,10.0,11.0,3.0,138.0,13.0,38.0,95.0,67.0,4.0,16.0,24.0,84.0,72.0,85.0,33.0,107.0,57.0,15.0,17.0,37.0,8.0
4076,0.0,1.0,2.0,10.0,64.0,25.0,9.0,32.0,12.0,5.0,44.0,14.0,11.0,4.0,78.0,28.0,7.0,41.0,20.0,43.0,271.0,3.0,274.0,81.0,36.0,56.0,55.0,89.0,129.0,29.0
4125,1.0,0.0,2.0,12.0,143.0,53.0,6.0,27.0,5.0,24.0,17.0,7.0,14.0,3.0,111.0,69.0,4.0,23.0,21.0,45.0,70.0,15.0,331.0,25.0,145.0,128.0,39.0,151.0,160.0,46.0
4174,0.0,1.0,11.0,5.0,10.0,31.0,8.0,15.0,62.0,13.0,167.0,22.0,127.0,7.0,52.0,161.0,3.0,12.0,110.0,122.0,66.0,2.0,160.0,44.0,28.0,21.0,42.0,157.0,20.0,26.0
4223,0.0,2.0,4.0,15.0,33.0,14.0,3.0,6.0,7.0,11.0,24.0,10.0,52.0,25.0,569.0,115.0,18.0,13.0,20.0,41.0,428.0,1.0,89.0,148.0,8.0,378.0,834.0,334.0,40.0,22.0
4272,1.0,0.0,2.0,8.0,22.0,14.0,5.0,9.0,3.0,12.0,48.0,10.0,17.0,19.0,90.0,65.0,7.0,4.0,23.0,39.0,31.0,6.0,366.0,83.0,13.0,40.0,49.0,51.0,64.0,26.0
4321,1.0,0.0,2.0,4.0,17.0,9.0,3.0,20.0,11.0,5.0,13.0,16.0,87.0,19.0,26.0,131.0,12.0,7.0,72.0,64.0,63.0,22.0,41.0,149.0,61.0,51.0,48.0,98.0,40.0,10.0
4370,0.0,2.0,1.0,4.0,11.0,16.0,10.0,31.0,6.0,9.0,5.0,8.0,14.0,13.0,20.0,30.0,25.0,163.0,1118.0,36.0,28.0,3.0,198.0,27.0,7.0,81.0,45.0,265.0,23.0,17.0
4419,0.0,1.0,3.0,2.0,4.0,5.0,6.0,65.0,93.0,21.0,105.0,13.0,29.0,28.0,7.0,9.0,42.0,52.0,97.0,49.0,91.0,30.0,81.0,17.0,141.0,34.0,25.0,66.0,8.0,103.0
4468,0.0,5.0,3.0,2.0,9.0,21.0,1.0,68.0,57.0,7.0,187.0,4.0,18.0,8.0,19.0,6.0,13.0,99.0,34.0,54.0,72.0,15.0,48.0,55.0,107.0,11.0,23.0,120.0,14.0,190.0
4517,3.0,0.0,5.0,1.0,2.0,22.0,7.0,36.0,11.0,56.0,117.0,27.0,14.0,24.0,9.0,10.0,42.0,8.0,19.0,30.0,34.0,98.0,85.0,18.0,63.0,157.0,21.0,144.0,4.0,62.0
4566,6.0,3.0,55.0,1.0,2.0,7.0,8.0,54.0,101.0,93.0,23.0,15.0,10.0,34.0,29.0,37.0,12.0,61.0,607.0,87.0,0.0,632.0,76.0,153.0,36.0,20.0,157.0,113.0,4.0,220.0
4615,7.0,0.0,4.0,1.0,3.0,9.0,19.0,46.0,20.0,18.0,108.0,22.0,28.0,5.0,55.0,14.0,136.0,15.0,30.0,40.0,12.0,2.0,78.0,25.0,44.0,17.0,35.0,52.0,8.0,82.0
4664,0.0,2.0,5.0,3.0,4.0,6.0,1.0,18.0,91.0,33.0,173.0,25.0,14.0,35.0,9.0,12.0,8.0,28.0,70.0,40.0,23.0,31.0,116.0,15.0,63.0,11.0,46.0,42.0,7.0,169.0
4713,1.0,0.0,19.0,8.0,5.0,60.0,2.0,29.0,4.0,135.0,131.0,20.0,12.0,14.0,865.0,9.0,16.0,40.0,26.0,36.0,17.0,7.0,46.0,15.0,6.0,10.0,616.0,480.0,21.0,526.0
4762,1.0,0.0,7.0,2.0,5.0,9.0,3.0,27.0,88.0,47.0,102.0,19.0,22.0,32.0,41.0,6.0,31.0,30.0,55.0,29.0,4.0,131.0,70.0,15.0,24.0,8.0,64.0,49.0,10.0,304.0
4811,1.0,0.0,5.0,8.0,16.0,13.0,4.0,70.0,10.0,18.0,116.0,9.0,6.0,54.0,15.0,3.0,33.0,21.0,146.0,37.0,34.0,886.0,80.0,40.0,77.0,50.0,28.0,31.0,11.0,97.0
4860,0.0,1.0,15.0,3.0,4.0,37.0,2.0,14.0,45.0,17.0,51.0,23.0,12.0,71.0,26.0,53.0,11.0,141.0,5.0,73.0,41.0,36.0,56.0,97.0,121.0,7.0,43.0,509.0,10.0,58.0
