,uracil,C18:0 LPE,inositol,2-deoxyadenosine,DHAP/glyceraldehyde 3P,pantothenate,N-carbamoyl-beta-alanine,C16:0 LPE,sarcosine,oxalate,C34:2 DAG,niacinamide,1-methylnicotinamide,C18:0 LPC,palmitoylcarnitine,hippurate,C56:5 TAG,isocitrate,hexoses (HILIC neg),cis/trans-hydroxyproline,leucine,GABA,putrescine,adenosine,cytidine,alpha-glycerophosphate,uridine,hypoxanthine,butyrylcarnitine/isobutyrylcarnitine,carnitine
26,8.0,18.0,7.0,36.0,2.0,39.0,20.0,19.0,29.0,14.0,30.0,12.0,24.0,1.0,35.0,4.0,55.0,50.0,3.0,65.0,10.0,51.0,0.0,44.0,26.0,60.0,61.0,59.0,42.0,9.0
75,15.0,6.0,62.0,0.0,30.0,4.0,9.0,18.0,45.0,21.0,14.0,22.0,29.0,12.0,20.0,8.0,5.0,36.0,2.0,13.0,34.0,11.0,57.0,46.0,24.0,28.0,23.0,56.0,17.0,27.0
124,4.0,8.0,6.0,2.0,7.0,38.0,34.0,39.0,23.0,41.0,22.0,27.0,14.0,32.0,65.0,3.0,66.0,19.0,10.0,0.0,62.0,50.0,42.0,29.0,25.0,26.0,55.0,43.0,17.0,35.0
173,11.0,12.0,43.0,13.0,47.0,38.0,32.0,17.0,20.0,29.0,9.0,40.0,21.0,37.0,8.0,39.0,1.0,3.0,5.0,23.0,49.0,34.0,2.0,15.0,61.0,58.0,16.0,60.0,18.0,36.0
222,2.0,32.0,17.0,6.0,43.0,12.0,54.0,58.0,34.0,53.0,9.0,20.0,14.0,19.0,23.0,5.0,62.0,30.0,8.0,52.0,50.0,16.0,4.0,55.0,42.0,38.0,28.0,25.0,33.0,39.0
271,35.0,25.0,23.0,27.0,32.0,40.0,2.0,56.0,14.0,21.0,20.0,34.0,16.0,17.0,49.0,31.0,0.0,45.0,11.0,7.0,53.0,9.0,62.0,29.0,22.0,13.0,5.0,60.0,52.0,26.0
320,10.0,8.0,39.0,14.0,6.0,18.0,41.0,21.0,31.0,24.0,16.0,17.0,11.0,3.0,35.0,0.0,64.0,36.0,7.0,4.0,29.0,38.0,42.0,37.0,32.0,61.0,13.0,48.0,5.0,65.0
369,11.0,7.0,4.0,52.0,2.0,36.0,49.0,40.0,5.0,46.0,44.0,27.0,31.0,25.0,30.0,14.0,65.0,6.0,57.0,10.0,56.0,38.0,29.0,59.0,26.0,21.0,18.0,16.0,53.0,51.0
418,6.0,1.0,49.0,59.0,0.0,35.0,39.0,45.0,19.0,43.0,50.0,16.0,8.0,61.0,25.0,9.0,56.0,27.0,30.0,2.0,15.0,20.0,21.0,31.0,4.0,34.0,26.0,37.0,32.0,11.0
467,19.0,14.0,2.0,9.0,4.0,15.0,0.0,16.0,22.0,63.0,36.0,6.0,13.0,31.0,26.0,1.0,25.0,40.0,10.0,32.0,38.0,43.0,39.0,21.0,11.0,47.0,46.0,60.0,27.0,57.0
516,12.0,13.0,28.0,26.0,7.0,16.0,48.0,30.0,35.0,15.0,23.0,8.0,5.0,49.0,64.0,4.0,19.0,34.0,0.0,33.0,42.0,62.0,3.0,66.0,59.0,14.0,51.0,1.0,25.0,24.0
565,25.0,7.0,18.0,51.0,22.0,32.0,13.0,6.0,1.0,58.0,11.0,50.0,30.0,36.0,2.0,28.0,0.0,62.0,43.0,27.0,3.0,39.0,31.0,59.0,16.0,24.0,42.0,5.0,26.0,60.0
614,17.0,57.0,20.0,7.0,35.0,19.0,2.0,42.0,6.0,15.0,27.0,18.0,14.0,22.0,32.0,53.0,1.0,4.0,23.0,48.0,12.0,50.0,5.0,58.0,61.0,9.0,46.0,26.0,38.0,51.0
663,22.0,31.0,38.0,56.0,40.0,6.0,25.0,26.0,27.0,7.0,18.0,9.0,55.0,16.0,35.0,59.0,3.0,39.0,57.0,51.0,0.0,15.0,4.0,49.0,44.0,11.0,5.0,41.0,34.0,63.0
712,8.0,10.0,9.0,38.0,1.0,12.0,40.0,23.0,4.0,32.0,55.0,41.0,21.0,43.0,5.0,47.0,0.0,64.0,39.0,24.0,20.0,22.0,13.0,63.0,14.0,17.0,62.0,25.0,15.0,31.0
761,27.0,9.0,35.0,52.0,30.0,13.0,16.0,0.0,15.0,28.0,10.0,17.0,18.0,20.0,24.0,32.0,4.0,44.0,61.0,5.0,41.0,14.0,51.0,6.0,2.0,26.0,12.0,48.0,53.0,29.0
810,7.0,6.0,34.0,13.0,3.0,28.0,19.0,2.0,4.0,9.0,32.0,22.0,36.0,30.0,8.0,46.0,11.0,63.0,25.0,1.0,54.0,65.0,12.0,39.0,47.0,51.0,26.0,37.0,15.0,62.0
859,1.0,2.0,9.0,8.0,5.0,3.0,43.0,4.0,25.0,46.0,20.0,7.0,39.0,21.0,40.0,57.0,59.0,13.0,38.0,50.0,0.0,24.0,22.0,60.0,53.0,19.0,16.0,34.0,47.0,44.0
908,6.0,10.0,20.0,45.0,46.0,17.0,30.0,2.0,31.0,22.0,32.0,51.0,50.0,14.0,47.0,19.0,18.0,13.0,39.0,0.0,35.0,4.0,61.0,34.0,21.0,28.0,49.0,24.0,37.0,23.0
957,8.0,16.0,39.0,7.0,2.0,17.0,29.0,50.0,19.0,15.0,12.0,31.0,33.0,65.0,59.0,6.0,30.0,56.0,60.0,0.0,28.0,21.0,40.0,27.0,36.0,48.0,4.0,14.0,1.0,41.0
1006,16.0,15.0,0.0,13.0,2.0,30.0,23.0,22.0,20.0,5.0,3.0,49.0,11.0,29.0,40.0,9.0,26.0,36.0,10.0,1.0,28.0,24.0,14.0,65.0,43.0,17.0,38.0,54.0,8.0,31.0
1055,8.0,9.0,5.0,10.0,60.0,16.0,15.0,39.0,40.0,13.0,48.0,46.0,30.0,20.0,1.0,23.0,54.0,35.0,42.0,18.0,24.0,11.0,29.0,12.0,31.0,47.0,19.0,2.0,55.0,33.0
1104,4.0,15.0,14.0,6.0,3.0,20.0,37.0,12.0,55.0,10.0,26.0,16.0,13.0,32.0,1.0,0.0,7.0,5.0,25.0,2.0,66.0,27.0,24.0,29.0,28.0,59.0,11.0,34.0,9.0,30.0
1153,6.0,14.0,0.0,3.0,17.0,24.0,34.0,10.0,8.0,1.0,46.0,35.0,25.0,22.0,56.0,43.0,38.0,20.0,66.0,37.0,50.0,21.0,9.0,7.0,16.0,42.0,29.0,32.0,27.0,19.0
1202,15.0,32.0,27.0,36.0,13.0,34.0,26.0,10.0,19.0,6.0,46.0,23.0,18.0,20.0,51.0,38.0,3.0,9.0,21.0,57.0,0.0,7.0,44.0,40.0,49.0,52.0,24.0,42.0,43.0,53.0
1251,5.0,12.0,3.0,33.0,17.0,16.0,44.0,22.0,31.0,4.0,36.0,20.0,32.0,50.0,51.0,26.0,2.0,1.0,46.0,52.0,39.0,13.0,29.0,15.0,6.0,14.0,42.0,27.0,53.0,54.0
1300,26.0,21.0,20.0,1.0,52.0,24.0,2.0,32.0,15.0,7.0,47.0,4.0,57.0,10.0,5.0,18.0,62.0,36.0,0.0,38.0,66.0,27.0,53.0,19.0,3.0,40.0,12.0,14.0,44.0,42.0
1349,53.0,34.0,10.0,25.0,18.0,32.0,1.0,8.0,30.0,21.0,6.0,33.0,29.0,43.0,2.0,54.0,0.0,3.0,31.0,44.0,7.0,16.0,19.0,27.0,23.0,15.0,12.0,45.0,41.0,46.0
1398,26.0,11.0,12.0,14.0,27.0,19.0,5.0,8.0,22.0,38.0,30.0,55.0,17.0,20.0,0.0,24.0,2.0,56.0,63.0,66.0,13.0,10.0,33.0,16.0,43.0,60.0,3.0,50.0,25.0,62.0
1447,40.0,18.0,9.0,39.0,34.0,32.0,4.0,3.0,19.0,11.0,41.0,24.0,23.0,14.0,16.0,42.0,13.0,2.0,33.0,53.0,0.0,25.0,47.0,17.0,5.0,7.0,45.0,36.0,20.0,54.0
1496,19.0,55.0,27.0,14.0,48.0,21.0,20.0,32.0,42.0,15.0,31.0,12.0,17.0,46.0,56.0,49.0,29.0,35.0,9.0,40.0,5.0,1.0,66.0,60.0,53.0,50.0,11.0,62.0,47.0,25.0
