,uracil,C18:0 LPE,inositol,2-deoxyadenosine,DHAP/glyceraldehyde 3P,pantothenate,N-carbamoyl-beta-alanine,C16:0 LPE,sarcosine,oxalate,C34:2 DAG,niacinamide,1-methylnicotinamide,C18:0 LPC,palmitoylcarnitine,hippurate,C56:5 TAG,isocitrate,hexoses (HILIC neg),cis/trans-hydroxyproline,leucine,GABA,putrescine,adenosine,cytidine,alpha-glycerophosphate,uridine,hypoxanthine,butyrylcarnitine/isobutyrylcarnitine,carnitine
1545,22.0,19.0,48.0,34.0,26.0,37.0,7.0,30.0,46.0,41.0,12.0,9.0,31.0,29.0,28.0,42.0,24.0,0.0,13.0,21.0,62.0,36.0,8.0,3.0,6.0,18.0,57.0,40.0,53.0,20.0
1594,26.0,28.0,11.0,27.0,23.0,16.0,15.0,19.0,29.0,8.0,22.0,5.0,14.0,3.0,7.0,38.0,0.0,17.0,1.0,50.0,10.0,20.0,40.0,6.0,43.0,41.0,21.0,30.0,45.0,52.0
1643,40.0,61.0,57.0,9.0,12.0,26.0,20.0,22.0,35.0,2.0,39.0,1.0,14.0,11.0,38.0,32.0,3.0,31.0,5.0,6.0,17.0,53.0,21.0,63.0,28.0,10.0,59.0,50.0,34.0,43.0
1692,9.0,10.0,3.0,0.0,11.0,26.0,52.0,47.0,55.0,7.0,15.0,14.0,18.0,38.0,46.0,6.0,22.0,64.0,2.0,66.0,45.0,51.0,8.0,13.0,50.0,34.0,17.0,61.0,24.0,12.0
1741,20.0,3.0,49.0,36.0,9.0,25.0,22.0,63.0,52.0,19.0,2.0,11.0,0.0,26.0,12.0,54.0,57.0,8.0,5.0,48.0,46.0,32.0,37.0,42.0,24.0,29.0,65.0,14.0,23.0,40.0
1790,36.0,34.0,31.0,10.0,3.0,11.0,2.0,15.0,12.0,46.0,29.0,17.0,28.0,21.0,4.0,27.0,66.0,42.0,7.0,26.0,58.0,23.0,22.0,6.0,62.0,8.0,39.0,32.0,25.0,55.0
1839,0.0,2.0,26.0,3.0,5.0,9.0,48.0,32.0,13.0,23.0,45.0,33.0,12.0,40.0,10.0,1.0,61.0,22.0,8.0,38.0,4.0,34.0,17.0,43.0,53.0,20.0,49.0,28.0,7.0,21.0
1888,5.0,47.0,4.0,12.0,30.0,28.0,1.0,21.0,35.0,11.0,7.0,22.0,27.0,45.0,13.0,48.0,26.0,8.0,18.0,62.0,36.0,25.0,50.0,6.0,19.0,24.0,60.0,37.0,56.0,31.0
1937,21.0,16.0,10.0,2.0,6.0,5.0,14.0,37.0,63.0,41.0,11.0,38.0,30.0,26.0,17.0,4.0,54.0,0.0,46.0,64.0,66.0,28.0,3.0,12.0,60.0,45.0,22.0,59.0,49.0,23.0
1986,2.0,16.0,10.0,4.0,31.0,22.0,46.0,29.0,33.0,17.0,12.0,19.0,57.0,9.0,49.0,11.0,48.0,21.0,6.0,1.0,8.0,35.0,13.0,38.0,40.0,52.0,51.0,18.0,36.0,26.0
2035,16.0,7.0,18.0,34.0,2.0,17.0,42.0,21.0,6.0,20.0,23.0,10.0,11.0,27.0,59.0,24.0,5.0,32.0,39.0,38.0,1.0,0.0,58.0,25.0,46.0,8.0,49.0,66.0,35.0,13.0
2084,7.0,44.0,15.0,3.0,8.0,17.0,16.0,0.0,23.0,24.0,22.0,32.0,57.0,28.0,54.0,48.0,65.0,18.0,2.0,62.0,31.0,59.0,33.0,25.0,10.0,39.0,5.0,29.0,13.0,19.0
2133,22.0,8.0,32.0,1.0,21.0,34.0,16.0,0.0,24.0,7.0,15.0,4.0,36.0,43.0,26.0,46.0,62.0,18.0,20.0,56.0,14.0,49.0,58.0,42.0,64.0,6.0,37.0,9.0,31.0,10.0
2182,11.0,0.0,13.0,5.0,2.0,4.0,17.0,24.0,39.0,44.0,6.0,23.0,10.0,42.0,22.0,3.0,65.0,64.0,63.0,55.0,28.0,21.0,27.0,14.0,59.0,40.0,57.0,30.0,41.0,15.0
2231,9.0,6.0,1.0,7.0,26.0,10.0,40.0,15.0,17.0,46.0,30.0,35.0,11.0,45.0,2.0,3.0,56.0,49.0,8.0,18.0,24.0,19.0,58.0,37.0,33.0,57.0,62.0,0.0,44.0,31.0
2280,11.0,6.0,9.0,1.0,31.0,13.0,32.0,57.0,39.0,4.0,17.0,0.0,52.0,40.0,25.0,23.0,41.0,48.0,26.0,29.0,20.0,30.0,14.0,49.0,8.0,19.0,5.0,18.0,45.0,38.0
2329,17.0,9.0,34.0,7.0,2.0,33.0,21.0,4.0,12.0,45.0,47.0,13.0,23.0,50.0,24.0,11.0,63.0,22.0,5.0,43.0,3.0,54.0,57.0,16.0,30.0,53.0,42.0,0.0,29.0,6.0
2378,6.0,8.0,10.0,12.0,0.0,16.0,52.0,29.0,18.0,42.0,20.0,22.0,32.0,27.0,35.0,2.0,44.0,55.0,62.0,3.0,1.0,37.0,30.0,33.0,59.0,45.0,49.0,48.0,11.0,15.0
2427,14.0,22.0,6.0,34.0,36.0,15.0,1.0,9.0,38.0,3.0,18.0,11.0,16.0,30.0,25.0,4.0,13.0,40.0,59.0,37.0,5.0,20.0,57.0,61.0,26.0,12.0,43.0,0.0,48.0,7.0
2476,9.0,3.0,1.0,10.0,0.0,16.0,30.0,20.0,45.0,47.0,52.0,25.0,18.0,7.0,29.0,56.0,15.0,40.0,39.0,4.0,58.0,37.0,12.0,57.0,32.0,5.0,2.0,28.0,63.0,62.0
2525,43.0,26.0,2.0,1.0,12.0,10.0,0.0,16.0,30.0,4.0,37.0,56.0,27.0,14.0,28.0,13.0,61.0,33.0,5.0,42.0,59.0,51.0,17.0,29.0,11.0,50.0,3.0,34.0,7.0,24.0
2574,13.0,38.0,3.0,24.0,22.0,21.0,41.0,2.0,5.0,60.0,6.0,8.0,25.0,0.0,29.0,47.0,14.0,55.0,58.0,44.0,17.0,45.0,42.0,1.0,51.0,35.0,33.0,64.0,23.0,27.0
2623,19.0,10.0,22.0,46.0,18.0,11.0,12.0,14.0,5.0,8.0,9.0,36.0,43.0,26.0,3.0,47.0,31.0,2.0,35.0,38.0,25.0,51.0,41.0,48.0,61.0,50.0,4.0,0.0,40.0,58.0
2672,23.0,12.0,1.0,8.0,17.0,14.0,43.0,25.0,3.0,18.0,27.0,26.0,22.0,6.0,32.0,15.0,37.0,47.0,65.0,39.0,36.0,45.0,5.0,62.0,49.0,13.0,4.0,24.0,63.0,51.0
2721,22.0,11.0,9.0,7.0,19.0,15.0,49.0,47.0,14.0,40.0,58.0,3.0,33.0,16.0,48.0,23.0,56.0,43.0,65.0,0.0,63.0,27.0,13.0,21.0,17.0,10.0,24.0,5.0,18.0,37.0
2770,18.0,19.0,1.0,0.0,6.0,5.0,43.0,36.0,2.0,45.0,34.0,8.0,10.0,21.0,30.0,16.0,7.0,24.0,35.0,13.0,23.0,38.0,40.0,12.0,47.0,29.0,11.0,20.0,62.0,17.0
2819,40.0,33.0,5.0,42.0,10.0,26.0,46.0,7.0,15.0,25.0,23.0,29.0,30.0,2.0,59.0,54.0,44.0,0.0,4.0,8.0,3.0,36.0,14.0,58.0,18.0,32.0,31.0,24.0,43.0,37.0
2868,5.0,15.0,9.0,19.0,2.0,18.0,20.0,14.0,3.0,4.0,29.0,47.0,8.0,59.0,10.0,1.0,7.0,23.0,11.0,65.0,58.0,32.0,43.0,40.0,16.0,35.0,6.0,24.0,46.0,37.0
2917,17.0,42.0,21.0,28.0,23.0,36.0,18.0,38.0,46.0,27.0,26.0,6.0,11.0,45.0,16.0,43.0,22.0,0.0,29.0,33.0,8.0,47.0,5.0,61.0,37.0,4.0,14.0,19.0,13.0,9.0
2966,9.0,13.0,37.0,36.0,2.0,6.0,19.0,5.0,28.0,43.0,45.0,63.0,10.0,44.0,1.0,0.0,59.0,54.0,12.0,7.0,41.0,18.0,25.0,42.0,8.0,46.0,4.0,53.0,50.0,56.0
3015,43.0,21.0,1.0,10.0,4.0,5.0,15.0,14.0,26.0,2.0,23.0,3.0,17.0,41.0,47.0,37.0,65.0,24.0,42.0,0.0,22.0,8.0,7.0,39.0,51.0,50.0,28.0,60.0,25.0,19.0
3064,9.0,3.0,26.0,33.0,10.0,23.0,1.0,2.0,29.0,24.0,20.0,16.0,11.0,25.0,39.0,42.0,65.0,14.0,52.0,7.0,6.0,53.0,19.0,37.0,43.0,17.0,59.0,0.0,49.0,22.0
3113,13.0,17.0,5.0,42.0,3.0,18.0,39.0,27.0,45.0,7.0,11.0,6.0,14.0,22.0,26.0,48.0,19.0,54.0,2.0,65.0,1.0,41.0,58.0,56.0,10.0,32.0,15.0,31.0,20.0,38.0
3162,19.0,22.0,10.0,33.0,20.0,14.0,9.0,6.0,51.0,8.0,38.0,25.0,35.0,7.0,3.0,59.0,27.0,1.0,64.0,16.0,11.0,4.0,43.0,44.0,0.0,15.0,56.0,47.0,24.0,23.0
3211,20.0,13.0,3.0,24.0,2.0,14.0,6.0,18.0,49.0,19.0,21.0,45.0,16.0,11.0,5.0,27.0,0.0,4.0,36.0,7.0,56.0,32.0,26.0,48.0,41.0,28.0,10.0,62.0,34.0,17.0
3260,19.0,28.0,15.0,42.0,22.0,27.0,30.0,10.0,37.0,3.0,16.0,1.0,33.0,31.0,21.0,50.0,53.0,14.0,43.0,55.0,23.0,56.0,60.0,11.0,35.0,46.0,17.0,64.0,59.0,9.0
3309,13.0,9.0,6.0,19.0,12.0,22.0,23.0,20.0,30.0,11.0,43.0,2.0,32.0,18.0,62.0,14.0,36.0,21.0,39.0,0.0,35.0,44.0,49.0,16.0,24.0,33.0,45.0,40.0,29.0,37.0
3358,33.0,11.0,27.0,56.0,12.0,20.0,2.0,17.0,6.0,32.0,44.0,49.0,28.0,3.0,40.0,4.0,66.0,63.0,24.0,5.0,15.0,26.0,23.0,53.0,22.0,16.0,34.0,13.0,35.0,42.0
3407,11.0,12.0,26.0,39.0,1.0,22.0,2.0,17.0,46.0,32.0,0.0,45.0,9.0,27.0,44.0,30.0,50.0,15.0,13.0,34.0,36.0,28.0,7.0,64.0,61.0,33.0,6.0,10.0,20.0,4.0
3456,15.0,20.0,40.0,27.0,6.0,19.0,25.0,14.0,65.0,5.0,52.0,12.0,41.0,3.0,29.0,21.0,9.0,16.0,0.0,10.0,47.0,44.0,53.0,60.0,56.0,11.0,13.0,51.0,23.0,46.0
3505,3.0,16.0,47.0,2.0,33.0,24.0,12.0,21.0,29.0,0.0,9.0,18.0,59.0,53.0,32.0,19.0,15.0,8.0,27.0,41.0,49.0,13.0,51.0,10.0,54.0,57.0,62.0,22.0,11.0,43.0
3554,15.0,36.0,51.0,31.0,23.0,25.0,1.0,17.0,19.0,4.0,6.0,30.0,29.0,7.0,8.0,11.0,10.0,5.0,21.0,61.0,2.0,14.0,42.0,27.0,16.0,52.0,48.0,60.0,24.0,22.0
3603,12.0,15.0,31.0,2.0,14.0,30.0,10.0,24.0,26.0,5.0,50.0,54.0,36.0,7.0,17.0,18.0,56.0,65.0,59.0,64.0,25.0,21.0,16.0,6.0,57.0,48.0,63.0,32.0,0.0,23.0
3652,11.0,26.0,54.0,0.0,9.0,8.0,2.0,23.0,33.0,7.0,34.0,21.0,37.0,16.0,15.0,28.0,27.0,61.0,62.0,5.0,24.0,10.0,29.0,57.0,4.0,41.0,3.0,14.0,22.0,51.0
3701,14.0,45.0,23.0,3.0,58.0,40.0,5.0,49.0,63.0,0.0,7.0,38.0,19.0,62.0,54.0,22.0,42.0,16.0,52.0,1.0,13.0,25.0,56.0,26.0,10.0,32.0,50.0,15.0,20.0,43.0
3750,19.0,28.0,38.0,17.0,58.0,27.0,1.0,33.0,40.0,4.0,53.0,23.0,13.0,60.0,9.0,18.0,5.0,2.0,37.0,55.0,62.0,25.0,29.0,10.0,3.0,7.0,30.0,45.0,61.0,24.0
3799,17.0,30.0,37.0,4.0,20.0,26.0,1.0,11.0,27.0,15.0,61.0,36.0,29.0,32.0,18.0,52.0,13.0,10.0,34.0,24.0,0.0,5.0,6.0,3.0,57.0,35.0,65.0,66.0,21.0,42.0
3848,44.0,19.0,30.0,40.0,39.0,24.0,0.0,50.0,61.0,5.0,38.0,11.0,28.0,12.0,3.0,31.0,36.0,8.0,2.0,34.0,13.0,18.0,57.0,17.0,37.0,15.0,1.0,54.0,51.0,22.0
3897,7.0,10.0,24.0,14.0,55.0,6.0,52.0,22.0,9.0,1.0,18.0,30.0,21.0,33.0,19.0,16.0,27.0,20.0,15.0,65.0,8.0,4.0,44.0,5.0,11.0,53.0,32.0,59.0,43.0,25.0
3946,26.0,14.0,10.0,9.0,38.0,20.0,11.0,15.0,6.0,39.0,18.0,44.0,51.0,52.0,7.0,60.0,46.0,62.0,47.0,0.0,63.0,28.0,2.0,30.0,57.0,12.0,45.0,17.0,56.0,42.0
3995,11.0,39.0,3.0,63.0,23.0,12.0,27.0,4.0,5.0,52.0,34.0,20.0,35.0,25.0,9.0,31.0,1.0,24.0,51.0,18.0,53.0,59.0,28.0,8.0,40.0,44.0,6.0,50.0,41.0,30.0
4044,2.0,5.0,3.0,9.0,0.0,31.0,10.0,21.0,19.0,50.0,51.0,46.0,6.0,25.0,11.0,8.0,20.0,42.0,55.0,14.0,44.0,56.0,18.0,28.0,16.0,45.0,1.0,60.0,64.0,32.0
4093,11.0,19.0,5.0,41.0,6.0,3.0,9.0,35.0,13.0,34.0,7.0,61.0,12.0,39.0,17.0,50.0,47.0,27.0,56.0,4.0,63.0,33.0,22.0,10.0,15.0,30.0,40.0,18.0,64.0,14.0
4142,8.0,4.0,35.0,46.0,0.0,15.0,2.0,20.0,16.0,36.0,22.0,24.0,6.0,49.0,7.0,14.0,10.0,41.0,61.0,18.0,51.0,28.0,64.0,11.0,25.0,38.0,33.0,29.0,63.0,37.0
4191,26.0,30.0,17.0,55.0,20.0,19.0,14.0,6.0,5.0,43.0,57.0,58.0,13.0,10.0,22.0,44.0,3.0,33.0,61.0,2.0,34.0,51.0,15.0,12.0,0.0,27.0,39.0,1.0,23.0,37.0
4240,3.0,5.0,27.0,1.0,60.0,13.0,43.0,32.0,14.0,41.0,16.0,51.0,11.0,25.0,19.0,0.0,6.0,22.0,30.0,10.0,56.0,45.0,28.0,23.0,8.0,50.0,59.0,54.0,29.0,24.0
4289,14.0,10.0,4.0,21.0,28.0,2.0,20.0,37.0,1.0,39.0,5.0,60.0,22.0,62.0,30.0,33.0,17.0,34.0,8.0,0.0,13.0,35.0,18.0,43.0,59.0,51.0,44.0,49.0,26.0,42.0
4338,17.0,7.0,4.0,37.0,21.0,16.0,2.0,10.0,3.0,44.0,33.0,60.0,5.0,11.0,27.0,18.0,43.0,31.0,57.0,9.0,59.0,13.0,45.0,15.0,42.0,26.0,0.0,64.0,28.0,35.0
4387,13.0,14.0,46.0,36.0,11.0,17.0,1.0,8.0,3.0,59.0,33.0,57.0,7.0,26.0,16.0,9.0,15.0,27.0,40.0,2.0,28.0,32.0,20.0,19.0,21.0,49.0,0.0,65.0,18.0,56.0
4436,24.0,23.0,22.0,19.0,40.0,25.0,3.0,5.0,7.0,32.0,13.0,30.0,21.0,39.0,51.0,29.0,53.0,43.0,36.0,42.0,18.0,9.0,58.0,11.0,4.0,63.0,49.0,6.0,55.0,31.0
4485,7.0,21.0,3.0,51.0,8.0,9.0,20.0,24.0,11.0,30.0,54.0,56.0,55.0,38.0,37.0,59.0,65.0,12.0,14.0,16.0,1.0,41.0,25.0,46.0,23.0,19.0,39.0,49.0,22.0,36.0
4534,3.0,15.0,11.0,6.0,7.0,45.0,50.0,19.0,41.0,53.0,30.0,21.0,27.0,8.0,52.0,49.0,48.0,66.0,0.0,34.0,47.0,51.0,33.0,29.0,1.0,17.0,40.0,26.0,14.0,58.0
4583,37.0,9.0,7.0,24.0,13.0,15.0,19.0,10.0,8.0,28.0,22.0,17.0,32.0,18.0,38.0,5.0,61.0,46.0,2.0,43.0,49.0,36.0,40.0,4.0,48.0,56.0,53.0,65.0,44.0,26.0
4632,12.0,22.0,15.0,10.0,43.0,21.0,14.0,11.0,6.0,47.0,19.0,55.0,46.0,9.0,36.0,42.0,17.0,27.0,61.0,29.0,8.0,3.0,51.0,58.0,7.0,30.0,62.0,5.0,4.0,34.0
4681,61.0,10.0,7.0,28.0,6.0,25.0,5.0,40.0,44.0,26.0,30.0,38.0,58.0,8.0,45.0,50.0,53.0,16.0,14.0,11.0,34.0,52.0,55.0,9.0,31.0,4.0,17.0,22.0,13.0,46.0
4730,5.0,15.0,9.0,20.0,22.0,16.0,26.0,3.0,39.0,32.0,23.0,7.0,33.0,12.0,13.0,54.0,4.0,49.0,0.0,10.0,1.0,17.0,59.0,18.0,45.0,31.0,47.0,24.0,44.0,48.0
4779,41.0,6.0,26.0,37.0,34.0,13.0,9.0,36.0,3.0,23.0,25.0,46.0,35.0,1.0,5.0,38.0,10.0,42.0,22.0,64.0,47.0,58.0,51.0,43.0,16.0,17.0,48.0,18.0,2.0,11.0
4828,4.0,19.0,8.0,10.0,21.0,16.0,63.0,9.0,3.0,60.0,32.0,48.0,34.0,18.0,1.0,29.0,47.0,20.0,44.0,43.0,57.0,5.0,46.0,52.0,50.0,12.0,7.0,54.0,41.0,6.0
4877,2.0,11.0,52.0,1.0,3.0,27.0,53.0,25.0,13.0,16.0,22.0,9.0,55.0,19.0,41.0,46.0,61.0,18.0,15.0,32.0,28.0,57.0,6.0,20.0,65.0,8.0,45.0,10.0,37.0,30.0
