,hsa-miR-548a-3p,hsa-miR-205,hsa-miR-744,hsa-miR-223,hsa-miR-148a,hsa-miR-934,hsa-miR-30c,hsa-miR-662,hsa-miR-578,hsa-miR-450b-3p,hsa-miR-548b-5p,hsa-miR-770-5p,hsa-miR-155,hsa-miR-1299,kshv-miR-K12-11,hsa-miR-222,hsa-miR-135b,hsa-miR-511,hsa-miR-196b,hsa-miR-323-5p,hsa-miR-603,hsa-miR-609,hsa-miR-921,hsa-miR-331-5p,kshv-miR-K12-7,hsa-miR-1182,hsa-miR-765,hsa-miR-220b,hsa-miR-1254,hsa-miR-1233
16,2.0,0.0,6.0,3.0,1.0,28.0,37.0,14.0,42.0,8.0,34.0,4.0,15.0,24.0,53.0,69.0,16.0,64.0,17.0,48.0,9.0,12.0,19.0,10.0,40.0,38.0,5.0,85.0,81.0,47.0
65,0.0,1.0,4.0,2.0,3.0,11.0,18.0,15.0,24.0,25.0,27.0,7.0,12.0,13.0,8.0,46.0,29.0,26.0,5.0,14.0,21.0,20.0,103.0,6.0,19.0,40.0,48.0,33.0,69.0,10.0
114,1.0,3.0,0.0,18.0,2.0,7.0,19.0,5.0,46.0,45.0,23.0,6.0,27.0,9.0,22.0,57.0,13.0,15.0,4.0,33.0,12.0,55.0,29.0,20.0,17.0,32.0,25.0,49.0,44.0,51.0
163,1.0,2.0,6.0,11.0,0.0,32.0,37.0,3.0,5.0,10.0,23.0,14.0,12.0,22.0,87.0,25.0,15.0,33.0,4.0,27.0,13.0,38.0,56.0,29.0,35.0,24.0,59.0,51.0,18.0,45.0
212,0.0,1.0,3.0,8.0,2.0,52.0,18.0,9.0,6.0,22.0,37.0,7.0,10.0,19.0,12.0,80.0,30.0,35.0,4.0,47.0,93.0,45.0,67.0,32.0,33.0,14.0,15.0,95.0,21.0,38.0
261,1.0,4.0,0.0,10.0,3.0,12.0,17.0,5.0,46.0,21.0,24.0,9.0,8.0,11.0,47.0,57.0,16.0,87.0,7.0,67.0,26.0,2.0,58.0,13.0,93.0,77.0,14.0,55.0,19.0,61.0
310,3.0,0.0,2.0,5.0,1.0,21.0,22.0,35.0,16.0,9.0,19.0,7.0,12.0,10.0,30.0,43.0,6.0,218.0,4.0,14.0,11.0,24.0,39.0,17.0,18.0,23.0,28.0,53.0,76.0,37.0
359,2.0,0.0,3.0,15.0,4.0,6.0,48.0,5.0,14.0,13.0,11.0,17.0,12.0,16.0,20.0,42.0,36.0,56.0,1.0,108.0,10.0,21.0,19.0,7.0,30.0,60.0,46.0,54.0,27.0,32.0
408,2.0,0.0,3.0,4.0,1.0,5.0,13.0,40.0,33.0,11.0,17.0,8.0,7.0,15.0,50.0,19.0,49.0,34.0,9.0,47.0,14.0,90.0,198.0,26.0,23.0,37.0,21.0,45.0,27.0,18.0
457,3.0,0.0,1.0,7.0,2.0,19.0,17.0,18.0,66.0,40.0,237.0,4.0,9.0,21.0,13.0,44.0,6.0,23.0,10.0,14.0,30.0,59.0,116.0,29.0,26.0,25.0,147.0,80.0,39.0,24.0
506,1.0,0.0,2.0,4.0,3.0,12.0,42.0,5.0,26.0,10.0,15.0,11.0,6.0,24.0,59.0,18.0,30.0,28.0,58.0,31.0,71.0,126.0,55.0,19.0,14.0,35.0,21.0,17.0,79.0,44.0
555,1.0,0.0,3.0,8.0,2.0,6.0,9.0,4.0,35.0,5.0,25.0,32.0,10.0,14.0,13.0,48.0,47.0,7.0,42.0,34.0,58.0,113.0,18.0,20.0,56.0,15.0,124.0,11.0,50.0,26.0
604,1.0,0.0,3.0,7.0,16.0,26.0,9.0,2.0,6.0,4.0,36.0,17.0,5.0,38.0,8.0,27.0,87.0,11.0,45.0,61.0,77.0,21.0,50.0,23.0,15.0,12.0,67.0,52.0,33.0,43.0
653,1.0,0.0,3.0,2.0,4.0,24.0,21.0,19.0,28.0,11.0,52.0,14.0,5.0,39.0,16.0,42.0,56.0,9.0,97.0,30.0,33.0,68.0,10.0,62.0,20.0,13.0,75.0,12.0,35.0,65.0
702,1.0,0.0,3.0,7.0,23.0,6.0,9.0,27.0,18.0,2.0,19.0,12.0,15.0,33.0,5.0,8.0,80.0,4.0,58.0,30.0,77.0,93.0,13.0,34.0,41.0,24.0,65.0,35.0,31.0,115.0
751,1.0,0.0,2.0,9.0,3.0,47.0,13.0,14.0,8.0,4.0,23.0,6.0,24.0,25.0,69.0,54.0,75.0,26.0,66.0,58.0,38.0,40.0,53.0,18.0,41.0,33.0,20.0,19.0,16.0,45.0
800,3.0,0.0,1.0,6.0,7.0,10.0,13.0,16.0,5.0,2.0,26.0,86.0,11.0,59.0,42.0,8.0,9.0,51.0,14.0,25.0,36.0,108.0,29.0,15.0,40.0,18.0,91.0,19.0,49.0,76.0
849,1.0,0.0,3.0,6.0,12.0,15.0,17.0,13.0,21.0,2.0,26.0,5.0,7.0,30.0,24.0,16.0,45.0,4.0,19.0,31.0,29.0,142.0,90.0,44.0,43.0,22.0,51.0,8.0,50.0,14.0
898,1.0,0.0,3.0,14.0,10.0,33.0,13.0,6.0,42.0,2.0,23.0,47.0,64.0,44.0,43.0,101.0,11.0,46.0,5.0,27.0,32.0,137.0,7.0,35.0,16.0,12.0,93.0,37.0,9.0,83.0
947,1.0,0.0,2.0,5.0,8.0,3.0,30.0,12.0,9.0,4.0,22.0,32.0,15.0,33.0,48.0,10.0,45.0,23.0,7.0,56.0,124.0,82.0,52.0,24.0,25.0,13.0,55.0,79.0,26.0,101.0
996,0.0,1.0,2.0,4.0,3.0,5.0,19.0,32.0,20.0,8.0,6.0,37.0,9.0,25.0,12.0,13.0,26.0,61.0,22.0,33.0,48.0,14.0,29.0,50.0,34.0,73.0,16.0,62.0,81.0,21.0
1045,0.0,2.0,1.0,3.0,6.0,10.0,7.0,30.0,13.0,25.0,5.0,15.0,22.0,29.0,47.0,21.0,35.0,61.0,55.0,4.0,26.0,19.0,80.0,23.0,43.0,37.0,16.0,24.0,28.0,36.0
1094,0.0,3.0,6.0,2.0,1.0,12.0,20.0,16.0,5.0,9.0,8.0,38.0,10.0,19.0,11.0,37.0,25.0,53.0,34.0,15.0,14.0,30.0,36.0,29.0,33.0,43.0,13.0,40.0,28.0,17.0
1143,0.0,1.0,3.0,4.0,2.0,13.0,17.0,9.0,5.0,6.0,7.0,37.0,15.0,23.0,8.0,21.0,40.0,60.0,10.0,11.0,43.0,82.0,20.0,27.0,18.0,32.0,12.0,42.0,33.0,121.0
1192,0.0,1.0,3.0,2.0,6.0,21.0,8.0,27.0,4.0,13.0,20.0,14.0,46.0,17.0,24.0,41.0,28.0,104.0,64.0,16.0,37.0,18.0,144.0,47.0,9.0,51.0,29.0,5.0,61.0,23.0
1241,0.0,1.0,12.0,5.0,8.0,18.0,35.0,2.0,6.0,3.0,4.0,85.0,25.0,10.0,21.0,36.0,64.0,40.0,28.0,9.0,47.0,23.0,17.0,11.0,15.0,57.0,7.0,16.0,39.0,20.0
1290,1.0,0.0,2.0,3.0,8.0,18.0,10.0,5.0,19.0,30.0,12.0,34.0,4.0,49.0,40.0,26.0,24.0,149.0,59.0,22.0,78.0,11.0,9.0,20.0,7.0,52.0,21.0,54.0,44.0,31.0
1339,0.0,1.0,3.0,2.0,18.0,13.0,12.0,9.0,40.0,19.0,5.0,28.0,16.0,25.0,20.0,22.0,24.0,27.0,15.0,7.0,38.0,23.0,32.0,14.0,26.0,58.0,4.0,41.0,49.0,11.0
1388,0.0,3.0,4.0,11.0,1.0,21.0,16.0,2.0,6.0,13.0,5.0,32.0,10.0,17.0,124.0,9.0,47.0,213.0,34.0,35.0,90.0,14.0,24.0,23.0,29.0,96.0,27.0,61.0,41.0,15.0
1437,0.0,1.0,2.0,6.0,8.0,5.0,7.0,4.0,3.0,36.0,17.0,27.0,60.0,45.0,16.0,10.0,19.0,40.0,39.0,15.0,53.0,44.0,9.0,62.0,12.0,59.0,57.0,72.0,34.0,38.0
1486,1.0,0.0,7.0,6.0,4.0,2.0,11.0,14.0,8.0,27.0,5.0,24.0,21.0,37.0,20.0,73.0,10.0,77.0,9.0,12.0,3.0,17.0,13.0,30.0,89.0,23.0,69.0,44.0,15.0,105.0
1535,7.0,0.0,6.0,2.0,12.0,5.0,9.0,8.0,4.0,51.0,18.0,11.0,29.0,24.0,21.0,19.0,3.0,87.0,10.0,15.0,1.0,50.0,41.0,31.0,34.0,57.0,112.0,17.0,38.0,20.0
1584,2.0,0.0,14.0,8.0,4.0,3.0,5.0,49.0,9.0,15.0,10.0,17.0,6.0,20.0,43.0,16.0,1.0,11.0,46.0,76.0,7.0,30.0,61.0,13.0,96.0,25.0,24.0,50.0,12.0,32.0
1633,1.0,0.0,2.0,7.0,9.0,3.0,13.0,25.0,8.0,22.0,21.0,50.0,11.0,27.0,43.0,26.0,6.0,56.0,12.0,23.0,4.0,33.0,5.0,28.0,81.0,65.0,17.0,46.0,39.0,53.0
1682,6.0,0.0,3.0,10.0,20.0,2.0,5.0,62.0,9.0,79.0,23.0,24.0,7.0,15.0,53.0,8.0,16.0,18.0,29.0,4.0,1.0,21.0,13.0,32.0,36.0,33.0,47.0,12.0,28.0,42.0
1731,0.0,1.0,19.0,7.0,11.0,3.0,5.0,9.0,2.0,94.0,6.0,13.0,25.0,27.0,100.0,39.0,4.0,69.0,137.0,8.0,10.0,28.0,14.0,65.0,80.0,77.0,15.0,12.0,47.0,16.0
1780,1.0,0.0,8.0,9.0,4.0,2.0,3.0,121.0,14.0,19.0,11.0,46.0,40.0,16.0,30.0,15.0,7.0,22.0,28.0,55.0,6.0,59.0,5.0,36.0,90.0,49.0,80.0,32.0,21.0,95.0
1829,1.0,0.0,9.0,6.0,5.0,3.0,2.0,45.0,8.0,68.0,17.0,39.0,12.0,21.0,22.0,15.0,14.0,4.0,59.0,26.0,20.0,40.0,7.0,69.0,53.0,38.0,60.0,33.0,19.0,30.0
1878,1.0,0.0,8.0,7.0,5.0,6.0,3.0,10.0,14.0,9.0,28.0,26.0,15.0,41.0,75.0,27.0,18.0,17.0,29.0,12.0,4.0,21.0,2.0,23.0,53.0,63.0,51.0,16.0,22.0,30.0
1927,6.0,0.0,10.0,5.0,13.0,1.0,19.0,11.0,15.0,21.0,22.0,26.0,14.0,4.0,99.0,18.0,29.0,27.0,7.0,36.0,2.0,43.0,8.0,3.0,31.0,71.0,97.0,12.0,46.0,67.0
1976,6.0,0.0,60.0,7.0,1.0,14.0,4.0,3.0,17.0,9.0,13.0,8.0,55.0,31.0,77.0,15.0,18.0,10.0,63.0,16.0,43.0,12.0,101.0,23.0,11.0,133.0,21.0,24.0,34.0,2.0
