, H2O2, JAK-STAT, PI3K_only, VEGF, IL-1, MAPK_PI3K, TLR, Wnt, MAPK_only, TGFB, TNFa
1070,1.0,2.0,4.0,9.0,7.0,6.0,0.0,10.0,3.0,5.0,8.0
1119,1.0,0.0,3.0,5.0,7.0,8.0,2.0,6.0,9.0,4.0,10.0
1168,0.0,1.0,9.0,5.0,3.0,7.0,8.0,2.0,6.0,4.0,10.0
1217,2.0,0.0,1.0,8.0,6.0,3.0,7.0,10.0,4.0,9.0,5.0
1266,0.0,4.0,1.0,7.0,8.0,5.0,6.0,2.0,9.0,10.0,3.0
1315,1.0,0.0,7.0,9.0,4.0,5.0,6.0,8.0,10.0,2.0,3.0
1364,5.0,2.0,3.0,4.0,6.0,7.0,0.0,8.0,10.0,9.0,1.0
1413,1.0,0.0,2.0,7.0,8.0,3.0,6.0,10.0,4.0,9.0,5.0
1462,2.0,4.0,0.0,1.0,3.0,7.0,5.0,8.0,6.0,9.0,10.0
1511,2.0,0.0,6.0,3.0,7.0,5.0,9.0,4.0,8.0,1.0,10.0
1560,7.0,0.0,5.0,3.0,10.0,9.0,4.0,8.0,1.0,2.0,6.0
1609,3.0,4.0,0.0,6.0,7.0,8.0,5.0,9.0,10.0,1.0,2.0
1658,3.0,4.0,0.0,8.0,2.0,9.0,10.0,7.0,6.0,1.0,5.0
1707,0.0,2.0,3.0,5.0,1.0,6.0,7.0,4.0,8.0,9.0,10.0
1756,1.0,2.0,3.0,4.0,8.0,6.0,7.0,0.0,5.0,9.0,10.0
1805,1.0,6.0,4.0,2.0,0.0,7.0,9.0,5.0,3.0,8.0,10.0
1854,0.0,2.0,1.0,5.0,7.0,10.0,8.0,3.0,6.0,9.0,4.0
1903,3.0,0.0,6.0,8.0,4.0,1.0,9.0,2.0,5.0,10.0,7.0
1952,3.0,4.0,0.0,2.0,7.0,8.0,9.0,1.0,5.0,10.0,6.0
2001,5.0,2.0,0.0,8.0,9.0,10.0,7.0,4.0,6.0,1.0,3.0
2050,4.0,3.0,0.0,1.0,2.0,8.0,7.0,9.0,5.0,6.0,10.0
2099,3.0,0.0,1.0,2.0,6.0,4.0,5.0,10.0,7.0,8.0,9.0
2148,3.0,0.0,2.0,6.0,7.0,5.0,1.0,8.0,4.0,9.0,10.0
2197,0.0,1.0,3.0,5.0,6.0,4.0,7.0,9.0,2.0,8.0,10.0
2246,5.0,3.0,1.0,2.0,6.0,7.0,0.0,10.0,4.0,8.0,9.0
2295,3.0,0.0,4.0,5.0,10.0,6.0,2.0,7.0,1.0,8.0,9.0
2344,3.0,4.0,2.0,1.0,7.0,5.0,0.0,6.0,9.0,10.0,8.0
2393,0.0,3.0,2.0,6.0,8.0,7.0,5.0,4.0,1.0,9.0,10.0
2442,3.0,0.0,5.0,1.0,9.0,4.0,6.0,2.0,8.0,7.0,10.0
2491,1.0,2.0,8.0,5.0,6.0,7.0,4.0,0.0,3.0,10.0,9.0
2540,0.0,6.0,4.0,5.0,9.0,3.0,7.0,8.0,2.0,10.0,1.0
2589,0.0,2.0,4.0,5.0,1.0,9.0,7.0,6.0,3.0,10.0,8.0
2638,0.0,2.0,8.0,3.0,9.0,6.0,7.0,4.0,5.0,10.0,1.0
2687,1.0,5.0,0.0,3.0,4.0,6.0,7.0,9.0,2.0,10.0,8.0
2736,6.0,0.0,1.0,5.0,7.0,2.0,8.0,10.0,9.0,3.0,4.0
2785,2.0,1.0,6.0,0.0,5.0,10.0,3.0,9.0,7.0,8.0,4.0
2834,1.0,2.0,4.0,3.0,10.0,5.0,9.0,7.0,8.0,0.0,6.0
2883,4.0,0.0,6.0,3.0,7.0,2.0,5.0,9.0,1.0,10.0,8.0
2932,0.0,4.0,1.0,2.0,7.0,8.0,9.0,3.0,5.0,6.0,10.0
2981,3.0,0.0,6.0,7.0,9.0,8.0,5.0,1.0,4.0,10.0,2.0
3030,0.0,1.0,8.0,5.0,9.0,2.0,7.0,3.0,6.0,4.0,10.0
3079,1.0,0.0,5.0,6.0,7.0,3.0,4.0,2.0,9.0,10.0,8.0
3128,3.0,0.0,2.0,9.0,4.0,1.0,7.0,6.0,8.0,10.0,5.0
3177,0.0,1.0,2.0,10.0,7.0,5.0,3.0,6.0,8.0,9.0,4.0
3226,1.0,2.0,4.0,6.0,10.0,3.0,0.0,7.0,8.0,5.0,9.0
3275,0.0,1.0,4.0,2.0,6.0,3.0,8.0,5.0,7.0,9.0,10.0
