,HNRNPA1,ANP32B,DUT,ARHGAP11B,DNAJB2,MMS22L,DAZAP1,MMP24,ANP32A,HNRNPK,GNB3,MCM7,ITGB5,ODF2,BCL2L1,GPRC5B,ATP5D,RP11-177C12.1,C1orf122,NOB1,CTDSPL2,SUCO,TTF2,TFAP4,FAM98B,SSRP1,GART,EIF3L,LRRC8C,SMIM8
1134,0.0,48.0,2.0,818.0,103.0,23331.0,26.0,39.0,4.0,20441.0,5920.0,18706.0,14455.0,20319.0,14.0,2788.0,50.0,47.0,16017.0,9947.0,9.0,1034.0,35.0,407.0,2835.0,3759.0,6740.0,9091.0,49.0,23387.0
1183,3.0,0.0,25.0,1.0,6.0,23344.0,11793.0,8.0,22.0,20437.0,5940.0,65.0,14437.0,20324.0,24.0,2977.0,1252.0,13750.0,86.0,9959.0,46.0,975.0,14.0,2738.0,3372.0,3766.0,6731.0,9085.0,983.0,23378.0
1232,0.0,20539.0,18.0,39.0,4.0,23098.0,11795.0,3.0,20.0,20431.0,5694.0,18720.0,14210.0,20315.0,6648.0,2633.0,137.0,13512.0,100.0,9971.0,49.0,343.0,17.0,2603.0,2974.0,3763.0,476.0,9069.0,10.0,23312.0
1281,70.0,24.0,19.0,67.0,4.0,52.0,11790.0,5.0,22.0,20423.0,5715.0,64.0,30.0,20312.0,44.0,2827.0,58.0,56.0,163.0,9960.0,76.0,356.0,78.0,2266.0,2864.0,3792.0,92.0,9063.0,55.0,1086.0
1330,3.0,8.0,0.0,3325.0,5.0,33.0,11311.0,12.0,11.0,20107.0,162.0,18708.0,52.0,20317.0,74.0,1286.0,6.0,13737.0,251.0,9943.0,2514.0,17078.0,27.0,1669.0,109.0,3722.0,6726.0,9063.0,744.0,23382.0
1379,1.0,2.0,16.0,3273.0,42.0,21.0,11225.0,13.0,33.0,20441.0,414.0,18715.0,65.0,118.0,5.0,34.0,0.0,49.0,29.0,9980.0,2606.0,1048.0,53.0,3161.0,3323.0,3759.0,6721.0,8.0,986.0,67.0
1428,0.0,1.0,23.0,2894.0,28.0,8.0,75.0,18.0,37.0,88.0,414.0,18592.0,63.0,114.0,45.0,54.0,2.0,62.0,78.0,9952.0,97.0,17034.0,15535.0,16.0,2844.0,60.0,6695.0,7.0,352.0,23315.0
1477,6029.0,20520.0,751.0,76.0,13213.0,94.0,11339.0,84.0,3254.0,19980.0,45.0,154.0,14464.0,20295.0,55.0,88.0,11813.0,13765.0,16032.0,9968.0,213.0,17088.0,61.0,77.0,12.0,15.0,6746.0,101.0,1053.0,0.0
1526,6055.0,85.0,356.0,28.0,119.0,104.0,11801.0,6671.0,2348.0,157.0,26.0,149.0,74.0,36.0,68.0,0.0,11811.0,50.0,7.0,9999.0,315.0,1172.0,15561.0,3492.0,11.0,14.0,603.0,117.0,640.0,23317.0
1575,6164.0,20540.0,3468.0,2944.0,25.0,86.0,10845.0,36.0,43.0,20433.0,8.0,33.0,14432.0,20315.0,68.0,56.0,11783.0,17.0,1.0,10.0,39.0,44.0,15437.0,58.0,11.0,15.0,6737.0,74.0,643.0,0.0
1624,6065.0,4.0,363.0,0.0,8.0,6.0,10859.0,6439.0,67.0,20442.0,5968.0,3.0,14467.0,20322.0,819.0,1.0,11799.0,13763.0,14.0,9964.0,2989.0,17085.0,15439.0,2307.0,2915.0,3817.0,6746.0,20.0,27.0,38.0
1673,104.0,132.0,87.0,1.0,15.0,46.0,11797.0,6636.0,65.0,20435.0,182.0,107.0,84.0,74.0,6696.0,69.0,11785.0,13756.0,88.0,10191.0,3270.0,17084.0,97.0,47.0,8.0,3776.0,6716.0,62.0,30.0,23381.0
1722,6029.0,55.0,74.0,0.0,7.0,30.0,24.0,6406.0,37.0,20425.0,33.0,39.0,1.0,19373.0,6685.0,862.0,11797.0,529.0,15990.0,9946.0,2979.0,17088.0,15578.0,76.0,3.0,122.0,6708.0,25.0,27.0,23317.0
1771,5777.0,29.0,60.0,20.0,3.0,23314.0,11805.0,36.0,13.0,20468.0,0.0,18709.0,1.0,30.0,6703.0,27.0,517.0,13730.0,64.0,88.0,3320.0,154.0,63.0,38.0,1546.0,5.0,6729.0,9087.0,11.0,23392.0
1820,39.0,3.0,3400.0,0.0,29.0,23351.0,11787.0,6409.0,1.0,20429.0,8.0,102.0,4.0,51.0,6690.0,36.0,226.0,13738.0,95.0,66.0,2954.0,17070.0,15489.0,2275.0,2862.0,3782.0,44.0,9092.0,14883.0,23354.0
1869,4.0,12.0,25.0,0.0,19.0,276.0,1.0,6.0,10.0,20458.0,14.0,18711.0,54.0,72.0,316.0,186.0,11775.0,136.0,92.0,32.0,3370.0,1203.0,15542.0,79.0,1533.0,707.0,6702.0,450.0,14873.0,23313.0
1918,48.0,200.0,21.0,2.0,32.0,23337.0,52.0,5.0,20.0,20423.0,1.0,7.0,14458.0,35.0,6680.0,2789.0,190.0,49.0,16014.0,186.0,130.0,17073.0,15419.0,2230.0,2882.0,3722.0,33.0,14.0,4.0,23326.0
1967,6034.0,2.0,1.0,24.0,0.0,23331.0,11787.0,6706.0,11.0,20426.0,112.0,18705.0,73.0,93.0,64.0,2818.0,325.0,13739.0,68.0,7.0,1095.0,419.0,4.0,105.0,2866.0,3777.0,6717.0,9092.0,14878.0,23390.0
2016,40.0,4.0,3.0,10.0,0.0,23311.0,10847.0,67.0,19.0,13.0,5845.0,11.0,14451.0,91.0,6723.0,77.0,11785.0,30.0,79.0,5.0,477.0,17070.0,31.0,2507.0,2883.0,3794.0,17.0,85.0,345.0,23389.0
2065,6061.0,0.0,2.0,13.0,30.0,23333.0,11797.0,17.0,22.0,41.0,54.0,53.0,139.0,48.0,503.0,3364.0,103.0,26.0,67.0,5.0,3479.0,11.0,56.0,2683.0,605.0,3813.0,76.0,9111.0,4.0,23326.0
2114,62.0,0.0,31.0,3144.0,73.0,50.0,6.0,44.0,28.0,3.0,5958.0,70.0,129.0,20316.0,6680.0,1.0,11803.0,29.0,18.0,2.0,7.0,20.0,15462.0,2281.0,182.0,3769.0,93.0,16.0,145.0,23386.0
2163,6.0,16.0,3.0,2918.0,13188.0,32.0,11795.0,22.0,41.0,39.0,2.0,1.0,82.0,19373.0,6700.0,99.0,11772.0,13627.0,67.0,7.0,2984.0,17.0,184.0,2285.0,2871.0,3810.0,0.0,27.0,14893.0,65.0
2212,6039.0,41.0,78.0,2935.0,13186.0,49.0,4.0,60.0,25.0,3.0,29.0,10.0,14426.0,20315.0,556.0,2845.0,80.0,188.0,34.0,1.0,3198.0,13.0,15435.0,90.0,299.0,124.0,8.0,9091.0,283.0,63.0
2261,107.0,1.0,3.0,2901.0,138.0,23.0,49.0,76.0,18.0,17.0,39.0,24.0,145.0,20331.0,6690.0,2844.0,57.0,2.0,96.0,12.0,2971.0,17050.0,262.0,5.0,2854.0,518.0,34.0,9090.0,292.0,23354.0
