,SLC25A37_AMP,MRGPRX1_DEL,CES1_AMP,GSTTP1_AMP,CES1P1_DEL,HLA-DRB1_AMP,UGT2B17_DEL,KCNG2_DEL,ZNF705G_AMP,FAM21A_DEL,HLA-DRB6_AMP,GOLGA6L10_AMP,LOC390660_AMP,DUSP22_DEL,MST1P9_AMP,ADAM5_DEL,CADM2_DEL,RBFOX1_DEL,KIAA1217_DEL,CACNB2_DEL,C18orf61_DEL,ADAM3A_DEL,DOCK8_DEL,HLA-H_DEL,PCDHA10_DEL,BCAS1_AMP,ZDHHC14_AMP,LRRC37A_AMP,MRC1_AMP,LOC100506776_DEL
31,7.0,0.0,4.0,2.0,1.0,16.0,12.0,13.0,6.0,3.0,42.0,9.0,10.0,55.0,11.0,18.0,29.0,20.0,429.0,66.0,31.0,26.0,34.0,19.0,68.0,52.0,79.0,27.0,14.0,25.0
80,0.0,3.0,10.0,12.0,1.0,60.0,44.0,20.0,14.0,7.0,135.0,4.0,5.0,8.0,17.0,23.0,16.0,133.0,93.0,101.0,19.0,24.0,36.0,61.0,51.0,25.0,40.0,156.0,9.0,52.0
129,1.0,6.0,4.0,17.0,0.0,48.0,7.0,12.0,5.0,26.0,57.0,24.0,23.0,9.0,83.0,3.0,49.0,10.0,589.0,38.0,20.0,8.0,108.0,730.0,60.0,74.0,40.0,361.0,18.0,64.0
178,0.0,2.0,4.0,19.0,8.0,7.0,14.0,12.0,42.0,13.0,18.0,9.0,10.0,5.0,65.0,62.0,21.0,179.0,71.0,43.0,145.0,115.0,114.0,16.0,51.0,204.0,35.0,442.0,47.0,135.0
227,1.0,6.0,22.0,5.0,2.0,27.0,4.0,8.0,3.0,53.0,74.0,10.0,11.0,0.0,91.0,30.0,51.0,55.0,382.0,50.0,21.0,52.0,33.0,291.0,47.0,698.0,14.0,28.0,12.0,23.0
276,0.0,8.0,7.0,9.0,1.0,13.0,6.0,2.0,3.0,31.0,29.0,28.0,27.0,5.0,11.0,12.0,34.0,90.0,11581.0,39.0,10.0,20.0,66.0,33.0,313.0,32.0,16.0,91.0,23.0,43.0
325,3.0,1.0,30.0,5.0,0.0,23.0,2.0,4.0,11.0,38.0,13.0,7.0,6.0,14.0,26.0,10.0,22.0,165.0,137.0,48.0,28.0,12.0,25.0,50.0,31.0,44.0,24.0,358.0,9.0,235.0
374,20.0,7.0,1.0,33.0,3.0,4.0,0.0,10.0,11.0,61.0,14.0,8.0,9.0,2.0,5.0,54.0,30.0,864.0,247.0,160.0,17.0,79.0,19.0,18.0,41.0,112.0,31.0,35.0,6.0,44.0
423,2.0,0.0,8.0,14.0,3.0,4.0,1.0,13.0,9.0,51.0,11.0,7.0,6.0,104.0,50.0,123.0,24.0,175.0,40.0,47.0,27.0,252.0,48.0,657.0,69.0,385.0,53.0,20.0,5.0,244.0
472,2.0,1.0,14.0,5.0,3.0,9.0,11.0,12.0,40.0,23.0,26.0,18.0,17.0,10.0,13.0,16.0,30.0,19.0,11835.0,689.0,22.0,24.0,42.0,39.0,89.0,43.0,20.0,27.0,0.0,243.0
