,GABA,UMP,alpha-glycerophosphate,C18:0 LPC,2-deoxyadenosine,C56:5 TAG,pantothenate,glutamine,serotonin,DHAP/glyceraldehyde 3P,C36:4 PC-B,beta-alanine,C18:0 LPE,niacinamide,serine,C16:0 LPE,dCMP,taurodeoxycholate,asparagine,adenosine,cotinine,putrescine,alpha-glycerophosphocholine,valerylcarnitine,acetylcholine,palmitoylcarnitine,2-deoxycytidine,creatine,creatinine,butyrylcarnitine/isobutyrylcarnitine
24,1.0,2.0,7.0,0.0,3.0,18.0,8.0,4.0,5.0,9.0,45.0,10.0,28.0,11.0,14.0,15.0,6.0,13.0,50.0,26.0,16.0,25.0,17.0,19.0,23.0,12.0,27.0,24.0,29.0,21.0
73,0.0,2.0,8.0,1.0,6.0,10.0,14.0,5.0,3.0,7.0,39.0,4.0,13.0,9.0,11.0,15.0,18.0,33.0,46.0,25.0,12.0,21.0,28.0,17.0,27.0,19.0,23.0,54.0,26.0,24.0
122,0.0,1.0,4.0,3.0,6.0,10.0,14.0,11.0,2.0,7.0,17.0,20.0,30.0,9.0,16.0,12.0,8.0,40.0,46.0,18.0,5.0,13.0,19.0,45.0,53.0,48.0,22.0,21.0,27.0,26.0
171,0.0,1.0,3.0,5.0,2.0,7.0,4.0,6.0,12.0,8.0,42.0,10.0,17.0,11.0,15.0,9.0,18.0,20.0,21.0,19.0,13.0,27.0,28.0,16.0,23.0,14.0,25.0,29.0,24.0,22.0
220,2.0,5.0,15.0,0.0,4.0,13.0,3.0,11.0,8.0,7.0,12.0,1.0,36.0,9.0,17.0,14.0,10.0,41.0,38.0,20.0,6.0,24.0,18.0,25.0,49.0,27.0,22.0,23.0,21.0,19.0
269,1.0,0.0,3.0,5.0,2.0,13.0,8.0,6.0,7.0,14.0,10.0,16.0,17.0,12.0,9.0,11.0,4.0,45.0,20.0,23.0,15.0,19.0,29.0,30.0,26.0,27.0,32.0,25.0,33.0,24.0
318,0.0,3.0,7.0,2.0,1.0,5.0,17.0,6.0,14.0,10.0,42.0,12.0,19.0,11.0,18.0,8.0,9.0,40.0,46.0,20.0,4.0,13.0,23.0,21.0,24.0,16.0,27.0,31.0,26.0,28.0
367,0.0,1.0,2.0,3.0,9.0,8.0,7.0,11.0,6.0,5.0,21.0,10.0,42.0,20.0,13.0,4.0,16.0,43.0,46.0,14.0,12.0,26.0,18.0,29.0,15.0,30.0,22.0,31.0,23.0,28.0
416,0.0,2.0,4.0,5.0,1.0,11.0,9.0,8.0,10.0,3.0,20.0,22.0,21.0,17.0,7.0,19.0,16.0,40.0,18.0,29.0,14.0,25.0,32.0,15.0,26.0,6.0,13.0,27.0,28.0,30.0
465,1.0,7.0,6.0,2.0,0.0,18.0,3.0,11.0,9.0,4.0,14.0,17.0,8.0,15.0,5.0,10.0,13.0,44.0,48.0,25.0,12.0,23.0,21.0,26.0,29.0,16.0,28.0,30.0,24.0,27.0
514,1.0,0.0,2.0,10.0,14.0,7.0,12.0,4.0,8.0,5.0,18.0,23.0,13.0,20.0,3.0,22.0,11.0,17.0,42.0,9.0,28.0,19.0,30.0,31.0,24.0,32.0,35.0,25.0,26.0,15.0
563,1.0,0.0,2.0,13.0,16.0,19.0,10.0,18.0,5.0,4.0,11.0,3.0,31.0,21.0,6.0,7.0,17.0,43.0,9.0,12.0,8.0,23.0,30.0,14.0,29.0,25.0,33.0,28.0,24.0,20.0
612,1.0,0.0,9.0,3.0,10.0,19.0,7.0,23.0,4.0,15.0,2.0,13.0,40.0,34.0,6.0,20.0,12.0,11.0,5.0,18.0,27.0,33.0,29.0,21.0,31.0,8.0,17.0,24.0,30.0,28.0
661,1.0,2.0,11.0,9.0,12.0,5.0,3.0,7.0,4.0,37.0,0.0,8.0,30.0,18.0,44.0,6.0,15.0,14.0,10.0,23.0,22.0,27.0,19.0,13.0,20.0,29.0,24.0,21.0,31.0,28.0
710,0.0,4.0,3.0,5.0,6.0,13.0,15.0,47.0,7.0,1.0,16.0,8.0,18.0,30.0,10.0,2.0,14.0,17.0,12.0,11.0,34.0,25.0,28.0,9.0,27.0,29.0,33.0,19.0,23.0,26.0
759,1.0,0.0,9.0,15.0,5.0,6.0,8.0,7.0,3.0,4.0,26.0,19.0,11.0,34.0,14.0,16.0,10.0,12.0,2.0,18.0,17.0,29.0,24.0,31.0,22.0,20.0,27.0,23.0,33.0,30.0
