,uracil,C34:4 PC,GABA,butyrylcarnitine/isobutyrylcarnitine,inositol,phosphocreatine,uridine,beta-alanine,guanosine,2-deoxyadenosine,UMP,hexoses (HILIC neg),malondialdehyde,creatinine,DHAP/glyceraldehyde 3P,C18:0 LPC,acetylcholine,N-carbamoyl-beta-alanine,2-deoxycytidine,C56:3 TAG,cytidine,hypoxanthine,creatine,inosine,adenosine,cystathionine,alpha-glycerophosphate,C22:6 CE,dCMP,isocitrate
26,15.0,13.0,14.0,24.0,31.0,4.0,42.0,1.0,41.0,37.0,27.0,6.0,35.0,19.0,0.0,22.0,9.0,36.0,5.0,62.0,54.0,25.0,29.0,16.0,8.0,47.0,63.0,11.0,23.0,38.0
75,39.0,4.0,27.0,10.0,13.0,35.0,14.0,33.0,12.0,21.0,65.0,48.0,5.0,30.0,18.0,51.0,57.0,53.0,19.0,22.0,45.0,52.0,38.0,0.0,42.0,34.0,3.0,17.0,44.0,1.0
124,4.0,17.0,30.0,12.0,33.0,20.0,7.0,3.0,0.0,5.0,51.0,24.0,16.0,1.0,11.0,65.0,60.0,27.0,10.0,59.0,57.0,31.0,56.0,43.0,8.0,45.0,38.0,32.0,25.0,2.0
173,1.0,5.0,10.0,9.0,32.0,3.0,22.0,42.0,27.0,12.0,41.0,8.0,39.0,29.0,0.0,47.0,4.0,37.0,2.0,34.0,40.0,57.0,62.0,59.0,49.0,21.0,24.0,23.0,33.0,36.0
222,1.0,10.0,28.0,6.0,9.0,15.0,11.0,51.0,48.0,27.0,26.0,30.0,25.0,38.0,52.0,32.0,46.0,8.0,22.0,18.0,57.0,58.0,41.0,33.0,3.0,35.0,40.0,29.0,56.0,24.0
271,14.0,13.0,0.0,10.0,22.0,36.0,11.0,8.0,3.0,23.0,43.0,2.0,51.0,5.0,9.0,58.0,46.0,39.0,32.0,65.0,31.0,47.0,24.0,42.0,38.0,28.0,12.0,4.0,18.0,40.0
320,38.0,7.0,30.0,14.0,18.0,13.0,27.0,3.0,22.0,10.0,16.0,29.0,48.0,31.0,2.0,39.0,6.0,56.0,40.0,45.0,35.0,19.0,0.0,32.0,60.0,33.0,63.0,5.0,24.0,4.0
369,43.0,13.0,8.0,9.0,18.0,4.0,23.0,19.0,1.0,24.0,30.0,53.0,63.0,25.0,2.0,45.0,6.0,50.0,7.0,28.0,35.0,41.0,20.0,21.0,10.0,46.0,14.0,26.0,5.0,15.0
418,10.0,3.0,8.0,9.0,19.0,13.0,18.0,1.0,16.0,59.0,24.0,66.0,21.0,17.0,2.0,44.0,25.0,26.0,11.0,20.0,45.0,36.0,53.0,42.0,61.0,37.0,34.0,0.0,30.0,38.0
467,18.0,3.0,15.0,6.0,20.0,1.0,32.0,25.0,30.0,16.0,64.0,9.0,35.0,12.0,65.0,13.0,58.0,53.0,26.0,7.0,47.0,52.0,4.0,19.0,46.0,28.0,8.0,2.0,14.0,17.0
516,22.0,10.0,3.0,40.0,31.0,23.0,11.0,39.0,44.0,9.0,5.0,55.0,41.0,45.0,51.0,37.0,4.0,58.0,34.0,63.0,57.0,16.0,35.0,8.0,7.0,2.0,29.0,19.0,36.0,42.0
565,6.0,23.0,43.0,33.0,25.0,15.0,16.0,30.0,18.0,0.0,13.0,46.0,37.0,21.0,64.0,7.0,42.0,31.0,2.0,17.0,10.0,5.0,19.0,40.0,12.0,28.0,22.0,50.0,55.0,9.0
614,14.0,7.0,31.0,12.0,19.0,37.0,15.0,6.0,9.0,10.0,3.0,27.0,50.0,33.0,35.0,20.0,59.0,1.0,55.0,26.0,45.0,23.0,52.0,41.0,16.0,2.0,47.0,40.0,57.0,48.0
663,8.0,10.0,62.0,18.0,31.0,24.0,11.0,5.0,15.0,2.0,33.0,21.0,14.0,61.0,6.0,3.0,12.0,20.0,35.0,58.0,16.0,46.0,22.0,1.0,17.0,34.0,27.0,60.0,41.0,43.0
712,12.0,34.0,19.0,30.0,11.0,54.0,21.0,3.0,15.0,26.0,53.0,10.0,20.0,32.0,44.0,47.0,14.0,56.0,1.0,9.0,52.0,18.0,48.0,23.0,16.0,65.0,5.0,38.0,55.0,58.0
761,7.0,20.0,16.0,1.0,31.0,14.0,27.0,39.0,10.0,9.0,34.0,44.0,33.0,15.0,11.0,48.0,0.0,19.0,6.0,42.0,2.0,22.0,4.0,43.0,8.0,66.0,29.0,30.0,23.0,63.0
810,9.0,12.0,1.0,4.0,36.0,18.0,17.0,10.0,37.0,33.0,15.0,45.0,38.0,35.0,19.0,0.0,2.0,65.0,22.0,7.0,20.0,41.0,14.0,3.0,13.0,23.0,49.0,25.0,16.0,6.0
