,BRAF_MUT,BRAF.V600E_MUT,TTN_MUT,BRAF.MC_MUT,OR2T34_AMP,DPP6_DEL,OR51A2_DEL,ZBTB20_AMP,SORD_AMP,ARHGEF5_AMP,LOC100287534_AMP,RHD_DEL,MAML3_MUT,AMY2A_DEL,PTPRC_MUT,BMPR2_AMP,NRXN3_DEL,HLA-H_DEL,GSTTP1_AMP,ZNF705G_AMP,HLA-DQB1_DEL,KIAA1217_DEL,NSFP1_DEL,RPS17_AMP,HERC2P2_AMP,OR2T29_AMP,ODZ3_DEL,UBE2Q2P2_AMP,RPS17L_AMP,PRSS3P2_DEL
30,0.0,1.0,4.0,3.0,2.0,62.0,10.0,17.0,379.0,7.0,6.0,28.0,52.0,23.0,36.0,51.0,22.0,1191.0,14.0,795.0,158.0,5.0,11.0,183.0,18773.0,15.0,39.0,185.0,186.0,49.0
79,0.0,1.0,2.0,4.0,6.0,32.0,11.0,38.0,10590.0,5.0,9.0,35.0,94.0,20.0,51.0,110.0,8.0,978.0,7.0,151.0,962.0,3.0,13.0,59.0,8507.0,46.0,14.0,60.0,58.0,48.0
128,0.0,1.0,2.0,5.0,27.0,58.0,6.0,24.0,1322.0,3.0,18.0,126.0,35.0,67.0,29.0,56.0,26.0,341.0,14.0,34.0,208.0,4.0,8.0,76.0,22978.0,353.0,42.0,77.0,74.0,16.0
177,0.0,1.0,2.0,6.0,3.0,26.0,4.0,119.0,4947.0,8.0,44.0,11.0,33.0,144.0,23.0,46.0,17.0,395.0,16.0,298.0,52.0,7.0,42.0,20.0,9270.0,40.0,76.0,19.0,18.0,56.0
226,0.0,1.0,2.0,4.0,3.0,8.0,9.0,16.0,7031.0,5.0,15.0,11.0,37.0,32.0,21.0,28.0,41.0,462.0,27.0,39.0,54.0,10.0,6.0,160.0,21828.0,17.0,24.0,161.0,158.0,65.0
275,0.0,1.0,6.0,4.0,5.0,8.0,12.0,52.0,304.0,10.0,2.0,66.0,35.0,46.0,41.0,7.0,11.0,30.0,20.0,94.0,15.0,3.0,14.0,28.0,1720.0,19.0,18.0,25.0,24.0,96.0
324,0.0,1.0,5.0,2.0,3.0,6.0,8.0,4.0,81.0,20.0,12.0,35.0,102.0,33.0,48.0,69.0,18.0,54.0,44.0,92.0,154.0,7.0,10.0,85.0,24088.0,16.0,24.0,86.0,84.0,27.0
373,0.0,1.0,2.0,8.0,4.0,33.0,6.0,12.0,318.0,5.0,10.0,17.0,43.0,98.0,24.0,31.0,18.0,202.0,29.0,94.0,1382.0,9.0,16.0,39.0,15842.0,23.0,161.0,37.0,36.0,28.0
422,0.0,1.0,2.0,4.0,3.0,17.0,10.0,9.0,798.0,7.0,74.0,38.0,39.0,37.0,57.0,28.0,25.0,48.0,26.0,45.0,135.0,5.0,23.0,12.0,22481.0,33.0,19.0,11.0,15.0,492.0
471,0.0,1.0,2.0,4.0,8.0,45.0,28.0,278.0,41.0,17.0,9.0,119.0,51.0,77.0,34.0,109.0,37.0,66.0,39.0,10.0,5463.0,35.0,18.0,14.0,10619.0,220.0,19.0,12.0,13.0,105.0
520,0.0,1.0,2.0,14.0,12.0,4.0,7.0,10.0,11.0,31.0,3.0,9.0,25.0,44.0,16.0,21.0,43.0,37.0,26.0,86.0,8.0,69.0,20.0,165.0,715.0,24.0,84.0,163.0,164.0,6.0
569,0.0,1.0,2.0,4.0,14.0,9.0,6.0,5.0,3.0,85.0,10.0,7.0,28.0,24.0,155.0,11.0,49.0,19.0,34.0,159.0,8.0,26.0,37.0,221.0,7308.0,32.0,66.0,222.0,224.0,20.0
618,0.0,1.0,3.0,11.0,13.0,12.0,14.0,16.0,9.0,22.0,4.0,7.0,28.0,45.0,27.0,20.0,130.0,10.0,65.0,136.0,29.0,2.0,19.0,58.0,15803.0,68.0,66.0,57.0,55.0,5.0
667,0.0,2.0,1.0,6.0,18.0,3.0,5.0,12.0,4.0,21.0,10.0,14.0,13.0,24.0,36.0,11.0,54.0,9.0,41.0,89.0,30.0,28.0,29.0,216.0,157.0,17.0,33.0,219.0,217.0,8.0
716,0.0,1.0,2.0,8.0,22.0,3.0,9.0,15.0,24.0,20.0,5.0,6.0,23.0,67.0,19.0,10.0,80.0,21.0,14.0,17.0,4.0,200.0,40.0,85.0,2086.0,61.0,59.0,86.0,88.0,13.0
765,0.0,1.0,2.0,11.0,13.0,3.0,4.0,14.0,6.0,8.0,7.0,9.0,10.0,29.0,22.0,17.0,47.0,91.0,33.0,27.0,5.0,62.0,32.0,72.0,90.0,34.0,110.0,73.0,69.0,18.0
814,0.0,1.0,3.0,7.0,19.0,6.0,13.0,22.0,2.0,18.0,10.0,9.0,16.0,75.0,23.0,14.0,65.0,45.0,58.0,38.0,11.0,43.0,28.0,131.0,27.0,62.0,44.0,133.0,134.0,5.0
863,0.0,1.0,2.0,5.0,9.0,3.0,8.0,22.0,7.0,19.0,4.0,6.0,11.0,28.0,13.0,59.0,29.0,49.0,20.0,110.0,10.0,12.0,45.0,143.0,5395.0,15.0,31.0,144.0,146.0,33.0
912,0.0,2.0,1.0,17.0,16.0,6.0,9.0,15.0,10.0,12.0,5.0,85.0,74.0,26.0,43.0,14.0,92.0,19.0,70.0,61.0,11.0,21.0,57.0,90.0,4619.0,41.0,63.0,89.0,91.0,4.0
961,0.0,3.0,2.0,22.0,7.0,1.0,18.0,10.0,5.0,67.0,29.0,48.0,26.0,28.0,20.0,27.0,49.0,63.0,169.0,33.0,6.0,31.0,826.0,82.0,186.0,15.0,51.0,84.0,86.0,13.0
1010,0.0,1.0,2.0,3.0,4.0,18.0,32.0,12.0,9.0,35.0,5.0,7.0,6.0,11.0,34.0,102.0,23.0,73.0,110.0,22.0,95.0,36.0,101.0,17.0,31.0,51.0,8.0,13.0,15.0,54.0
1059,0.0,1.0,2.0,3.0,5.0,211.0,30.0,12.0,62.0,42.0,4.0,13.0,8.0,44.0,59.0,111.0,11.0,6.0,367.0,34.0,47.0,7.0,9.0,21.0,69.0,20.0,57.0,22.0,24.0,63.0
1108,0.0,1.0,2.0,6.0,3.0,12.0,35.0,144.0,16.0,209.0,5.0,4.0,10.0,17.0,13.0,72.0,9.0,14.0,55.0,81.0,65.0,7.0,63.0,89.0,236.0,8.0,11.0,93.0,90.0,54.0
1157,0.0,1.0,2.0,4.0,3.0,239.0,15.0,77.0,53.0,21.0,7.0,5.0,10.0,12.0,19.0,79.0,34.0,8.0,83.0,18.0,49.0,20.0,236.0,31.0,2224.0,17.0,23.0,30.0,28.0,227.0
1206,0.0,1.0,3.0,2.0,5.0,16.0,21.0,7.0,43.0,76.0,10.0,6.0,18.0,32.0,79.0,91.0,40.0,4.0,425.0,95.0,106.0,19.0,8.0,85.0,2026.0,13.0,14.0,84.0,83.0,47.0
1255,0.0,1.0,2.0,3.0,4.0,35.0,38.0,6.0,51.0,84.0,14.0,5.0,8.0,13.0,31.0,160.0,37.0,10.0,265.0,17.0,60.0,7.0,28.0,23.0,18.0,21.0,12.0,26.0,25.0,43.0
1304,0.0,1.0,2.0,4.0,3.0,22.0,53.0,55.0,42.0,46.0,15.0,5.0,10.0,17.0,18.0,61.0,14.0,8.0,103.0,19.0,7.0,6.0,81.0,25.0,13.0,9.0,54.0,23.0,27.0,31.0
1353,0.0,1.0,2.0,5.0,3.0,37.0,118.0,32.0,15.0,48.0,4.0,13.0,10.0,20.0,24.0,19.0,38.0,9.0,97.0,85.0,58.0,11.0,39.0,42.0,14.0,16.0,18.0,41.0,43.0,35.0
1402,0.0,1.0,3.0,4.0,2.0,839.0,35.0,8.0,31.0,29.0,5.0,6.0,10.0,17.0,22.0,86.0,30.0,12.0,52.0,72.0,11.0,9.0,33.0,77.0,138.0,7.0,36.0,76.0,75.0,135.0
1451,0.0,1.0,4.0,5.0,2.0,23.0,11.0,2218.0,134.0,45.0,3.0,26.0,19.0,44.0,46.0,5609.0,12.0,21.0,53.0,83.0,10.0,9.0,35.0,155.0,56.0,8.0,18.0,156.0,154.0,17.0
1500,0.0,1.0,4.0,6.0,10.0,3.0,43.0,21.0,2.0,7.0,8.0,66.0,9.0,75.0,18.0,17.0,37.0,1190.0,5.0,26.0,19.0,1353.0,55.0,15.0,32.0,68.0,54.0,13.0,12.0,25.0
1549,0.0,1.0,2.0,4.0,7.0,6.0,21.0,5.0,3.0,10.0,39.0,9.0,8.0,57.0,28.0,12.0,27.0,142.0,26.0,37.0,51.0,107.0,23.0,15.0,11.0,75.0,20.0,14.0,17.0,46.0
1598,0.0,1.0,2.0,5.0,6.0,4.0,29.0,12.0,3.0,25.0,11.0,27.0,7.0,34.0,23.0,10.0,19.0,1452.0,21.0,33.0,208.0,778.0,140.0,18.0,30.0,40.0,8.0,17.0,14.0,47.0
1647,0.0,1.0,2.0,6.0,3.0,8.0,9.0,7.0,5.0,16.0,4.0,32.0,17.0,30.0,37.0,10.0,20.0,93.0,14.0,48.0,117.0,163.0,354.0,22.0,18.0,71.0,15.0,21.0,25.0,12.0
1696,0.0,1.0,11.0,2.0,4.0,41.0,23.0,32.0,3.0,12.0,170.0,31.0,18.0,51.0,47.0,95.0,25.0,50.0,30.0,27.0,106.0,642.0,75.0,6.0,42.0,43.0,15.0,7.0,8.0,352.0
1745,0.0,2.0,11.0,6.0,3.0,7.0,9.0,5.0,1.0,10.0,36.0,43.0,4.0,237.0,58.0,26.0,19.0,84.0,27.0,92.0,107.0,51.0,39.0,13.0,30.0,154.0,18.0,12.0,16.0,28.0
1794,0.0,2.0,4.0,5.0,8.0,3.0,14.0,9.0,1.0,11.0,47.0,20.0,10.0,30.0,21.0,26.0,19.0,99.0,45.0,16.0,31.0,12838.0,208.0,182.0,70.0,22.0,43.0,181.0,178.0,6.0
1843,0.0,2.0,1.0,4.0,16.0,9.0,8.0,25.0,3.0,5.0,15.0,27.0,6.0,30.0,11.0,12.0,26.0,397.0,22.0,14.0,77.0,190.0,160.0,19.0,55.0,217.0,52.0,21.0,18.0,32.0
1892,0.0,1.0,6.0,7.0,5.0,4.0,53.0,41.0,3.0,21.0,2.0,92.0,15.0,104.0,16.0,19.0,48.0,67.0,20.0,44.0,30.0,54.0,28.0,12.0,74.0,52.0,13.0,11.0,9.0,35.0
1941,0.0,1.0,9.0,7.0,5.0,3.0,2.0,32.0,6.0,4.0,50.0,64.0,8.0,20.0,18.0,38.0,39.0,15688.0,29.0,23.0,56.0,88.0,42.0,14.0,10.0,57.0,59.0,17.0,16.0,28.0
1990,2.0,1.0,5.0,8.0,7.0,0.0,21.0,6.0,15.0,39.0,4.0,16.0,20.0,13.0,83.0,14.0,11.0,35.0,55.0,50.0,28.0,87.0,748.0,122.0,3.0,61.0,69.0,118.0,120.0,10.0
2039,0.0,1.0,8.0,3.0,2.0,5.0,44.0,16.0,13.0,22.0,10.0,20.0,47.0,9.0,19.0,32.0,15.0,82.0,37.0,55.0,268.0,39.0,50.0,80.0,7.0,30.0,72.0,77.0,79.0,27.0
2088,0.0,1.0,18.0,4.0,10.0,3.0,9.0,13.0,17.0,5.0,43.0,12.0,19.0,6.0,22.0,8.0,75.0,89.0,16.0,7.0,46.0,79.0,3439.0,26.0,2.0,73.0,11.0,30.0,27.0,56.0
2137,0.0,1.0,8.0,2.0,5.0,4.0,43.0,48.0,27.0,13.0,16.0,10.0,34.0,12.0,32.0,31.0,30.0,69.0,654.0,81.0,58.0,6.0,41.0,17.0,3.0,57.0,25.0,19.0,18.0,56.0
2186,0.0,1.0,8.0,7.0,5.0,2.0,4.0,6.0,119.0,10.0,61.0,9.0,62.0,12.0,101.0,26.0,13.0,29.0,58.0,56.0,84.0,30.0,280.0,96.0,3.0,24.0,11.0,98.0,100.0,553.0
2235,0.0,1.0,6.0,4.0,8.0,2.0,15.0,80.0,5.0,7.0,49.0,11.0,19.0,9.0,29.0,75.0,14.0,733.0,44.0,16.0,65.0,69.0,165.0,85.0,3.0,22.0,18.0,86.0,84.0,41.0
