,SLFN11,XIST,KHDC1,RPSAP53,MX2,TSPYL5,HIC1,AP000783.1,KRT17P3,MAGEC2,AC124789.1,ZNF215,SMAP1,CTD-2203K17.1,SLFN12,Y_RNA,HNRNPUL1,AC093627.9,RP11-177C12.1,SPTBN2,TUBA3E,FHOD3,AC006050.2,INHBA,RP11-649A18.7,NDN,RPSAP47,LEPREL2,GPX1P1,RP11-834C11.4
9,0.0,94.0,9.0,11.0,130.0,1.0,210.0,17.0,6.0,191.0,15.0,26.0,36.0,166.0,2.0,1038.0,95.0,30.0,8.0,25.0,13.0,31.0,3.0,7.0,35.0,12.0,42.0,206.0,358.0,235.0
58,0.0,25.0,28.0,32.0,2.0,1.0,119.0,5.0,3.0,8.0,23.0,21.0,12.0,190.0,6.0,3501.0,43.0,11.0,13.0,17.0,123.0,155.0,88.0,9.0,214.0,10.0,57.0,103.0,316.0,45.0
107,0.0,169.0,26.0,19.0,3.0,1.0,189.0,11.0,12.0,16.0,51.0,23.0,36.0,141.0,2.0,470.0,20.0,28.0,18.0,7.0,22.0,9.0,30.0,4.0,91.0,6.0,57.0,103.0,173.0,183.0
156,0.0,997.0,4.0,24.0,71.0,1.0,485.0,7.0,11.0,37.0,15.0,261.0,58.0,160.0,18.0,234.0,263.0,14.0,17.0,10.0,52.0,94.0,34.0,67.0,81.0,41.0,46.0,48.0,561.0,98.0
205,0.0,60.0,4.0,22.0,14.0,1.0,177.0,18.0,7.0,19.0,23.0,32.0,13.0,97.0,3.0,230.0,29.0,25.0,21.0,8.0,24.0,39.0,17.0,2.0,58.0,12.0,51.0,103.0,493.0,108.0
254,0.0,6.0,13.0,30.0,24.0,2.0,385.0,79.0,9.0,4.0,16.0,7.0,40.0,92.0,10.0,3653.0,28.0,17.0,35.0,11.0,18.0,26.0,19.0,3.0,112.0,43.0,23.0,551.0,64.0,100.0
303,0.0,101.0,62.0,20.0,4.0,2.0,118.0,26.0,19.0,7.0,32.0,16.0,21.0,111.0,23.0,2856.0,5.0,48.0,52.0,12.0,13.0,9.0,15.0,3.0,42.0,10.0,89.0,55.0,300.0,95.0
352,0.0,270.0,16.0,5.0,28.0,1.0,95.0,3.0,10.0,23.0,20.0,17.0,11.0,648.0,4.0,476.0,27.0,121.0,9.0,25.0,49.0,6.0,79.0,21.0,62.0,7.0,45.0,447.0,2684.0,40.0
401,0.0,47.0,77.0,30.0,6.0,2.0,93.0,4.0,29.0,1.0,3.0,34.0,19.0,954.0,9.0,312.0,54.0,27.0,20.0,21.0,16.0,61.0,18.0,5.0,76.0,8.0,7.0,45.0,771.0,37.0
450,0.0,31.0,14.0,7.0,6.0,1.0,63.0,2.0,18.0,5.0,47.0,8.0,13.0,111.0,10.0,412.0,66.0,53.0,9.0,3.0,23.0,32.0,56.0,16.0,94.0,15.0,41.0,91.0,1102.0,179.0
499,0.0,1.0,2.0,4.0,42.0,6.0,25.0,12.0,9.0,19.0,24.0,11.0,30.0,33.0,22.0,3.0,21.0,17.0,54.0,55.0,15.0,56.0,100.0,34.0,8.0,57.0,7.0,79.0,52.0,156.0
548,0.0,3.0,1.0,2.0,19.0,8.0,14.0,11.0,9.0,39.0,32.0,10.0,25.0,37.0,17.0,16.0,55.0,44.0,24.0,252.0,7.0,27.0,68.0,66.0,20.0,4.0,81.0,110.0,29.0,205.0
597,0.0,4.0,2.0,8.0,20.0,3.0,5.0,12.0,18.0,1564.0,97.0,327.0,46.0,22.0,26.0,17.0,31.0,21.0,25.0,38.0,19.0,9.0,155.0,43.0,23.0,65.0,312.0,54.0,29.0,63.0
646,0.0,1.0,2.0,7.0,20.0,3.0,6.0,12.0,51.0,30.0,38.0,47.0,23.0,24.0,17.0,14.0,27.0,19.0,32.0,64.0,11.0,15.0,90.0,111.0,5.0,21.0,22.0,62.0,166.0,188.0
