,DNAH8_MUT,DPP6_DEL,LOC440970_DEL,GSTTP1_AMP,PRB1_AMP,LILRA6_DEL,LPA_AMP,LOC653786_DEL,LOC348120_AMP,USP32P1_AMP,GOLGA8DP_DEL,ARSB_DEL,NCOA7_DEL,LILRB3_DEL,CADM2_DEL,CROCC_DEL,FFAR3_DEL,NCOA3_MUT,SIRPB1_AMP,PDE4D_AMP,CCDC144A_AMP,FAM106CP_AMP,LRRC37A2_AMP,EYS_DEL,LRRK1_MUT,AATK_AMP,BCAS1_AMP,OR2T11_AMP,ARHGAP22_DEL,NSFP1_AMP
29,64.0,86.0,4.0,27.0,24.0,56.0,8.0,25.0,52.0,7.0,87.0,15.0,3.0,108.0,284.0,55.0,94.0,30.0,57.0,16.0,80.0,79.0,1091.0,9.0,348.0,0.0,10.0,332.0,78.0,1858.0
78,1.0,18.0,8.0,7.0,9.0,3.0,200.0,76.0,61.0,0.0,128.0,19.0,24.0,20.0,40.0,11.0,2019.0,21.0,2.0,22.0,14.0,15.0,531.0,1650.0,178.0,5.0,43.0,268.0,105.0,984.0
127,1.0,19.0,7.0,0.0,4.0,13.0,969.0,50.0,130.0,32.0,10.0,30.0,12.0,41.0,168.0,61.0,81.0,18.0,3.0,6.0,197.0,198.0,273.0,31.0,4849.0,2.0,99.0,6598.0,23.0,425.0
176,0.0,29.0,86.0,7.0,4.0,2.0,52.0,62.0,146.0,21.0,26.0,17.0,231.0,10.0,246.0,104.0,82.0,51.0,13.0,3.0,101.0,100.0,95.0,310.0,239.0,33.0,71.0,8.0,30.0,94.0
225,11.0,0.0,10.0,31.0,4.0,151.0,532.0,16.0,3.0,6.0,17.0,9.0,13.0,150.0,148.0,23.0,65.0,153.0,247.0,8.0,26.0,25.0,84.0,28.0,5130.0,18.0,514.0,30.0,12.0,103.0
274,2.0,130.0,9.0,4.0,12.0,3.0,459.0,327.0,1.0,440.0,230.0,19.0,18.0,15.0,402.0,8.0,20929.0,112.0,36.0,2425.0,441.0,442.0,44.0,22353.0,209.0,14.0,27.0,1067.0,92.0,57.0
323,6.0,0.0,3.0,41.0,1.0,2.0,75.0,136.0,47.0,19.0,188.0,4.0,28.0,9.0,209.0,12.0,387.0,88.0,8.0,13.0,84.0,85.0,11.0,472.0,611.0,7.0,147.0,40.0,31.0,18.0
372,0.0,13.0,3.0,7.0,1.0,5.0,15.0,10.0,72.0,19.0,50.0,6.0,24.0,16.0,355.0,11.0,90.0,79.0,14.0,26.0,97.0,98.0,70.0,469.0,478.0,4.0,52.0,75.0,21.0,93.0
421,2.0,1.0,8.0,0.0,15.0,4.0,17.0,23.0,31.0,13.0,26.0,7.0,16.0,12.0,204.0,3.0,928.0,22.0,809.0,52.0,44.0,43.0,19.0,38.0,180.0,5.0,14.0,220.0,10.0,28.0
470,3.0,2.0,0.0,16.0,10.0,1.0,9.0,106.0,118.0,24.0,13.0,56.0,11.0,7.0,348.0,61.0,247.0,20.0,215.0,5.0,108.0,107.0,26.0,84.0,304.0,6.0,179.0,50.0,29.0,47.0
519,44.0,24.0,8.0,0.0,23.0,25.0,22.0,17.0,16.0,1.0,12.0,64.0,49.0,72.0,4.0,34.0,10.0,21.0,203.0,31.0,3.0,2.0,79.0,63.0,46.0,71.0,13.0,36.0,98.0,126.0
568,24.0,21.0,12.0,0.0,29.0,164.0,40.0,22.0,28.0,119.0,4.0,258.0,60.0,458.0,20.0,15.0,37.0,7.0,50.0,9.0,200.0,201.0,42.0,2.0,135.0,147.0,8.0,36.0,117.0,61.0
617,30.0,14.0,23.0,0.0,31.0,2.0,6.0,28.0,47.0,69.0,15.0,79.0,11.0,29.0,20.0,25.0,471.0,64.0,216.0,244.0,140.0,141.0,46.0,8.0,48.0,152.0,67.0,26.0,150.0,74.0
666,4.0,3.0,5.0,0.0,26.0,14.0,9.0,10.0,74.0,8.0,27.0,57.0,34.0,40.0,1.0,98.0,84.0,13.0,54.0,17.0,20.0,19.0,85.0,18.0,67.0,212.0,52.0,51.0,66.0,149.0
715,5.0,0.0,3.0,2.0,92.0,39.0,9.0,70.0,13.0,19.0,25.0,63.0,84.0,89.0,17.0,35.0,48.0,38.0,26.0,40.0,102.0,101.0,104.0,6.0,34.0,91.0,16.0,52.0,50.0,167.0
764,0.0,7.0,1.0,11.0,216.0,14.0,734.0,10.0,138.0,218.0,9.0,23.0,27.0,28.0,74.0,8.0,1929.0,212.0,205.0,66.0,510.0,509.0,18.0,32.0,3083.0,208.0,110.0,15.0,323.0,26.0
813,5.0,90.0,6.0,2.0,63.0,21.0,150.0,20.0,8.0,27.0,4.0,44.0,1.0,61.0,24.0,70.0,30.0,18.0,9.0,31.0,60.0,59.0,77.0,3.0,13.0,136.0,28.0,29.0,52.0,130.0
862,3.0,51.0,184.0,0.0,44.0,29.0,33.0,133.0,24.0,1.0,9.0,31.0,88.0,30.0,2.0,101.0,73.0,22.0,35.0,41.0,4.0,5.0,151.0,14.0,17.0,510.0,20.0,153.0,76.0,220.0
911,91.0,5.0,1.0,38.0,36.0,115.0,0.0,12.0,3.0,19.0,15.0,178.0,29.0,262.0,11.0,33.0,30.0,4.0,778.0,35.0,6.0,7.0,167.0,56.0,18.0,130.0,23.0,472.0,148.0,303.0
960,56.0,204.0,0.0,20.0,25.0,15.0,49.0,1.0,22.0,147.0,2.0,202.0,34.0,36.0,8.0,140.0,35.0,5.0,92.0,12.0,276.0,275.0,10.0,59.0,44.0,879.0,48.0,1127.0,54.0,16.0
1009,20.0,22.0,45.0,23.0,37.0,108.0,4.0,0.0,27.0,9.0,3.0,26.0,10.0,310.0,12.0,44.0,38.0,32.0,365.0,33.0,7.0,8.0,15.0,501.0,83.0,99.0,91.0,35.0,25.0,18.0
1058,33.0,6.0,615.0,8.0,13.0,39.0,0.0,21.0,26.0,23.0,56.0,9.0,1.0,102.0,90.0,3475.0,45.0,61.0,125.0,115.0,25.0,24.0,58.0,129.0,14.0,36.0,91.0,22.0,19.0,68.0
1107,1.0,11.0,23.0,20.0,9.0,59.0,0.0,4.0,102.0,68.0,2.0,48.0,8.0,161.0,1333.0,44.0,204.0,17.0,55.0,109.0,199.0,200.0,14.0,14626.0,216.0,12.0,304.0,28.0,15.0,22.0
1156,52.0,6.0,5.0,19.0,85.0,57.0,0.0,2.0,77.0,92.0,12.0,91.0,8.0,137.0,50.0,123.0,33.0,38.0,89.0,24.0,108.0,107.0,13.0,110.0,87.0,72.0,143.0,29.0,28.0,20.0
1205,51.0,16.0,77.0,23.0,8.0,201.0,0.0,20.0,276.0,167.0,41.0,130.0,3.0,756.0,135.0,2463.0,14.0,36.0,57.0,19.0,156.0,157.0,21.0,153.0,160.0,12.0,96.0,15.0,35.0,22.0
1254,0.0,14.0,70.0,6.0,11.0,38.0,1.0,2.0,50.0,29.0,4.0,105.0,90.0,113.0,42.0,57.0,10.0,75.0,200.0,21.0,48.0,49.0,22.0,886.0,82.0,107.0,25.0,8.0,59.0,30.0
1303,51.0,0.0,36.0,35.0,81.0,56.0,1.0,11.0,12.0,4.0,18.0,44.0,7.0,55.0,82.0,54.0,123.0,135.0,2605.0,74.0,8.0,9.0,34.0,94.0,260.0,23.0,397.0,15.0,27.0,40.0
1352,3.0,1.0,28.0,9.0,20.0,25.0,0.0,14.0,4.0,100.0,6.0,49.0,5.0,103.0,66.0,111.0,10.0,47.0,104.0,23.0,34.0,35.0,73.0,20344.0,41.0,56.0,106.0,54.0,123.0,51.0
1401,8.0,5.0,17.0,4.0,310.0,60.0,0.0,6.0,33.0,28.0,22.0,24.0,1.0,144.0,72.0,233.0,190.0,12.0,323.0,136.0,40.0,41.0,18.0,52.0,63.0,20.0,96.0,78.0,27.0,21.0
1450,12.0,1.0,45.0,5.0,46.0,53.0,0.0,3.0,22.0,37.0,4.0,31.0,16.0,166.0,95.0,59.0,28.0,56.0,57.0,54.0,63.0,62.0,18.0,654.0,94.0,19.0,83.0,6.0,9.0,24.0
1499,231.0,173.0,151.0,5.0,16.0,215.0,1.0,11.0,514.0,192.0,14.0,37.0,58.0,749.0,107.0,179.0,56.0,7.0,41.0,6.0,358.0,359.0,10.0,98.0,1896.0,27.0,20.0,180.0,26.0,12.0
1548,12.0,1.0,100.0,11.0,23.0,19.0,4.0,43.0,0.0,16.0,28.0,7.0,92.0,63.0,21.0,122.0,3.0,51.0,8.0,13.0,25.0,24.0,83.0,15.0,31.0,54.0,55.0,20.0,41.0,112.0
1597,5.0,2.0,147.0,45.0,23.0,10.0,3.0,19.0,25.0,16.0,7.0,4.0,262.0,32.0,59.0,912.0,1.0,12.0,11.0,9.0,34.0,33.0,136.0,46.0,15.0,17.0,31.0,8.0,91.0,137.0
1646,20.0,40.0,1170.0,1.0,10.0,9.0,0.0,110.0,21.0,2.0,148.0,4.0,90.0,27.0,53.0,1478.0,22.0,68.0,14.0,54.0,5.0,6.0,50.0,23.0,7.0,11.0,19.0,15.0,25.0,55.0
1695,4.0,1.0,195.0,19.0,18.0,15.0,0.0,14.0,47.0,2.0,30.0,20.0,359.0,53.0,58.0,63.0,3.0,56.0,9.0,11.0,7.0,6.0,52.0,26.0,16.0,35.0,72.0,62.0,80.0,67.0
1744,27.0,18.0,35.0,23.0,50.0,108.0,1.0,17.0,4.0,0.0,67.0,8.0,38.0,109.0,10.0,114.0,13.0,110.0,99.0,16.0,2.0,3.0,268.0,9.0,205.0,14.0,73.0,25.0,60.0,318.0
1793,5.0,23.0,334.0,16.0,30.0,8.0,0.0,4.0,3.0,19.0,17.0,175.0,248.0,27.0,13.0,15.0,1.0,12.0,26.0,7.0,9.0,10.0,205.0,84.0,18.0,48.0,163.0,261.0,690.0,293.0
1842,14.0,15.0,164.0,6.0,86.0,10.0,1.0,13.0,32.0,2.0,19.0,7.0,73.0,34.0,0.0,157.0,11.0,25.0,91.0,95.0,5.0,4.0,102.0,51.0,49.0,9.0,28.0,296.0,101.0,158.0
