,hsa-miR-216a,hsa-miR-518b,hsa-miR-615-3p,hsa-miR-934,hsa-miR-9,hsa-miR-375,hsa-miR-323-3p,hsa-miR-671-3p,hsa-miR-1246,hsa-miR-671-5p,hsa-miR-139-5p,hsa-miR-24,hsa-miR-320d,hsa-miR-889,hsa-miR-1256,hsa-miR-1539,hsa-miR-205,hsa-miR-548c-5p,hsa-miR-329,hsa-miR-554,hsa-miR-1180,hsa-miR-1278,hsa-miR-1183,hsa-miR-634,hsa-miR-345,hsa-let-7e,hsa-miR-662,hsa-miR-339-5p,hsa-miR-2110,hsa-miR-384
1141,68.0,12.0,84.0,13.0,59.0,66.0,7.0,15.0,1.0,0.0,11.0,155.0,19.0,8.0,2.0,235.0,163.0,467.0,80.0,6.0,131.0,44.0,9.0,357.0,3.0,4.0,387.0,593.0,56.0,31.0
1190,45.0,37.0,275.0,1.0,15.0,7.0,5.0,6.0,4.0,18.0,11.0,175.0,25.0,13.0,2.0,10.0,567.0,72.0,99.0,112.0,163.0,85.0,62.0,492.0,0.0,8.0,104.0,337.0,150.0,96.0
1239,106.0,40.0,35.0,56.0,169.0,4.0,29.0,3.0,0.0,7.0,168.0,79.0,1.0,177.0,13.0,27.0,508.0,331.0,284.0,123.0,141.0,270.0,102.0,66.0,5.0,183.0,261.0,309.0,18.0,157.0
1288,5.0,22.0,13.0,9.0,112.0,96.0,487.0,20.0,23.0,177.0,1.0,35.0,81.0,376.0,43.0,33.0,214.0,49.0,46.0,39.0,101.0,221.0,57.0,133.0,6.0,60.0,265.0,71.0,51.0,91.0
1337,4.0,1.0,32.0,255.0,26.0,12.0,52.0,82.0,0.0,266.0,13.0,630.0,100.0,2.0,44.0,104.0,213.0,16.0,5.0,63.0,66.0,87.0,3.0,219.0,11.0,21.0,31.0,246.0,39.0,72.0
1386,216.0,1.0,363.0,509.0,5.0,18.0,155.0,41.0,0.0,7.0,78.0,267.0,149.0,47.0,15.0,6.0,342.0,77.0,58.0,24.0,108.0,444.0,55.0,33.0,21.0,123.0,224.0,109.0,13.0,172.0
1435,280.0,93.0,58.0,452.0,18.0,46.0,182.0,17.0,4.0,262.0,50.0,14.0,496.0,8.0,15.0,3.0,72.0,258.0,37.0,5.0,138.0,192.0,7.0,131.0,11.0,203.0,83.0,19.0,533.0,590.0
1484,6.0,8.0,32.0,5.0,0.0,95.0,7.0,328.0,501.0,34.0,15.0,53.0,4.0,1.0,230.0,152.0,3.0,250.0,259.0,73.0,12.0,30.0,241.0,22.0,558.0,19.0,14.0,148.0,326.0,43.0
1533,2.0,0.0,109.0,10.0,1.0,5.0,21.0,189.0,193.0,116.0,209.0,157.0,11.0,229.0,15.0,182.0,46.0,532.0,43.0,49.0,564.0,310.0,17.0,8.0,94.0,196.0,527.0,294.0,502.0,9.0
1582,12.0,7.0,48.0,3.0,5.0,290.0,0.0,214.0,215.0,56.0,101.0,299.0,2.0,38.0,102.0,79.0,6.0,224.0,321.0,183.0,10.0,154.0,112.0,119.0,49.0,549.0,535.0,62.0,411.0,94.0
