,ACOT1_DEL,HEATR4_DEL,HLA-DRB6_AMP,LINC00226_AMP,TAG_DEL,PRSS2_DEL,PRSS3P2_DEL,OR51A2_DEL,GSTT1_AMP,ADAM5_DEL,LOC391322_AMP,ADAM3A_DEL,HCG4B_DEL,GSTTP2_AMP,BTNL8_DEL,HERC2P2_AMP,SIRPB1_AMP,BMPR2_AMP,FRMPD2P1_AMP,UPK3B_AMP,DEFA3_AMP,SCAPER_DEL,MIR548AI_DEL,REREP3_DEL,KIAA2022_MUT,LOC727924_DEL,TNK2_MUT,CES1_AMP,OR2T27_DEL,SNX29_DEL
1402,1.0,0.0,2.0,23.0,5.0,15.0,16.0,51.0,6.0,11.0,7.0,10.0,45.0,4.0,81.0,12.0,49.0,13.0,192.0,8.0,25.0,27.0,31.0,30.0,24.0,3.0,75.0,50.0,14.0,34.0
1451,25.0,27.0,44.0,4.0,2.0,52.0,51.0,5.0,6.0,21.0,7.0,24.0,262.0,0.0,207.0,13.0,41.0,1.0,91.0,35.0,26.0,83.0,168.0,8.0,61.0,3.0,102.0,80.0,28.0,36.0
1500,1.0,3.0,9.0,4.0,10.0,1910.0,1911.0,57.0,92.0,16.0,93.0,11.0,12.0,101.0,29.0,23.0,20.0,53.0,124.0,32.0,36.0,5.0,6.0,19.0,44.0,2.0,17.0,15.0,137.0,35.0
1549,5.0,6.0,140.0,2.0,27.0,2267.0,2268.0,63.0,57.0,17.0,58.0,15.0,61.0,56.0,4.0,39.0,54.0,32.0,42.0,22.0,16.0,0.0,43.0,38.0,10.0,1.0,29.0,25.0,44.0,13.0
1598,3.0,4.0,34.0,1.0,28.0,2793.0,2794.0,65.0,19.0,16.0,18.0,12.0,20.0,9.0,24.0,10.0,88.0,29.0,341.0,5.0,33.0,0.0,17.0,147.0,14.0,7.0,47.0,115.0,36.0,11.0
1647,17.0,23.0,11.0,28.0,20.0,15328.0,15329.0,21.0,58.0,32.0,59.0,39.0,75.0,54.0,2.0,6.0,82.0,86.0,1109.0,9.0,18.0,7.0,35.0,61.0,112.0,1.0,34.0,227.0,24.0,27.0
1696,64.0,78.0,51.0,9.0,0.0,258.0,259.0,10.0,27.0,85.0,26.0,77.0,40.0,41.0,5.0,16.0,62.0,59.0,42.0,12.0,18.0,1.0,2.0,49.0,44.0,4.0,31.0,35.0,43.0,20.0
1745,53.0,59.0,51.0,6.0,85.0,212.0,211.0,16.0,47.0,238.0,48.0,213.0,15.0,104.0,5.0,36.0,11.0,319.0,275.0,7.0,19.0,18.0,17.0,75.0,26.0,1.0,12.0,34.0,14.0,4.0
1794,3.0,4.0,27.0,1.0,9.0,3647.0,3648.0,21.0,22.0,7.0,23.0,6.0,24.0,26.0,31.0,33.0,96.0,78.0,60.0,8.0,17.0,0.0,20.0,45.0,13.0,5.0,11.0,79.0,25.0,28.0
1843,10.0,11.0,48.0,2.0,42.0,19170.0,19169.0,8.0,53.0,22.0,52.0,17.0,40.0,54.0,5.0,0.0,18.0,60.0,20.0,13.0,24.0,15.0,33.0,35.0,12.0,4.0,98.0,62.0,28.0,19.0
1892,46.0,47.0,38.0,5.0,4.0,23378.0,23379.0,8.0,33.0,126.0,32.0,111.0,12.0,42.0,6.0,240.0,173.0,96.0,13.0,10.0,26.0,21.0,7.0,25.0,19.0,11.0,31.0,76.0,37.0,43.0
1941,146.0,158.0,33.0,0.0,3.0,16749.0,16748.0,19.0,54.0,28.0,55.0,27.0,85.0,64.0,1.0,15.0,316.0,37.0,32.0,9.0,11.0,23.0,14.0,99.0,67.0,6.0,39.0,47.0,5.0,20.0
1990,218.0,261.0,26.0,24.0,3.0,13.0,12.0,43.0,4.0,10.0,5.0,8.0,143.0,2.0,16.0,71.0,34.0,9.0,18.0,67.0,11.0,65.0,419.0,62.0,98.0,27.0,222.0,30.0,53.0,6.0
