,hsa-miR-296-5p,hsa-miR-105,hsa-miR-26a,hsa-miR-483-3p,hsa-miR-892a,hsa-miR-27b,hsa-miR-711,hsa-miR-616,hsa-miR-556-3p,hsa-miR-924,hsa-miR-331-5p,hsa-miR-34a,hsa-miR-744,hsa-miR-222,hsa-miR-550,hsa-miR-574-5p,hsa-miR-1977,hsa-miR-1307,hsa-miR-323-5p,hsa-miR-504,hsa-miR-143,hsa-miR-1236,hsa-miR-34c-5p,hsa-miR-645,hsa-miR-383,kshv-miR-K12-7,hsv2-miR-H2,ebv-miR-BART20-5p,hsa-miR-223,hsa-miR-220b
16,0.0,1.0,9.0,3.0,8.0,37.0,13.0,40.0,46.0,28.0,6.0,4.0,84.0,21.0,11.0,31.0,7.0,29.0,60.0,36.0,41.0,55.0,5.0,30.0,33.0,2.0,169.0,76.0,119.0,49.0
65,0.0,2.0,6.0,1.0,14.0,28.0,34.0,15.0,16.0,17.0,3.0,12.0,82.0,11.0,8.0,5.0,9.0,60.0,35.0,27.0,20.0,23.0,19.0,13.0,139.0,4.0,26.0,32.0,108.0,25.0
114,0.0,9.0,6.0,3.0,4.0,187.0,63.0,14.0,7.0,10.0,1.0,8.0,35.0,17.0,15.0,5.0,92.0,37.0,46.0,18.0,20.0,13.0,11.0,12.0,72.0,2.0,31.0,114.0,211.0,47.0
163,0.0,4.0,3.0,14.0,17.0,10.0,56.0,39.0,21.0,15.0,26.0,1.0,34.0,32.0,6.0,37.0,9.0,18.0,36.0,71.0,19.0,2.0,28.0,43.0,23.0,5.0,13.0,12.0,49.0,24.0
212,2.0,9.0,0.0,5.0,1.0,10.0,42.0,12.0,24.0,41.0,8.0,3.0,90.0,25.0,116.0,16.0,21.0,28.0,17.0,11.0,34.0,22.0,4.0,19.0,58.0,7.0,33.0,13.0,74.0,36.0
261,0.0,2.0,6.0,13.0,3.0,9.0,110.0,14.0,7.0,133.0,10.0,5.0,224.0,19.0,4.0,11.0,17.0,31.0,25.0,21.0,74.0,15.0,29.0,33.0,69.0,1.0,145.0,34.0,124.0,30.0
310,0.0,1.0,13.0,8.0,7.0,3.0,67.0,22.0,18.0,20.0,2.0,5.0,84.0,4.0,12.0,24.0,10.0,108.0,48.0,15.0,17.0,14.0,9.0,37.0,28.0,11.0,83.0,32.0,58.0,26.0
359,0.0,1.0,5.0,6.0,2.0,3.0,31.0,9.0,16.0,11.0,7.0,12.0,146.0,13.0,32.0,21.0,20.0,10.0,39.0,22.0,23.0,30.0,44.0,8.0,62.0,14.0,92.0,19.0,68.0,18.0
408,1.0,0.0,12.0,9.0,3.0,19.0,17.0,16.0,34.0,40.0,2.0,10.0,36.0,51.0,5.0,4.0,31.0,52.0,38.0,41.0,20.0,18.0,22.0,30.0,32.0,13.0,14.0,57.0,61.0,50.0
457,0.0,6.0,2.0,1.0,9.0,20.0,22.0,21.0,4.0,15.0,10.0,8.0,13.0,88.0,42.0,61.0,5.0,27.0,14.0,19.0,38.0,30.0,7.0,99.0,34.0,3.0,52.0,36.0,59.0,26.0
506,14.0,7.0,5.0,4.0,3.0,1.0,52.0,11.0,0.0,17.0,34.0,31.0,8.0,20.0,19.0,2.0,18.0,16.0,23.0,67.0,6.0,22.0,43.0,51.0,191.0,39.0,21.0,28.0,9.0,24.0
555,0.0,4.0,5.0,1.0,14.0,11.0,6.0,10.0,38.0,8.0,18.0,2.0,17.0,3.0,77.0,28.0,60.0,7.0,15.0,196.0,9.0,29.0,93.0,21.0,209.0,23.0,56.0,12.0,16.0,13.0
604,2.0,7.0,9.0,1.0,24.0,13.0,132.0,4.0,0.0,19.0,8.0,11.0,22.0,3.0,54.0,15.0,43.0,10.0,28.0,106.0,16.0,76.0,70.0,96.0,109.0,14.0,20.0,29.0,35.0,32.0
653,0.0,8.0,1.0,4.0,43.0,15.0,6.0,9.0,2.0,17.0,12.0,3.0,19.0,25.0,89.0,13.0,28.0,11.0,18.0,69.0,26.0,54.0,10.0,5.0,80.0,37.0,16.0,95.0,23.0,38.0
702,2.0,1.0,6.0,23.0,104.0,35.0,8.0,0.0,9.0,3.0,20.0,42.0,26.0,31.0,12.0,10.0,14.0,5.0,19.0,60.0,4.0,99.0,54.0,37.0,106.0,7.0,15.0,46.0,59.0,24.0
751,1.0,10.0,0.0,4.0,15.0,18.0,20.0,2.0,9.0,43.0,21.0,23.0,61.0,6.0,22.0,8.0,34.0,11.0,12.0,140.0,32.0,24.0,79.0,7.0,104.0,41.0,48.0,13.0,31.0,33.0
800,5.0,14.0,4.0,1.0,7.0,12.0,36.0,0.0,3.0,15.0,2.0,40.0,8.0,19.0,18.0,9.0,26.0,16.0,27.0,91.0,10.0,39.0,20.0,11.0,99.0,46.0,6.0,44.0,22.0,55.0
849,10.0,12.0,5.0,9.0,41.0,1.0,25.0,6.0,11.0,21.0,17.0,7.0,8.0,4.0,2.0,0.0,96.0,3.0,23.0,58.0,19.0,16.0,30.0,28.0,85.0,46.0,24.0,36.0,38.0,57.0
898,0.0,4.0,10.0,5.0,13.0,14.0,7.0,3.0,1.0,19.0,17.0,69.0,37.0,24.0,211.0,2.0,30.0,11.0,8.0,224.0,21.0,61.0,15.0,9.0,51.0,6.0,32.0,35.0,63.0,42.0
947,0.0,3.0,2.0,19.0,10.0,6.0,7.0,5.0,1.0,11.0,16.0,18.0,23.0,8.0,15.0,28.0,12.0,4.0,14.0,93.0,34.0,45.0,68.0,17.0,56.0,59.0,27.0,77.0,21.0,35.0
996,0.0,7.0,16.0,11.0,13.0,1.0,14.0,19.0,4.0,9.0,36.0,2.0,28.0,12.0,10.0,5.0,32.0,8.0,62.0,3.0,6.0,21.0,61.0,47.0,17.0,105.0,53.0,33.0,42.0,87.0
1045,3.0,12.0,11.0,8.0,14.0,0.0,1.0,31.0,10.0,17.0,4.0,15.0,7.0,5.0,9.0,35.0,18.0,2.0,41.0,25.0,16.0,6.0,23.0,51.0,30.0,26.0,112.0,21.0,13.0,79.0
1094,2.0,17.0,9.0,6.0,8.0,0.0,36.0,13.0,1.0,27.0,4.0,3.0,105.0,7.0,58.0,11.0,21.0,28.0,103.0,24.0,10.0,35.0,106.0,168.0,38.0,47.0,43.0,46.0,48.0,20.0
1143,2.0,4.0,17.0,5.0,28.0,19.0,12.0,49.0,1.0,8.0,16.0,15.0,3.0,6.0,31.0,13.0,21.0,0.0,51.0,14.0,7.0,9.0,202.0,94.0,34.0,103.0,43.0,11.0,18.0,57.0
1192,1.0,13.0,14.0,6.0,3.0,0.0,44.0,11.0,9.0,8.0,30.0,27.0,75.0,4.0,5.0,12.0,17.0,10.0,95.0,28.0,7.0,15.0,108.0,205.0,41.0,46.0,64.0,2.0,16.0,25.0
