,PAI-1,VAV1,Caveolin-1,YAP_pS127,VEGFR2,p62 Lck ligand,EGFR,NF2,alpha-Catenin,PTEN,Collagen_VI,beta-Catenin,Annexin 1,E-Cadherin,Rb,Fibronectin,MAPK_pT202_Y204,Smad4,Akt_pS473,PEA15,Paxillin,RAD51,TAZ,Rb_pS807_S811,NF-kB-p65_pS536,FRA1,Transglutaminase,B-Raf,c-Jun_pS73,SCD1
4,1.0,0.0,5.0,2.0,4.0,8.0,3.0,7.0,48.0,14.0,85.0,57.0,6.0,17.0,22.0,40.0,9.0,50.0,19.0,80.0,76.0,29.0,32.0,24.0,23.0,66.0,45.0,67.0,12.0,10.0
53,2.0,0.0,1.0,3.0,9.0,25.0,5.0,12.0,11.0,59.0,49.0,34.0,7.0,32.0,10.0,53.0,6.0,46.0,13.0,133.0,27.0,30.0,16.0,4.0,28.0,115.0,21.0,24.0,15.0,8.0
102,1.0,0.0,2.0,4.0,12.0,3.0,8.0,10.0,16.0,63.0,40.0,51.0,5.0,7.0,11.0,49.0,20.0,53.0,24.0,58.0,25.0,15.0,82.0,6.0,162.0,30.0,33.0,67.0,31.0,14.0
151,1.0,0.0,3.0,2.0,11.0,9.0,4.0,6.0,18.0,51.0,94.0,74.0,12.0,5.0,19.0,30.0,58.0,23.0,7.0,25.0,29.0,10.0,20.0,38.0,56.0,145.0,8.0,21.0,17.0,26.0
200,1.0,0.0,4.0,2.0,37.0,9.0,10.0,32.0,48.0,74.0,64.0,27.0,7.0,3.0,18.0,38.0,5.0,51.0,6.0,118.0,41.0,28.0,43.0,21.0,23.0,68.0,46.0,17.0,13.0,15.0
249,1.0,0.0,3.0,2.0,4.0,9.0,5.0,25.0,7.0,51.0,11.0,41.0,19.0,16.0,12.0,18.0,10.0,54.0,48.0,69.0,23.0,8.0,21.0,13.0,71.0,43.0,64.0,39.0,37.0,15.0
298,1.0,0.0,3.0,2.0,8.0,10.0,4.0,27.0,9.0,59.0,40.0,36.0,6.0,14.0,12.0,11.0,7.0,46.0,33.0,30.0,102.0,17.0,22.0,21.0,34.0,44.0,25.0,19.0,5.0,20.0
347,0.0,1.0,2.0,3.0,6.0,28.0,8.0,14.0,27.0,9.0,34.0,70.0,10.0,12.0,64.0,72.0,21.0,55.0,22.0,74.0,4.0,36.0,16.0,62.0,11.0,30.0,83.0,51.0,5.0,63.0
396,0.0,2.0,1.0,3.0,16.0,36.0,12.0,18.0,14.0,51.0,9.0,8.0,6.0,7.0,44.0,107.0,4.0,21.0,13.0,43.0,45.0,19.0,41.0,5.0,37.0,78.0,32.0,30.0,15.0,11.0
445,1.0,0.0,2.0,3.0,8.0,4.0,5.0,42.0,16.0,56.0,20.0,38.0,10.0,34.0,33.0,72.0,7.0,39.0,27.0,11.0,95.0,14.0,50.0,12.0,6.0,19.0,22.0,67.0,57.0,73.0
494,0.0,1.0,2.0,4.0,7.0,3.0,5.0,20.0,6.0,12.0,19.0,69.0,75.0,9.0,81.0,14.0,147.0,47.0,103.0,73.0,48.0,132.0,8.0,27.0,10.0,28.0,13.0,59.0,44.0,52.0
