,TSPYL5,LEPREL2,EMR1,LDOC1,AGAP4,PXDN,ZNF229,DUSP23,PTPN13,WNT5B,WNK4,RPS6KA6,ZYG11A,ZNF347,S100A4,ZNF518B,SH3BP1,ENPP2,C1orf233,ZNF502,TTC31,VWDE,CTF1,AC005624.2,ZNF90,OSR1,HBQ1,ZNF239,MFAP2,RP11-561C5.4
1724,1.0,3.0,0.0,2.0,11.0,5.0,6.0,4.0,7.0,23.0,178.0,9.0,14.0,12.0,15.0,141.0,20.0,44.0,35.0,45.0,42.0,24.0,151.0,66.0,10.0,54.0,16.0,36.0,107.0,87.0
1773,5.0,0.0,16.0,1.0,18.0,4.0,3.0,2.0,26.0,55.0,217.0,28.0,428.0,11.0,49.0,807.0,8.0,14.0,7.0,12.0,34.0,20.0,29.0,141.0,33.0,97.0,32.0,17.0,23.0,31.0
1822,2.0,0.0,5.0,1.0,11.0,12.0,27.0,6.0,125.0,3.0,119.0,23.0,50.0,8.0,20.0,320.0,47.0,15.0,7.0,844.0,24.0,186.0,22.0,30.0,44.0,73.0,63.0,206.0,836.0,40.0
1871,0.0,1.0,2.0,5.0,12.0,3.0,11.0,4.0,8.0,10.0,141.0,31.0,85.0,23.0,6.0,744.0,13.0,36.0,18.0,852.0,63.0,184.0,97.0,28.0,101.0,76.0,21.0,66.0,440.0,317.0
1920,1.0,0.0,4.0,2.0,23.0,5.0,3.0,17.0,52.0,8.0,272.0,9.0,37.0,13.0,6.0,74.0,18.0,47.0,11.0,21.0,132.0,40.0,85.0,114.0,46.0,65.0,15.0,60.0,45.0,87.0
1969,5.0,0.0,1.0,28.0,2.0,9.0,60.0,4.0,7.0,6.0,23.0,14.0,50.0,48.0,158.0,420.0,118.0,84.0,12.0,101.0,163.0,105.0,83.0,51.0,75.0,149.0,423.0,58.0,86.0,16.0
2018,3.0,0.0,1.0,2.0,4.0,15.0,21.0,17.0,14.0,5.0,10.0,51.0,20.0,16.0,742.0,271.0,34.0,114.0,42.0,129.0,57.0,33.0,340.0,124.0,12.0,120.0,104.0,18.0,37.0,67.0
2067,0.0,1.0,4.0,2.0,12.0,9.0,49.0,5.0,3.0,17.0,206.0,34.0,8.0,16.0,343.0,457.0,111.0,42.0,35.0,87.0,269.0,53.0,103.0,1024.0,23.0,15.0,59.0,33.0,57.0,26.0
2116,2.0,0.0,3.0,1.0,19.0,20.0,193.0,10.0,9.0,27.0,5.0,6.0,26.0,42.0,87.0,226.0,132.0,35.0,65.0,288.0,63.0,80.0,184.0,62.0,11.0,18.0,148.0,112.0,14.0,57.0
2165,2.0,3.0,1.0,0.0,10.0,12.0,27.0,4.0,5.0,16.0,31.0,6.0,8.0,43.0,418.0,262.0,47.0,26.0,21.0,18.0,116.0,13.0,58.0,461.0,38.0,15.0,213.0,91.0,7.0,184.0
2214,4.0,0.0,1.0,3.0,2.0,5.0,65.0,7.0,19.0,10.0,14.0,8.0,34.0,42.0,167.0,128.0,31.0,71.0,455.0,165.0,163.0,13.0,237.0,398.0,25.0,112.0,179.0,17.0,63.0,22.0
