,C34:4 PC,inositol,uridine,GABA,serotonin,uracil,malondialdehyde,alpha-glycerophosphate,2-deoxycytidine,3-phosphoglycerate,creatine,butyrylcarnitine/isobutyrylcarnitine,2-deoxyadenosine,beta-alanine,urate,cotinine,creatinine,asparagine,cystathionine,phosphocreatine,palmitoylcarnitine,DHAP/glyceraldehyde 3P,glutamine,isocitrate,C56:5 TAG,C16:0 LPE,pyroglutamic acid,C22:6 CE,sarcosine,hypoxanthine
3647,1.0,17.0,4.0,13.0,15.0,0.0,12.0,35.0,29.0,9.0,16.0,53.0,18.0,14.0,40.0,21.0,31.0,5.0,24.0,7.0,6.0,10.0,49.0,28.0,27.0,26.0,25.0,48.0,54.0,57.0
3696,3.0,1.0,18.0,0.0,4.0,5.0,25.0,16.0,2.0,9.0,14.0,8.0,22.0,55.0,31.0,7.0,15.0,6.0,33.0,63.0,28.0,20.0,42.0,44.0,35.0,10.0,19.0,13.0,30.0,12.0
3745,24.0,1.0,9.0,0.0,3.0,4.0,21.0,13.0,2.0,22.0,10.0,19.0,18.0,20.0,39.0,8.0,15.0,26.0,34.0,28.0,31.0,5.0,7.0,11.0,37.0,29.0,53.0,50.0,12.0,16.0
3794,8.0,1.0,60.0,0.0,14.0,12.0,17.0,2.0,20.0,4.0,29.0,27.0,42.0,7.0,15.0,5.0,50.0,33.0,19.0,55.0,37.0,6.0,13.0,25.0,30.0,11.0,38.0,56.0,18.0,3.0
3843,4.0,0.0,12.0,1.0,17.0,3.0,11.0,7.0,6.0,13.0,14.0,22.0,21.0,16.0,35.0,26.0,10.0,20.0,30.0,37.0,5.0,55.0,36.0,25.0,40.0,9.0,32.0,44.0,23.0,8.0
3892,3.0,1.0,6.0,13.0,5.0,0.0,7.0,29.0,2.0,15.0,12.0,25.0,33.0,35.0,8.0,22.0,20.0,42.0,11.0,30.0,26.0,16.0,21.0,4.0,36.0,24.0,45.0,39.0,53.0,17.0
3941,8.0,0.0,5.0,6.0,3.0,1.0,2.0,29.0,21.0,28.0,9.0,43.0,53.0,25.0,4.0,60.0,39.0,14.0,24.0,37.0,38.0,23.0,42.0,36.0,20.0,57.0,11.0,17.0,16.0,56.0
3990,0.0,1.0,3.0,6.0,2.0,12.0,15.0,20.0,8.0,40.0,19.0,36.0,35.0,9.0,63.0,7.0,17.0,16.0,10.0,62.0,22.0,5.0,13.0,59.0,24.0,23.0,25.0,4.0,14.0,42.0
4039,2.0,1.0,3.0,4.0,6.0,0.0,15.0,5.0,19.0,32.0,43.0,16.0,20.0,7.0,14.0,60.0,28.0,50.0,51.0,38.0,40.0,25.0,18.0,49.0,47.0,9.0,57.0,12.0,13.0,26.0
4088,0.0,1.0,7.0,10.0,12.0,2.0,25.0,6.0,3.0,18.0,17.0,22.0,13.0,4.0,16.0,30.0,33.0,14.0,8.0,63.0,23.0,26.0,21.0,27.0,38.0,5.0,9.0,11.0,43.0,53.0
4137,1.0,0.0,2.0,12.0,6.0,5.0,3.0,7.0,10.0,25.0,27.0,29.0,41.0,62.0,14.0,47.0,38.0,4.0,57.0,58.0,11.0,40.0,63.0,37.0,18.0,60.0,13.0,21.0,8.0,50.0
4186,0.0,2.0,1.0,6.0,25.0,8.0,4.0,5.0,14.0,10.0,9.0,7.0,11.0,22.0,42.0,13.0,61.0,3.0,23.0,64.0,30.0,21.0,46.0,44.0,26.0,20.0,19.0,16.0,15.0,31.0
4235,0.0,2.0,3.0,5.0,4.0,1.0,6.0,9.0,17.0,46.0,8.0,20.0,50.0,10.0,30.0,51.0,42.0,7.0,14.0,61.0,31.0,49.0,41.0,21.0,27.0,23.0,15.0,38.0,32.0,12.0
4284,1.0,0.0,2.0,3.0,4.0,12.0,7.0,31.0,6.0,10.0,33.0,13.0,35.0,28.0,61.0,19.0,17.0,8.0,18.0,30.0,9.0,26.0,57.0,60.0,23.0,45.0,5.0,36.0,55.0,32.0
4333,0.0,4.0,1.0,2.0,43.0,6.0,7.0,14.0,9.0,27.0,15.0,12.0,8.0,52.0,48.0,26.0,28.0,55.0,10.0,25.0,19.0,32.0,42.0,56.0,44.0,47.0,13.0,16.0,5.0,23.0
4382,1.0,6.0,2.0,4.0,45.0,0.0,10.0,11.0,35.0,13.0,36.0,8.0,3.0,26.0,15.0,30.0,50.0,32.0,5.0,53.0,34.0,23.0,47.0,20.0,57.0,44.0,7.0,27.0,17.0,62.0
4431,0.0,7.0,2.0,24.0,22.0,11.0,10.0,9.0,28.0,12.0,14.0,1.0,3.0,53.0,26.0,23.0,6.0,18.0,48.0,49.0,36.0,47.0,61.0,60.0,30.0,55.0,19.0,35.0,50.0,37.0
4480,0.0,1.0,46.0,20.0,4.0,34.0,9.0,2.0,48.0,18.0,7.0,33.0,5.0,30.0,19.0,11.0,35.0,23.0,27.0,10.0,41.0,28.0,29.0,15.0,16.0,6.0,42.0,39.0,38.0,25.0
4529,2.0,9.0,29.0,14.0,13.0,40.0,1.0,4.0,15.0,17.0,30.0,0.0,25.0,39.0,10.0,8.0,18.0,44.0,7.0,5.0,24.0,42.0,32.0,47.0,22.0,52.0,11.0,20.0,12.0,34.0
4578,5.0,2.0,16.0,28.0,4.0,45.0,50.0,3.0,55.0,9.0,43.0,10.0,8.0,7.0,22.0,47.0,41.0,49.0,27.0,1.0,40.0,18.0,33.0,61.0,14.0,46.0,11.0,20.0,32.0,34.0
4627,0.0,1.0,20.0,27.0,42.0,7.0,31.0,4.0,11.0,10.0,6.0,15.0,3.0,13.0,24.0,17.0,51.0,19.0,33.0,5.0,38.0,62.0,48.0,59.0,26.0,53.0,8.0,32.0,34.0,55.0
4676,4.0,1.0,19.0,43.0,23.0,21.0,61.0,0.0,20.0,2.0,33.0,32.0,22.0,36.0,63.0,9.0,30.0,52.0,27.0,14.0,42.0,12.0,39.0,38.0,25.0,29.0,3.0,51.0,35.0,55.0
4725,2.0,1.0,45.0,22.0,43.0,11.0,38.0,30.0,37.0,39.0,3.0,19.0,10.0,35.0,18.0,14.0,7.0,33.0,31.0,15.0,49.0,8.0,53.0,25.0,16.0,61.0,34.0,47.0,26.0,50.0
4774,2.0,6.0,18.0,9.0,45.0,48.0,8.0,0.0,20.0,1.0,22.0,10.0,3.0,30.0,65.0,35.0,13.0,28.0,46.0,23.0,11.0,63.0,61.0,44.0,51.0,26.0,14.0,52.0,58.0,19.0
4823,0.0,2.0,28.0,18.0,33.0,39.0,19.0,3.0,54.0,8.0,11.0,9.0,27.0,23.0,6.0,32.0,10.0,26.0,4.0,20.0,31.0,51.0,45.0,47.0,5.0,30.0,15.0,14.0,42.0,48.0
4872,2.0,1.0,10.0,26.0,15.0,16.0,27.0,0.0,33.0,7.0,18.0,8.0,36.0,49.0,52.0,4.0,14.0,34.0,5.0,17.0,21.0,65.0,57.0,41.0,47.0,48.0,9.0,66.0,55.0,62.0
