,BRAF_MUT,BRAF.V600E_MUT,KRAS_MUT,KRAS.G12_13_MUT,BRAF.MC_MUT,TTN_MUT,KIAA1217_DEL,FAM21A_DEL,HLA-H_DEL,NRAS_MUT,MIR548AI_DEL,RHD_DEL,CDC73_AMP,ZNF423_MUT,FAM35B_DEL,TNK2_MUT,FAM66A_DEL,NBPF16_DEL,UNC13C_MUT,LOC728875_DEL,LINC00221_DEL,SORD_AMP,MITF_AMP,HLA-DRB1_AMP,PUS7_DEL,LINC00226_AMP,MACROD2_AMP,CFHR3_AMP,ATG10_DEL,LGALS9C_DEL
3655,0.0,1.0,2.0,7.0,4.0,3.0,12.0,6.0,5.0,10.0,9.0,51.0,65.0,59.0,11.0,19.0,21.0,69.0,66.0,526.0,17.0,743.0,20.0,8.0,30.0,26.0,74.0,2337.0,330.0,16.0
3704,0.0,2.0,3.0,5.0,6.0,244.0,4.0,1.0,7.0,9.0,23.0,36.0,192.0,48.0,8.0,15.0,12.0,10.0,55.0,263.0,11.0,3918.0,24.0,13.0,45.0,97.0,87.0,80.0,54.0,14.0
3753,0.0,2.0,5.0,7.0,6.0,21.0,3.0,1.0,8.0,22.0,4.0,240.0,38.0,28.0,26.0,15.0,16.0,19.0,41.0,42.0,17.0,23.0,18.0,35.0,20.0,48.0,31.0,24.0,75.0,103.0
3802,0.0,1.0,2.0,7.0,3.0,12.0,6.0,4.0,5.0,50.0,22.0,48.0,45.0,11.0,25.0,63.0,8.0,18.0,26.0,10.0,9.0,11923.0,30.0,40.0,27.0,49.0,32.0,1325.0,38.0,67.0
3851,0.0,1.0,6.0,11.0,5.0,27.0,2.0,3.0,13.0,14.0,7.0,39.0,272.0,22.0,8.0,15.0,21.0,12.0,37.0,23.0,42.0,2433.0,35.0,25.0,26.0,18.0,90.0,543.0,128.0,31.0
3900,0.0,2.0,3.0,4.0,6.0,10.0,5.0,1.0,7.0,60.0,27.0,24.0,25.0,28.0,105.0,17.0,19.0,8.0,71.0,461.0,150.0,32.0,26.0,9.0,335.0,18.0,14.0,30.0,47.0,15.0
3949,0.0,4.0,2.0,6.0,5.0,3.0,1.0,17.0,12.0,10.0,11.0,22.0,39.0,19.0,36.0,40.0,18.0,27.0,15.0,14.0,8.0,9.0,101.0,479.0,21.0,48.0,13.0,199.0,37.0,97.0
3998,0.0,1.0,4.0,6.0,3.0,2.0,7.0,24.0,15.0,10.0,8.0,11.0,68.0,16.0,14.0,41.0,37.0,26.0,17.0,5.0,9.0,22.0,31.0,125.0,13.0,38.0,90.0,61.0,39.0,100.0
4047,0.0,2.0,1.0,5.0,3.0,4.0,11.0,9.0,6.0,24.0,7.0,23.0,14.0,16.0,18.0,54.0,41.0,43.0,45.0,74.0,12.0,51.0,19.0,559.0,21.0,25.0,34.0,28.0,68.0,89.0
4096,0.0,3.0,4.0,5.0,1.0,2.0,8.0,11.0,31.0,12.0,14.0,6.0,45.0,32.0,43.0,50.0,26.0,27.0,15.0,10.0,13.0,24.0,20.0,603.0,22.0,76.0,154.0,81.0,18.0,41.0
4145,0.0,1.0,4.0,8.0,2.0,3.0,7.0,28.0,44.0,15.0,5.0,19.0,59.0,17.0,49.0,64.0,31.0,60.0,54.0,6.0,26.0,297.0,29.0,92.0,10.0,88.0,124.0,108.0,18.0,5736.0
4194,0.0,1.0,4.0,8.0,2.0,6.0,5.0,10.0,7.0,9.0,3.0,85.0,160.0,21.0,79.0,30.0,15.0,86.0,13.0,139.0,11.0,74.0,37.0,2643.0,17.0,34.0,23.0,57.0,14.0,55.0
4243,0.0,1.0,6.0,11.0,2.0,3.0,53.0,49.0,9.0,13.0,7.0,4.0,15.0,47.0,17.0,102.0,27.0,885.0,20.0,45.0,34.0,30.0,23.0,1028.0,36.0,19.0,38.0,26.0,105.0,174.0
4292,0.0,2.0,3.0,5.0,4.0,1.0,21.0,100.0,8.0,13.0,27.0,7.0,23.0,19.0,9.0,127.0,54.0,25.0,18.0,6.0,12.0,89.0,45.0,401.0,85.0,46.0,16.0,38.0,82.0,3714.0
4341,1.0,3.0,4.0,7.0,2.0,0.0,8.0,16.0,6.0,23.0,29.0,18.0,40.0,19.0,75.0,35.0,84.0,34.0,28.0,20.0,49.0,15.0,43.0,1120.0,161.0,5.0,27.0,66.0,17.0,42.0
4390,0.0,2.0,3.0,5.0,4.0,1.0,6.0,8.0,7.0,9.0,10.0,27.0,16.0,13.0,19.0,24.0,21.0,28.0,17.0,12.0,11.0,108.0,29.0,379.0,18.0,46.0,22.0,102.0,30.0,534.0
4439,0.0,2.0,7.0,14.0,4.0,3.0,6.0,19.0,20.0,5.0,1.0,39.0,115.0,25.0,46.0,47.0,170.0,27.0,93.0,94.0,23.0,11.0,48.0,193.0,15.0,32.0,796.0,312.0,30.0,76.0
4488,0.0,2.0,3.0,11.0,4.0,17.0,6.0,10.0,5.0,8.0,1.0,39.0,56.0,16.0,31.0,42.0,49.0,15.0,130.0,67.0,33.0,36.0,38.0,844.0,20.0,29.0,140.0,197.0,13.0,35.0
4537,0.0,1.0,2.0,6.0,3.0,42.0,5.0,12.0,13.0,10.0,9.0,11.0,19.0,53.0,23.0,35.0,37.0,27.0,26.0,34.0,102.0,14.0,179.0,66.0,18.0,8.0,48.0,58.0,30.0,119.0
4586,0.0,1.0,9.0,12.0,2.0,19.0,7.0,33.0,4.0,6.0,3.0,5.0,13.0,21.0,14.0,79.0,51.0,137.0,32.0,9722.0,28.0,8.0,35.0,204.0,20.0,27.0,64.0,24.0,73.0,18.0
4635,0.0,1.0,6.0,17.0,3.0,14.0,5.0,34.0,7.0,4.0,2.0,9.0,20.0,24.0,16.0,48.0,32.0,30.0,61.0,40.0,23.0,29.0,93.0,533.0,37.0,12.0,33.0,41.0,39.0,21.0
4684,0.0,1.0,5.0,7.0,2.0,14.0,3.0,10.0,4.0,20.0,6.0,12.0,8.0,97.0,18.0,73.0,30.0,22.0,32.0,23.0,36.0,9.0,27.0,141.0,40.0,17.0,44.0,19.0,15.0,158.0
4733,0.0,1.0,3.0,4.0,2.0,6.0,35.0,8.0,7.0,51.0,11.0,5.0,19.0,33.0,98.0,100.0,71.0,54.0,10.0,320.0,68.0,32.0,31.0,204.0,303.0,15.0,288.0,20.0,28.0,23.0
4782,0.0,2.0,3.0,8.0,4.0,22.0,5.0,41.0,6.0,7.0,1.0,10.0,11.0,20.0,18.0,55.0,21.0,25.0,40.0,16.0,19.0,589.0,58.0,192.0,35.0,26.0,50.0,148.0,37.0,6204.0
4831,0.0,1.0,2.0,5.0,3.0,15.0,7.0,18.0,14.0,11.0,6.0,4.0,8.0,13.0,21.0,49.0,67.0,43.0,39.0,16.0,12.0,10.0,38.0,307.0,48.0,52.0,90.0,247.0,24.0,239.0
4880,0.0,1.0,7.0,11.0,2.0,8.0,14.0,50.0,16.0,6.0,4.0,20.0,13.0,30.0,51.0,43.0,31.0,39.0,70.0,109.0,36.0,17.0,29.0,252.0,28.0,3.0,73.0,468.0,9.0,45.0
