,BRAF_MUT,LOC728875_DEL,ZNF705G_AMP,ADAMTSL3_DEL,TTN_MUT,BRAF.V600E_MUT,TTTY22_DEL,LOC100287534_AMP,BTNL3_DEL,USP17L4_AMP,CADM2_DEL,USP17L1P_AMP,HLA-DQB1_DEL,BTNL8_DEL,DPP6_DEL,KIAA0125_AMP,ZNF490_DEL,LOC729737_DEL,LOC390705_DEL,SORL1_MUT,PCDH9_DEL,EEF1DP3_DEL,MAML3_MUT,ADAM6_AMP,TMEM236_DEL,SIGLEC14_DEL,MIR511-1_DEL,RBFOX1_DEL,MIR511-2_DEL,ASAH2_DEL
1401,0.0,3.0,15.0,10.0,4.0,6.0,13.0,12.0,2.0,21.0,9.0,22.0,7.0,1.0,20.0,23.0,27.0,14.0,91.0,19.0,5.0,60.0,11.0,31.0,29.0,24.0,41.0,39.0,42.0,17.0
1450,0.0,6.0,7.0,24.0,202.0,1.0,240.0,2.0,15.0,9.0,23.0,8.0,83.0,25.0,20.0,611.0,4.0,16.0,97.0,18.0,17.0,10.0,12.0,2141.0,38.0,31.0,45.0,145.0,46.0,237.0
1499,3.0,1.0,2.0,7.0,0.0,4.0,6.0,20.0,9.0,12.0,8.0,11.0,13.0,10.0,32.0,58.0,16.0,27.0,15.0,26.0,41.0,5.0,14.0,62.0,39.0,66.0,38.0,64.0,37.0,42.0
1548,1.0,0.0,6.0,8.0,4.0,3.0,24.0,12.0,2.0,10.0,9.0,11.0,44.0,5.0,7.0,16.0,30.0,164.0,116.0,21.0,32.0,23.0,49.0,19.0,13.0,17.0,14.0,57.0,15.0,27.0
1597,3.0,0.0,2.0,6.0,7.0,9.0,5.0,14.0,12.0,11.0,28.0,10.0,25.0,1.0,18.0,35.0,70.0,34.0,8.0,29.0,269.0,4.0,15.0,48.0,20.0,16.0,23.0,30.0,24.0,21.0
1646,6.0,1.0,0.0,11.0,18.0,8.0,24.0,17.0,21.0,5.0,23.0,4.0,7.0,13.0,12.0,15.0,25.0,29.0,3.0,22.0,50.0,10.0,33.0,16.0,19.0,59.0,27.0,64.0,26.0,135.0
1695,4.0,2.0,3.0,13.0,1.0,11.0,7.0,19.0,5.0,9.0,33.0,10.0,28.0,0.0,38.0,18.0,34.0,27.0,26.0,30.0,71.0,8.0,25.0,29.0,14.0,16.0,20.0,72.0,21.0,36.0
1744,6.0,3.0,5.0,4.0,1.0,27.0,13.0,2.0,16.0,19.0,23.0,20.0,32.0,12.0,41.0,55.0,22.0,26.0,7.0,25.0,114.0,15.0,18.0,71.0,37.0,14.0,42.0,24.0,43.0,72.0
1793,28.0,5.0,2.0,12.0,27.0,45.0,8.0,20.0,40.0,4.0,46.0,3.0,15.0,25.0,49.0,6.0,18.0,22.0,30.0,59.0,114.0,13.0,57.0,16.0,38.0,11.0,51.0,36.0,50.0,33.0
1842,7.0,22.0,0.0,16.0,6.0,9.0,51.0,1.0,28.0,11.0,33.0,12.0,8.0,19.0,120.0,5.0,24.0,123.0,13.0,15.0,88.0,3.0,17.0,10.0,54.0,32.0,64.0,31.0,65.0,47.0
1891,4.0,3.0,1.0,13.0,5.0,9.0,8.0,34.0,39.0,7.0,11.0,6.0,61.0,24.0,54.0,28.0,19.0,20.0,15.0,159.0,32.0,18.0,38.0,36.0,25.0,42.0,30.0,50.0,31.0,100.0
1940,1.0,3.0,2.0,15.0,44.0,31.0,17.0,66.0,12.0,20.0,59.0,21.0,42.0,7.0,151.0,2064.0,4.0,10.0,9.0,32.0,559.0,8.0,43.0,5263.0,11.0,25.0,13.0,71.0,14.0,40.0
1989,0.0,3.0,13.0,4.0,17.0,2.0,7.0,5.0,51.0,19.0,59.0,20.0,107.0,23.0,6.0,10.0,42.0,11.0,1.0,21.0,32.0,37.0,31.0,14.0,48.0,54.0,79.0,120.0,80.0,16.0
2038,0.0,3.0,19.0,5.0,17.0,1.0,13.0,20.0,28.0,30.0,9.0,31.0,23.0,22.0,49.0,6.0,4.0,15.0,34.0,18.0,12.0,37.0,32.0,14.0,98.0,603.0,169.0,286.0,168.0,7.0
2087,0.0,4.0,5.0,19.0,32.0,1.0,45.0,31.0,72.0,11.0,6.0,10.0,43.0,33.0,20.0,35.0,13.0,23.0,30.0,26.0,12.0,57.0,27.0,58.0,29.0,76.0,37.0,56.0,38.0,71.0
2136,2.0,0.0,6.0,9.0,5.0,4.0,7.0,1.0,28.0,15.0,3.0,14.0,10.0,31.0,19.0,26.0,18.0,22.0,385.0,23.0,16.0,60.0,78.0,55.0,40.0,81.0,64.0,234.0,65.0,62.0
2185,2.0,20.0,6.0,5.0,25.0,11.0,9.0,17.0,3.0,43.0,16.0,42.0,14.0,10.0,19.0,0.0,18.0,7.0,4.0,34.0,65.0,53.0,27.0,1.0,30.0,236.0,36.0,40.0,37.0,12.0
2234,4.0,10.0,7.0,18.0,14.0,15.0,29.0,11.0,2.0,22.0,12.0,23.0,35.0,1.0,33.0,3.0,45.0,5.0,50.0,9.0,41.0,17.0,34.0,8.0,133.0,28.0,272.0,127.0,271.0,32.0
2283,1.0,0.0,8.0,39.0,12.0,3.0,32.0,2.0,11.0,23.0,7.0,22.0,16.0,19.0,14.0,10.0,13.0,25.0,5.0,15.0,17.0,183.0,35.0,24.0,38.0,258.0,36.0,47.0,37.0,9.0
2332,5.0,1.0,3.0,7.0,23.0,8.0,22.0,0.0,39.0,13.0,16.0,14.0,28.0,38.0,18.0,15.0,9.0,21.0,11.0,52.0,57.0,62.0,201.0,27.0,29.0,53.0,41.0,228.0,40.0,4.0
2381,0.0,2.0,5.0,7.0,8.0,1.0,18.0,3.0,22.0,16.0,14.0,17.0,37.0,36.0,9.0,4.0,34.0,13.0,12.0,20.0,15.0,69.0,30.0,10.0,23.0,192.0,42.0,53.0,43.0,21.0
2430,1.0,0.0,2.0,9.0,7.0,3.0,24.0,26.0,18.0,10.0,4.0,11.0,19.0,16.0,13.0,6.0,31.0,102.0,28.0,8.0,15.0,105.0,181.0,12.0,48.0,62.0,78.0,404.0,77.0,14.0
2479,15.0,2.0,4.0,7.0,0.0,28.0,36.0,1.0,10.0,6.0,20.0,5.0,30.0,21.0,11.0,3.0,16.0,22.0,18.0,1052.0,88.0,48.0,29.0,8.0,109.0,76.0,132.0,13.0,133.0,197.0
2528,12.0,4.0,2.0,1.0,5.0,20.0,28.0,0.0,13.0,7.0,27.0,6.0,14.0,15.0,32.0,11.0,10.0,23.0,22.0,178.0,331.0,24.0,34.0,17.0,30.0,25.0,41.0,55.0,42.0,31.0
2577,4.0,20.0,6.0,2.0,3.0,12.0,14.0,13.0,15.0,9.0,68.0,10.0,41.0,8.0,7.0,16.0,11.0,21.0,1.0,136.0,93.0,31.0,48.0,26.0,42.0,39.0,49.0,66.0,50.0,28.0
2626,3.0,20.0,4.0,6.0,7.0,10.0,15.0,25.0,13.0,8.0,26.0,9.0,12.0,14.0,67.0,1.0,11.0,40.0,0.0,204.0,86.0,43.0,34.0,5.0,37.0,42.0,57.0,63.0,56.0,54.0
2675,3.0,8.0,0.0,2.0,14.0,9.0,29.0,1.0,26.0,4.0,30.0,5.0,15.0,22.0,10.0,13.0,16.0,75.0,11.0,171.0,63.0,12.0,31.0,20.0,159.0,25.0,214.0,42.0,213.0,37.0
2724,11.0,13.0,1.0,0.0,7.0,36.0,10.0,16.0,26.0,2.0,21.0,3.0,33.0,42.0,50.0,6.0,5.0,19.0,12.0,390.0,73.0,51.0,175.0,9.0,29.0,17.0,37.0,155.0,38.0,85.0
2773,7.0,5.0,0.0,1.0,6.0,13.0,10.0,15.0,21.0,3.0,24.0,4.0,8.0,17.0,14.0,12.0,9.0,22.0,30.0,208.0,63.0,19.0,37.0,16.0,34.0,35.0,42.0,69.0,41.0,18.0
2822,12.0,0.0,1.0,14.0,5.0,33.0,9.0,18.0,4.0,3.0,7.0,2.0,10.0,15.0,781.0,13.0,40.0,11.0,116.0,428.0,192.0,19.0,46.0,22.0,261.0,26.0,262.0,16.0,260.0,79.0
2871,15.0,1.0,0.0,8.0,26.0,18.0,14.0,25.0,2.0,6.0,103.0,7.0,16.0,5.0,23.0,9.0,21.0,17.0,4.0,248.0,47.0,28.0,31.0,13.0,62.0,42.0,97.0,29.0,96.0,24.0
2920,6.0,5.0,1.0,0.0,108.0,24.0,276.0,2.0,20.0,9.0,31.0,8.0,39.0,45.0,135.0,101.0,10.0,34.0,12.0,308.0,1097.0,68.0,33.0,103.0,11.0,100.0,22.0,36.0,23.0,3.0
2969,2.0,5.0,1.0,4.0,0.0,13.0,3.0,136.0,19.0,12.0,28.0,11.0,8.0,6.0,15.0,34.0,31.0,50.0,14.0,9.0,7.0,23.0,27.0,73.0,35.0,10.0,45.0,60.0,44.0,122.0
3018,15.0,3.0,0.0,52.0,13.0,36.0,33.0,109.0,23.0,4.0,10.0,5.0,1.0,35.0,200.0,11.0,22.0,51.0,21.0,30.0,31.0,27.0,64.0,20.0,26.0,63.0,40.0,65.0,39.0,158.0
3067,4.0,8.0,0.0,12.0,6.0,20.0,41.0,13.0,19.0,2.0,14.0,3.0,11.0,28.0,54.0,7.0,57.0,60.0,26.0,15.0,36.0,9.0,16.0,10.0,133.0,5.0,223.0,45.0,222.0,839.0
3116,9.0,8.0,3.0,35.0,33.0,32.0,70.0,47.0,2.0,11.0,20.0,10.0,5.0,1.0,31.0,54.0,15.0,14.0,21.0,4.0,29.0,16.0,13.0,106.0,34.0,12.0,41.0,18.0,42.0,205.0
3165,4.0,26.0,0.0,8.0,17.0,20.0,22.0,24.0,1.0,15.0,18.0,16.0,10.0,7.0,36.0,3.0,21.0,19.0,6.0,12.0,38.0,2.0,39.0,9.0,41.0,34.0,51.0,30.0,50.0,77.0
3214,2.0,1.0,0.0,15.0,11.0,27.0,26.0,130.0,7.0,3.0,12.0,4.0,6.0,10.0,17.0,61.0,20.0,47.0,74.0,8.0,5.0,44.0,80.0,60.0,16.0,14.0,24.0,156.0,23.0,55.0
3263,2.0,1.0,0.0,25.0,3.0,15.0,22.0,46.0,4.0,7.0,5.0,6.0,8.0,12.0,64.0,40.0,31.0,10.0,23.0,9.0,20.0,21.0,13.0,56.0,29.0,75.0,28.0,39.0,27.0,35.0
3312,9.0,38.0,4.0,1.0,5.0,36.0,13.0,80.0,46.0,42.0,6.0,41.0,69.0,43.0,14.0,265.0,39.0,29.0,0.0,28.0,7.0,20.0,53.0,707.0,22.0,2.0,34.0,18.0,35.0,37.0
3361,3.0,26.0,0.0,10.0,5.0,30.0,12.0,31.0,2.0,7.0,17.0,8.0,20.0,1.0,19.0,9.0,35.0,25.0,4.0,18.0,21.0,16.0,22.0,14.0,24.0,23.0,36.0,64.0,37.0,469.0
3410,2.0,0.0,9.0,6.0,31.0,14.0,8.0,174.0,5.0,27.0,12.0,26.0,33.0,1.0,228.0,42.0,37.0,11.0,3.0,4.0,50.0,22.0,46.0,66.0,40.0,10.0,62.0,315.0,61.0,210.0
3459,1.0,7.0,11.0,3.0,6.0,2.0,0.0,17.0,21.0,33.0,40.0,32.0,8.0,13.0,57.0,10.0,53.0,4.0,252.0,9.0,27.0,48.0,19.0,16.0,23.0,5.0,39.0,81.0,38.0,31.0
3508,3.0,2.0,5.0,12.0,6.0,9.0,0.0,41.0,48.0,13.0,43.0,14.0,42.0,19.0,104.0,1.0,89.0,11.0,57.0,37.0,21.0,4.0,16.0,8.0,68.0,7.0,98.0,26.0,97.0,349.0
3557,1.0,6.0,0.0,7.0,15.0,3.0,10.0,11.0,21.0,24.0,43.0,23.0,14.0,2.0,25.0,5.0,33.0,13.0,70.0,18.0,41.0,9.0,8.0,4.0,50.0,12.0,76.0,35.0,75.0,102.0
3606,0.0,3.0,8.0,10.0,5.0,1.0,2.0,9.0,147.0,13.0,90.0,12.0,11.0,22.0,146.0,4.0,21.0,6.0,69.0,20.0,31.0,18.0,14.0,7.0,25.0,15.0,46.0,43.0,47.0,44.0
3655,0.0,24.0,13.0,4.0,140.0,1.0,20.0,7.0,470.0,42.0,88.0,43.0,36.0,27.0,2.0,296.0,19.0,14.0,15.0,10.0,71.0,6.0,17.0,653.0,85.0,3.0,84.0,40.0,86.0,9.0
3704,2.0,0.0,10.0,5.0,1.0,3.0,8.0,14.0,137.0,42.0,45.0,43.0,17.0,7.0,6.0,23.0,33.0,24.0,86.0,13.0,19.0,27.0,46.0,39.0,80.0,4.0,84.0,18.0,85.0,36.0
3753,4.0,7.0,12.0,2.0,1.0,9.0,3.0,10.0,33.0,27.0,81.0,26.0,16.0,6.0,36.0,23.0,29.0,5.0,17.0,22.0,97.0,11.0,20.0,37.0,13.0,0.0,18.0,24.0,19.0,8.0
3802,7.0,5.0,1.0,4.0,27.0,3.0,6.0,0.0,113.0,11.0,89.0,12.0,9.0,22.0,24.0,13.0,34.0,59.0,2.0,74.0,18.0,16.0,32.0,19.0,28.0,10.0,38.0,43.0,39.0,23.0
3851,5.0,4.0,38.0,3.0,1.0,6.0,9.0,0.0,14.0,47.0,39.0,48.0,33.0,2.0,10.0,13.0,15.0,12.0,23.0,16.0,26.0,8.0,19.0,17.0,20.0,7.0,35.0,22.0,34.0,11.0
3900,1.0,0.0,10.0,8.0,18.0,3.0,4.0,12.0,65.0,14.0,39.0,15.0,47.0,11.0,5.0,13.0,50.0,17.0,77.0,20.0,19.0,7.0,21.0,22.0,33.0,2.0,41.0,145.0,40.0,25.0
3949,1.0,0.0,10.0,3.0,7.0,11.0,15.0,2.0,13.0,20.0,5.0,21.0,36.0,22.0,16.0,35.0,48.0,19.0,46.0,32.0,14.0,153.0,107.0,57.0,23.0,99.0,29.0,38.0,30.0,161.0
3998,3.0,5.0,1.0,0.0,808.0,15.0,111.0,11.0,34.0,20.0,6.0,21.0,27.0,84.0,206.0,128.0,26.0,22.0,413.0,105.0,64.0,44.0,126.0,127.0,49.0,88.0,58.0,35.0,59.0,55.0
4047,1.0,0.0,11.0,2.0,13.0,6.0,19.0,4.0,21.0,35.0,3.0,34.0,67.0,37.0,16.0,58.0,15.0,22.0,9.0,24.0,27.0,29.0,64.0,95.0,45.0,159.0,52.0,12.0,53.0,14.0
4096,1.0,0.0,5.0,2.0,7.0,6.0,4.0,15.0,37.0,24.0,10.0,25.0,21.0,48.0,33.0,78.0,11.0,57.0,77.0,9.0,20.0,56.0,107.0,117.0,35.0,769.0,42.0,51.0,43.0,95.0
4145,1.0,0.0,22.0,3.0,53.0,9.0,4.0,7.0,14.0,15.0,12.0,16.0,24.0,27.0,2.0,43.0,17.0,26.0,8.0,45.0,115.0,42.0,76.0,91.0,39.0,11.0,56.0,13.0,55.0,25.0
4194,1.0,0.0,8.0,2.0,38.0,14.0,30.0,9.0,4.0,10.0,3.0,11.0,32.0,19.0,5.0,22.0,15.0,16.0,122.0,33.0,17.0,149.0,50.0,37.0,69.0,108.0,113.0,133.0,112.0,57.0
4243,0.0,1.0,8.0,7.0,56.0,5.0,17.0,9.0,6.0,42.0,2.0,41.0,10.0,15.0,3.0,14.0,47.0,78.0,70.0,23.0,49.0,25.0,34.0,21.0,75.0,1141.0,88.0,27.0,89.0,59.0
4292,0.0,1.0,10.0,4.0,6.0,5.0,12.0,2.0,9.0,39.0,3.0,38.0,18.0,23.0,43.0,28.0,25.0,17.0,74.0,20.0,24.0,54.0,56.0,50.0,19.0,30.0,21.0,29.0,22.0,13.0
4341,1.0,0.0,16.0,2.0,26.0,11.0,8.0,31.0,29.0,77.0,3.0,76.0,9.0,30.0,188.0,14.0,802.0,45.0,13.0,25.0,7.0,63.0,32.0,23.0,265.0,66.0,314.0,33.0,315.0,190.0
4390,0.0,1.0,8.0,5.0,27.0,2.0,10.0,3.0,36.0,54.0,4.0,53.0,17.0,76.0,40.0,6.0,39.0,43.0,197.0,13.0,12.0,47.0,72.0,11.0,30.0,61.0,29.0,32.0,28.0,7.0
4439,8.0,1.0,2.0,6.0,0.0,33.0,12.0,9.0,5.0,4.0,63.0,3.0,92.0,13.0,97.0,18.0,41.0,10.0,3507.0,64.0,42.0,19.0,16.0,17.0,29.0,32.0,28.0,11.0,30.0,1491.0
4488,4.0,2.0,9.0,3.0,0.0,14.0,21.0,1.0,12.0,22.0,15.0,23.0,8.0,35.0,11.0,129.0,40.0,13.0,95.0,45.0,28.0,46.0,26.0,130.0,7.0,54.0,6.0,44.0,5.0,50.0
4537,2.0,1.0,7.0,3.0,0.0,4.0,6.0,20.0,5.0,17.0,34.0,18.0,16.0,28.0,14.0,124.0,13.0,26.0,268.0,23.0,9.0,89.0,19.0,125.0,10.0,117.0,12.0,25.0,11.0,106.0
4586,2.0,17.0,11.0,1.0,0.0,3.0,14.0,4.0,10.0,24.0,30.0,23.0,25.0,28.0,5.0,38.0,22.0,19.0,63.0,16.0,49.0,15.0,21.0,39.0,8.0,12.0,7.0,26.0,6.0,207.0
4635,4.0,2.0,1.0,3.0,0.0,13.0,11.0,26.0,10.0,5.0,31.0,6.0,38.0,27.0,12.0,55.0,41.0,15.0,202.0,50.0,22.0,45.0,16.0,54.0,7.0,66.0,8.0,20.0,9.0,1263.0
4684,2.0,1.0,3.0,7.0,0.0,10.0,11.0,33.0,4.0,8.0,56.0,9.0,25.0,5.0,166.0,89.0,37.0,14.0,11086.0,34.0,23.0,22.0,26.0,90.0,16.0,59.0,18.0,24.0,17.0,30.0
4733,2.0,1.0,3.0,5.0,0.0,7.0,11.0,20.0,17.0,13.0,36.0,14.0,33.0,30.0,6.0,260.0,27.0,39.0,147.0,15.0,21.0,164.0,34.0,261.0,10.0,457.0,8.0,25.0,9.0,24.0
4782,25.0,7.0,9.0,10.0,0.0,31.0,12.0,13.0,2.0,34.0,53.0,35.0,8.0,11.0,93.0,40.0,16.0,18.0,19.0,20.0,15.0,258.0,39.0,42.0,6.0,45.0,5.0,22.0,4.0,9672.0
4831,11.0,0.0,2.0,3.0,1.0,17.0,289.0,8.0,36.0,27.0,9.0,26.0,23.0,126.0,18.0,13557.0,15.0,46.0,23098.0,118.0,14.0,29.0,30.0,14049.0,4.0,51.0,5.0,20.0,6.0,16893.0
4880,1.0,3.0,4.0,9.0,0.0,5.0,22.0,31.0,2.0,6.0,28.0,7.0,15.0,8.0,57.0,29.0,19.0,42.0,1235.0,14.0,44.0,33.0,13.0,30.0,18.0,245.0,17.0,74.0,16.0,99.0
