,BRAF_MUT,LOC728875_DEL,ZNF705G_AMP,ADAMTSL3_DEL,TTN_MUT,BRAF.V600E_MUT,TTTY22_DEL,LOC100287534_AMP,BTNL3_DEL,USP17L4_AMP,CADM2_DEL,USP17L1P_AMP,HLA-DQB1_DEL,BTNL8_DEL,DPP6_DEL,KIAA0125_AMP,ZNF490_DEL,LOC729737_DEL,LOC390705_DEL,SORL1_MUT,PCDH9_DEL,EEF1DP3_DEL,MAML3_MUT,ADAM6_AMP,TMEM236_DEL,SIGLEC14_DEL,MIR511-1_DEL,RBFOX1_DEL,MIR511-2_DEL,ASAH2_DEL
29,1.0,7.0,19.0,4.0,28.0,8.0,12.0,22.0,388.0,39.0,6.0,38.0,16.0,144.0,13.0,3118.0,3.0,76.0,2.0,9.0,15.0,234.0,75.0,10516.0,57.0,2751.0,56.0,1468.0,55.0,127.0
78,5.0,16.0,36.0,4.0,47.0,9.0,24.0,20.0,43.0,64.0,8.0,65.0,25.0,29.0,1.0,69.0,3.0,59.0,7.0,21.0,38.0,39.0,40.0,194.0,6.0,18.0,11.0,216.0,10.0,19.0
127,2.0,6.0,25.0,9.0,31.0,5.0,22.0,14.0,50.0,41.0,13.0,40.0,12.0,35.0,1.0,123.0,3.0,49.0,0.0,17.0,26.0,21.0,20.0,307.0,16.0,91.0,28.0,76.0,27.0,24.0
176,3.0,2.0,38.0,1.0,47.0,5.0,35.0,64.0,106.0,31.0,10.0,32.0,14.0,37.0,9.0,5005.0,4.0,113.0,0.0,12.0,19.0,104.0,44.0,13789.0,20.0,1271.0,33.0,54.0,34.0,11.0
225,0.0,19.0,45.0,3.0,141.0,2.0,10.0,13.0,2145.0,47.0,6.0,48.0,66.0,701.0,5.0,868.0,4.0,26.0,9.0,64.0,15.0,11.0,22.0,2621.0,38.0,12.0,77.0,144.0,76.0,87.0
274,0.0,7.0,16.0,6.0,374.0,2.0,38.0,323.0,113.0,22.0,9.0,23.0,14.0,76.0,33.0,10.0,17.0,51.0,3.0,12.0,28.0,15.0,25.0,32.0,259.0,146.0,506.0,118.0,507.0,31.0
323,2.0,7.0,6.0,1.0,157.0,8.0,21.0,10.0,692.0,12.0,39.0,11.0,14.0,247.0,3.0,139.0,0.0,75.0,5.0,33.0,97.0,16.0,176.0,474.0,32.0,24.0,53.0,552.0,54.0,31.0
372,1.0,6.0,31.0,0.0,30.0,7.0,10.0,12.0,169.0,205.0,5.0,204.0,89.0,56.0,19.0,183.0,4.0,25.0,2.0,8.0,18.0,40.0,22.0,182.0,51.0,124.0,80.0,85.0,79.0,11.0
421,2.0,12.0,33.0,3.0,73.0,8.0,21.0,4.0,77.0,58.0,10.0,57.0,16.0,22.0,0.0,10895.0,6.0,32.0,5.0,11.0,31.0,25.0,17.0,18863.0,53.0,48.0,99.0,171.0,98.0,14.0
470,2.0,7.0,9.0,11.0,62.0,3.0,8.0,4.0,37.0,29.0,26.0,28.0,16.0,18.0,0.0,14.0,22.0,264.0,6.0,12.0,5.0,83.0,24.0,23.0,69.0,7868.0,109.0,271.0,110.0,190.0
519,2.0,30.0,3.0,9.0,136.0,11.0,27.0,14.0,6.0,15.0,23.0,16.0,54.0,5.0,8.0,7.0,60.0,26.0,2477.0,216.0,10.0,29.0,24.0,21.0,34.0,158.0,44.0,19.0,45.0,1276.0
568,0.0,3.0,2.0,12.0,10.0,4.0,5.0,14.0,1.0,24.0,7.0,25.0,6.0,20.0,276.0,15.0,36.0,26.0,590.0,64.0,8.0,34.0,9.0,32.0,17.0,72.0,29.0,13.0,30.0,46.0
617,0.0,21.0,15.0,4.0,2.0,1.0,8.0,12.0,18.0,53.0,3.0,54.0,24.0,20.0,1031.0,11.0,31.0,26.0,183.0,40.0,7.0,16.0,9.0,19.0,80.0,35.0,151.0,28.0,152.0,47.0
666,7.0,8.0,6.0,10.0,16.0,17.0,3.0,32.0,4.0,22.0,9.0,23.0,12.0,2.0,240.0,0.0,158.0,19.0,153.0,37.0,5.0,29.0,34.0,1.0,63.0,20.0,96.0,21.0,95.0,381.0
715,0.0,1.0,10.0,4.0,8.0,16.0,2.0,5.0,13.0,35.0,3.0,36.0,12.0,29.0,153.0,14.0,15.0,25.0,9006.0,258.0,21.0,37.0,30.0,19.0,67.0,17.0,94.0,7.0,93.0,49.0
764,2.0,8.0,4.0,9.0,3.0,11.0,7.0,17.0,0.0,25.0,6.0,26.0,10.0,1.0,96.0,18.0,43.0,24.0,119.0,45.0,12.0,19.0,13.0,34.0,53.0,15.0,72.0,5.0,71.0,279.0
813,0.0,11.0,5.0,3.0,8.0,7.0,6.0,10.0,1.0,15.0,24.0,14.0,28.0,2.0,19.0,13.0,38.0,91.0,323.0,33.0,4.0,20.0,31.0,27.0,51.0,54.0,77.0,74.0,78.0,71.0
862,1.0,18.0,4.0,2.0,5.0,3.0,0.0,25.0,15.0,28.0,19.0,27.0,45.0,10.0,34.0,13.0,71.0,9.0,380.0,38.0,16.0,11.0,7.0,14.0,40.0,36.0,51.0,6.0,50.0,55.0
911,0.0,4.0,5.0,2.0,3.0,6.0,1.0,15.0,9.0,17.0,19.0,16.0,35.0,14.0,76.0,33.0,34.0,12.0,3980.0,110.0,11.0,21.0,10.0,68.0,39.0,13.0,54.0,24.0,53.0,133.0
960,1.0,6.0,7.0,4.0,20.0,3.0,10.0,2.0,5.0,28.0,13.0,29.0,14.0,9.0,12.0,90.0,173.0,50.0,30.0,24.0,17.0,56.0,8.0,211.0,67.0,57.0,68.0,18.0,69.0,23.0
1009,0.0,6.0,7.0,8.0,4.0,5.0,3.0,2.0,34.0,12.0,18.0,13.0,11.0,15.0,1.0,123.0,21.0,58.0,31.0,27.0,25.0,29.0,20.0,286.0,52.0,39.0,63.0,47.0,64.0,10.0
1058,0.0,8.0,2.0,14.0,16.0,1.0,17.0,21.0,7.0,3.0,19.0,4.0,10.0,5.0,20.0,6.0,47.0,71.0,699.0,26.0,32.0,40.0,24.0,9.0,105.0,66.0,160.0,35.0,161.0,49.0
1107,0.0,2.0,4.0,8.0,9.0,5.0,6.0,12.0,3.0,11.0,34.0,10.0,13.0,1.0,26.0,23.0,17.0,16.0,14.0,30.0,43.0,15.0,7.0,36.0,33.0,47.0,54.0,48.0,53.0,22.0
1156,0.0,1.0,13.0,3.0,5.0,9.0,8.0,14.0,2.0,19.0,10.0,20.0,6.0,4.0,12.0,74.0,17.0,15.0,55.0,23.0,7.0,34.0,21.0,73.0,36.0,41.0,37.0,70.0,38.0,26.0
1205,13.0,7.0,0.0,15.0,5.0,41.0,10.0,8.0,4.0,1.0,9.0,2.0,18.0,3.0,19.0,11.0,37.0,16.0,12.0,32.0,6.0,90.0,23.0,17.0,76.0,14.0,104.0,51.0,103.0,347.0
1254,1.0,4.0,7.0,8.0,0.0,5.0,25.0,9.0,2.0,18.0,15.0,17.0,6.0,3.0,26.0,10.0,38.0,40.0,13.0,32.0,12.0,46.0,21.0,16.0,34.0,22.0,36.0,14.0,35.0,77.0
1303,4.0,2.0,0.0,8.0,10.0,11.0,14.0,27.0,1.0,5.0,9.0,6.0,3.0,7.0,13.0,34.0,18.0,65.0,33.0,104.0,12.0,22.0,30.0,61.0,16.0,15.0,19.0,35.0,20.0,23.0
1352,0.0,4.0,1.0,16.0,10.0,2.0,21.0,8.0,12.0,6.0,9.0,7.0,3.0,11.0,17.0,29.0,19.0,20.0,18.0,15.0,5.0,65.0,13.0,45.0,28.0,128.0,38.0,23.0,37.0,14.0
