,TP53_MUT,CWF19L2_DEL,EP300_MUT,DPP6_DEL,GALNT13_DEL,WNK1_MUT,PCCB_DEL,ZNF705G_AMP,SLC7A5P2_DEL,GRIN2B_MUT,RPTOR_AMP,OR2L13_MUT,NRAS_MUT,PRB1_AMP,LOC100271836_DEL,KANK1_AMP,LCE3B_DEL,CSMD3_MUT,CNTN6_MUT,NBPF4_DEL,MAP3K9_MUT,RPS17_AMP,GOLGA6L9_AMP,UBE2Q2P3_AMP,UBE2Q2P2_AMP,RPS17L_AMP,PTPRD_DEL,PKHD1_MUT,KLK2_DEL,P2RX7_MUT
30,0.0,12.0,20.0,3.0,2.0,22.0,10.0,14.0,15.0,45.0,1.0,99.0,84.0,31.0,39.0,260.0,215.0,16.0,36.0,119.0,18.0,5.0,6.0,7.0,8.0,9.0,17.0,89.0,61.0,21.0
79,0.0,22.0,9.0,10.0,8.0,25.0,1.0,142.0,2.0,144.0,4.0,40.0,53.0,181.0,7.0,20.0,489.0,34.0,26.0,6.0,3297.0,12.0,14.0,15.0,13.0,16.0,21.0,132.0,42.0,5.0
128,0.0,4.0,6.0,2.0,19.0,1.0,3.0,7.0,13.0,18.0,5.0,103.0,71.0,54.0,25.0,14.0,263.0,22.0,43.0,21.0,12.0,51.0,53.0,49.0,50.0,52.0,27.0,37.0,88.0,34.0
177,0.0,1.0,9.0,2.0,11.0,15.0,4.0,3.0,18.0,8.0,7.0,114.0,42.0,74.0,70.0,143.0,2251.0,5.0,112.0,76.0,17.0,19.0,21.0,20.0,23.0,22.0,34.0,129.0,324.0,27.0
226,1.0,9.0,5.0,0.0,97.0,13.0,37.0,12.0,69.0,18.0,116.0,739.0,181.0,115.0,183.0,2.0,158.0,3.0,45.0,11.0,61.0,41.0,38.0,42.0,40.0,39.0,713.0,207.0,222.0,138.0
275,0.0,1.0,3.0,2.0,10.0,8.0,5.0,4.0,9.0,12.0,6.0,101.0,33.0,62.0,17.0,236.0,311.0,7.0,20.0,13.0,19.0,133.0,135.0,136.0,134.0,132.0,174.0,115.0,43.0,30.0
324,1.0,5.0,24.0,18.0,2.0,8.0,40.0,14.0,59.0,0.0,6.0,120.0,39.0,121.0,110.0,189.0,16.0,9.0,7.0,79.0,3.0,138.0,139.0,140.0,141.0,142.0,160.0,115.0,165.0,82.0
373,0.0,2.0,62.0,1.0,6.0,5.0,4.0,7.0,36.0,9.0,11.0,146.0,71.0,83.0,37.0,46.0,55.0,19.0,22.0,12.0,24.0,17.0,15.0,18.0,16.0,14.0,47.0,63.0,164.0,23.0
422,2.0,0.0,4.0,6.0,29.0,16.0,1.0,9.0,31.0,5.0,11.0,53.0,91.0,58.0,61.0,28.0,539.0,18.0,32.0,26.0,37.0,23.0,21.0,25.0,22.0,24.0,163.0,35.0,63.0,27.0
471,0.0,2.0,1.0,9.0,23.0,5.0,10.0,7.0,35.0,4.0,20.0,37.0,54.0,58.0,92.0,1021.0,85.0,3.0,48.0,16.0,30.0,12.0,13.0,14.0,15.0,11.0,247.0,22.0,46.0,69.0
520,29.0,0.0,2.0,1.0,17.0,6.0,11.0,4.0,3.0,18.0,12.0,30.0,27.0,40.0,5.0,3649.0,14.0,86.0,23.0,42.0,31.0,342.0,340.0,341.0,344.0,343.0,32.0,95.0,55.0,35.0
569,1.0,2.0,3.0,4.0,0.0,5.0,45.0,13.0,6.0,23.0,12.0,67.0,9.0,36.0,10.0,5003.0,17.0,138.0,28.0,41.0,7.0,436.0,433.0,437.0,435.0,434.0,21.0,161.0,29.0,51.0
618,1.0,2.0,4.0,0.0,7.0,5.0,3.0,29.0,6.0,14.0,177.0,23.0,10.0,36.0,11.0,2008.0,8.0,124.0,91.0,224.0,39.0,111.0,112.0,110.0,108.0,109.0,17.0,74.0,28.0,188.0
667,3.0,2.0,6.0,0.0,4.0,1.0,5.0,61.0,7.0,45.0,56.0,25.0,17.0,34.0,14.0,201.0,27.0,328.0,33.0,21.0,22.0,65.0,64.0,66.0,63.0,62.0,8.0,133.0,20.0,10.0
716,0.0,4.0,2.0,1.0,6.0,3.0,5.0,57.0,16.0,42.0,28.0,68.0,13.0,356.0,45.0,3865.0,93.0,46.0,74.0,33.0,61.0,84.0,83.0,82.0,85.0,86.0,11.0,30.0,87.0,126.0
765,5.0,28.0,2.0,0.0,24.0,1.0,3.0,16.0,6.0,22.0,149.0,231.0,166.0,33.0,9.0,1280.0,36.0,58.0,15.0,162.0,20.0,42.0,46.0,43.0,45.0,44.0,8.0,125.0,34.0,38.0
814,7.0,2.0,0.0,1.0,31.0,5.0,4.0,68.0,3.0,32.0,33.0,19.0,9.0,89.0,8.0,1054.0,14.0,132.0,10.0,96.0,34.0,36.0,39.0,40.0,37.0,38.0,15.0,164.0,22.0,53.0
863,7.0,27.0,1.0,4.0,12.0,13.0,0.0,5.0,2.0,38.0,108.0,17.0,11.0,48.0,3.0,6869.0,6.0,56.0,14.0,67.0,77.0,25.0,21.0,22.0,23.0,24.0,26.0,20.0,19.0,36.0
912,10.0,1.0,3.0,0.0,4.0,5.0,26.0,196.0,2.0,16.0,106.0,64.0,17.0,49.0,6.0,3327.0,50.0,20.0,19.0,100.0,27.0,158.0,155.0,154.0,157.0,156.0,31.0,90.0,45.0,226.0
961,5.0,2.0,10.0,4.0,19.0,0.0,13.0,16.0,1.0,14.0,76.0,18.0,38.0,21.0,3.0,20514.0,30.0,109.0,52.0,32.0,23.0,532.0,530.0,533.0,531.0,529.0,8.0,75.0,123.0,33.0
