,hsa-miR-148a,hsa-miR-541,hsa-miR-142-5p,hsa-miR-744,hsa-miR-766,hsa-miR-1977,hsa-miR-27b,kshv-miR-K12-8,hsa-miR-630,hsa-miR-93,hsa-miR-99a,hsa-miR-423-5p,hsv1-miR-H8,hsa-miR-133b,hsa-miR-106b,hsa-miR-769-3p,hsa-miR-659,bkv-miR-B1-3p+jcv-miR-J1-3p,hsa-miR-223,hsa-miR-301b,hsa-miR-615-3p,hsa-miR-1538,hsa-miR-1262,hsa-miR-508-5p,hsa-miR-2115,hsa-miR-125a-3p,hsa-miR-147b,hsa-miR-147,hsa-miR-331-3p,hsa-miR-600
997,2.0,15.0,0.0,8.0,4.0,1.0,14.0,3.0,12.0,5.0,7.0,54.0,16.0,78.0,18.0,13.0,17.0,42.0,11.0,6.0,21.0,19.0,20.0,34.0,23.0,10.0,33.0,39.0,47.0,62.0
1046,2.0,37.0,1.0,0.0,5.0,18.0,6.0,8.0,11.0,13.0,16.0,19.0,32.0,14.0,12.0,24.0,28.0,45.0,3.0,15.0,10.0,7.0,29.0,9.0,70.0,49.0,27.0,23.0,46.0,30.0
1095,13.0,5.0,1.0,0.0,6.0,4.0,8.0,2.0,9.0,15.0,17.0,18.0,11.0,37.0,31.0,3.0,34.0,20.0,7.0,22.0,16.0,29.0,25.0,26.0,48.0,28.0,12.0,14.0,40.0,19.0
1144,1.0,7.0,0.0,2.0,5.0,3.0,10.0,4.0,8.0,14.0,17.0,43.0,13.0,37.0,15.0,11.0,9.0,35.0,6.0,23.0,39.0,12.0,48.0,34.0,25.0,61.0,22.0,18.0,40.0,68.0
1193,1.0,10.0,0.0,2.0,4.0,6.0,36.0,9.0,11.0,3.0,31.0,43.0,16.0,7.0,5.0,8.0,32.0,21.0,26.0,29.0,14.0,22.0,93.0,18.0,25.0,35.0,45.0,20.0,40.0,77.0
1242,5.0,19.0,0.0,7.0,4.0,6.0,45.0,2.0,22.0,9.0,3.0,78.0,8.0,15.0,18.0,12.0,23.0,20.0,1.0,17.0,53.0,63.0,76.0,31.0,35.0,21.0,14.0,11.0,49.0,38.0
1291,0.0,2.0,1.0,3.0,4.0,7.0,61.0,15.0,5.0,8.0,11.0,30.0,21.0,33.0,9.0,6.0,35.0,43.0,10.0,45.0,12.0,32.0,19.0,17.0,29.0,77.0,42.0,14.0,39.0,28.0
1340,4.0,12.0,0.0,1.0,11.0,2.0,32.0,20.0,3.0,7.0,53.0,65.0,13.0,19.0,14.0,39.0,22.0,28.0,5.0,18.0,62.0,37.0,43.0,16.0,49.0,6.0,15.0,60.0,25.0,74.0
1389,0.0,14.0,3.0,1.0,5.0,6.0,15.0,2.0,4.0,7.0,16.0,35.0,31.0,27.0,10.0,17.0,26.0,39.0,9.0,8.0,21.0,13.0,46.0,18.0,43.0,23.0,49.0,22.0,68.0,44.0
1438,2.0,21.0,0.0,1.0,4.0,3.0,76.0,5.0,14.0,12.0,10.0,16.0,28.0,43.0,20.0,17.0,23.0,11.0,7.0,13.0,31.0,8.0,32.0,29.0,33.0,18.0,15.0,9.0,50.0,48.0
1487,3.0,4.0,2.0,0.0,5.0,16.0,10.0,13.0,1.0,30.0,69.0,8.0,50.0,6.0,19.0,48.0,11.0,63.0,17.0,9.0,60.0,37.0,59.0,45.0,15.0,100.0,42.0,18.0,38.0,25.0
1536,2.0,0.0,5.0,6.0,21.0,3.0,1.0,19.0,4.0,75.0,12.0,9.0,35.0,31.0,37.0,15.0,7.0,11.0,8.0,10.0,284.0,56.0,45.0,38.0,51.0,484.0,22.0,13.0,54.0,42.0
1585,0.0,1.0,4.0,5.0,11.0,2.0,12.0,30.0,3.0,14.0,7.0,10.0,34.0,43.0,26.0,37.0,9.0,27.0,17.0,52.0,281.0,6.0,31.0,92.0,36.0,38.0,51.0,41.0,16.0,40.0
1634,2.0,0.0,15.0,1.0,5.0,11.0,10.0,24.0,6.0,18.0,4.0,3.0,46.0,9.0,23.0,26.0,7.0,21.0,13.0,16.0,79.0,12.0,31.0,22.0,37.0,377.0,55.0,27.0,14.0,283.0
1683,0.0,1.0,3.0,10.0,2.0,29.0,486.0,24.0,17.0,14.0,12.0,19.0,23.0,16.0,7.0,4.0,57.0,5.0,49.0,15.0,22.0,41.0,96.0,35.0,55.0,86.0,48.0,8.0,11.0,31.0
1732,9.0,2.0,6.0,17.0,4.0,30.0,1.0,12.0,0.0,47.0,3.0,7.0,32.0,10.0,31.0,15.0,38.0,21.0,13.0,14.0,87.0,24.0,99.0,26.0,100.0,55.0,35.0,23.0,20.0,8.0
1781,0.0,3.0,4.0,5.0,7.0,2.0,22.0,20.0,1.0,32.0,10.0,46.0,24.0,16.0,12.0,31.0,49.0,9.0,15.0,6.0,83.0,86.0,84.0,64.0,40.0,44.0,85.0,14.0,29.0,90.0
1830,2.0,0.0,7.0,1.0,5.0,6.0,18.0,23.0,4.0,27.0,3.0,17.0,40.0,13.0,57.0,9.0,16.0,8.0,55.0,14.0,44.0,25.0,48.0,33.0,89.0,378.0,26.0,45.0,30.0,19.0
1879,0.0,1.0,3.0,8.0,2.0,6.0,4.0,10.0,5.0,31.0,19.0,13.0,54.0,17.0,27.0,18.0,26.0,12.0,41.0,22.0,29.0,20.0,35.0,43.0,44.0,46.0,23.0,16.0,21.0,62.0
1928,0.0,1.0,5.0,3.0,8.0,33.0,2.0,61.0,16.0,72.0,11.0,7.0,43.0,25.0,60.0,17.0,35.0,29.0,21.0,32.0,6.0,42.0,85.0,321.0,37.0,57.0,28.0,30.0,18.0,48.0
1977,0.0,2.0,4.0,7.0,5.0,19.0,1.0,33.0,11.0,10.0,8.0,17.0,18.0,14.0,3.0,6.0,13.0,15.0,106.0,12.0,35.0,16.0,59.0,21.0,41.0,71.0,72.0,38.0,69.0,31.0
2026,5.0,0.0,4.0,6.0,1.0,2.0,3.0,22.0,27.0,13.0,7.0,42.0,17.0,16.0,8.0,20.0,52.0,70.0,68.0,34.0,28.0,11.0,37.0,35.0,65.0,49.0,30.0,9.0,21.0,18.0
2075,3.0,4.0,1.0,208.0,5.0,0.0,2.0,17.0,15.0,8.0,14.0,30.0,10.0,13.0,6.0,52.0,12.0,18.0,43.0,16.0,27.0,38.0,58.0,55.0,71.0,33.0,45.0,11.0,101.0,19.0
2124,0.0,2.0,1.0,28.0,5.0,3.0,18.0,12.0,22.0,4.0,10.0,46.0,8.0,30.0,6.0,34.0,23.0,39.0,9.0,57.0,16.0,40.0,25.0,20.0,61.0,390.0,77.0,7.0,98.0,66.0
2173,0.0,1.0,6.0,7.0,3.0,4.0,2.0,5.0,18.0,9.0,29.0,28.0,14.0,26.0,12.0,24.0,11.0,27.0,61.0,23.0,17.0,16.0,90.0,19.0,66.0,37.0,52.0,13.0,47.0,88.0
2222,2.0,0.0,3.0,98.0,1.0,7.0,6.0,8.0,13.0,4.0,16.0,42.0,12.0,23.0,5.0,9.0,47.0,30.0,69.0,14.0,41.0,20.0,61.0,18.0,77.0,24.0,334.0,19.0,43.0,57.0
2271,0.0,1.0,3.0,38.0,2.0,19.0,8.0,18.0,10.0,13.0,66.0,30.0,4.0,6.0,11.0,12.0,15.0,16.0,61.0,20.0,28.0,31.0,54.0,32.0,53.0,403.0,329.0,41.0,460.0,59.0
2320,2.0,4.0,1.0,8.0,0.0,5.0,3.0,9.0,24.0,13.0,36.0,28.0,15.0,16.0,11.0,40.0,18.0,7.0,49.0,10.0,27.0,34.0,23.0,53.0,55.0,46.0,44.0,6.0,83.0,43.0
2369,0.0,1.0,3.0,64.0,4.0,8.0,35.0,11.0,6.0,5.0,17.0,15.0,20.0,10.0,2.0,25.0,50.0,16.0,28.0,13.0,12.0,21.0,60.0,32.0,46.0,38.0,26.0,7.0,56.0,68.0
2418,5.0,2.0,1.0,23.0,0.0,3.0,7.0,8.0,4.0,13.0,73.0,10.0,26.0,21.0,11.0,35.0,20.0,37.0,6.0,9.0,53.0,49.0,406.0,28.0,19.0,45.0,46.0,12.0,32.0,51.0
2467,0.0,5.0,8.0,12.0,4.0,11.0,2.0,13.0,15.0,32.0,9.0,3.0,18.0,43.0,42.0,19.0,28.0,16.0,1.0,7.0,64.0,6.0,63.0,25.0,22.0,17.0,39.0,33.0,53.0,45.0
2516,0.0,4.0,2.0,6.0,3.0,1.0,17.0,21.0,7.0,22.0,31.0,5.0,32.0,94.0,71.0,25.0,66.0,46.0,8.0,23.0,14.0,9.0,34.0,16.0,30.0,10.0,18.0,27.0,81.0,58.0
2565,0.0,5.0,4.0,26.0,1.0,3.0,13.0,41.0,7.0,8.0,40.0,2.0,18.0,404.0,12.0,22.0,14.0,15.0,30.0,32.0,68.0,11.0,21.0,89.0,6.0,19.0,75.0,49.0,25.0,54.0
2614,0.0,2.0,3.0,6.0,4.0,5.0,1.0,33.0,23.0,13.0,50.0,14.0,40.0,73.0,18.0,21.0,17.0,53.0,12.0,11.0,81.0,25.0,9.0,46.0,8.0,26.0,41.0,68.0,48.0,28.0
2663,0.0,7.0,15.0,4.0,3.0,6.0,11.0,44.0,13.0,18.0,25.0,1.0,27.0,94.0,12.0,17.0,32.0,8.0,16.0,33.0,10.0,9.0,14.0,72.0,20.0,5.0,31.0,22.0,53.0,68.0
2712,1.0,6.0,0.0,9.0,2.0,3.0,12.0,5.0,17.0,14.0,19.0,11.0,55.0,52.0,16.0,59.0,15.0,28.0,24.0,13.0,96.0,4.0,22.0,47.0,10.0,18.0,23.0,29.0,40.0,30.0
2761,0.0,2.0,8.0,3.0,10.0,5.0,22.0,12.0,18.0,15.0,91.0,4.0,19.0,92.0,27.0,29.0,1.0,20.0,9.0,7.0,26.0,33.0,38.0,157.0,31.0,21.0,48.0,43.0,57.0,85.0
2810,0.0,4.0,1.0,2.0,3.0,12.0,25.0,9.0,22.0,24.0,17.0,5.0,8.0,409.0,28.0,14.0,34.0,21.0,13.0,15.0,38.0,26.0,16.0,76.0,6.0,10.0,99.0,36.0,40.0,51.0
2859,0.0,12.0,2.0,3.0,5.0,1.0,22.0,9.0,13.0,17.0,203.0,11.0,15.0,44.0,52.0,16.0,51.0,53.0,4.0,6.0,24.0,35.0,18.0,151.0,10.0,430.0,59.0,23.0,26.0,48.0
2908,0.0,5.0,2.0,20.0,1.0,11.0,32.0,37.0,25.0,28.0,41.0,6.0,45.0,80.0,17.0,18.0,34.0,36.0,12.0,49.0,40.0,9.0,7.0,22.0,14.0,39.0,51.0,52.0,29.0,55.0
2957,0.0,3.0,5.0,2.0,1.0,15.0,4.0,9.0,14.0,16.0,34.0,11.0,19.0,23.0,21.0,25.0,10.0,32.0,6.0,35.0,7.0,18.0,69.0,20.0,28.0,33.0,42.0,396.0,12.0,8.0
3006,0.0,5.0,17.0,1.0,2.0,10.0,6.0,13.0,30.0,24.0,7.0,9.0,8.0,25.0,23.0,18.0,22.0,12.0,4.0,21.0,3.0,29.0,37.0,20.0,28.0,71.0,31.0,54.0,19.0,36.0
3055,1.0,6.0,8.0,0.0,2.0,22.0,5.0,3.0,48.0,24.0,65.0,7.0,12.0,16.0,32.0,41.0,27.0,57.0,10.0,17.0,4.0,14.0,19.0,15.0,23.0,104.0,55.0,63.0,33.0,18.0
3104,1.0,5.0,13.0,0.0,3.0,41.0,2.0,37.0,43.0,23.0,11.0,7.0,31.0,12.0,16.0,9.0,8.0,14.0,6.0,32.0,10.0,28.0,433.0,27.0,72.0,83.0,33.0,64.0,17.0,4.0
3153,0.0,5.0,3.0,2.0,1.0,7.0,4.0,10.0,44.0,28.0,26.0,18.0,19.0,21.0,35.0,15.0,20.0,38.0,6.0,45.0,8.0,16.0,25.0,11.0,57.0,49.0,17.0,75.0,32.0,12.0
3202,0.0,8.0,3.0,1.0,2.0,9.0,4.0,31.0,20.0,10.0,15.0,21.0,23.0,45.0,16.0,70.0,14.0,25.0,29.0,43.0,26.0,6.0,71.0,13.0,11.0,33.0,76.0,83.0,44.0,17.0
3251,0.0,5.0,14.0,2.0,3.0,15.0,1.0,7.0,18.0,29.0,17.0,25.0,21.0,20.0,22.0,30.0,10.0,51.0,4.0,8.0,31.0,26.0,347.0,44.0,27.0,367.0,97.0,48.0,11.0,6.0
3300,0.0,2.0,11.0,3.0,1.0,37.0,13.0,4.0,19.0,30.0,8.0,21.0,15.0,10.0,40.0,17.0,24.0,28.0,9.0,75.0,6.0,39.0,50.0,18.0,27.0,44.0,26.0,25.0,31.0,16.0
3349,0.0,2.0,9.0,6.0,3.0,11.0,8.0,5.0,38.0,17.0,10.0,23.0,13.0,16.0,19.0,40.0,7.0,32.0,4.0,18.0,14.0,27.0,41.0,12.0,34.0,79.0,59.0,78.0,31.0,15.0
3398,1.0,5.0,14.0,0.0,2.0,30.0,3.0,7.0,81.0,23.0,22.0,36.0,15.0,16.0,11.0,26.0,12.0,219.0,10.0,9.0,18.0,17.0,74.0,24.0,79.0,98.0,50.0,71.0,8.0,13.0
3447,5.0,0.0,1.0,6.0,7.0,10.0,21.0,8.0,12.0,11.0,18.0,29.0,13.0,24.0,9.0,19.0,20.0,2.0,22.0,106.0,66.0,15.0,55.0,48.0,330.0,47.0,90.0,101.0,479.0,14.0
3496,0.0,1.0,3.0,22.0,7.0,12.0,5.0,4.0,19.0,10.0,6.0,20.0,8.0,13.0,27.0,75.0,30.0,2.0,52.0,56.0,23.0,21.0,18.0,43.0,88.0,9.0,32.0,38.0,454.0,25.0
3545,1.0,0.0,8.0,10.0,2.0,16.0,15.0,5.0,9.0,11.0,7.0,6.0,14.0,32.0,12.0,41.0,20.0,4.0,27.0,501.0,24.0,13.0,42.0,33.0,353.0,17.0,87.0,46.0,40.0,30.0
3594,0.0,1.0,2.0,10.0,5.0,7.0,3.0,13.0,4.0,11.0,14.0,9.0,12.0,15.0,22.0,86.0,24.0,6.0,38.0,74.0,25.0,21.0,20.0,37.0,58.0,49.0,57.0,62.0,451.0,27.0
3643,0.0,13.0,6.0,2.0,4.0,10.0,15.0,1.0,8.0,9.0,7.0,19.0,14.0,36.0,17.0,45.0,21.0,3.0,62.0,508.0,18.0,5.0,32.0,26.0,80.0,11.0,109.0,82.0,86.0,43.0
3692,5.0,1.0,7.0,2.0,9.0,8.0,11.0,0.0,15.0,23.0,6.0,17.0,12.0,21.0,34.0,41.0,24.0,3.0,10.0,77.0,42.0,13.0,52.0,30.0,80.0,59.0,28.0,25.0,478.0,47.0
3741,4.0,6.0,2.0,1.0,0.0,12.0,14.0,3.0,9.0,8.0,11.0,40.0,19.0,17.0,21.0,35.0,85.0,5.0,89.0,59.0,7.0,33.0,64.0,41.0,60.0,10.0,24.0,25.0,42.0,20.0
3790,7.0,1.0,3.0,2.0,4.0,9.0,0.0,6.0,11.0,19.0,12.0,22.0,8.0,27.0,54.0,13.0,31.0,5.0,25.0,74.0,36.0,16.0,48.0,50.0,18.0,24.0,30.0,38.0,510.0,37.0
3839,7.0,2.0,3.0,0.0,4.0,8.0,11.0,6.0,13.0,12.0,33.0,10.0,9.0,25.0,24.0,34.0,22.0,1.0,17.0,64.0,14.0,32.0,30.0,92.0,83.0,26.0,21.0,35.0,448.0,40.0
3888,13.0,6.0,1.0,12.0,2.0,0.0,5.0,3.0,4.0,26.0,19.0,22.0,9.0,11.0,59.0,42.0,52.0,8.0,14.0,53.0,10.0,20.0,356.0,21.0,90.0,18.0,61.0,89.0,49.0,25.0
3937,4.0,0.0,5.0,2.0,3.0,1.0,6.0,57.0,15.0,11.0,12.0,8.0,29.0,13.0,27.0,35.0,24.0,42.0,62.0,18.0,39.0,10.0,26.0,23.0,59.0,36.0,19.0,43.0,47.0,86.0
3986,2.0,0.0,3.0,1.0,5.0,4.0,8.0,21.0,23.0,17.0,13.0,9.0,49.0,32.0,44.0,20.0,7.0,11.0,62.0,19.0,12.0,25.0,26.0,60.0,27.0,18.0,36.0,15.0,6.0,30.0
4035,1.0,3.0,11.0,2.0,4.0,0.0,53.0,8.0,6.0,15.0,5.0,30.0,21.0,20.0,25.0,9.0,7.0,35.0,14.0,34.0,40.0,47.0,10.0,28.0,61.0,26.0,58.0,98.0,24.0,49.0
4084,1.0,4.0,5.0,2.0,6.0,0.0,3.0,30.0,40.0,18.0,8.0,25.0,12.0,60.0,29.0,21.0,14.0,37.0,10.0,90.0,36.0,35.0,7.0,42.0,45.0,355.0,16.0,68.0,20.0,130.0
4133,0.0,6.0,3.0,8.0,2.0,1.0,4.0,7.0,11.0,27.0,12.0,20.0,13.0,15.0,85.0,23.0,19.0,5.0,33.0,44.0,40.0,42.0,9.0,51.0,335.0,10.0,14.0,22.0,41.0,132.0
4182,1.0,0.0,5.0,2.0,7.0,3.0,9.0,30.0,8.0,18.0,16.0,19.0,12.0,40.0,37.0,31.0,4.0,11.0,29.0,62.0,33.0,21.0,45.0,54.0,63.0,17.0,22.0,110.0,13.0,14.0
4231,3.0,4.0,5.0,2.0,0.0,1.0,19.0,7.0,10.0,39.0,12.0,8.0,9.0,16.0,40.0,21.0,25.0,61.0,6.0,54.0,32.0,22.0,41.0,38.0,17.0,15.0,11.0,42.0,14.0,13.0
4280,5.0,1.0,2.0,0.0,6.0,3.0,25.0,59.0,31.0,8.0,9.0,30.0,19.0,4.0,22.0,66.0,7.0,13.0,55.0,48.0,16.0,39.0,56.0,38.0,40.0,33.0,17.0,52.0,77.0,64.0
4329,1.0,3.0,10.0,4.0,6.0,0.0,2.0,7.0,14.0,21.0,5.0,27.0,8.0,57.0,47.0,26.0,13.0,17.0,74.0,45.0,30.0,37.0,12.0,49.0,20.0,34.0,31.0,71.0,35.0,24.0
4378,2.0,0.0,15.0,8.0,5.0,1.0,14.0,12.0,7.0,20.0,3.0,11.0,9.0,16.0,47.0,6.0,4.0,40.0,29.0,64.0,21.0,13.0,10.0,70.0,80.0,55.0,77.0,35.0,31.0,68.0
4427,21.0,8.0,10.0,2.0,1.0,0.0,12.0,9.0,16.0,6.0,68.0,17.0,28.0,11.0,4.0,14.0,43.0,23.0,44.0,5.0,13.0,76.0,26.0,40.0,24.0,45.0,51.0,50.0,27.0,19.0
4476,10.0,21.0,19.0,2.0,1.0,0.0,30.0,9.0,6.0,7.0,92.0,18.0,20.0,17.0,13.0,5.0,24.0,4.0,79.0,3.0,44.0,50.0,22.0,54.0,27.0,15.0,43.0,417.0,8.0,29.0
4525,17.0,2.0,0.0,5.0,3.0,1.0,35.0,4.0,15.0,6.0,212.0,34.0,14.0,9.0,7.0,8.0,84.0,21.0,74.0,10.0,24.0,334.0,16.0,44.0,11.0,37.0,67.0,45.0,12.0,32.0
4574,17.0,5.0,21.0,0.0,2.0,1.0,24.0,12.0,10.0,3.0,207.0,6.0,13.0,9.0,4.0,19.0,28.0,7.0,510.0,8.0,16.0,93.0,15.0,37.0,27.0,91.0,55.0,89.0,20.0,40.0
4623,13.0,10.0,0.0,1.0,2.0,9.0,6.0,3.0,86.0,5.0,240.0,69.0,70.0,14.0,8.0,28.0,12.0,21.0,33.0,4.0,74.0,56.0,18.0,43.0,101.0,24.0,27.0,92.0,11.0,44.0
4672,30.0,4.0,1.0,8.0,5.0,0.0,11.0,3.0,24.0,7.0,221.0,31.0,18.0,10.0,6.0,26.0,69.0,9.0,81.0,2.0,21.0,33.0,12.0,35.0,34.0,40.0,51.0,32.0,17.0,45.0
4721,4.0,21.0,6.0,0.0,1.0,2.0,10.0,3.0,15.0,12.0,235.0,5.0,42.0,16.0,18.0,33.0,11.0,8.0,38.0,7.0,19.0,96.0,14.0,48.0,23.0,17.0,63.0,45.0,20.0,46.0
4770,5.0,3.0,9.0,1.0,0.0,2.0,37.0,8.0,24.0,10.0,53.0,12.0,27.0,20.0,14.0,7.0,25.0,13.0,60.0,11.0,15.0,94.0,17.0,42.0,23.0,31.0,29.0,43.0,4.0,65.0
4819,9.0,5.0,1.0,0.0,2.0,10.0,15.0,35.0,11.0,6.0,248.0,4.0,20.0,3.0,7.0,8.0,66.0,38.0,78.0,14.0,24.0,56.0,23.0,156.0,17.0,46.0,57.0,28.0,18.0,26.0
4868,25.0,20.0,3.0,0.0,2.0,6.0,7.0,1.0,23.0,8.0,252.0,13.0,22.0,4.0,11.0,16.0,61.0,33.0,19.0,5.0,10.0,29.0,21.0,39.0,36.0,9.0,71.0,331.0,12.0,15.0
